POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
anunu.kr_2025-07-28,1,진짜 과일같은 수제젤리 모둠 15시간,"#수제젤리, #고체, #29cm, #fyp, #nightsnack, #먹방, #mukbangkorea, #asmr, #mukbang",anunu.kr_2025-07-28,2025-07-28,2148,instagram
anunu.kr_2025-07-25,726,역대급으로 많이 팔려버린 스위즐스 근황 3일,,anunu.kr_2025-07-25,2025-07-25,442,instagram
anunu.kr_2025-07-22,8,망고 납작복숭아와 요거트분수 6일,"#nightsnack, #fyp, #mukbangkorea, #야식, #asmr, #mukbang, #yogurtboy",anunu.kr_2025-07-22,2025-07-22,2444,instagram
anunu.kr_2025-07-21,13,해외에서 엄청뜬 바삭한 한국 마시멜로 1주,"#fyp, #nightsnack, #mukbangkorea, #야식, #asmr, #mukbang, #yogurtboy",anunu.kr_2025-07-21,2025-07-21,2.1만,instagram
anunu.kr_2025-07-18,1,인스턴트 초코케이크 좋아하는 사람? 수정됨 · 1주,"#오레오, #fyp, #nightsnack, #요거트, #먹방, #mukbangkorea, #yogurtboy, #야식, #asmr, #mukbang, #yogurt",anunu.kr_2025-07-18,2025-07-18,6909,instagram
anunu.kr_2025-07-17,383,얼굴 왁싱 asmr 1주,"#asmr, #waxing, #fyp, #yogurtboy",anunu.kr_2025-07-17,2025-07-17,790,instagram
anunu.kr_2025-07-17,1,아누누 X 스위즐스 드럼스틱 [국내최초] 공구함니다 7/17-31 1주,"#스위즐스, #드럼스틱, #젤리, #fyp, #먹방, #야식, #mukbangkorea, #asmr, #공구, #스쿼시스",anunu.kr_2025-07-17,2025-07-17,3872,instagram
anunu.kr_2025-07-16,1,주먹만한 키위를 본적이 있나용 1주,"#키위, #대왕키위, #요거트, #nightsnack, #fyp, #먹방, #mukbangkorea, #야식, #yogurtboy, #yogurt, #몽골, #mongolia",anunu.kr_2025-07-16,2025-07-16,1129,instagram
anunu.kr_2025-07-15,1,과일 모양 아이스크림 다른것도 발견함 🧑🏻‍🦲 1주,"#nightsnack, #fyp, #먹방, #mukbangkorea, #mukbang, #asmr, #과일아이스크림, #viral",anunu.kr_2025-07-15,2025-07-15,4909,instagram
anunu.kr_2025-07-14,1,몽골에서 찾은 납작복숭아와 요거트 2주,"#nightsnack, #fyp, #요거트, #먹방, #mukbangkorea, #야식, #yogurtboy, #asmr, #mukbang",anunu.kr_2025-07-14,2025-07-14,4762,instagram
anunu.kr_2025-07-12,13,해외에서 유행한 너무먹고싶던 과일 아이스크림 2주,"#과일아이스크림, #fyp, #nightsnack, #mukbangkorea, #야식, #mukbang",anunu.kr_2025-07-12,2025-07-12,1.9만,instagram
anunu.kr_2025-07-11,1,과유불급 젤리 코하쿠토 수박화채 2주,"#수박화채, #스위즐스, #nightsnack, #fyp, #먹방, #mukbangkorea, #asmr, #mukbang",anunu.kr_2025-07-11,2025-07-11,1744,instagram
anunu.kr_2025-07-09,1,@stephaniekimchi 누님의 비법소스로 다시 만든 소스로 궁채 먹기 2주,"#nightsnack, #fyp, #먹방, #야식, #mukbangkorea, #asmr, #궁채",anunu.kr_2025-07-09,2025-07-09,1.2만,instagram
anunu.kr_2025-07-08,1,씨없는 수박이 실재한다고? 2주,"#수박, #씨없는수박, #야식, #yogurtboy, #먹방, #요거트, #fyp, #nightsnack, #mukbangkorea, #asmr, #mukbang",anunu.kr_2025-07-08,2025-07-08,8645,instagram
anunu.kr_2025-07-07,1,콩만한 딸기 바나나 호빵 3주,"#요거트, #fyp, #nightsnack, #먹방, #yogurtboy, #야식, #mukbangkorea, #호빵, #딸기호빵, #바나나호빵",anunu.kr_2025-07-07,2025-07-07,2020,instagram
anunu.kr_2025-07-06,1,@yeosu.unnie 님이 주신 신상 초코퐁당 구름크림떡 먹어보기 3주,"#nightsnack, #fyp, #요거트, #먹방, #yogurtboy, #야식, #mukbangkorea, #asmr, #초코퐁당, #구름크림떡, #여수언니, #봄날엔",anunu.kr_2025-07-06,2025-07-06,3214,instagram
anunu.kr_2025-07-05,1,궁채 댕기머리 먹방 @stephaniekimchi 3주,"#궁채, #먹방, #nightsnack, #야식, #mukbangkorea, #asmr",anunu.kr_2025-07-05,2025-07-05,1.4만,instagram
anunu.kr_2025-07-04,1,팝업 끝난 기념으로 파삭 먹방 @pasaackorea 3주,"#fyp, #nightsnack, #요거트, #먹방, #yogurtboy, #야식, #mukbangkorea, #파삭, #pasaac",anunu.kr_2025-07-04,2025-07-04,1926,instagram
anunu.kr_2025-07-03,1,선물받은 디저트들 먹방 3주,"#fyp, #nightsnack, #요거트, #먹방, #yogurtboy, #야식, #mukbangkorea, #asmr, #mukbang, #yogurt",anunu.kr_2025-07-03,2025-07-03,1377,instagram
anunu.kr_2025-07-02,1,트러플 찹쌀떡과 과일 찹쌀떡 모음집 3주,"#한정선, #찹쌀떡, #야식, #먹방, #mukbangkorea, #mukbang",anunu.kr_2025-07-02,2025-07-02,2805,instagram
anunu.kr_2025-07-01,1,구워주는 꾸덕한 통치즈케이크 3주,"#더현대, #팝업, #fyp, #nightsnack, #yogurtboy, #먹방, #야식, #mukbangkorea, #asmr",anunu.kr_2025-07-01,2025-07-01,786,instagram
anunu.kr_2025-06-28,8,입에서 사르르 녹는 꽈배기 먹어보셨슴니까 4주,"#fyp, #요거트, #yogurtboy, #야식, #mukbangkorea, #꽈배기",anunu.kr_2025-06-28,2025-06-28,4078,instagram
anunu.kr_2025-06-24,1,쑥맛 파삭 4배 맛있게 먹는 법 @pasaackorea 4주,"#파식, #쑥맛, #pasaac, #nightsnack, #요거트, #fyp, #먹방, #야식, #mukbangkorea, #asmr, #yogurt",anunu.kr_2025-06-24,2025-06-24,2439,instagram
anunu.kr_2025-06-24,81,"the_hyundai 💙Pasaac X The HYUNDAI SEOUL💙 한국에 동결건조 붐을 일으켰던 아누누의 ‘파삭‘이 드디어 더현대 서울에서 팝업을 오픈합니다! 품절로 만나기 어려웠던 오리지널 파삭부터 새로운 맛 ‘쑥맛 파삭’ 까지! 더현대 서울에서 보고, 맛보고, 바삭한 순간을 함께 나눠요🩵 현대백화점 팔로우하고 아누누의 ‘파삭‘ 함께 먹고 싶은 친구를 댓글에 태그해주세요! 🎁경품 : 오리지널 파삭 1개 (3명) 🎁기간 : 6.24(화) ~ 7.2(수) 🎁당첨자발표 : 7.7(월) 파삭 팝업스토어 📍더현대 서울 B1 🗓️6.26(목) ~ 7.2(수) 4주","#EVENT, #파삭, #댓글이벤트",anunu.kr_2025-06-24,2025-06-24,827,instagram
anunu.kr_2025-06-23,34,젤리만 먹던자의 최후 @pasaackorea 5주,"#더현대, #팝업, #파삭, #쑥맛",anunu.kr_2025-06-23,2025-06-23,366,instagram
anunu.kr_2025-06-22,1,까먹는 젤리에 이은 바나나빵 5주,"#바나나빵, #망고빵, #까먹는바나나빵, #야식, #mukbangkorea, #먹방, #yogurtboy, #요거트, #fyp",anunu.kr_2025-06-22,2025-06-22,742,instagram
anunu.kr_2025-06-19,1,완젼 꾸덕한 초코초꾸떡 5주,"#초코초꾸떡, #봄날엔, #fyp, #요거트, #yogurtboy, #nightsnack, #먹방, #야식, #mukbangkorea",anunu.kr_2025-06-19,2025-06-19,3304,instagram
anunu.kr_2025-06-14,310,스위즐스에게 훈장받는 아누누 6주,"#스위즐스, #드럼스틱, #서울푸드",anunu.kr_2025-06-14,2025-06-14,827,instagram
anunu.kr_2025-06-09,15,과일쨈이 한가득 들어있어 쫀득함이 4배인 보석 7주,"#실키잼, #silkygem",anunu.kr_2025-06-09,2025-06-09,1749,instagram
anunu.kr_2025-06-06,5,@jeon_unni_ 켈프 피클과 맞바꾼 터키 벽돌 케이크 7주,,anunu.kr_2025-06-06,2025-06-06,3340,instagram
anunu.kr_2025-06-05,1,루피 케이크 막차타기 7주,"#베스킨라빈스31, #루피, #케이크, #요거트, #nightsnack, #fyp, #yogurtboy, #먹방, #야식, #mukbangkorea",anunu.kr_2025-06-05,2025-06-05,3502,instagram
anunu.kr_2025-06-04,81,켈프피클의 서양맛 k겉절이로 혼내주다 7주,,anunu.kr_2025-06-04,2025-06-04,1315,instagram
anunu.kr_2025-05-30,29,제품 화보마저 가내수공업인 소상공인 아누누 @pasaackorea 8주,"#파삭, #pasaac",anunu.kr_2025-05-30,2025-05-30,2026,instagram
anunu.kr_2025-05-27,1,색다른 일본 코스트코 간식 털어봄 8주,"#코ㅗ스트코, #먹방, #젤리, #푸쵸, #fyp, #mukbangkorea, #yogurt, #요거트",anunu.kr_2025-05-27,2025-05-27,699,instagram
anunu.kr_2025-05-25,1,크림 가득 더현대에서 사온 고디바 소라빵 9주,"#두바이초콜릿, #고디바, #mukbangkorea, #nightsnack, #fyp, #yogurt, #먹방",anunu.kr_2025-05-25,2025-05-25,2687,instagram
anunu.kr_2025-05-24,145,큰일 났어요 파삭이 다 녹았어요 ㅠ 9주,#파삭,anunu.kr_2025-05-24,2025-05-24,1251,instagram
