COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE
1,fromseohee_2025-07-28,__j_be,이날 메이크업 넘넘 예뻐요😍❤️❤️❤️❤️,2025-07-29
2,fromseohee_2025-07-28,jii3807,짭 당첨 이네욥,2025-07-29
3,fromseohee_2025-07-28,shineding_story,메이크업 넘 이뻐요....진심....❤️,2025-07-29
4,fromseohee_2025-07-28,rkdmsl._4,헐...큐알이 없어여😱,2025-07-30
5,fromseohee_2025-07-28,zizonpgon,근데 라부부 닮았어요,2025-07-29
6,fromseohee_2025-07-28,mungyeong.jeon,왜,2025-07-28
7,fromseohee_2025-07-28,a3c4uu,"에이블리 파이스트82에서 라부부 23~25,코카콜라시리즈/미개봉,개봉 등등 뭐 많이 퍌더라구여 전 담아만 둿는데 관심있으심 한번 봐보세용",2025-07-29
8,fromseohee_2025-07-28,heezero96,쿠팡에서 샀는데 찐이였어요🙌,2025-07-29
9,fromseohee_2025-07-28,xyprzu,짭이에옄ㅋ,2025-07-29
10,fromseohee_2025-07-28,onejinkyung,짭이 머리가 돌아가는거 아닌가요?😂,2025-07-29
11,fromseohee_2025-07-28,base_onf,오늘따라 왜캐 바이브 퀸인건데 ㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-29
12,fromseohee_2025-07-28,22centuryboy,악 알리 ㅋ쿠ㅜㅜ 전 크림에서 희망이 주문했어요,2025-07-28
13,fromseohee_2025-07-28,kkm_______7,짭이다잉😢,2025-07-29
14,fromseohee_2025-07-28,parkheonsang,얼마에영,2025-07-28
15,fromseohee_2025-07-27,y_not_eat,꺄아 이거 다들 양념 맛있다구 소문이 자자-하던데…! 대박… 궁그미,2025-07-27
16,fromseohee_2025-07-27,22centuryboy,우오아아앙,2025-07-28
17,fromseohee_2025-07-27,kellyfornia_c,너무 맛있어보여서 3번 연속 봄,2025-07-29
18,fromseohee_2025-07-27,le.jwxdns,❤️❤️,2025-07-27
19,fromseohee_2025-07-27,stephaniekimchi,매운거잘먹네 이제으른이네😚🧡💗,2025-07-27
20,fromseohee_2025-07-26,munchkindiva6,😍😍,2025-07-26
21,fromseohee_2025-07-26,hapbbbi2,성공!!🫐🥝🍓상콤달콤 뇸뇸해버고싶어요,2025-07-27
22,fromseohee_2025-07-26,shineding_story,헉 오늘 메이크업 왤케이뻐요?😍,2025-07-26
23,fromseohee_2025-07-26,pink.tape_,완전 금손😍😍😍😍,2025-07-26
24,fromseohee_2025-07-26,hongji_yam,징짜루 짱 잘 만드셨여요!!!!😮,2025-07-26
25,fromseohee_2025-07-26,gyoung_ek__o_o.v,대성공입니다만 맛있겠다요,2025-07-26
26,fromseohee_2025-07-26,mukstar_md,잘 만드셨다😍❤️❤️,2025-07-26
27,fromseohee_2025-07-26,22centuryboy,대박대박👏👏👏,2025-07-27
28,fromseohee_2025-07-26,stephaniekimchi,푸딩키보드도 해주세여 🍮🍮🍮🍮🍮🍮,2025-07-26
29,fromseohee_2025-07-26,dessert_enterance_,ㅋㅋㅋㅋ대박 똑같아요,2025-07-29
30,fromseohee_2025-07-24,yun.qistina,😮😮😮😍😍😍,2025-07-25
31,fromseohee_2025-07-24,22centuryboy,신기해용😮😮😮,2025-07-25
32,fromseohee_2025-07-24,bbeuddiieon,왕손,2025-07-25
33,fromseohee_2025-07-24,choimina161820,와 너무 맛있어보여요....😍,2025-07-25
34,fromseohee_2025-07-24,ey_sj_s2,보는데 자꾸 포도모양 주방세제 생각나요... 😍,2025-07-24
35,fromseohee_2025-07-24,gaeun__l,모야모야 이번메이쿠업 역대급인데❤️❤️😍,2025-07-24
36,fromseohee_2025-07-24,hongji_yam,똥손 아니고 왕금손 아니냐구요!!!!!😍,2025-07-24
37,fromseohee_2025-07-24,yangjy0808,유리과자?같아요!,2025-07-25
38,fromseohee_2025-07-24,hamtolyoon,먹는건 asmr안하면 안돼요? 맛있게 느껴지는게 아니라 쩝쩝거리는거 같아서 지저분하게 느껴져요 ㅠ 그냥 자연스레 씹으면서 나는 소리면 맛있게 느껴지겠지만 글쎄요 ㅠ,2025-07-29
39,fromseohee_2025-07-23,jeonkm81,여기오디인가요?,2025-07-24
40,fromseohee_2025-07-23,22centuryboy,진짜 마싯겠네요,2025-07-29
41,fromseohee_2025-07-23,i_yooii,빵집 이름이몬가여,2025-07-25
42,fromseohee_2025-07-23,i_yooii,크림을 ㅙ 굳이 눌러서 먹어여 맛있어보일려고 그래여,2025-07-26
43,fromseohee_2025-07-23,eun0227,안그래도 줄긴데......큰일났네요....🥲 매운용암빵이 찐입니다.....🥲,2025-07-24
44,fromseohee_2025-07-23,hongji_yam,"헐 여기 빵 짱맛난데,,😍 또 먹고 싶어졌어요 엉엉🤤",2025-07-23
45,fromseohee_2025-07-23,bagseou967,1빠,2025-07-24
46,fromseohee_2025-07-23,each.story,또 먹고시퍼....,2025-07-23
47,fromseohee_2025-07-23,ms_samsisekki,대머리독수리 개맛있더라….,2025-07-24
48,fromseohee_2025-07-23,stephaniekimchi,자기전부터 일어나자마자 옥수수크림빵만 먹던 여자🥸,2025-07-23
49,fromseohee_2025-07-23,bagseou967,1빠,2025-07-24
50,fromseohee_2025-07-23,dearmyrodoong,@im.ryul 어디야 여기,2025-07-24
51,fromseohee_2025-07-23,z__yeoning_,"@_yeoni.i, @lissuya_, @ilyeongs2 얘드라 우리 이거 먹고오쟈ㅠㅠㅠ",2025-07-27
52,fromseohee_2025-07-19,i_feel__pretty___,우왕 소희님😍 이 젤리들은 어디서 살수있어요? 그리고 전자렌지 대박! 너무 맛있어보여요 20초 정도 데우면 될까용?❤️,2025-07-20
53,fromseohee_2025-07-19,jong___yuna,젤리이름이뭐예요?,2025-07-19
54,fromseohee_2025-07-19,nu_rhasanah632,👏,2025-07-19
55,fromseohee_2025-07-19,nozonozoite,クチャクチャ食べないで🤮,2025-07-23
56,fromseohee_2025-07-19,cheeky._.d0rumuu9,@cakkt_4546,2025-07-19
