COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE
1,toctocsia_2025-07-30,ye0n.x_1804,와앙 두번째당 저거 마싯나여?,2025-07-30
2,toctocsia_2025-07-30,salma_moukrich,이 닭은 한국에서 유명해요.맛있어,2025-07-31
3,toctocsia_2025-07-30,gangseonhwa1943,맛있겠어용👏👏,2025-07-30
4,toctocsia_2025-07-30,lrsmnywzkw,إستمري حبيبتي يا أحلا وردة في العالم😭🌷💗💗💗,2025-07-30
5,toctocsia_2025-07-30,lrsmnywzkw,إستمري حبيبتي يا أحلا وردة في العالم😭🌷💗💗💗,2025-07-30
6,toctocsia_2025-07-30,yulim225,대박,2025-07-31
7,toctocsia_2025-07-30,erinleicsanchez,wow 😮,2025-07-30
8,toctocsia_2025-07-30,na_y0ungj,우왕 첫댓글이당❤️,2025-07-30
9,toctocsia_2025-07-30,de.epthi1979,Wow look so good 😊,2025-07-30
10,toctocsia_2025-07-30,badgirl__2e,ياخي كيوت,2025-07-31
11,toctocsia_2025-07-30,dkshdjdhshd,톡톡시아 무서운습간,2025-07-30
12,toctocsia_2025-07-29,shutterchic_444,😍,2025-07-29
13,toctocsia_2025-07-29,suska310,❤️❤️❤️❤️,2025-07-30
14,toctocsia_2025-07-29,ttxorukii,❤️,2025-07-29
15,toctocsia_2025-07-29,suhye001,저도 한입만 주세요,2025-07-30
16,toctocsia_2025-07-29,s.yuju__12,8분전😮,2025-07-29
17,toctocsia_2025-07-29,skz_n_en.4life,❤️❤️,2025-07-29
18,toctocsia_2025-07-29,afnenhleyli,🥹🐳💗,2025-07-29
19,toctocsia_2025-07-29,eunsu4415,시아야 언니 오늘 김밥먹어~~,2025-07-31
20,toctocsia_2025-07-29,siriteegenggie,🔥🔥,2025-07-29
21,toctocsia_2025-07-29,iskra1641,Why is everything you eat so crunchy,2025-07-29
22,toctocsia_2025-07-29,yulim225,Love ❤️,2025-07-30
23,toctocsia_2025-07-29,sol.7101,맛있게 먹는 모습이 너무 예뻐용,2025-07-29
24,toctocsia_2025-07-29,gonghanbi77_kiki,안에 홀터넥 입은거에요?,2025-07-30
25,toctocsia_2025-07-29,army_77h,Yummy 😋,2025-07-29
26,toctocsia_2025-07-29,joonghyuk_lim,딱복은 선넘었지..,2025-07-30
27,toctocsia_2025-07-25,woung_young01,"와, 저는 우지벡 사람이에요❤️🙌",2025-07-25
28,toctocsia_2025-07-25,yulim225,서울우유 사랑❤️,2025-07-25
29,toctocsia_2025-07-25,j1svg.luv_,너무 맛있어 보여요,2025-07-25
30,toctocsia_2025-07-25,seo_je_ra,언니가 원해요😢😢,2025-07-25
31,toctocsia_2025-07-25,hajar_55586,🍓🥛🍫,2025-07-25
32,toctocsia_2025-07-25,alejandrad0202,❤️❤️❤️,2025-07-25
33,toctocsia_2025-07-25,ttxorukii,❤️,2025-07-25
34,toctocsia_2025-07-25,nihao_sophie,조합이 더도 말고 덜도 말고 딱 좋아요,2025-07-25
35,toctocsia_2025-07-25,not_ur_2ban,헐마식겟뚜,2025-07-25
36,toctocsia_2025-07-25,haoxin_n,Subtitles please 🥺,2025-07-25
37,toctocsia_2025-07-25,_zuubo_,She eats like they're not cold 😂 i thought it was just some dessert,2025-07-31
38,toctocsia_2025-07-25,ks._wok,아.. 저좀 자게 해주새요... 중독이 되..,2025-07-26
39,toctocsia_2025-07-25,toctocsia,서울우유 유료광고를 진행하며 무상으로 제공받은 제품을 활용하고 있습니다.,2025-07-25
40,toctocsia_2025-07-24,un._dn_x,언니 어떻게 항상 그렇기 좋응 아이디어로 촬영해요 정말 대단해요!,2025-07-24
41,toctocsia_2025-07-24,sia.kk0717,언니 너무 잘 먹는다. 나도 먹고 싶어😢,2025-07-25
42,toctocsia_2025-07-24,8l8882025,❤️❤️,2025-07-25
43,toctocsia_2025-07-24,muslima_0774,❤️❤️,2025-07-24
44,toctocsia_2025-07-24,muslima_0774,🔥🔥,2025-07-24
45,toctocsia_2025-07-24,suska310,❤️❤️❤️❤️,2025-07-24
46,toctocsia_2025-07-24,win_kie129,❤️❤️❤️,2025-07-24
47,toctocsia_2025-07-24,mah.di2025987,😮,2025-07-25
48,toctocsia_2025-07-24,nandoong__,톡톡시아님 영상에 저희 나와서 너무 놀라고 기쁘네욬ㅋㅋㅋㅋㅎㅎ🫶🥰💕,2025-07-24
49,toctocsia_2025-07-24,le.jwxdns,😍😍❤️😍❤️,2025-07-31
50,toctocsia_2025-07-24,giss.el958,❤️❤️,2025-07-24
51,toctocsia_2025-07-24,eunsu4415,시아야☺️ 언니는 좋은하루 보내고 있어^^,2025-07-25
52,toctocsia_2025-07-24,yulim225,천재,2025-07-24
53,toctocsia_2025-07-24,lumiii_143,제가 첫 번째예요!!,2025-07-24
54,toctocsia_2025-07-24,cbb_3313,냠냠,2025-07-24
55,toctocsia_2025-07-24,lumiii_143,woaaaa ! 😮👏❤️,2025-07-24
56,toctocsia_2025-07-24,gim.yeah,맛있겠다...,2025-07-24
57,toctocsia_2025-07-24,dandelion4.3.7,ခေါင်းကဘာလို့စောင်းနေတာလဲမေးပေးဦး,2025-07-29
58,toctocsia_2025-07-23,chaechae__89,ㅋㅋㅋㅋ맛있겠어욬ㅋㅋㅋㅋ 연유 뿌렸으니 팥도 넣으면...!!!,2025-07-26
59,toctocsia_2025-07-23,yulim225,완전 내스타일이내요,2025-07-23
60,toctocsia_2025-07-23,un._dn_x,언니 오늘도 화이탕,2025-07-23
61,toctocsia_2025-07-23,ruyami98,당신은 매우 아름답습니다❤️,2025-07-26
62,toctocsia_2025-07-23,songi5997,맜있갰다 온니 존예 미춌엉 ❤️❤️❤️ 언니 화이팅팅팅,2025-07-23
63,toctocsia_2025-07-23,sa._nga9650,맛있겟다 나두 먹고싶다 큐큐ㅠㅠ,2025-07-23
64,toctocsia_2025-07-23,win_kie129,과일 스무디🍧,2025-07-23
65,toctocsia_2025-07-23,cvzipaq,😍❤️,2025-07-23
66,toctocsia_2025-07-23,cll_005,♥️♥️,2025-07-23
67,toctocsia_2025-07-23,botchi_the_lock,이분 몇년만에 보는거지,2025-07-24
68,toctocsia_2025-07-23,seogaeun10,언니 혹시 다음 영상에는 시원한 투게더에 약과 과자 먹방 올려주시면 안될까요 😍😍😍😍,2025-07-24
69,toctocsia_2025-07-23,soo.lee123,어떻게 저렇게 먹는데 이렇게 말랐지 부럽다..,2025-07-23
70,toctocsia_2025-07-23,toprakelif172,"This is called bici bici, a Turkish dessert.",2025-07-24
