POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
ddimmi96_2024-12-25,5,마지막으로 여러분들께 드리고 싶은 이야기 30주,"#크리스마스, #수건케이크, #크리스마스케이크, #크리스마스선물, #유소나, #예씨",ddimmi96_2024-12-25,2024-12-25,4901,instagram
ddimmi96_2025-01-13,40,떡볶이 좋아하는 사람들은 꼭 먹어야합니다! 📣띠뽀끼 2차 오픈! 지난번 완판에 보내주신 사랑에 감사드립니다! 🙏 이번 2차 오픈에서는 더 특별한 혜택을 준비했어요😍 ✔️ 프로필링크 구매 시 10% 할인 ✔️ 네이버 스마트스토어 구매 시 10% 할인 쿠폰 제공 + 베스트 리뷰 선정 시 5% 구매금액의 포인트지급 ✔️ 2개 이상 구매 시 무료배송 ! ‼️지금 바로 프로필 링크를 통해 만나보세요!‼️ 🔥띠뽀끼 후기는 띠미 인스타 띠뽀끼 후기 하이라이트 클릭! 🔥이번에도 서둘러 주문하세요!❤️ 28주,"#띠뽀끼, #떡볶이, #떡볶이추천",ddimmi96_2025-01-13,2025-01-13,5650,instagram
ddimmi96_2025-07-28,24,(실제상황🚨) 팬미팅에 사람들이 안 왔다.... 수정됨 · 18시간,"#띠뽀끼, #컵떡볶이, #프리미엄떡볶이, #떡볶이밀키트, #떡볶이맛집, #대왕컵떡볶이, #롯데백화점팝업, #경기도팝업스토어, #분당맛집, #평촌맛집, #동탄맛집, #띠미, #팬사인회, #릴레이팝업, #떡볶이, #분당가볼만한곳, #평촌데이트, #동탄핫플, #경기도맛집, #경기핫플, #경기도데이트, #팝업스토어, #팝업, #롯데백화점, #띠뽀끼, #띠미, #컵떡볶이",ddimmi96_2025-07-28,2025-07-28,698,instagram
ddimmi96_2025-07-26,1,아무도 모르는 이디야 요아정.. 과연 먹을만 한가? 2일,"#요아정, #요거트아이스크림, #아이스크림, #요거트, #이디야, #이디야카페, #커피, #카페, #먹방, #리뷰, #아이스크림, #요아정꿀조합",ddimmi96_2025-07-26,2025-07-26,699,instagram
ddimmi96_2025-07-21,1,30만원 햄버거 15000원으로 먹는 유일한 방법 1주,"#일본롯데리아, #롯데리아장어버거, #장어버거, #일본패스트푸드, #도쿄먹방, #일본먹방, #햄버거, #젯데리아, #햄버거추천, #젯데리아메뉴, #햄버거먹방, #먹방, #요리, #롯데리아추천",ddimmi96_2025-07-21,2025-07-21,552,instagram
ddimmi96_2025-07-19,24,세상에 하나밖에 없는 대왕 컵 떡볶이 수정됨 · 1주,"#띠뽀끼, #컵떡볶이, #프리미엄떡볶이, #떡볶이밀키트, #떡볶이맛집, #대왕컵떡볶이, #롯데백화점팝업, #경기도팝업스토어, #분당맛집, #평촌맛집, #동탄맛집, #띠미, #팬사인회, #릴레이팝업, #떡볶이, #분당가볼만한곳, #평촌데이트, #동탄핫플, #경기도맛집, #경기핫플, #경기도데이트, #팝업스토어, #팝업, #롯데백화점, #띠뽀끼, #띠미, #컵떡볶이",ddimmi96_2025-07-19,2025-07-19,1882,instagram
ddimmi96_2025-07-19,1,"빛나는 초콜릿, 과연 다른 재료로도 될까? 1주","#홀로그램초콜릿, #신기한초콜릿, #초콜릿, #초콜릿먹방, #초콜릿몰드, #간식리뷰, #간식, #디저트",ddimmi96_2025-07-19,2025-07-19,4088,instagram
ddimmi96_2025-07-17,1,과일과 젤리에 탄산을 넣으면 어떻게 될까? @sulridang_shop 1주,"#제품제공, #탄산과일, #과일, #설리당, #간식, #간식먹방, #디저트, #과일추천, #과일맛집, #fruit, #망고, #체리, #복숭아",ddimmi96_2025-07-17,2025-07-17,1288,instagram
ddimmi96_2025-07-15,1,인스타 명품 수박 vs 5000원 시장 수박! 뭐가 다를까? 1주,"#인스타, #인스타음식, #명품수박, #흑수박, #수박, #수박먹방, #수박추천, #과일, #과일추천",ddimmi96_2025-07-15,2025-07-15,5381,instagram
ddimmi96_2025-07-13,3,인스타에서 보이는 빛나는 초콜릿… 이게 진짜 될까? 2주,"#초콜릿, #수제초콜릿, #디저트, #초콜릿만들기, #홀로그램초콜릿, #홀로그램몰드, #빛나는초콜릿, #반짝이는초콜릿, #유니크초콜릿, #특이한초콜릿, #신기한초콜릿, #이색디저트, #HologramChocolate, #HolographicChocolate, #ShinyChocolate, #SparklingChocolate, #UniqueChocolate, #MagicalChocolate",ddimmi96_2025-07-13,2025-07-13,1576,instagram
ddimmi96_2025-07-11,1,최고급 재료로 만든 김치찜! 최고 맛집 김치찜 이길 수 있을까? 2주,"#김치찜, #돼지김치찜, #김치, #묵은지, #김장, #김치찜먹방, #김치찜레시피, #돼지김치찜레시피, #요리, #김치찜만드는법, #삼겹살, #맛집, #최고급재료",ddimmi96_2025-07-11,2025-07-11,1934,instagram
ddimmi96_2025-07-10,1,에이블리에서 옷 말고 간식을 판다고?!!! 2주,"#에이블리, #에이블리간식, #에이블리수제간식, #수제간식, #간식추천, #간식리뷰, #먹방, #리뷰, #쇼츠리뷰, #간식먹방, #간식쇼츠, #에이블리리뷰, #수제디저트, #디저트리뷰, #에이블리하울, #에이블리쇼핑, #쇼핑하울, #에이블리코디, #옷하울",ddimmi96_2025-07-10,2025-07-10,6954,instagram
ddimmi96_2025-07-09,1,요즘 유행하는 Ai 용암 먹방 맛있게 먹는 유일한 방법 2주,"#용암먹방, #ai먹방, #ai용암먹방, #ai용암레시피, #용암레시피, #용암, #용암먹방하는법, #유행, #au",ddimmi96_2025-07-09,2025-07-09,3654,instagram
ddimmi96_2025-07-08,1,지금 인스타에서 난리난 신기한 쿠팡 전 ㄷㄷ 2주,"#쿠팡템추천, #쿠팡추천, #쿠팡템, #전, #모듬전, #부침개, #쿠팡요리, #쿠팡음식, #음식, #리뷰, #냉동식품, #먹방",ddimmi96_2025-07-08,2025-07-08,1889,instagram
ddimmi96_2025-07-08,1,요즘 유행하는 비싼 성게알을 가장 맛있게 먹는 법 (에드머오빠 패러디) @edmmer 수정됨 · 2주,"#성게알, #우니, #성게알라면, #성게국수, #성게라면, #우니라면, #우니국수, #코우지셰프, #코우지, #에드머, #먹방",ddimmi96_2025-07-08,2025-07-08,630,instagram
ddimmi96_2025-07-06,1,떡볶이로 국수면을 만들면 어떻게 될까? 3주,"#떡볶이, #띠뽀끼, #띠미떡볶이, #떡볶이추천, #떡볶이먹방, #떡볶이면, #떡볶이토핑, #떡볶이맛집, #제면기, #마라탕, #마라, #마라탕면, #마라면, #떡볶이면, #떡볶이국수",ddimmi96_2025-07-06,2025-07-06,3278,instagram
ddimmi96_2025-07-02,1,130만 유튜버 수빙수님의 쌈장게장! 과연 맛있을까? 수정됨 · 3주,"#수빙수, #수빙수쌈장게장, #쌈장게장, #수빙수님, #수빙수님게장, #수빙수게장, #간장게장, #수빙수님간장게장, #게장먹방, #간장게장먹방, #간장게장추천, #게장맛집, #게장먹방, #게장추천, #밥도둑",ddimmi96_2025-07-02,2025-07-02,3030,instagram
ddimmi96_2025-06-30,1,부산에서 택시 타자마자 “맛집으로 가주세요” 하면 생기는일 수정됨 · 4주,"#부산맛집, #부산여행, #부산택시, #택시맛집, #부산삼시세끼, #부산먹방, #부산투어, #맛집추천, #현지인맛집, #택시기사맛집, #먹방쇼츠, #여행브이로그, #맛집투어, #먹방브이로그, #꿀팁, #꿀맛집, #여행꿀팁, #핫플, #핫플레이스",ddimmi96_2025-06-30,2025-06-30,5476,instagram
ddimmi96_2025-06-27,1,(초긴급) 당장 내일 3세대 쫀득쿠키 500인분 다 가져가실 분 구합니다🚨 ✨띠뽀끼 띠미 팬사인회 + 쿠킹쇼 + 띠미표 쫀득쿠키 증정 📍부산 롯데백화점 본점 지하 2층 6월 28일(토) ~ 29일(일) 📍오후 2시부터 5시까지! ✨띠뽀끼 부산 팝업 📍 기간: 6월 27일 ~ 7월 3일 📍 장소: 롯데백화점 부산본점 지하 2층 수정됨 · 4주,"#띠뽀끼팝업, #롯데백화점부산본점, #쫀득쿠키, #2세대쫀득쿠키, #3세대쫀득쿠키, #띠미쫀득쿠키, #띠뽀끼, #띠뽀끼팝업, #부산롯데백화점, #부산, #쫀득쿠키레시피, #쫀득쿠키먹방, #쫀득쿠키만들기, #쫀득쿠키만드는법, #무료나눔",ddimmi96_2025-06-27,2025-06-27,3079,instagram
ddimmi96_2025-06-25,1,고기 살리는 마법의 가루! 과연 1등은? 4주,"#고기, #삼겹살, #목살, #바베큐, #삼겹살먹방, #시식코너고기, #먹방, #리뷰, #마늘가루, #어니언가루, #타코가루, #시즈닝, #시즈닝추천",ddimmi96_2025-06-25,2025-06-25,799,instagram
ddimmi96_2025-06-24,1,대환장 도쿄 16만원 메론케이크🍈 4주,"#도쿄, #도쿄맛집, #일본여행, #도쿄여행, #메론케이크, #디저트맛집, #일본디저트, #초고가디저트, #먹방쇼츠, #해외먹방, #일본카페, #tiktokfood, #reelsfood, #japanfoodie, #tokyofood, #tokyodessert, #luxurydessert, #メロンケーキ, #東京グルメ",ddimmi96_2025-06-24,2025-06-24,1654,instagram
ddimmi96_2025-06-21,1,아침 8시 오픈런 메가커피 팥빙젤라또파르페 과연 먹을만한가..? 5주,"#메가커피, #팥빙젤라또파르페, #팥빙수, #팥빙젤라또, #메가커피추천, #메가커피파르페, #컵빙수추천, #컵빙수, #디저트, #간식, #리뷰, #먹방",ddimmi96_2025-06-21,2025-06-21,4990,instagram
ddimmi96_2025-06-20,4,헤어진 전 남자친구가 해줬던 알리오올리오ㅠㅠ 수정됨 · 5주,"#전남친토스트, #전남친, #누드와인볼, #누드와인, #블루누드와인볼, #앙리마티스술, #앙리마티스, #성시경술, #알리오올리오레시피, #알리오올리오, #전남친토스트레시피, #남자친구",ddimmi96_2025-06-20,2025-06-20,572,instagram
ddimmi96_2025-06-19,3,"품절대란 팥빙프라페까지? 먹천재의 뷔페 본전 미친 꿀팁 공개🔥 ”샤브올데이“에서는 팥핑프라페까지 완전 가능!!🤤 팥빙수 뿐만 아니라 파스타, 삼겹살부터 디저트까지 60여가지 메뉴를 단돈 2만원대로 만나볼 수 있어요😍!! 소고기 3종 (목심, 설도, 양지)랑 다양한 야채가 무제한이어서 샤브샤브에 소고기 맘껏 먹고 왔어요!!! 먹띠미 조합 치킨랩, 과일모찌, 탄탄멘까지 전국 140여개 샤브올데이 매장에서 도전해보세요!!❤️ *지점별 구성 메뉴의 차이가 있을 수 있습니다* 수정됨 · 5주","#샤브올데이, #샤브샤브, #무제한소고기, #샤브올데이서울신내점, #호텔식샤브뷔페, #가족외식, #뷔페추천, #뷔페꿀팁, #팥빙수젤라또, #팥빙수, #팥빙파르페, #팥빙프라페",ddimmi96_2025-06-19,2025-06-19,771,instagram
ddimmi96_2025-06-18,9,지금 해외에서 핫한 제 2의 연어깍두기?! 수정됨 · 5주,"#새우스리라차마요, #마요, #연어깍두기, #연어스리라차, #연어스리라차마요, #깍둑연어, #날치알, #고급튀김, #인도네시아요리, #인도네시아튀김, #인도네시아, #Indonesia",ddimmi96_2025-06-18,2025-06-18,8272,instagram
ddimmi96_2025-06-10,1,유럽에서 내 쫀득쿠키를 보러 날 찾아왔다... 6주,"#간식, #parismatch, #parismatch_magazine, #먹방, #디저트, #요리, #쫀득쿠키, #잡지, #인터뷰, #프랑스, #파리, #유럽",ddimmi96_2025-06-10,2025-06-10,7000,instagram
ddimmi96_2025-06-08,1,젼언니님이 보내주신 벽돌초콜릿케이크🧱 @jeon_unni_ 수정됨 · 7주,"#젼언니, #벽돌초콜릿케이크, #벽돌, #케이크, #초콜릿, #젼언니님, #두바이초콜릿, #케이크먹방, #먹방, #리뷰, #디저트",ddimmi96_2025-06-08,2025-06-08,5858,instagram
ddimmi96_2025-06-06,1,어딘가 좀 이상한 미국 MZ간식들 다 먹어봤다 👉띠미 유튜브 풀영상 보면 미국 간식 더 미친 거 나옵니다‼️ 🔥진짜 역대급으로 재밌으니까 꼭 보러 오세요🔥 수정됨 · 7주,"#미국간식, #미국mz간식, #미국음식, #미국디저트, #해외간식, #간식, #디저트, #리뷰, #먹방, #미국간식추천, #유행간식, #mz간식, #mz",ddimmi96_2025-06-06,2025-06-06,1073,instagram
ddimmi96_2025-06-04,26,전국에 딱 한곳에만 판다는 최고급 교촌치킨 세트를 먹어봤다 ㄷㄷ 7주,"#교촌치킨, #치킨, #교촌치킨오마카세, #오마카세, #교촌치킨신메뉴, #구미플래터, #구미, #구미교촌치킨, #교촌치킨신메뉴, #교촌허니콤보, #허니콤보, #레드콤보",ddimmi96_2025-06-04,2025-06-04,5165,instagram
