POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
hongji_yam_2025-05-23,1,"대전 갔더니 1,800원에 과일모찌를 팔아요🧐 🏷️ @youngchunmozzi_official 9주","#asmr, #mukbang, #asmrmukbang, #먹방, #찹쌀떡, #과일모찌, #딸기모찌, #dessert, #mochi, #eatingshow",hongji_yam_2025-05-23,2025-05-23,4.1만,instagram
hongji_yam_2025-02-20,1,빽다방에서 웬 두바이초콜릿..?🍫 이제서야 두바이초콜릿?인가 했다가 ㄹㅇ 너무!!!! 맛있어서!!!! 인정 인정 대~~인정하고 또 사먹기루 다짐함.😎 🏷️ 빽다방 @paikscoffee_official 22주,"#asmr, #mukbang, #asmrmukbang, #먹방, #dubaichocolate, #두바이초콜릿, #두바이초코, #초콜릿, #초콜릿먹방, #초코, #피스타치오, #디저트",hongji_yam_2025-02-20,2025-02-20,2만,instagram
hongji_yam_2024-11-25,1,"🔥 핫치즈싸이순살 + 치즈볼 🧀 맵찔이도 중독시켜버린 요물같은 이 양념,, 매운데 진짜 깔끔하게 매워서 맛있어요!! 월요일은 힘드니까 치킨 한 사바리 ~ 🍗 맘스터치 핫치즈싸이순살 @momstouch.love 35주","#asmr, #asmrmukbang, #mukbang, #chicken, #spicyfood, #koreanchicken, #cheeseballs, #핫치즈싸이순살, #맘스터치, #치킨맛집, #치킨먹방, #치즈볼",hongji_yam_2024-11-25,2024-11-25,2.9만,instagram
hongji_yam_2025-07-30,13,"🦀빠작한 빠다크랩 왕창 들어간 치킨?! 살다살다 이런 치킨은 처음 보는디 존맛 양념+숯불향+빠작한 빠다크랩+ 갈릭후추 후레이크 감칠맛 = 극락이에요,,🌈 바삭한 치킨 안에 치즈 왕창 든 모치치랑도 넘 잘 어울려서 추천🌟 민생회복소비쿠폰 사용도 가능하니까 얼른 먹어보기~! 🏷️ 20시간","#광고, #기영이숯불두마리치킨, #빠다크랩숯불치킨, #asmr, #mukbang, #asmrmukbang, #eatingshow, #koreanfood, #モッパン, #chicken, #치킨추천, #야식, #치킨맛집, #구성환, #오뚜기순후추, #원피스, #모치치",hongji_yam_2025-07-30,2025-07-30,430,instagram
hongji_yam_2025-07-29,1,"두바이떠먹치케는 처음 보시죠? 저두요ㅠ🤤 쿠키도 진짜 미친놈인 것,,,, *사장님께서 맛보라고 보내주신 건데 공익을 위해 올립니다,,🤤 🏷️ 1일","#부산, #허대빵, #asmr, #mukbang, #asmrmukbang, #먹방, #eatingshow, #モッパン, #디저트먹방, #두바이초코, #베이글산도, #쫀득빵, #부산빵지순례",hongji_yam_2025-07-29,2025-07-29,1999,instagram
hongji_yam_2025-07-29,1,"크기부터 미친 두바이 베이글산도에 쫀득빵💚 *사장님께서 맛보라고 보내주신 건데 공익을 위해 올립니다,,🤤 🏷️ 1일","#부산, #허대빵, #asmr, #mukbang, #asmrmukbang, #먹방, #eatingshow, #モッパン, #디저트먹방, #두바이초코, #베이글산도, #쫀득빵, #부산빵지순례",hongji_yam_2025-07-29,2025-07-29,7668,instagram
hongji_yam_2025-07-27,1,봄날엔 약과에 구름퐁 올려먹기🤩 식감 좋고 달달한데 맛있는 디저트 땡길 때 요로케 먹어보세요 호호! 아주 짱맛도리🤍 🏷️ 3일,"#봄날엔, #초코퐁당구름크림떡, #asmr, #mukbang, #asmrmukbang, #먹방, #eatingshow, #モッパン, #약과, #크림떡, #디저트먹방, #꿀조합, #구름크림떡, #여수언니",hongji_yam_2025-07-27,2025-07-27,1834,instagram
hongji_yam_2025-07-26,1,남자친구 손맛 가득한 집밥!🏠🍱 4일,"#asmr, #mukbang, #asmrmukbang, #먹방, #eatingshow, #モッパン, #미역국, #오이소박이, #부추겉절이, #스팸, #도시락, #집밥, #homefood, #koreanfood",hongji_yam_2025-07-26,2025-07-26,3106,instagram
hongji_yam_2025-07-25,16,쿨리쉬 꿀조합 4가지 낋여왔어요😎 빵순이라 긍가 제 원픽은 단팥빵 조합! 쿨리쉬가 고냥 부드러움만 있는 게 아니라 샤베트같은 사각사각한 식감도 있어서 빵이랑 같이 먹었더니 더 맛있더라구요?! 여러분은 어떤 조합이 제일 맛있어 보이나요~?💙 🏷️ 5일,"#광고, #롯데, #쿨리쉬, #asmr, #mukbang, #asmrmukbang, #eatingshow, #koreanfood, #モッパン, #아이스크림, #coolish, #설레임, #단팥빵, #꼬깔콘, #크림브륄레",hongji_yam_2025-07-25,2025-07-25,1850,instagram
hongji_yam_2025-07-24,1,두친자가 두바이모찌뿌요 안 먹으면 유죄💦 🏷️ دبي 6일,"#크리미, #두바이모찌뿌요, #asmr, #mukbang, #asmrmukbang, #먹방, #eatingshow, #モッパン, #두바이초콜릿, #두바이초코, #dubaichocolate, #디저트먹방, #모찌뿌요, #CokelatDubai, #شوكولاتة",hongji_yam_2025-07-24,2025-07-24,3077,instagram
