POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
o.haru____2025-07-31,1,틈새오모리김치찌개라면&뚱꼬마김밥 Kimchi ramen & Mini gimbap 15시간,"#eatingshow, #mukbang, #asmreating, #koreanmukbang, #김밥, #라면, #틈새오모리김치찌개, #먹방, #라면먹방, #야식, #다이어트",o.haru____2025-07-31,2025-07-31,4711,instagram
o.haru____2025-07-29,8,뿌링명랑핫도그 Bburinkle Korean Corn Dog 1.명랑핫도그를 준비한다. 2.바른미각 뿌링클 시즈닝을 뿌린다. 3.요거트 소스와 함께 맛있게 먹는다:)💛 1일,"#eatingshow, #corndog, #koreanfood, #뿌링클, #명랑핫도그, #꿀조합, #asmrfood, #mukbang",o.haru____2025-07-29,2025-07-29,8582,instagram
o.haru____2025-07-28,13,찐찐찐 곱도리탕 맛집 2일,"#계근상, #광고, #한우곱도리탕, #곱도리탕, #꽃도리탕, #새도리탕, #계근상닭도리탕, #eatingshow, #mukbang, #koreanmukbang, #spicyfood, #야식, #대창",o.haru____2025-07-28,2025-07-28,6438,instagram
o.haru____2025-07-25,1,두바이 초코(?) Chocolates with Dubai Spread 5일,"#eatingshow, #mukbang, #dubaichocolate, #eatingsounds, #dessert, #두바이초코, #초코, #먹방, #두바이스프레드, #피스타치오",o.haru____2025-07-25,2025-07-25,8681,instagram
o.haru____2025-07-23,43,"화채에 하이볼 추가 Hwachae & IGIN 오늘은 화채에 아이긴 신상 상콤토닉!하이볼! 시원달달 수박화채에 상콤한 사과+청포도하이볼이라 청량감 미쳤구 진짜 댑악 잘어울려요!!!!!!!🍎💚 @@@여름 휴가에 같이 만들어 먹을 칭구불러~~ *지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다. 임신 중 음주는 기형아 출생 위험을 높입니다. 1주","#아이긴, #광고, #아이긴상콤토닉, #화채만들기, #하이볼추천, #화채, #신상, #mukbang, #fruit, #highball, #koreanfood, #eatingshow, #eatingsounds, #BTSJin, #Jin",o.haru____2025-07-23,2025-07-23,3076,instagram
o.haru____2025-07-22,1,마라불닭 치품송 Cheese-stuffed mushrooms with spicy Mala buldak sauce ❤️‍🔥 1주,"#치품송, #버섯, #먹방, #mukbang, #마라, #불닭소스, #eatingshow, #eatingsounds, #koreanmukbang, #spicymushroom",o.haru____2025-07-22,2025-07-22,1.9만,instagram
o.haru____2025-07-19,2,소금빵 크림브륄레 1.소금빵을 반으로 가른다. 2.설레임쿨리쉬를 넣는다. 3.설탕을 뿌린다. 4.토치로 지진다. 5.맛있게 먹자~^^ 찐한 바닐라 아이스크림인데 아삭아삭 샤베트 같은 질감이라 소금빵 위에 크림브륄레 했더니 너무 잘어울려여!!!!!💙 1주,"#설레임쿨리쉬, #광고, #소금빵, #크림브륄레, #아이스크림, #설레임, #꿀조합, #바닐라아이스크림, #디저트, #간식만들기, #dessert, #homecooking, #asmr, #saltbread",o.haru____2025-07-19,2025-07-19,1.4만,instagram
o.haru____2025-07-19,1,보배반점 크림짬뽕 creamy jjamppong 1주,"#보배반점, #크림짬뽕, #먹방, #eatingshow, #koreanfood, #eatingsounds, #koreanmukbang, #creamypasta, #asmreating",o.haru____2025-07-19,2025-07-19,1.5만,instagram
o.haru____2025-07-16,1,"초초간단 살얼음 가득 냉모밀 밀키트에 연어 Salmon and Cold noodles Mukbang 하용!! 올여름 쟁여두기 딱 좋은 올인원 냉메밀소바!🤎 여러분 저 냉모밀 킬러인데요(?) 희석 없이 살얼음 그대로 먹을 수 있어 좋고 초초간단이라 좋고 메밀의 고소한 풍미에 육수 진해서 좋고 2인분에 9,480원이라 가성비 좋고 살도 안 쪄(?)서 좋고.. 쿠팡, 컬리, 네이버 면사랑 몰에서 판매 중이니 쟁이자요!!😽 2주","#광고, #면사랑, #면사랑메밀소바, #메밀소바밀키트, #프리미엄메밀면, #면사랑메밀장국, #mukbang, #coldnoodles, #eatingsounds, #냉모밀, #연어, #먹방",o.haru____2025-07-16,2025-07-16,6299,instagram
o.haru____2025-07-16,1,"찹쌀꽈배기,치즈볼,찹쌀도너츠.통치즈핫도그!Sweet Rice Doughnut 💛 2주","#mukbang, #eatingshow, #asmreating, #koreanmukbang, #찹쌀도너츠, #치즈볼, #꽈배기, #핫도그, #치즈, #노랑고래, #먹방",o.haru____2025-07-16,2025-07-16,5.5만,instagram
o.haru____2025-07-16,1,세븐일레븐 X 이정후 콜라보 신상!!!!떴다✨ 하요 여러분!!! 오늘은 세븐일레븐에서 이정후 선수랑 콜라보한 이정후 정식 먹어봤는데요!🙀 ✨더블클래식버거 ✨함박스테이크김밥 ✨포크바베큐 플래터 도시락까지! 이정후 랜덤씰 51종까지!!❤️‍🔥 씰 모으는 재미까지 쏠쏠~!! 거기다 제품 구매 후 세븐일레븐 어플에서 꽝 없는 룰렛 이벤트까지 !! @7elevenkorea @@@이정후 랜덤씰 같이 모으자💚♥️ 수정됨 · 2주,"#광고, #세븐일레븐, #세븐일레븐이정후, #세븐일레븐신상, #세븐신상, #편의점신상, #이정후, #편의점버거, #편의점도시락, #편의점김밥, #야구, #Mukbang, #koreanfood, #먹방",o.haru____2025-07-16,2025-07-16,2831,instagram
o.haru____2025-07-13,1,와플에 6가지맛 젤라또 얹어먹기🍨Gelato Nutella Waffle 일어나자마자 젤라또 와플이 먹고싶어서 와플 따로 젤라또 따로 시켜서 얹어먹었어요!!!!💛 거기에 집에 있던 누텔라도! 제가 딱 원했던 바삭쫄깃 와플에 젤라또 맛없없🙀 수정됨 · 2주,"#eatingshow, #mukbang, #asmreating, #koreanmukbang, #dessert, #icecream, #gelato, #젤라또, #와플, #누텔라, #먹방",o.haru____2025-07-13,2025-07-13,1.3만,instagram
o.haru____2025-07-12,1,"꽝 없는 BBQ 행운권 이벤트🎁 @참여하쟝~~ FC 바르셀로나 서울 매치 직관 마지막 기회!!! 경기까지 남은 기간은 3주, 남은 티켓은 BBQ뿐!!! BBQ에서 창사 30주년 고객 감사이벤트로, FC바르셀로나를 서울에서 볼 수 있게 FC서울과의 경기를 준비했는데요! 7/25까지 BBQ 앱으로 치킨 주문 시, ✔️서울 직관 티켓부터 ⚽ ✔️황올 반마리🍗 ✔️랜덤치즈볼 10알🧀 ✔️모둠 감자튀김🍟 ✔️BBQ소떡🍡 ✔️레몬보이245ml 쿠폰까지! 🥤 BBQ앱으로 치킨 먹구 이벤트 참여 고!! 같이 직관 가즈앙⚽️ 수정됨 · 2주","#광고, #BBQ, #비비큐, #669, #황금올리브, #야식, #치킨먹방, #치킨, #황올, #랜덤치즈볼, #치즈볼, #치킨추천, #야식추천, #FC바르셀로나, #바르사, #Mukbang, #chicken, #먹방",o.haru____2025-07-12,2025-07-12,1.3만,instagram
o.haru____2025-07-10,1,"햄복한 햄버거 먹는 순간,,💚FRANK BURGER Mukbang 오랭만에 요 구도로 찍어봤는데 어뚠가요🫣 버거가 너무 많아서 신메뉴 위주로 먹어봤어여! 이 중 제 원픽은 고기 가득이였던 마지막 JG버거,,❤️‍🔥 @frankburger_official_ 2주","#koreanmukbang, #mukbang, #koreanfood, #hamburger, #eatingshows, #해피프랭크, #프랭크버거5주년, #프랭크백일장, #햄버거, #먹방",o.haru____2025-07-10,2025-07-10,9340,instagram
o.haru____2025-07-09,23,"반값다 피자헛!! 더블 쉬림프 크런치 pizza🍤🍕 여러분 피자헛에서 일주일 내내 혜택 폭발!! 이벤트 중!!! ✨평일엔 포장 주문시 50%할인 ✔️배달 주문시 40%할인 ✔️매달 반값 행사하는 피자가 바뀐대요!! 🍕7월 달 반값 메뉴는 -> 더블 쉬림프 크런치 피자!🍕 (L 36,900원을 18,450원에,,,🙀) ✨주말엔 1+1 혜택 ✔️프리미엄 피자(L사이즈) 포장 주문시 ✔️L사이즈 피자 한 판 더!!! 🍕 첫 피자는 더블 쉬림프 크런치❕ 🍕두번 째는 콤비네이션 피자로 추천해욧💕❕ 3주","#광고, #피자헛, #반값다피자헛, #더블쉬림프크런치, #피자맛집, #피자추천, #더블쉬림프크런치피자, #쉬림프피자, #피자헛, #pizzahut, #pizzahutkorea, #피자, #mukbang, #eatingshow",o.haru____2025-07-09,2025-07-09,9123,instagram
o.haru____2025-07-07,19,"아이스크림 한 판 먹을 수 있는 이유?..💟 ㅎㅔ헤 여러분 “모두닥” 앱에서 직장인, 대학생(휴학생, 졸업생도 가능!)까지 최저가로!! 충치치료,미백,교정,라미네이트,임플란트 상담부터 예약까지 한번에 가능하니 프로필 링크로❕❕들오왕❕💟 ※최저가는 모두닥 대학생/직장인 할인몰에 입점한 병의원에 한정함 @modoodoc 3주","#광고, #아이스크림, #루피아이스크림, #충치치료, #치아교정, #치아미백, #라미네이트, #임플란트, #모두닥, #Mukbang",o.haru____2025-07-07,2025-07-07,8462,instagram
