POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
toctocsia_2025-07-30,26,(광고) 요즘 SNS에서 엄청 핫한 치킨!! (60계치킨 쯔란윙봉) 달달 짭짤 간장맛 베이스에 은은한 쯔란맛이 은근히 중독되는 치킨! 이국적인맛 좋아하시면 완전 추천👍 1일,"#60계치킨, #쯔란윙봉, #치킨추천",toctocsia_2025-07-30,2025-07-30,2198,instagram
toctocsia_2025-07-29,1,요아정 신상 그릭복숭아🍑 먹어보기! 2일,"#톡톡시아, #요아정, #그릭통통복숭아, #먹방, #mukbang",toctocsia_2025-07-29,2025-07-29,7024,instagram
toctocsia_2025-07-25,1,우유가 왕창 들어간 아이스크림!! 쫀득함이 진짜 젤라또 급ㄷㄷ(feat 이모지 먹방) 구매처 GS25 편의점 현재 2+1 행사 진행중 6일,"#광고, #서울우유, #서울우유아이스크림바, #편의점신상",toctocsia_2025-07-25,2025-07-25,9483,instagram
toctocsia_2025-07-24,16,소금빵+티코 이게 유행이라구요??😭 1주,"#toctocsia, #톡톡시아, #소금빵, #소금빵티코, #먹스타그램",toctocsia_2025-07-24,2025-07-24,8409,instagram
toctocsia_2025-07-23,15,과일이 한가득 폭탄ㄷㄷ 레인보우 과일빙수!! 1주,"#toctocsia, #톡톡시아, #mukbang, #금커피별빙수, #레인보우과일빙수, #먹스타그램, #과일빙수",toctocsia_2025-07-23,2025-07-23,7539,instagram
toctocsia_2025-07-16,1,요즘 편의점에서 파는 식감이 장난 아닌 아이스 파인애플...ㄷㄷ 2주,"#toctocsia, #톡톡시아, #mukbang, #먹방, #먹스타그램, #편의점신상, #gs25, #골든아이스파인애플",toctocsia_2025-07-16,2025-07-16,8826,instagram
toctocsia_2025-07-11,1,"(광고) 역대급 청량감!! 신메뉴 등장!! 텐퍼센트커피 신메뉴 이모지 먹방!! 텐퍼센트커피 수박주스 비치볼 세트 상품 안내! - 판매 기간 : 7월 7일 (월) ~ 소진 시까지 ※공식 앱 또는 매장에서 구매 가능! - 수박주스 3잔 + 버터밀크스콘 + 비치볼 - 수박주스 + 아이스 텀블러 + 비치볼 - 수박주스 + 장우산 + 비치볼 - 버터밀크스콘 : 기분 좋은 버터향이 입안 가득 퍼지는 디저트 - 아이스 텀블러 : 530ml 넉넉한 용량, 빨대가 포함돼 간편하고 이중 구조로 결로 현상이 없는 실용적인 아이스 텀블러! - 장우산 : 텐퍼센트커피만의 분위기를 담아 예쁘고 튼튼한 장우산 2주","#텐퍼센트커피, #수박주스, #포도퐁당에이드, #여름음료, #여름디저트, #이모지먹방",toctocsia_2025-07-11,2025-07-11,7395,instagram
toctocsia_2025-07-10,1,요아정 여름한정 수박화채 먹어보기!! hwachae mukbang!! 3주,"#toctocsia, #톡톡시아, #mukbang, #먹방, #먹스타그램, #요아정, #요아정수박화채, #수박화채, #화채, #요아정, #수박화채의정석, #여름디저트, #수박",toctocsia_2025-07-10,2025-07-10,2.8만,instagram
toctocsia_2025-07-08,1,이걸 이제야 먹어봅니다!! 초코퐁당 시리즈 먹방! 3주,"#toctocsia, #톡톡시아, #먹방, #mukbang, #초코퐁당요거꿀떡, #초코퐁당, #먹스타그램, #이모지먹방",toctocsia_2025-07-08,2025-07-08,2.1만,instagram
toctocsia_2025-07-04,3,(광고) 달콤왕가탕후루에서 이제 브륄레와 판나코타를 만날 수 있다고?? 왕가탕후루 홍대 1호점에서 먼저 리뉴얼 되어 브륄레와 판나코타를 만나보실 수 있습니다👍 신제품 브뤨레 15종 판나코타 15종과 함께 탕후루는 12종도 그대로 드실 수 있습니다😊 3주,"#왕가탕후루, #왕가브륄레, #크림브륄레, #브륄레, #신상디져트, #디저트, #판나코타",toctocsia_2025-07-04,2025-07-04,1.1만,instagram
