VIDEO_ID,KEYWORD_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
홍지_hongji_20250801,30,(광고)남자친구표 크림새우에 찰떡인 마키키와인🍷#asmr #mukbang #asmrmukbang #eatingshow #モッパン #크림새우 #화이트와인 #새우튀김 #편의점신상,,홍지 HONGJI,2025-08-01,PT1M18S,5,1,0,youtube
홍지_hongji_20250731,1,가래떡떡볶이 + 대왕튀김🩷 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #モッパン #tteokbokki #떡볶이 #밀키트 #청주맛집 #가래떡,,홍지 HONGJI,2025-07-31,PT1M27S,1566,30,6,youtube
홍지_hongji_20250730,26,(광고) 🦀빠작한 빠다크랩 왕창 들어간 치킨! #asmr #mukbang #asmrmukbang #eatingshow #koreanfood #モッパン #chicken #치킨추천,,홍지 HONGJI,2025-07-30,PT1M17S,1059,34,6,youtube
홍지_hongji_20250729,1,두바이떠먹치케는 처음 보시죠? #asmr #mukbang #asmrmukbang #먹방 #eatingshow #モッパン #두바이초코 #베이글산도 #쫀득빵 #부산빵지순례 #허대빵,,홍지 HONGJI,2025-07-29,PT1M15S,1726,33,8,youtube
홍지_hongji_20250729,1,두바이 베이글산도에 쫀득빵💚 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #モッパン #두바이초코 #베이글산도 #쫀득빵 #부산빵지순례 #허대빵,,홍지 HONGJI,2025-07-29,PT1M12S,3016,75,3,youtube
홍지_hongji_20250727,1,남자친구 손맛 가득한 집밥🏠 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #モッパン #미역국 #집밥 #homefood #koreanfood,,홍지 HONGJI,2025-07-27,PT1M11S,1379,36,4,youtube
홍지_hongji_20250726,19,(광고)쿨리쉬 꿀조합 4가지 낋여왔어요😎 #asmr #mukbang #asmrmukbang #eatingshow #koreanfood #モッパン #아이스크림 #coolish,,홍지 HONGJI,2025-07-26,PT1M8S,1630,37,1,youtube
홍지_hongji_20250725,1,두친자가 두바이모찌뿌요 안 먹으면 유죄💦 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #モッパン #두바이초콜릿 #디저트먹방 #모찌 #빵지순례,,홍지 HONGJI,2025-07-25,PT1M8S,1893,33,2,youtube
홍지_hongji_20250723,1,(광고)깨먹는 두바이초코 티라미수는 처음 볼 걸요?!😎 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #モッパン #티라미수 #두바이초콜릿,,홍지 HONGJI,2025-07-23,PT1M20S,1597,32,1,youtube
홍지_hongji_20250722,1,남자친구표 간장국수+치즈감자전 🍜🧀🥔#asmr #mukbang #asmrmukbang #먹방 #eatingshow #モッパン #간장국수 #치즈감자전 #집밥 #homefood,,홍지 HONGJI,2025-07-22,PT1M16S,1789,26,2,youtube
홍지_hongji_20250721,1,(광고) 카스테라 맛있게 먹는 법😎 #asmr #mukbang #asmrmukbang #eatingshow #koreanfood #モッパン #대왕카스테라 #빵먹방 #수박주스,,홍지 HONGJI,2025-07-21,PT1M18S,1456,43,3,youtube
홍지_hongji_20250720,1,남자친구표 대왕수제버거+감자튀김🍔🍟 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #モッパン #hambuger #frenchfries #수제버거,,홍지 HONGJI,2025-07-20,PT1M20S,969,41,9,youtube
홍지_hongji_20250719,1,티코소금빵을 아세요? #asmr #mukbang #asmrmukbang #먹방 #eatingshow #koreanfood #モッパン #꿀조합 #塩パン #아이스크림 #빵먹방,,홍지 HONGJI,2025-07-19,PT1M6S,3163,66,6,youtube
홍지_hongji_20250719,1,고추장등갈비 만드는 영상 낋여왔어요🤩#asmr #mukbang #asmrmukbang #먹방 #eatingshow #koreanfood #モッパン #레시피 #homefood,,홍지 HONGJI,2025-07-19,PT1M3S,2168,54,4,youtube
홍지_hongji_20250718,26,(광고)혹시 쯔란.. 좋아하세요..? 왜케 마쉿서..? #60계치킨 #쯔란윙봉 #asmr #mukbang #asmrmukbang #eatingshow #chicken #モッパン,,홍지 HONGJI,2025-07-18,PT1M25S,546,15,3,youtube
홍지_hongji_20250717,1,남자친구의 첫 고추장등갈비! 말 안 되는 비주얼🤤#asmr #mukbang #asmrmukbang #먹방 #eatingshow #koreanfood #モッパン #야식 #집밥,,홍지 HONGJI,2025-07-17,PT1M20S,1992,33,8,youtube
홍지_hongji_20250716,1,(광고)두바이초코 먹다 수술 커밍아웃 해버리기💦#ASMR #먹방asmr #asmrmukbang #モッパン #eatingshow #dubaichocolate #두바이쫀득쿠키,,홍지 HONGJI,2025-07-16,PT1M13S,3311,63,9,youtube
홍지_hongji_20250715,1,(광고)세븐일레븐에 이정후정식이 나왔다는 소식!🔊 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #편의점도시락 #편의점신상 #신상리뷰 #モッパン,,홍지 HONGJI,2025-07-15,PT1M13S,1637,26,5,youtube
홍지_hongji_20250714,14,(광고)1분링으로 만든 김치말이냉국수 + 만두🤤#asmr #mukbang #asmrmukbang #eatingshow #1분링 #김치말이냉국수 #국수 #만두 #고기만두 #코인육수,,홍지 HONGJI,2025-07-14,PT1M28S,1842,27,3,youtube
홍지_hongji_20250713,1,랜덤 과일모찌 만들어주는 남자친구🍓#asmr #mukbang #asmrmukbang #먹방 #eatingshow #koreanfood #찹쌀떡 #과일모찌 #mochi #モッパン,,홍지 HONGJI,2025-07-13,PT1M16S,2125,53,5,youtube
홍지_hongji_20250712,1,남자친구의 5첩반상🤤 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #김치찌개 #삼겹살 #koreanfood #homefood #집밥 #콩나물,,홍지 HONGJI,2025-07-12,PT1M30S,1831,35,8,youtube
홍지_hongji_20250711,1,(광고)스텔라에 이렇게 꾸덕한 치즈폭탄 크림떡볶이가 있었어..?#asmr #mukbang #asmrmukbang #먹방 #tteokbokki #chicken #モッパン #닭강정,,홍지 HONGJI,2025-07-11,PT1M30S,2118,47,4,youtube
홍지_hongji_20250710,16,초코크림 아니고 고운팥 가득 찐빵 맛집#아라찐빵 #asmr #mukbang #asmrmukbang #eatingshow #dessert #빵지순례 #제주빵지순례 #제주도빵집 #찐빵,,홍지 HONGJI,2025-07-10,PT1M27S,1793,26,4,youtube
홍지_hongji_20250709,1,드디어 남자친구가 간장게장까지 접수🦀🩷#asmr #mukbang #asmrmukbang #먹방 #eatingshowmukbang #koreanfood #homefood #집밥,,홍지 HONGJI,2025-07-09,PT1M31S,1817,40,2,youtube
홍지_hongji_20250706,1,제주도 가서 딱새우회 안 먹었음 다시 가세요🦐#asmr #mukbang #asmrmukbang #먹방 #eatingshow #rawshrimp #shrimp #생새우 #딱새우회,,홍지 HONGJI,2025-07-06,PT1M13S,1485,31,3,youtube
홍지_hongji_20250705,1,너무 궁금했던 골드망고 찹쌀떡🤤🥭 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #mochi #찹쌀떡 #과일모찌 #딸기모찌 #성수동카페,,홍지 HONGJI,2025-07-05,PT1M31S,3012,51,9,youtube
홍지_hongji_20250704,1,"(광고) 맘스터치 신메뉴 풍미가 진짜 댑악이잖아,,?#와우스모크디럭스 #asmr #mukbang #asmrmukbang #먹방 #chicken #hambuger #치즈볼",,홍지 HONGJI,2025-07-04,PT1M29S,980,22,7,youtube
홍지_hongji_20250703,1,(광고) 지금 BBQ치킨 앱으로 주문해야 하는 이유🌟 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #chicken #비비큐 #669 #야식,,홍지 HONGJI,2025-07-03,PT1M29S,1662,29,5,youtube
홍지_hongji_20250702,1,나만 알고 싶은데 이미 유명해진 아이스크림🍦 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #icecream #아이스크림먹방 #쫀득 #그릭요거트,,홍지 HONGJI,2025-07-02,PT1M30S,1717,26,4,youtube
홍지_hongji_20250701,1,두바이 벽돌케이크라니 미쳤다🫢 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert #빵지순례 #두바이초콜릿 #인천빵집 #벽돌케이크,,홍지 HONGJI,2025-07-01,PT1M26S,2391,22,4,youtube
홍지_hongji_20250630,1,두바이 모찌뿌요는 처음 볼 걸요?#asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert #빵지순례 #부산빵지순례 #전포동카페 #두바이초콜릿,,홍지 HONGJI,2025-06-30,PT1M27S,2909,53,6,youtube
홍지_hongji_20250629,1,아누누님 동결건조 파삭 드디어 먹다! #asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert #파삭 #동결건조 #팝업스토어 #간식,,홍지 HONGJI,2025-06-29,PT1M30S,1992,32,6,youtube
홍지_hongji_20250628,1,3년째 단골인 강릉소금빵집이 서울에..! #asmr #mukbang #asmrmukbang #먹방 #eatingshow #dessert #디저트 #빵지순례 #saltbread,,홍지 HONGJI,2025-06-28,PT1M58S,1769,28,8,youtube
홍지_hongji_20250627,1,간장새우장에 이어 양념새우장까지 만들어주는 남자친구 짱!🦐 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #shrimp #생새우 #새우 #집밥,,홍지 HONGJI,2025-06-27,PT1M29S,1838,44,5,youtube
홍지_hongji_20250626,1,케이크를 위해 왕복 4시간 가능?! #리벌스 #빵더랜드 #asmr #mukbang #asmrmukbang #먹방 #eatingshow #빵지순례 #케이크 #케이크맛집 #케이크먹방,,홍지 HONGJI,2025-06-26,PT1M30S,1861,36,4,youtube
홍지_hongji_20250625,1,(광고)육즙 가득! 통실한 통새우만두+비빔면🦐#asmr #asmrmukbang #먹방 #비비고만두 #비비고새우만두 #얇은피만두 #고기만두 #bibigo #bibigomando,,홍지 HONGJI,2025-06-25,PT1M30S,1494,23,2,youtube
