COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
톡톡시아_toctocsia_20250729_c1,톡톡시아_toctocsia_20250729,@두유임미닷,와예쁜 언늬 나2빠인뎅 여기 고정맛집 아니야??,2025-07-29
톡톡시아_toctocsia_20250729_c2,톡톡시아_toctocsia_20250729,@빛솔라-e2g,언닝 근데 복숭아 차가워용??,2025-08-01
톡톡시아_toctocsia_20250729_c3,톡톡시아_toctocsia_20250729,@귤껍데기-n2h,그릭모모가 딱복이라니...,2025-07-31
톡톡시아_toctocsia_20250729_c4,톡톡시아_toctocsia_20250729,@cloudy_yeeun39,역시 뭘 좀 아시네요 물복파!!!!!!!!!,2025-07-31
톡톡시아_toctocsia_20250729_c5,톡톡시아_toctocsia_20250729,@도토리는못참쥐,"언니대구에샤브올대이뷔페있는뎀
가서먹방찍고왔는데맞이쪙
후식:아이스크림,빙수,초코분수등등
짱맛있어



+남친도같는데회전회오리침ㅋㅋㅋㅋㅋㅋㅋㅋ",2025-07-31
톡톡시아_toctocsia_20250729_c6,톡톡시아_toctocsia_20250729,@1201-b5p,맛있겠다 😊,2025-07-30
톡톡시아_toctocsia_20250729_c7,톡톡시아_toctocsia_20250729,@AndyMoon-v6y,어왕 진짜 마싯겠다ㅜㅜ,2025-07-30
톡톡시아_toctocsia_20250729_c8,톡톡시아_toctocsia_20250729,@Hoda-d6v4i,Yooo I don't understand ur language but i still like ur vidios❤❤❤❤,2025-07-30
톡톡시아_toctocsia_20250729_c9,톡톡시아_toctocsia_20250729,@Wonyoung-LIZ__2,맛있겠다 😢😢,2025-07-30
톡톡시아_toctocsia_20250729_c10,톡톡시아_toctocsia_20250729,@민서인데용,시아 언니..나두 한입만. ...ㅠㅠ😭,2025-07-29
톡톡시아_toctocsia_20250729_c11,톡톡시아_toctocsia_20250729,@inkyung1282,너무예쁘세요😊,2025-07-29
톡톡시아_toctocsia_20250729_c12,톡톡시아_toctocsia_20250729,@9번윤민서,맜있겠다.,2025-07-29
톡톡시아_toctocsia_20250729_c13,톡톡시아_toctocsia_20250729,@eykim0321,진짜 폭풍 성장 했단❤❤,2025-07-29
톡톡시아_toctocsia_20250729_c14,톡톡시아_toctocsia_20250729,@dh_love_me,다음엔 까르보 불닭 납작 당면도 해쥬새요,2025-07-29
톡톡시아_toctocsia_20250729_c15,톡톡시아_toctocsia_20250729,@최지우-j6l,오늘도 재미난영상 감사해요!!!! 예전부터봐왔는데 피부가진짜 넘하얗구좋으신것같은데 비결이잇나요오?,2025-07-29
톡톡시아_toctocsia_20250729_c16,톡톡시아_toctocsia_20250729,@윤주김-kim0328,와 진짜 맛있어보여요 ㅠㅠㅠㅠㅠ 역시 시아 언니 ㅠㅠㅠ,2025-07-29
톡톡시아_toctocsia_20250729_c17,톡톡시아_toctocsia_20250729,@라떼-y4h-d4f,소리가 너무좋아요,2025-07-29
톡톡시아_toctocsia_20250729_c18,톡톡시아_toctocsia_20250729,@프리티쭈,넘 맛있게먹는다ㅏㅏ❤ 나도 해 먹어봐야징❤😂,2025-07-29
톡톡시아_toctocsia_20250729_c19,톡톡시아_toctocsia_20250729,@DhaniRama-c5y,🎉,2025-07-29
톡톡시아_toctocsia_20250729_c20,톡톡시아_toctocsia_20250729,@서우일상놀이터,11분전 행운이다!!,2025-07-29
톡톡시아_toctocsia_20250729_c21,톡톡시아_toctocsia_20250729,@뽀삐-r9g,고정가능해여?,2025-07-29
톡톡시아_toctocsia_20250729_c22,톡톡시아_toctocsia_20250729,@동그라미-z3r,언니 넘 예뻐요❤,2025-07-29
톡톡시아_toctocsia_20250729_c23,톡톡시아_toctocsia_20250729,@U_me1.1,헐 너무 맛있겠네요.. 전 완전 딱복파라서 한번 먹어봐야겠어요!,2025-07-29
톡톡시아_toctocsia_20250729_c24,톡톡시아_toctocsia_20250729,@user-ge2rn9qv7l,진짜 빨리왔당,2025-07-29
톡톡시아_toctocsia_20250729_c25,톡톡시아_toctocsia_20250729,@김성대-w2q,4분전!,2025-07-29
톡톡시아_toctocsia_20250729_c26,톡톡시아_toctocsia_20250729,@elin0831hanbyulpark,4분전 ㅜㅜㅜ❤❤,2025-07-29
톡톡시아_toctocsia_20250729_c27,톡톡시아_toctocsia_20250729,@2ndp361,와1빠!,2025-07-29
톡톡시아_toctocsia_20250729_c28,톡톡시아_toctocsia_20250729,@김재기-u7f,헐..진짜 맛있겠다..ㅠ,2025-07-29
톡톡시아_toctocsia_20250725_c1,톡톡시아_toctocsia_20250725,@toctocsia,"구매처
GS25 편의점 
현재 2+1 행사 진행중",2025-07-25
톡톡시아_toctocsia_20250725_c2,톡톡시아_toctocsia_20250725,@말랑-r1g,"분명 귀여운 소녀였는데 언제부턴가 예쁜 숙녀가되버렸어...시간은 너무빠르다 
피부 너무 부럽다",2025-08-01
톡톡시아_toctocsia_20250725_c3,톡톡시아_toctocsia_20250725,@라똥정,맛있겠다..,2025-08-01
톡톡시아_toctocsia_20250725_c4,톡톡시아_toctocsia_20250725,@이정화-e4v,❤️❤❤❤,2025-07-31
톡톡시아_toctocsia_20250725_c5,톡톡시아_toctocsia_20250725,@정연국-q7d,저 서울우유 초코바 먹어봤어요,2025-07-29
톡톡시아_toctocsia_20250725_c6,톡톡시아_toctocsia_20250725,@정다혜-h6c,초코우유 딸기우유,2025-07-29
톡톡시아_toctocsia_20250725_c7,톡톡시아_toctocsia_20250725,@바인키즈독채풀빌라,진짜맛있겠다 이거 저우유러버인데꼭 먹어봐야겠어요❤,2025-07-29
톡톡시아_toctocsia_20250725_c8,톡톡시아_toctocsia_20250725,@하요_ha,우앙,2025-07-29
톡톡시아_toctocsia_20250725_c9,톡톡시아_toctocsia_20250725,@Yibbnyi0456,^O^,2025-07-28
톡톡시아_toctocsia_20250725_c10,톡톡시아_toctocsia_20250725,@bjuritv,근데몃살이세요성인이신가,2025-07-28
톡톡시아_toctocsia_20250725_c11,톡톡시아_toctocsia_20250725,@hyukki2319,맛있겠다,2025-07-28
톡톡시아_toctocsia_20250725_c12,톡톡시아_toctocsia_20250725,@박정희-i9l4f,저 그거 Gs에서 초코바 먹어봤어요❤❤,2025-07-28
톡톡시아_toctocsia_20250725_c13,톡톡시아_toctocsia_20250725,@엄윤나-z5w,팬이에요❤❤ 맛있겠다❤❤,2025-07-28
톡톡시아_toctocsia_20250725_c14,톡톡시아_toctocsia_20250725,@이크_EK,"언니는 달달구리 많이 먹는데 왜 살 안쪄요….?
부러워요 !!!",2025-07-28
톡톡시아_toctocsia_20250725_c15,톡톡시아_toctocsia_20250725,@strawbarry_salt,마라탕 먹방 해주시면 안데영❤,2025-07-28
톡톡시아_toctocsia_20250725_c16,톡톡시아_toctocsia_20250725,@조인로-j1k,시아님운 몇살이에용?,2025-07-27
톡톡시아_toctocsia_20250725_c17,톡톡시아_toctocsia_20250725,@접습니다,"시아누나… 점점 하얘져! 

나도 언젠가 먹어볼 날이 있겠지 😢",2025-07-27
톡톡시아_toctocsia_20250725_c18,톡톡시아_toctocsia_20250725,@chocolate-m9x,구독 좋아요❤ 알림설정 했어요 너무 서울우유 식감 대박이고 지금 당장 먹고싶어 앞으로도 이런 영상 많이많이 올려주세용 천만까지 ㄱ,2025-07-27
톡톡시아_toctocsia_20250725_c19,톡톡시아_toctocsia_20250725,@희선한-d9t,언니 언니 피부는 왜 점점더 하얘져요? 너무 부러워요 진짜 피부가 완전 백옥처럼 곱다 고와,2025-07-27
톡톡시아_toctocsia_20250725_c20,톡톡시아_toctocsia_20250725,@kyungminkim3664,오랜만에 보는데 더 예쁘지셨어요!,2025-07-27
톡톡시아_toctocsia_20250725_c21,톡톡시아_toctocsia_20250725,@슈슈슈슈퍼모발,저거쫀득해서 롤업젤리싸먹으면 바삭하고쫀득함 ㅇㄱㄹㅇ,2025-07-27
톡톡시아_toctocsia_20250725_c22,톡톡시아_toctocsia_20250725,@cloudy_yeeun39,와씨초코맛겁나맛있겠다반드시쟁여야해저거,2025-07-27
톡톡시아_toctocsia_20250725_c23,톡톡시아_toctocsia_20250725,@ChunJiwon,라부부깡 해쥬세요,2025-07-27
톡톡시아_toctocsia_20250725_c24,톡톡시아_toctocsia_20250725,@우혁임-e5v,와ㅏ ASMR댕쩐다,2025-07-27
톡톡시아_toctocsia_20250725_c25,톡톡시아_toctocsia_20250725,@happyman23456,언니 아이스크림 초코쉘에 먹으면 맛있겠다❤,2025-07-27
톡톡시아_toctocsia_20250725_c26,톡톡시아_toctocsia_20250725,@조민근-o5b,초코우유맛초코쉘에발라서먹으면맛있겠다😊😊,2025-07-26
톡톡시아_toctocsia_20250725_c27,톡톡시아_toctocsia_20250725,@kimjihe3215,빠 ㄴㄴ.바,2025-07-26
톡톡시아_toctocsia_20250725_c28,톡톡시아_toctocsia_20250725,@진서-k2s,맛있겠다 ㅠㅠ,2025-07-26
톡톡시아_toctocsia_20250725_c29,톡톡시아_toctocsia_20250725,@josh_hong10,헉..저는 우유를 좋아하지만..장이 약해서 못먹내요..근데 탐나요 영상으로 대리만족 할께여,2025-07-26
톡톡시아_toctocsia_20250725_c30,톡톡시아_toctocsia_20250725,@집가고싶다_뤂,헐 너무 맛있겠다ㅠㅠㅠ,2025-07-26
톡톡시아_toctocsia_20250725_c31,톡톡시아_toctocsia_20250725,@케케끄롱,아니 운니 왜케 성숙해졌어😮😮😮,2025-07-26
톡톡시아_toctocsia_20250725_c32,톡톡시아_toctocsia_20250725,@수희맹-c7l,얼마예요?,2025-07-26
톡톡시아_toctocsia_20250725_c33,톡톡시아_toctocsia_20250725,@민트초쿄-g8x,맛있겠네요,2025-07-25
톡톡시아_toctocsia_20250725_c34,톡톡시아_toctocsia_20250725,@빵또르,저 오늘 생일인데 생일선물루 고정받구시퍼요오❤❤,2025-07-25
톡톡시아_toctocsia_20250725_c35,톡톡시아_toctocsia_20250725,@재현_쟁뽀,오아 지이이인짜 맛있겠댜 시아님은 언제봐도 성숙하고 예쁘네요오♡ 저 초코 덕후인데 함 먹어봐야겠네여♡,2025-07-25
톡톡시아_toctocsia_20250725_c36,톡톡시아_toctocsia_20250725,@호은채-u8q,헐,2025-07-25
톡톡시아_toctocsia_20250725_c37,톡톡시아_toctocsia_20250725,@성민안-u6s,제가 우유를좋아해요.꼭먹어볼게요,2025-07-25
톡톡시아_toctocsia_20250725_c38,톡톡시아_toctocsia_20250725,@쫀득쫀득콩떡아이스,어..? 뭐야 오늘 아무생각 없이 먹은 아이스크림이잖아😊,2025-07-25
톡톡시아_toctocsia_20250725_c39,톡톡시아_toctocsia_20250725,@영일김-u3o,맛있겠다,2025-07-25
톡톡시아_toctocsia_20250725_c40,톡톡시아_toctocsia_20250725,@하유_hy,전 우유덕후😍당장 사러가야 겟서요😚,2025-07-25
톡톡시아_toctocsia_20250725_c41,톡톡시아_toctocsia_20250725,@김동건-f8m,치아가 상당히 튼튼하네요...,2025-07-25
톡톡시아_toctocsia_20250725_c42,톡톡시아_toctocsia_20250725,@윤주김-kim0328,허억..... 한번 가볼게요! 초코맛..진짜 탐나네요 ㅋㅋㅋ,2025-07-25
톡톡시아_toctocsia_20250725_c43,톡톡시아_toctocsia_20250725,@kimvelytv3113,"빠삐꼬 35개 1박스 사놔서 다먹고 먹을게요~~ 우유스타일 
아이스크림 좋아하는데 ^^",2025-07-25
톡톡시아_toctocsia_20250725_c44,톡톡시아_toctocsia_20250725,@진리의현자_쉐밀KR,당장 가야겠군요,2025-07-25
톡톡시아_toctocsia_20250725_c45,톡톡시아_toctocsia_20250725,@Yibbnyi0456,언닝 맛있어?댓글 한번만 달아조..나 이제 중1방학인뎅 이제 곧 중2 올라가❤❤ㅠㅠ,2025-07-25
톡톡시아_toctocsia_20250725_c46,톡톡시아_toctocsia_20250725,@Totori6010,겟 하도록 하겠습니다😊,2025-07-25
톡톡시아_toctocsia_20250725_c47,톡톡시아_toctocsia_20250725,@Eee_sel,우ㅗ아 19개 귀하다,2025-07-25
톡톡시아_toctocsia_20250725_c48,톡톡시아_toctocsia_20250725,@mami-j4k,와 궁금하네요 사먹어볼께요!!,2025-07-25
톡톡시아_toctocsia_20250725_c49,톡톡시아_toctocsia_20250725,@바나나-z6w,맛있겠다❤,2025-07-25
톡톡시아_toctocsia_20250725_c50,톡톡시아_toctocsia_20250725,@딸고,맛있겠어용❤,2025-07-25
톡톡시아_toctocsia_20250725_c51,톡톡시아_toctocsia_20250725,@seollim-mozzi,헉 2빠ㅜㅜㅜ다음에. 사먹을게영!,2025-07-25
톡톡시아_toctocsia_20250724_c1,톡톡시아_toctocsia_20250724,@유리홍-v4i,❤️,2025-08-01
톡톡시아_toctocsia_20250724_c2,톡톡시아_toctocsia_20250724,@지우-b6l3z,녹차맛도 함 해보세요 맛있어여❤❤,2025-07-31
톡톡시아_toctocsia_20250724_c3,톡톡시아_toctocsia_20250724,@이소영-t9z,소금빵에 아이스크림 설레임 넣어먹으면 맛있어요❤,2025-07-30
톡톡시아_toctocsia_20250724_c4,톡톡시아_toctocsia_20250724,@포빵떡,"티코의🍫달달함을 소금빵이🥐잡아줘서
엄청 맛있을것 같아요…❤️ 츄릅",2025-07-28
