COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
ohharu오하루_20250730_c1,ohharu오하루_20250730,@재현_쟁뽀,밤에 봐버렸드아......,2025-07-31
ohharu오하루_20250730_c2,ohharu오하루_20250730,@현자쌤_쉐밀내꼬,자 이제 방학했으니 매일 챙겨보겠숩니다😎😎😎❤❤,2025-07-31
ohharu오하루_20250730_c3,ohharu오하루_20250730,@mingw-y8u,"엄청 매워보이는데 완전 기엽게 잘 드시네여,,,,😍😋😋",2025-07-31
ohharu오하루_20250730_c4,ohharu오하루_20250730,@endranathaguptha,Apakah orang2 asia timur tidak panas dalam kalau makan mie terus?,2025-07-31
ohharu오하루_20250730_c5,ohharu오하루_20250730,@Iq._.e-7,아 소리 미쳤어요 ㅠㅠㅠㅠㅠㅠ,2025-07-31
ohharu오하루_20250730_c6,ohharu오하루_20250730,@룰라탈-q3l,라면+김밥은 맛없없이지,2025-07-30
ohharu오하루_20250729_c1,ohharu오하루_20250729,@SqqShdii,어떻게 이런 생각을 하지?진짜 먹잘알이네ㅎㅎ,2025-07-30
ohharu오하루_20250729_c2,ohharu오하루_20250729,@현자쌤_쉐밀내꼬,소리 ㄹㅈㄷ....❤ 역대급 조합에 역대급 소리에욘!!!❤❤❤,2025-07-30
ohharu오하루_20250729_c3,ohharu오하루_20250729,@와사비맛땅콩-d4o,먹는것고 먹는것데 진짜 너무 고우세요,2025-07-30
ohharu오하루_20250729_c4,ohharu오하루_20250729,@양양-n8o,진짜 ㄹㅈㄷ다…맛잘알 뭐야…,2025-07-30
ohharu오하루_20250729_c5,ohharu오하루_20250729,@jghh-p4y,이 뿌링가루 뿌링클이랑 비슷한가용?,2025-07-29
ohharu오하루_20250729_c6,ohharu오하루_20250729,@sarah-g8i1z,와 이번거 진심 ㄹㅈㄷ다 명랑에 뿌링이라니 완전 맛없없이자나 !! 최애들만 골라서 먹었당 먹고싶어ㅓ 🤤💛,2025-07-29
ohharu오하루_20250729_c7,ohharu오하루_20250729,@skshshddj,너무 예쁘세요 진짜,2025-07-29
ohharu오하루_20250729_c8,ohharu오하루_20250729,@갈릭디핑소스-i1v,큐앤에이 해주세요ㅜㅜ,2025-07-29
ohharu오하루_20250729_c9,ohharu오하루_20250729,@half_moon1,이분은 제발 커플유튜버로 전향 안했으면 좋겠다ㅜ 계속 이런 소소한 영상만 올려주세요,2025-07-29
ohharu오하루_20250729_c10,ohharu오하루_20250729,@RaazRayaz,저는 콘도그와 당신의 먹방도 좋아해요 💗,2025-07-29
ohharu오하루_20250729_c11,ohharu오하루_20250729,@A_ra1521,하루님은 사운드가 넘 잘 잡혀서 좋아효ㅠㅠ,2025-07-29
ohharu오하루_20250729_c12,ohharu오하루_20250729,@응응-e1p,아름다워,2025-07-29
ohharu오하루_20250728_c1,ohharu오하루_20250728,@Ciera-u7m,맛있겠다....,2025-07-31
ohharu오하루_20250728_c2,ohharu오하루_20250728,@SJ-eb6dq,귀엽고 잘먹음❤,2025-07-29
ohharu오하루_20250728_c3,ohharu오하루_20250728,@정재원-q1h,오하루님을 보니까 하루가 좋게 마무리되는 기분이에여,2025-07-29
ohharu오하루_20250728_c4,ohharu오하루_20250728,@oeejin,와 곱창 싫어하는데 이거 보니 침나옴..,2025-07-29
ohharu오하루_20250728_c5,ohharu오하루_20250728,@SqqShdii,언니가 가지고있는 대왕숟가락 넘 가지고싶어용!❤😂,2025-07-29
ohharu오하루_20250728_c6,ohharu오하루_20250728,@현자쌤_쉐밀내꼬,오늘도 잘보구 가요오❤,2025-07-28
ohharu오하루_20250728_c7,ohharu오하루_20250728,@kqod03,기여웡,2025-07-28
ohharu오하루_20250728_c8,ohharu오하루_20250728,@진세영-g7w,너무 잘드시니 대단해요👏👍,2025-07-28
ohharu오하루_20250728_c9,ohharu오하루_20250728,@zzz7295,오하루님!! 저번에 고기듬뿍두루치기? 도 그렇고 요런 빨갛고 매콤한 음식이랑 국물 쾁쾁 드시는 영상 진짜 몇번이나 봤는지 모르겠어요… 짱 ㅜㅡㅜ 영상 감사합니다 ☺️❤️,2025-07-28
ohharu오하루_20250728_c10,ohharu오하루_20250728,@윤서박-e4p,잘 먹는 거 넘 예쁘다,2025-07-28
ohharu오하루_20250728_c11,ohharu오하루_20250728,@demisoda939,5:31,2025-07-28
ohharu오하루_20250728_c12,ohharu오하루_20250728,@friedshrimpudong,마싯겠다ㅏㅏㅏ,2025-07-28
ohharu오하루_20250728_c13,ohharu오하루_20250728,@Jio-x2s,헐나두오늘곱도리탕먹엇는데,2025-07-28
ohharu오하루_20250728_c14,ohharu오하루_20250728,@高橋ヒデミン,可愛いし咀嚼音最高❤,2025-07-28
ohharu오하루_20250728_c15,ohharu오하루_20250728,@Hoek_what_is_that,와 대창 ㄹㅇ 미쳣다,2025-07-28
ohharu오하루_20250728_c16,ohharu오하루_20250728,@cutie.onedoor,"오하루님!! 오랫동안 오하루님 영상 보고있던 시청자인데요! 음식 추천드리고싶어서요.. '동근이 숯불두마리치킨'이라구 있늫데 분모자도 있고 떡사리,우동사리,고기 다 있어용...",2025-07-28
ohharu오하루_20250728_c17,ohharu오하루_20250728,@NafeesathJasna,❤❤,2025-07-28
