KEYWORD_ID,KEYWORD_NAME,KEYWORDUP,REP_KEYWORD_ID,REP_KEYWORD_NAME
1,먹방,452,1,먹방
2,간식,299,2,간식
3,디저트,276,3,디저트
4,레시피,133,4,레시피
5,케이크,123,5,케이크
6,초콜릿,117,6,초콜릿
7,신기한간식,114,7,신기한간식
8,요거트,100,8,요거트
9,요리,88,9,요리
10,베이킹,67,10,베이킹
11,두바이초콜릿맛집,61,11,두바이초콜릿맛집
12,음식,60,12,음식
13,야식,46,13,야식
14,국수,44,14,국수
15,과일,43,15,과일
16,빵,42,16,빵
17,엽기떡볶이,38,17,엽기떡볶이
18,탕후루,38,18,탕후루
19,아이스크림,37,19,아이스크림
20,치즈,37,20,치즈
21,밥,36,21,밥
22,라면,35,22,라면
23,피자,34,23,피자
24,맛집,33,24,맛집
25,연어,32,25,연어
26,치킨,28,26,치킨
27,식사,25,27,식사
28,쫀득쿠키,23,28,쫀득쿠키
29,제품,23,29,제품
30,편의점,23,30,편의점
31,과자,23,31,과자
32,우유,23,32,우유
33,초코,23,33,초코
34,젤리,22,34,젤리
35,고추,22,35,고추
36,크리스마스간식,21,36,크리스마스간식
37,파스타,20,37,파스타
38,김치,20,38,김치
39,버거,20,39,버거
40,떡,19,40,떡
41,생크림,19,41,생크림
42,요구르트,18,42,요구르트
43,수박,18,43,수박
44,쫀득,18,44,쫀득
45,추성훈스테이크,18,45,추성훈스테이크
46,계란,17,46,계란
47,고기,17,47,고기
48,일본통조림,16,48,일본통조림
49,소스,16,49,소스
50,메뉴,16,50,메뉴
51,머랭쿠키,14,51,머랭쿠키
52,버터,14,52,버터
53,소세지,14,53,소세지
54,닭발,14,54,닭발
55,감자,14,55,감자
56,살,14,56,살
57,양파,13,57,양파
58,찹쌀떡,13,58,찹쌀떡
59,찜,13,59,찜
60,사과,12,60,사과
61,오징어,12,61,오징어
62,삼겹살,12,62,삼겹살
63,불닭,12,63,불닭
64,마카롱,12,64,마카롱
65,먹기,12,65,먹기
66,딸기,12,66,딸기
67,음료,12,67,음료
68,흑백요리사,11,68,흑백요리사
69,사비,11,69,사비
70,만두,11,70,만두
71,쿠키,11,71,쿠키
72,사탕,11,72,사탕
73,중국식빵,10,73,중국식빵
74,게장,10,74,게장
75,가지,10,75,가지
76,빙수,10,76,빙수
77,불닭볶음면,10,77,불닭볶음면
78,커피,10,78,커피
79,도넛,10,79,도넛
80,바나나,10,80,바나나
81,맛,10,81,맛
82,비빔면,10,82,비빔면
83,콜라,10,83,콜라
84,빵추천,9,84,빵추천
85,다이어트식단,9,85,다이어트식단
86,젤라또,9,86,젤라또
87,해산물,9,87,해산물
88,토마토,9,88,토마토
89,토스트,9,89,토스트
90,티라미수,9,90,티라미수
91,당근,9,91,당근
92,간장,9,92,간장
93,귤,9,93,귤
94,짜장면,9,94,짜장면
95,먹스타그램,8,95,먹스타그램
96,성심당무화과,8,96,성심당무화과
97,팝콘,8,97,팝콘
98,아시,8,98,아시
99,입맛,8,99,입맛
100,베이커리,8,100,베이커리
101,피스타치오,8,101,피스타치오
102,스타벅스,8,102,스타벅스
103,케익,8,103,케익
104,깨,8,104,깨
105,배,8,105,배
106,병,8,106,병
107,튀김,8,107,튀김
108,샌드위치,8,108,샌드위치
109,퐁당,8,109,퐁당
110,떡볶이밀키트,7,110,떡볶이밀키트
111,떡볶이asmr,7,110,떡볶이밀키트
112,마시멜로우먹방,7,112,마시멜로우먹방
113,글리터,7,113,글리터
114,백종원,7,114,백종원
115,석류,7,115,석류
116,크로와상,7,116,크로와상
117,볶음,7,117,볶음
118,붕어빵,7,118,붕어빵
119,옥수수,7,119,옥수수
120,타코야끼,7,120,타코야끼
121,통귤,7,121,통귤
122,두부,7,122,두부
123,시리얼,7,123,시리얼
124,고구마,7,124,고구마
125,깍두기,7,125,깍두기
126,꼬치,7,126,꼬치
127,마트,7,127,마트
128,짜파게티,7,128,짜파게티
129,엽떡토핑,6,129,엽떡토핑
130,마인크래프트치킨,6,130,마인크래프트치킨
131,순대,6,131,순대
132,파리바게트,6,132,파리바게트
133,빼빼로,6,133,빼빼로
134,채소,6,134,채소
135,맥도날드,6,135,맥도날드
136,곱창,6,136,곱창
137,달걀,6,137,달걀
138,술,6,138,술
139,버블티,6,139,버블티
140,시럽,6,140,시럽
141,오리,6,141,오리
142,식감,6,142,식감
143,돼지,6,143,돼지
144,복숭아,6,144,복숭아
145,사이다,6,145,사이다
146,쌈,6,146,쌈
147,칩,6,147,칩
148,포도,6,148,포도
149,계란후라이,6,149,계란후라이
150,땅콩,6,150,땅콩
151,마늘,6,151,마늘
152,버섯,6,152,버섯
153,베이컨,6,153,베이컨
154,파인애플,6,154,파인애플
155,필수,6,155,필수
156,스윗믹스젤리,5,156,스윗믹스젤리
157,선크림,5,157,선크림
158,스웨디쉬젤리,5,158,스웨디쉬젤리
159,일본간식먹방,5,159,일본간식먹방
160,코스,5,160,코스
161,제주도먹방,5,161,제주도먹방
162,스시,5,162,스시
163,훠궈,5,163,훠궈
164,통닭,5,164,통닭
165,샐러드,5,165,샐러드
166,육포,5,166,육포
167,메론빵,5,167,메론빵
168,곶감,5,168,곶감
169,분식,5,169,분식
170,냉면,5,170,냉면
171,갈비,5,171,갈비
172,맥주,5,172,맥주
173,스낵,5,173,스낵
174,식당,5,174,식당
175,신맛,5,175,신맛
176,올리브영,5,176,올리브영
177,재료,5,177,재료
178,취,5,178,취
179,츄러스,5,179,츄러스
180,끼,5,180,끼
181,베,5,181,베
182,새우,5,182,새우
183,설탕,5,183,설탕
184,와플,5,184,와플
185,코코넛,5,185,코코넛
186,핫도그,5,186,핫도그
187,성심당시루케이크,4,187,성심당시루케이크
188,핫팟,4,188,핫팟
189,대왕쿠키,4,189,대왕쿠키
190,경기도맛집,4,190,경기도맛집
191,뷔페꿀팁,4,191,뷔페꿀팁
192,초간단요리,4,192,초간단요리
193,이탈리아음식,4,193,이탈리아음식
194,비빔밥,4,194,비빔밥
195,닭가슴살,4,195,닭가슴살
196,숯불얼음구이,4,196,숯불얼음구이
197,수빙수쌈장게장,4,197,수빙수쌈장게장
198,김장,4,198,김장
199,삼계탕,4,199,삼계탕
200,마시기,4,200,마시기
201,야채,4,201,야채
202,고등어,4,202,고등어
203,에스프레소,4,203,에스프레소
204,배스킨라빈스추천,4,204,배스킨라빈스추천
205,카스타드,4,205,카스타드
206,롯데리아,4,206,롯데리아
207,가래떡,4,207,가래떡
208,양념치킨,4,208,양념치킨
209,대추야자,4,209,대추야자
210,구이,4,210,구이
211,마요네즈,4,211,마요네즈
212,머랭,4,212,머랭
213,생선,4,213,생선
214,식품,4,214,식품
215,구우,4,215,구우
216,자몽,4,216,자몽
217,주스,4,217,주스
218,케찹,4,218,케찹
219,쿄호,4,219,쿄호
220,쿡,4,220,쿡
221,한우,4,221,한우
222,햄,4,222,햄
223,햇반,4,223,햇반
224,회,4,224,회
225,콘치,4,225,콘치
226,레몬에이드,4,226,레몬에이드
227,밀크,4,227,밀크
228,쥬스,4,228,쥬스
229,먹음,4,229,먹음
230,코스트코,4,230,코스트코
231,배라,3,231,배라
232,성심당케익부띠끄,3,232,성심당케익부띠끄
233,풋롱쿠키,3,233,풋롱쿠키
234,밥솥,3,234,밥솥
235,탄 푸루 모방,3,235,탄 푸루 모방
236,빵 굽기,3,236,빵 굽기
237,대왕컵떡볶이,3,237,대왕컵떡볶이
238,교촌치킨신메뉴,3,238,교촌치킨신메뉴
239,고추바사삭,3,239,고추바사삭
240,펄볶이리뷰,3,240,펄볶이리뷰
241,먹방asmr,3,241,먹방asmr
242,라이스페이퍼요리,3,242,라이스페이퍼요리
243,김말이,3,243,김말이
244,파이,3,244,파이
245,육수,3,245,육수
246,머그,3,246,머그
247,오므라이스,3,247,오므라이스
248,크레페,3,248,크레페
249,대게,3,249,대게
250,수세미,3,250,수세미
251,매실장아찌,3,251,매실장아찌
252,국밥집,3,252,국밥집
253,카카오,3,253,카카오
254,스프,3,254,스프
255,단백,3,255,단백
256,연유,3,256,연유
257,다이닝,3,257,다이닝
258,어묵,3,258,어묵
259,가요,3,259,가요
260,급식,3,260,급식
261,대파,3,261,대파
262,도시락,3,262,도시락
263,고래밥,3,263,고래밥
264,머스켓,3,264,머스켓
265,소주,3,265,소주
266,시식,3,266,시식
267,장어,3,267,장어
268,한판,3,268,한판
269,고춧가루,3,269,고춧가루
270,구매,3,270,구매
271,라멘,3,271,라멘
272,스무디,3,272,스무디
273,식용,3,273,식용
274,식이,3,274,식이
275,야끼소바,3,275,야끼소바
276,양갱,3,276,양갱
277,엿,3,277,엿
278,작물,3,278,작물
279,콩나물,3,279,콩나물
280,포켓몬빵,3,280,포켓몬빵
281,홈플러스,3,281,홈플러스
282,닭강정,3,282,닭강정
283,유부초밥,3,283,유부초밥
284,육즙,3,284,육즙
285,정식,3,285,정식
286,카레,3,286,카레
287,갓,3,287,갓
288,껌,3,288,껌
289,낫또,3,289,낫또
290,호박,3,290,호박
291,족발,3,291,족발
292,참치,3,292,참치
293,캔,3,293,캔
294,해먹,3,294,해먹
295,먹스나님,3,295,먹스나님
296,우동,3,296,우동
297,정수기,3,297,정수기
298,퍼먹는,3,298,퍼먹는
299,킨조젤리만들기,2,299,킨조젤리만들기
300,일본초밥,2,300,일본초밥
301,응급실떡볶이,2,301,응급실떡볶이
302,구데타마간식,2,302,구데타마간식
303,과육,2,303,과육
304,조리사,2,304,조리사
305,피쉬,2,305,피쉬
306,집밥,2,306,집밥
307,치즈 미스,2,307,치즈 미스
308,양파 보일,2,308,양파 보일
309,푸딩,2,309,푸딩
310,서울푸드,2,310,서울푸드
311,롯데리아장어버거,2,206,롯데리아
312,인스타음식,2,312,인스타음식
313,에이블리간식,2,313,에이블리간식
314,냉동식품,2,314,냉동식품
315,간장게장먹방,2,315,간장게장먹방
316,현지인맛집,2,316,현지인맛집
317,인도네시아요리,2,317,인도네시아요리
318,미국mz간식,2,318,미국mz간식
319,브라질치즈빵,2,319,브라질치즈빵
320,일본칼디,2,320,일본칼디
321,치즈케이크레시피,2,321,치즈케이크레시피
322,라면끓이는법,2,322,라면끓이는법
323,이사장수건케이크,2,323,이사장수건케이크
324,간장계란밥,2,324,간장계란밥
325,상해맛집추천,2,325,상해맛집추천
326,찜닭,2,326,찜닭
327,중국인먹방,2,327,중국인먹방
328,후라이푸딩,2,328,후라이푸딩
329,샤인머스켓디저트,2,329,샤인머스켓디저트
330,요아정토핑,2,330,요아정토핑
331,마곡역맛집,2,331,마곡역맛집
332,프랑스간식,2,332,프랑스간식
333,일본당고,2,333,일본당고
334,10만원라면,2,334,10만원라면
335,대파감자라떼,2,335,대파감자라떼
336,멕시코간식,2,336,멕시코간식
337,타이페이맛집,2,337,타이페이맛집
