COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE
1,o.haru____2025-07-31,sunkyeppi,너무맛있겠다....먹고시퍼ㅜㅜㅜ이맛있는걸 새벽에본 내가잘못이지ㅜㅜ못참구 라면끓이러가요ㅎㅎ 하루님 오늘영상도 잘보고 가요🫶🏻💕💕,2025-07-31
2,o.haru____2025-07-31,bbubbeubee,언니완전맛맀게잘먹어요 부러워요그리고너무예쁘거귀여워요,2025-07-31
3,o.haru____2025-07-31,rinicism,ㅠㅠㅠ너무맛잇겟다.. 오모리김치찌개 한번도 먹어본적없는데 먹어볼게요!!!!,2025-07-31
4,o.haru____2025-07-31,haemi.q,진챠 하루님 먹방 매번 소름..저는 하루도 안빼먹고 오모리 라면만 먹던 시기가 있었답니댜…❤️,2025-07-31
5,o.haru____2025-07-31,cocoballl_,저도 오모리 되게 좋아했는데..!!! 안 먹은지 오래돼써요 뚱뚱김밥 넘 맛있어보여요🥹🥰,2025-07-31
6,o.haru____2025-07-31,2008_1212_,아 귀여워ㅜㅜㅠ 오모리김치찌개라면꼭머거볼게요❤️❤️,2025-07-31
7,o.haru____2025-07-31,c.x0zn,언니는 참 면을 좋아하시는듯여.. 저도한입주세요,2025-07-31
8,o.haru____2025-07-31,syeda_haya,😍,2025-07-31
9,o.haru____2025-07-31,eldiebdmlqlwlksm,오모리 김치찌개 틈새버전 나온건 몰랐네요? 넘 맛있어보여요!! 항상 잘보고갑니다 대리만족 쩔어요🙏,2025-07-31
10,o.haru____2025-07-31,tamdayproject,먹방의 신 하루님,2025-07-31
11,o.haru____2025-07-31,lse_t.diary,김밥이랑 라면은 진짜 대박이죠!!>< 저도 라면 최애 못고르겠는데 요즘은 또 진라면이 먹고싶어요!! 오모리 김치찌개 라면은 안먹어 봤는데 맛있겠어요!! 꼬마김밥도 좋아하는데>< 하루님은 그냥김밥과 꼬마김밥중 무슨김밥이 더 좋으시나요!?!!??!!,2025-07-31
12,o.haru____2025-07-31,ixoyunho,하루님너무귀여워요,2025-07-31
13,o.haru____2025-07-31,j.iiiiiiiii_9,언닝 ㅜ 너무맛잇게먹어서 저두배고파요 ㅠ 말차먹방너무기대돼요!!!,2025-07-31
14,o.haru____2025-07-31,q1v0l,❤️,2025-07-31
15,o.haru____2025-07-31,ari_28.08.2000,👍👍👍👍👍👍👍👍👍👍👍😋😋😋😋😋,2025-07-31
