COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE
1,sweetshop_s2_2025-07-26,lee__fall_221108,어디서구매하셧나요...... 맛시겧당....🤤,2025-07-28
2,sweetshop_s2_2025-07-26,cwcy._.08,이언니 왜 점점 이뻐지냐,2025-07-26
3,sweetshop_s2_2025-07-26,yoonangel_,핫도그 만들어 먹은 빵은 어떤건가요??ㅠㅠ 맛있어보여요….!!!,2025-07-27
4,sweetshop_s2_2025-07-26,lee.__.happy,와❤️ 뽀득 소시지 꼭 사다 먹어볼께용,2025-07-26
5,sweetshop_s2_2025-07-26,yoonah_1126,언니 잡채먹방해주세요 ㅎ,2025-07-26
6,sweetshop_s2_2025-07-26,d._.ox.h,매일 댓글 달기 43일차,2025-07-26
7,sweetshop_s2_2025-07-26,giuopjk0626,먹는 게 넘나 쫄깃함..,2025-07-26
8,sweetshop_s2_2025-07-26,yoonbivip,첨가물은요 ?,2025-07-27
9,sweetshop_s2_2025-07-26,jinyg00,장어덮밥 레시피도 부탁드려요오,2025-07-26
10,sweetshop_s2_2025-07-26,paulraymond__4468,🙌,2025-07-26
11,sweetshop_s2_2025-07-26,j_uliajung,소리 미쳤다,2025-07-26
12,sweetshop_s2_2025-07-23,www_xeoy,박카스에 오레오오즈 말아먹었어요... 왜 그랬는지 이해 안감,2025-07-25
13,sweetshop_s2_2025-07-23,ceolhyeon20,오구오구 캐릭터 귀여엉ㅋㅋㅋㅋ,2025-07-25
14,sweetshop_s2_2025-07-23,xa.mong,앜ㅋㅋㅋ귀여워요,2025-07-24
15,sweetshop_s2_2025-07-23,fi.___.ve,나 어렸을때 할머니가 박카스병에 아세톤 담아놨는데 모르고 몰래 먹었다가 저세상 갈뻔 ㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-23
16,sweetshop_s2_2025-07-23,yooasdxcv,어렸을때 박카스 몰래 먹다가 맞아서 머리가 돌아갔나요?,2025-07-23
17,sweetshop_s2_2025-07-23,good.10_23,459를 참지 못한 나..결국엔 👍🏻,2025-07-24
18,sweetshop_s2_2025-07-23,d._.ox.h,매일 댓글 달기 41일차,2025-07-23
19,sweetshop_s2_2025-07-23,gimhangyeol9366,나도 먹어보고싶어용😢,2025-07-25
20,sweetshop_s2_2025-07-23,songyi0601,박카스 중독 1인..ㅋ 박카스 안 마심 하루시작이 안 되는..😂,2025-07-24
21,sweetshop_s2_2025-07-23,orc_bachelor,담배 재떨이... 남은 바카스인줄 알고 꿀꺽 했더니.... 아빠와 고모부의 재떨이겸 침을 뱉었던...,2025-07-24
22,sweetshop_s2_2025-07-23,soul_jang,아빠 분장은 어떻게 한거야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-23
23,sweetshop_s2_2025-07-23,jongsik1005,라때는 먹는것보다 병깨기용으로😂😂😂,2025-07-24
24,sweetshop_s2_2025-07-23,santabottle_,잠깨고싶으면 걍 박카스에 레드불or핫식스or몬스터 타고 마셔봐요 전나잠잘깸,2025-07-23
25,sweetshop_s2_2025-07-23,play_eat_goe,"몬스터 음료 그건 솔직히 부담스러워서 아아로 버텼는데, 얼박사 이건 너무 짱이잖아요 ㅋㅋㅋㅋㅋ 아버지 이사장과 시골 딸래미 이사장 2 모두 추천해주니까 꼭 사먹어볼게요",2025-07-23
26,sweetshop_s2_2025-07-23,1518___sw,@kyy.minn 으아 몸에 안좋게따ㅠ,2025-07-27
27,sweetshop_s2_2025-07-23,weaponhwang,아버님이 되게 미인이세요,2025-07-24
28,sweetshop_s2_2025-07-23,yoonbivip,저는뚜껑에 따라마셨는뎅,2025-07-24
29,sweetshop_s2_2025-07-23,eunjeong3402,욱 끼 네 👏👏👏,2025-07-26
30,sweetshop_s2_2025-07-22,n___ht,ㅋㅋㅋㅋ저 이거 얼마전부터 먹고있는데 최고에요 진짜 맹물싫어하는 사람들한텐 ㅋㅋㅋㅋ역시 뭘아시는 이사장님,2025-07-22
