POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
chu.berup_jmt_2025-05-11,,요즘은 연어를 이렇게 먹는다며? 11주,"#연어, #연어먹방, #연어깍두기, #먹방asmr, #salmon, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #불닭, #연어요리, #asmreatingsounds, #mukbangkorea",chu.berup_jmt_2025-05-11,2025-05-11,17만,instagram
chu.berup_jmt_2024-03-12,,이름에 ‘ㅅ’ 들어가는 사람이 쏘기❤️ @@@잘먹을게❤️ 엽떡에 소세지 와르르해서 FLEX 조지자❤️ 72주,"#엽떡, #엽기떡볶이, #엽떡소세지, #떡볶이맛집, #동대문엽기떡볶이, #배달음식추천, #배달떡볶이, #야식추천, #떡볶이그램",chu.berup_jmt_2024-03-12,2024-03-12,22.6만,instagram
chu.berup_jmt_2025-07-28,,치즈 추가한 까르보 불닭에 KFC치킨 조합이란 ? 2일,"#까르보불닭볶음면, #불닭볶음면, #buldak, #kfc, #chicken, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #치킨, #치킨먹방, #mukbangkorea, #야식추천, #치킨추천",chu.berup_jmt_2025-07-28,2025-07-28,1.6만,instagram
chu.berup_jmt_2025-07-26,,맘모스를 쿠키샌드로 만들어버리다니 ㄷㄷ 이웃집통통이X초량온당 콜라보! 이웃집통통이 매장에서 내일까지만 판다길래 얼른 올리기..🍪 구매처 : 이웃집통통이 @tongtonge_ 4일,"#이웃집통통이, #초량온당, #맘모스쿠키샌드, #맘모스, #쿠키샌드, #쿠키먹방, #디저트먹방, #dessert, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #간식추천, #mukbangers, #디저트맛집, #야식추천, #mukbangkorea, #asmreatingsounds, #cookies",chu.berup_jmt_2025-07-26,2025-07-26,1486,instagram
chu.berup_jmt_2025-07-24,,빠삭고소한 기영이 숯불치킨 신상? 기영이 신상 빠다크랩 숯불치킨 ! 오뚜기 순후추가 든 갈릭후추 후레이크를 뿌려먹는데 그 맛은 ? 쿠팡이츠로 신메뉴 주문시 최대 13000원 할인 ! (~7/27) 원피스 세트로 주문하면 원피스 굿즈까지?🫶🏻 6일,"#광고, #기영이숯불치킨, #치킨, #숯불치킨, #기영이숯불두마리치킨, #치킨먹방, #치킨추천, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #신상리뷰, #야식추천, #mukbangkorea, #chicken",chu.berup_jmt_2025-07-24,2025-07-24,2144,instagram
chu.berup_jmt_2025-07-21,,크기 미친 대왕부리또 먹다가 배터질뻔 ㅋㅎ 🥢구매처 : 베어스타코 @bearstaco_official 1주,"#부리또, #대왕부리또, #먹방asmr, #mukbangasmr, #mukbang, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds, #타코, #배달음식, #burrito, #chipolte, #치폴레",chu.berup_jmt_2025-07-21,2025-07-21,8621,instagram
chu.berup_jmt_2025-07-21,,빠작파쟉 ㅁㅊ 두바이초코 뺑스위스💚 구매처 : 테니 @tennecafe 수정됨 · 1주,"#두바이초콜렛, #뺑스위스, #두바이초코, #테니, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #간식추천, #mukbangers, #디저트맛집, #야식추천, #mukbangkorea, #디저트먹방, #dessert, #asmreatingsounds",chu.berup_jmt_2025-07-21,2025-07-21,6240,instagram
chu.berup_jmt_2025-07-16,,요청 많던 두찜 로제찜닭 먹어보았다🧡 2주,"#두찜, #로제찜닭, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds, #배달음식, #찜닭, #치즈볼",chu.berup_jmt_2025-07-16,2025-07-16,1.6만,instagram
chu.berup_jmt_2025-07-14,,야쿠르트맛 연세우유 생크림빵 신상 ? 야쿠르트와 콜라보 한 연세우유생크림빵!🫶🏻 기본 연세우유생크림빵&야쿠르트 조합이랑 비교해보니.. 더운 여름에 완전 어울리는 맛!❤️‍🔥 ✨댓글이벤트✨(~7/20) 1) 생크림빵 + 야쿠르트 조합이 어떤 맛일지 예상하며 댓글로 적는다. 2) 추첨을 통해 경품을 받는다. 경품 : 야쿠르트 멸균팩 24개입 (5명) 2주,"#광고, #얼리어먹터, #연세유업, #연생빵, #CU신상, #야쿠르트맛생크림빵, #야쿠르트, #빵맛집, #먹방asmr, #mukbang, #mukbangasmr, #간식추천, #asmreating, #mukbangers, #신상리뷰, #mukbangkorea, #야식추천, #디저트맛집",chu.berup_jmt_2025-07-14,2025-07-14,5243,instagram
chu.berup_jmt_2025-07-11,,차갑게 먹는 떡볶이 맛있을까? 스텔라 떡볶이 신상 냉떡볶이!🫶🏻 살얼음소스에 비벼 시원하게 먹는거라던데… 2주,"#광고, #떡볶이, #스텔라떡볶이, #스텔라, #떡볶이맛집, #떡볶이먹방, #냉떡볶이, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds, #배달음식, #떡볶이추천",chu.berup_jmt_2025-07-11,2025-07-11,4146,instagram
chu.berup_jmt_2025-07-10,,유행하는 벽돌케이크 드디어 먹어봤는데!! 2주,"#시호쿠키, #벽돌케이크, #먹방asmr, #mukbang, #mukbangasmr, #디저트먹방, #asmreating, #간식추천, #mukbangers, #디저트맛집, #mukbangkorea, #야식추천, #케이크, #케이크먹방, #dessert, #cake",chu.berup_jmt_2025-07-10,2025-07-10,6447,instagram
chu.berup_jmt_2025-07-09,,후참잘 킹트리플양념치킨 ㅁㅊㄷ;; 3주,"#후참잘, #후라이드참잘하는집, #킹트리플양념치킨, #치킨, #치킨먹방, #치킨추천, #먹방asmr, #mukbangasmr, #mukbang, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #chicken, #양념치킨, #배달음식, #asmreatingsounds",chu.berup_jmt_2025-07-09,2025-07-09,3.1만,instagram
chu.berup_jmt_2025-07-07,,벽돌케이크 쿠키라니 뭐야? 3주,"#벽돌케이크, #쿠키먹방, #디저트추천, #디저트맛집, #쫀득쿠키, #간식추천, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #디저트맛집, #mukbangkorea, #asmreatingsounds, #cookie",chu.berup_jmt_2025-07-07,2025-07-07,2300,instagram
chu.berup_jmt_2025-07-04,,7단계 말차초콜릿 츄베릅 먹어보쟈💚 3주,"#말차초콜릿, #말차, #matcha, #일본디저트, #나나야말차초콜릿, #먹방asmr, #mukbang, #mukbangasmr, #간식추천, #asmreating, #mukbangers, #디저트맛집, #야식추천, #mukbangkorea, #asmreatingsounds, #말차디저트, #말차덕후",chu.berup_jmt_2025-07-04,2025-07-04,1.9만,instagram
chu.berup_jmt_2025-07-02,,연어에 육회 조합이란..❤️ 4주,"#연어, #연어먹방, #육회, #육회먹방, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds, #배달음식, #생연어, #asmreatingshow",chu.berup_jmt_2025-07-02,2025-07-02,2.1만,instagram
chu.berup_jmt_2025-06-30,,비냉 VS 물냉? 살얼음 비빔냉면에 숯불고기랑 만두 뿌셨는데.. 4주,"#비빔냉면, #비냉, #냉면, #물냉면, #살얼음냉면, #숯불고기, #만두, #고기먹방, #냉면먹방, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #배달음식, #asmreatingshow",chu.berup_jmt_2025-06-30,2025-06-30,1만,instagram
chu.berup_jmt_2025-06-27,,더미식 신상 오징어 시리즈 3종 다 털어봄. 🦑핑크빛 새콤상콤 오징어초빔면 🦑해물 국물파라면 무조건 맛있는 오징어라면 🦑쫄깃탱글 오징어+육즙 오징어육즙교자 뭐가 제일 맛있었냐면.. 🦑 진짜 오징어를 찾아라: 숨은 그림 찾기 이벤트 @themishik_official 1] 진행방식 - 더미식 홈페이지 접속 숨은 오징어 3마리 찾기 - [정답 제출하기] 클릭 - 경품 즉시 당첨여부 확인 가능 - ~7/31(목)까지 참여 가능 4주,"#광고, #오징어비빔면, #오징어라면, #오징어만두, #비빔면, #라면, #만두, #라면먹방, #이정재, #오징어게임, #오징어요리, #숨은그림찾기, #라면추천, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds",chu.berup_jmt_2025-06-27,2025-06-27,1679,instagram
chu.berup_jmt_2025-06-25,,요즘유행 말차 디저트들 뿌셔보았다.🌱 뭐가 제일 맛나보임? 5주,"#말차, #말차디저트, #말차맛집, #빈츠, #빼빼로, #티코, #말차아이스크림, #말차덕후, #먹방asmr, #mukbang, #mukbangasmr, #포키녹차, #간식추천, #asmreating, #mukbangers, #디저트맛집, #mukbangkorea, #asmreatingshow, #dessert, #matcha",chu.berup_jmt_2025-06-25,2025-06-25,1.4만,instagram
chu.berup_jmt_2025-06-23,,리뉴얼 된 바삭쫄깃 스텔라떡볶이? 별튀김을 찍어먹는 스텔라떡볶이🫶🏻 뭐가 바뀌었냐면.. 영상참고🫶🏻 5주,"#광고, #스텔라떡볶이, #스텔라, #떡볶이먹방, #떡볶이맛집, #떡볶이, #튀김맛집, #배달음식, #별튀김, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds",chu.berup_jmt_2025-06-23,2025-06-23,8336,instagram
chu.berup_jmt_2025-06-22,,한달이나 걸린 량진희 레몬무뼈닭발은 맛있을까? 5주,"#레몬무뼈닭발, #량진희, #평천면옥, #먹방asmr, #닭발, #닭발먹방, #먹방, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingshow, #asmreatingsounds",chu.berup_jmt_2025-06-22,2025-06-22,3561,instagram
chu.berup_jmt_2025-06-20,,라떼는 말이여~봉지에 밥비벼먹었어~🫡🪖 군필이라면 다 안다는 봉지밥! 5주,"#봉지밥, #군대음식, #맛다시, #빅팜, #군대, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds, #asmreatingshow, #참치마요",chu.berup_jmt_2025-06-20,2025-06-20,4175,instagram
chu.berup_jmt_2025-06-18,,"피자 더 맛있게 먹는법? 피자헛 신상 더블쉬림프크런치🫶🏻 갈릭버터쉬림프, 고구마무스, 케이준쉬림프, 포테이토 크런치가 한조각 안에 쏙! 🍕피자헛 자사 온라인 이벤트 1) 신메뉴 피자 구매 시, 콜라 무료 2) 신메뉴 4종 (피자,사이드) 구매 시, 피자 무료 쿠폰 증정 6주","#광고, #피자헛, #피자헛신메뉴, #더블쉬림프크런치, #신메뉴추천, #피자맛집, #피자추천, #더블쉬림프크런치피자, #쉬림프피자, #피자헛, #pizzahut, #pizzahutkorea, #피자, #피자먹방, #pizza, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #야식추천, #mukbangers, #배달음식",chu.berup_jmt_2025-06-18,2025-06-18,8169,instagram
chu.berup_jmt_2025-06-16,,요즘 빠져버린 내 간식 콩볼💕 이빨 나갈 것 같지만 이 맛에 먹는다 ㅋㅎ 6주,"#콩볼, #딴딴볼, #쭈롱베이커리, #빵지순례, #먹방asmr, #디저트먹방, #mukbang, #간식추천, #mukbangasmr, #asmreating, #mukbangers, #디저트맛집, #mukbangkorea, #asmreatingsounds",chu.berup_jmt_2025-06-16,2025-06-16,2135,instagram
chu.berup_jmt_2025-06-12,,"디저트까지 잘하는 역전할머니맥주 신상? 6/5~6/28까지 (24일간) 전국 역전할머니맥주 방문 고객 대상 특별한 이벤트가 진행중 ! 매장 포스터에 있는 QR코드 스캔해서 게임 한판하면 LA 왕복 항공권부터 제주도 왕복 항공권, 5성급 호텔 상품권, 공항 라운지 이용권, 신메뉴 교환권까지 (게임 성공 못해도 경품 응모 가능) 할맥 가서 시원한 맥주 마시고 푸짐한 선물 받으러 갈 사람 ? *지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다. 임신 중 음주는 기형아 출산 위험을 높입니다. 6주","#광고, #역전할머니맥주, #할맥신메뉴, #먹고게임하면LA여행이따라온다, #할맥먹캉스, #역할맥, #디저트맛집, #디저트먹방, #인절미떡구이, #쿠키슈, #먹방asmr, #mukbang, #간식추천, #mukbangasmr, #신상리뷰, #asmreating, #mukbangers, #mukbangkorea, #야식추천",chu.berup_jmt_2025-06-12,2025-06-12,2551,instagram
chu.berup_jmt_2025-06-11,,처갓집 슈프림양념치킨에 불닭볶음면 ! 다음엔 뭐먹을까낭? 7주,"#처갓집, #슈프림양념치킨, #처갓집양념치킨, #양념치킨, #치킨먹방, #불닭볶음면, #불닭, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #mukbangkorea, #야식추천, #배달음식, #치킨추천",chu.berup_jmt_2025-06-11,2025-06-11,3.8만,instagram
chu.berup_jmt_2025-06-09,,뿌링클 사이드메뉴 뿌시기💛 최애 사이드 댓글로 ㄱㄱ 7주,"#뿌링클, #뿌링클치킨, #치즈볼, #bhc, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #치킨먹방, #배달음식, #asmreatingsounds, #뿌링치즈볼",chu.berup_jmt_2025-06-09,2025-06-09,5.7만,instagram
chu.berup_jmt_2025-06-08,,소리 무슨일? 육회 꿀조합 발견🚨 7주,"#육회, #마늘빵, #마늘바게트, #육회마늘빵, #먹방asmr, #mukbang, #육회먹방, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds, #간식추천",chu.berup_jmt_2025-06-08,2025-06-08,3969,instagram
chu.berup_jmt_2025-06-05,,맥주 땡기는 60계 신상 쯔란윙봉? 중독성 대박인 이번 신상🫶🏻 촬영 끝나고 더 먹을정도 였는데 그 맛은 ? 7주,"#광고, #60계, #60계치킨, #쯔란윙봉, #치킨맛집, #치킨추천, #치킨먹방, #먹방asmr, #mukbang, #mukbangasmr, #신상리뷰, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds, #chicken",chu.berup_jmt_2025-06-05,2025-06-05,8471,instagram
chu.berup_jmt_2025-06-04,,통연어장 직접 만들어먹기 ! 8주,"#통연어, #통연어장, #연어, #연어장, #밥도둑, #연어먹방, #salmon, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds",chu.berup_jmt_2025-06-04,2025-06-04,6115,instagram
chu.berup_jmt_2025-06-02,,요즘 유행하는 차갑게 먹는 닭발 ? 8주,"#레몬무뼈닭발, #평천면옥, #량진희, #닭발먹방, #닭발, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #mukbangers, #야식추천, #mukbangkorea, #asmreatingsounds, #asmreatingshow",chu.berup_jmt_2025-06-02,2025-06-02,7719,instagram
chu.berup_jmt_2025-05-30,,망고 + 치킨 그 맛은요… 치킨매니아 신상 망고치킨🥭 차갑게 먹는 게 포인트라는데 ?! 8주,"#광고, #치킨매니아, #망고치킨, #망고, #치킨맛집, #치킨먹방, #신메뉴, #치킨매니아영탁, #영탁치킨, #영탁망고치킨, #영탁픽, #먹방asmr, #mukbang, #mukbangasmr, #asmreating, #신상리뷰, #mukbangers, #야식추천, #mukbangkorea, #chicken, #배달음식",chu.berup_jmt_2025-05-30,2025-05-30,1.2만,instagram
