POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
jeon_unni_2025-07-25,,과일먹은 마시멜로우🍓마시써 @anunu.eat 수정됨 · 16시간,"#젼언니, #과일, #마시멜로우, #수정",jeon_unni_2025-07-25,2025-07-25,7218,instagram
jeon_unni_2025-07-24,,"여름엔 역시 시~원한 쭈쭈바 무더야지!!😋 라라스윗 저당 딥초코/쿨소다 쭈쭈바는 유크림이랑 고급 코코아로 부드럽게, 시중 제품보다 당은 1/4 수준이라 부담 없이 즐길 수 있어요🍦 너무 더울 때 라라스윗 쭈쭈바 생각난다면 공식몰, GS25·CU 편의점으로 달려가기🩵 1일","#광고, #젼언니, #여름, #역시, #원한, #쭈쭈바, #라라, #스윗, #저당, #초코, #쿨소, #쭈쭈바, #크림, #고급, #코코아, #시중, #제품, #수준, #부담, #라라, #스윗, #쭈쭈바, #공식, #편의점",jeon_unni_2025-07-24,2025-07-24,984,instagram
jeon_unni_2025-07-23,,입맛없을때는 게장이지!!! 엄마표 양념게장😍 2일,"#젼언니, #입맛, #게장, #엄마, #양념, #게장",jeon_unni_2025-07-23,2025-07-23,3990,instagram
jeon_unni_2025-07-22,,"맵.시.짠 레드타키스,블루타키스 육포칩🥩 3일","#젼언니, #레드, #키스, #블루, #키스, #육포",jeon_unni_2025-07-22,2025-07-22,3448,instagram
jeon_unni_2025-07-21,,"일평생 자식들만 위해서 희생하며 살아오신 가여운 우리 할머니 호강시켜드리고싶어서 또 숨만쉬어도 욕을먹던 미운오리새끼에서 벗어나고싶어서 어릴땐 무조건 빨리 성공하고싶었어요. 그땐, 주변도 돌아보지못하고, 오직 내성공과 내자신의 실력을 쌓는것에만 집중하며 살았던거 같아요. 그러다보니 뭔가 뜻대로 되지않으면 모든걸 저주하고 조금만 인정받으면 보상심리 때문인지 거만해지고 또 혼자있을땐 왜 그것밖에 안되냐며 내자신을 한없이 혹사시켰죠 성공의 기준이 뭔지도 모른채 어리석게 살았어요 이젠...모든게 달라졌어요 저자신부터 모든게 너무많이 변했거든요 이건 전부, 젼둥이들 덕이예요 감사해요, 감사합니다 우리할머니를 행복하게 해주셔서 감사해요 젼둥이들. 4일","#젼언니, #일평생, #자식, #위해, #희생, #여운, #우리, #할머니, #호강, #새끼, #무조건, #그땐, #주변, #오직, #성공, #내자, #신의, #실력, #집중, #뭔가, #저주, #조금, #보상, #심리, #때문, #혼자, #그것, #자신, #혹사, #성공, #기준, #지도, #모든, #자신, #모든, #이건, #전부, #둥이, #덕이, #우리, #할머니, #둥이",jeon_unni_2025-07-21,2025-07-21,2183,instagram
jeon_unni_2025-07-19,,내일 초복이래 삼계탕무그쟈😍 6일,"#젼언니, #내일, #초복, #삼계탕",jeon_unni_2025-07-19,2025-07-19,2473,instagram
jeon_unni_2025-07-18,,태그 폭탄 당한 과일 아이스크림🍓 만들어보쟈 1주,"#젼언니, #태그, #폭탄, #당한, #과일, #아이스크림, #보쟈",jeon_unni_2025-07-18,2025-07-18,1.1만,instagram
jeon_unni_2025-07-16,,라부부 케이크&같이 젼둥신호 정해보쟈😂🫶🏻 1주,"#젼언니, #부부, #케이크, #젼둥, #신호",jeon_unni_2025-07-16,2025-07-16,9855,instagram
jeon_unni_2025-07-15,,라부부 케이크🍰 1주,"#젼언니, #부부, #케이크",jeon_unni_2025-07-15,2025-07-15,3.1만,instagram
jeon_unni_2025-07-10,,고추장아찌가 들어있는 레몬무뼈닭발🍋 2주,"#젼언니, #고추, #장아찌, #레몬, #무뼈, #닭발",jeon_unni_2025-07-10,2025-07-10,7990,instagram
jeon_unni_2025-07-09,,멕시코 간식 “뚜론 로사” 먹는 방법✌️😋 딱 아이셔같은 맛이에요!!! 2주,"#젼언니, #멕시코, #간식, #뚜론, #로사, #방법",jeon_unni_2025-07-09,2025-07-09,8200,instagram
jeon_unni_2025-07-08,,"멕시코의 길거리간식 핑크색 ""뚜론로사"" 2주","#젼언니, #멕시코, #길거리, #간식, #핑크색, #뚜론, #로사",jeon_unni_2025-07-08,2025-07-08,1.2만,instagram
jeon_unni_2025-07-06,,투명한 젤리같은 야자나무열매 아이스 애플🌴 내 간식창고에 있을 거 같은 간식 있어요??😂😂😂 2주,"#젼언니, #젤리, #야자나무, #열매, #아이스, #애플, #간식, #창고, #간식",jeon_unni_2025-07-06,2025-07-06,1.1만,instagram
jeon_unni_2025-07-05,,직접 만든 바삭한 육포칩에 레드 타키스 가루🥩 2주,"#젼언니, #직접, #바삭, #육포, #레드, #키스, #가루",jeon_unni_2025-07-05,2025-07-05,5554,instagram
jeon_unni_2025-07-04,,오랜만에 할머니 뵙고 간식도 드리고 왔어요🍌💛 3주,"#광고, #바나나과자, #과자추천, #간식추천, #할머니, #간식",jeon_unni_2025-07-04,2025-07-04,4450,instagram
jeon_unni_2025-07-04,,어떻게 한건지 아시는 호그와트출신 젼둥이 없나요?😂 3주,"#젼언니, #아시, #호그와트, #출신, #젼둥",jeon_unni_2025-07-04,2025-07-04,1.1만,instagram
jeon_unni_2025-07-03,,"젼언니 스윗믹스젤리 2탄, 젼둥이들이 찜한 콜라맛만 쏙 빼와서 몰빵해버려찌이💕💕 3주","#광고, #젼언니, #젼언, #스윗, #믹스, #젤리, #둥이, #콜라, #빵해",jeon_unni_2025-07-03,2025-07-03,9238,instagram
jeon_unni_2025-07-02,,"민지를 참 아껴주시던 할아버지께서 별세하셨습니다. 근데 제가 어제 너무 많이 아파 도저히 일어날수가 없었어요. 엉엉 우는 민지를 먼저 내려보내고 오늘에야 겨우...기운을 차리고 정신없이 도착한 공항. 하필이면 이럴때 제가 몸이 너무 아파 민지가 힘들때 힘껏 위로를 못해줄까바... 창밖을보며 우울하고 속상해하고 있는데 승무원 젼둥이님의 정성스런 손편지가 제게 다시금 기운을 북돋아 주었어요. 도착해서 민지에게 이 편지를 보여주니 민지도 환하게 웃으며 너무 좋아했어요. 넘 감사해요..ㅠ 저는 이제 집으로 돌아가 민지의 빈자리를 씩씩하게 채우며, 제가 해야 할 일을 하고있을게요. 지금 이 순간, 가장 슬퍼하고 있을 민지를 위해 젼둥이의 따뜻한 위로와 응원을 보내주시면 감사하겠습니다.🙏 수정됨 · 3주","#nan, #민지, #할아버지, #별세, #어제, #도저히, #엉엉, #민지, #먼저, #오늘, #겨우, #기운, #도착, #공항, #하필, #이면, #민지, #힘껏, #위로, #창밖, #승무원, #둥이, #손편지, #다시금, #기운, #도착, #민지, #편지, #민지, #이제, #민지, #빈자리, #지금, #순간, #가장, #민지, #위해, #젼둥이, #위로, #응원, #수정",jeon_unni_2025-07-02,2025-07-02,5556,instagram
jeon_unni_2025-06-30,,냉동망고로 먹다가 생망고 먹으믄 부티나는줄 아는여자 ㅋㄱㅋㅋㄱ😅😅 수정됨 · 3주,"#젼언니, #냉동, #망고, #망고, #티나, #여자, #수정",jeon_unni_2025-06-30,2025-06-30,9490,instagram
jeon_unni_2025-06-25,,노각비빔밥 무슨일이야ㅠ👍👍👍 다같이 맛있게 나눠먹었어요💕 4주,"#젼언니, #비빔밥, #일이",jeon_unni_2025-06-25,2025-06-25,8607,instagram
jeon_unni_2025-06-24,,댓글에있던 노각무침💕 티격태격 엄마랑같이 도젼언니💪 4주,"#젼언니, #댓글, #노각, #티격태격, #엄마, #도젼언",jeon_unni_2025-06-24,2025-06-24,5655,instagram
jeon_unni_2025-06-24,,고수님들의 동전오징어 먹는 꿀팁🍯 4주,"#젼언니, #고수, #동전, #오징어, #꿀팁",jeon_unni_2025-06-24,2025-06-24,1.2만,instagram
jeon_unni_2025-06-22,,벽돌 초콜릿 케이크 요거트에 찍어먹기🍫 4주,"#젼언니, #벽돌, #초콜릿, #케이크, #요거트, #먹기",jeon_unni_2025-06-22,2025-06-22,7587,instagram
jeon_unni_2025-06-19,,이젠 엄마한테 간식창고를 털려따. 근데 멍이득!!! 피클로 만든 오이소박이 🥒 수정됨 · 5주,"#젼언니, #엄마, #간식, #창고, #이득, #피클, #오이소박이, #수정",jeon_unni_2025-06-19,2025-06-19,1.2만,instagram
jeon_unni_2025-06-18,,참외 비빔 쌀국수!!! 엄마 오셨으니까 무그고싶응거 다 얘기해😍 수정됨 · 5주,"#젼언니, #참외, #비빔, #쌀국수, #엄마, #응거, #얘기, #수정",jeon_unni_2025-06-18,2025-06-18,8916,instagram
jeon_unni_2025-06-16,,[내돈내산] 여름철 보습꿀팁👍 제가 수딩젤을 한번 섞어봤는데 넘 좋더라구요!!! 젼둥이들의 피부장벽 지키기 그리고 물 마니 마시기😍 수정됨 · 5주,"#젼언니, #여름철, #보습, #꿀팁, #수딩젤, #한번, #둥이, #피부, #장벽, #마시기, #수정",jeon_unni_2025-06-16,2025-06-16,9237,instagram
