작성일,좋아요 수,본문,해시태그,댓글 목록
2025-07-30,2198,(광고) 요즘 SNS에서 엄청 핫한 치킨!! (60계치킨 쯔란윙봉) 달달 짭짤 간장맛 베이스에 은은한 쯔란맛이 은근히 중독되는 치킨! 이국적인맛 좋아하시면 완전 추천👍 1일,"#60계치킨, #쯔란윙봉, #치킨추천","ye0n.x_1804 | 2025-07-30 | 와앙 두번째당 저거 마싯나여?
salma_moukrich | 2025-07-31 | 이 닭은 한국에서 유명해요.맛있어
gangseonhwa1943 | 2025-07-30 | 맛있겠어용👏👏
lrsmnywzkw | 2025-07-30 | إستمري حبيبتي يا أحلا وردة في العالم😭🌷💗💗💗
lrsmnywzkw | 2025-07-30 | إستمري حبيبتي يا أحلا وردة في العالم😭🌷💗💗💗
yulim225 | 2025-07-31 | 대박
erinleicsanchez | 2025-07-30 | wow 😮
na_y0ungj | 2025-07-30 | 우왕 첫댓글이당❤️
de.epthi1979 | 2025-07-30 | Wow look so good 😊
badgirl__2e | 2025-07-31 | ياخي كيوت
dkshdjdhshd | 2025-07-30 | 톡톡시아 무서운습간"
2025-07-29,7024,요아정 신상 그릭복숭아🍑 먹어보기! 2일,"#톡톡시아, #요아정, #그릭통통복숭아, #먹방, #mukbang","shutterchic_444 | 2025-07-29 | 😍
suska310 | 2025-07-30 | ❤️❤️❤️❤️
ttxorukii | 2025-07-29 | ❤️
suhye001 | 2025-07-30 | 저도 한입만 주세요
s.yuju__12 | 2025-07-29 | 8분전😮
skz_n_en.4life | 2025-07-29 | ❤️❤️
afnenhleyli | 2025-07-29 | 🥹🐳💗
eunsu4415 | 2025-07-31 | 시아야 언니 오늘 김밥먹어~~
siriteegenggie | 2025-07-29 | 🔥🔥
iskra1641 | 2025-07-29 | Why is everything you eat so crunchy
yulim225 | 2025-07-30 | Love ❤️
sol.7101 | 2025-07-29 | 맛있게 먹는 모습이 너무 예뻐용
gonghanbi77_kiki | 2025-07-30 | 안에 홀터넥 입은거에요?
army_77h | 2025-07-29 | Yummy 😋
joonghyuk_lim | 2025-07-30 | 딱복은 선넘었지.."
2025-07-25,9483,우유가 왕창 들어간 아이스크림!! 쫀득함이 진짜 젤라또 급ㄷㄷ(feat 이모지 먹방) 구매처 GS25 편의점 현재 2+1 행사 진행중 6일,"#광고, #서울우유, #서울우유아이스크림바, #편의점신상","woung_young01 | 2025-07-25 | 와, 저는 우지벡 사람이에요❤️🙌
yulim225 | 2025-07-25 | 서울우유 사랑❤️
j1svg.luv_ | 2025-07-25 | 너무 맛있어 보여요
seo_je_ra | 2025-07-25 | 언니가 원해요😢😢
hajar_55586 | 2025-07-25 | 🍓🥛🍫
alejandrad0202 | 2025-07-25 | ❤️❤️❤️
ttxorukii | 2025-07-25 | ❤️
nihao_sophie | 2025-07-25 | 조합이 더도 말고 덜도 말고 딱 좋아요
not_ur_2ban | 2025-07-25 | 헐마식겟뚜
haoxin_n | 2025-07-25 | Subtitles please 🥺
_zuubo_ | 2025-07-31 | She eats like they're not cold 😂 i thought it was just some dessert
ks._wok | 2025-07-26 | 아.. 저좀 자게 해주새요... 중독이 되..
toctocsia | 2025-07-25 | 서울우유 유료광고를 진행하며 무상으로 제공받은 제품을 활용하고 있습니다."
