COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
츄베릅jmt_20250726_c1,츄베릅jmt_20250726,@딸기-z7c,커엽...❤❤,2025-07-31
츄베릅jmt_20250726_c2,츄베릅jmt_20250726,@10.lOVE_IVE,"새벽마다 먹방보는게 제 소확행인데, 츄베릅님 영상 진짜 잘 보고있어용..!😊 다음에 초코디저트들 먹방도 보고 싶습니다🍫",2025-07-30
츄베릅jmt_20250726_c3,츄베릅jmt_20250726,@영희전-w5c,"진짜 맛있게 먹는다 언니
부러워요 얼굴이 너무예뻐요❤😮😮😮",2025-07-30
츄베릅jmt_20250726_c4,츄베릅jmt_20250726,@또요-r9d,님조유리닮았어요,2025-07-30
츄베릅jmt_20250726_c5,츄베릅jmt_20250726,@_maria0105,드시는것도 힐링되고 예쁘셔서 구독하고 갑니당~,2025-07-28
츄베릅jmt_20250726_c6,츄베릅jmt_20250726,@nojasineulalla523,예-아!,2025-07-27
츄베릅jmt_20250726_c7,츄베릅jmt_20250726,@나야_입흐밍,단거 잘드신다..💦부러버요👻,2025-07-27
츄베릅jmt_20250726_c8,츄베릅jmt_20250726,@이지환-f8w7y,맛있어 보인당 ....,2025-07-27
츄베릅jmt_20250726_c9,츄베릅jmt_20250726,@정재원-q1h,넘ㅁ귀여워서 심장이 안멈춰요...😊,2025-07-27
츄베릅jmt_20250726_c10,츄베릅jmt_20250726,@bori1711,오늘 ㄹㅈㄷ 미모발사!!!,2025-07-26
츄베릅jmt_20250726_c11,츄베릅jmt_20250726,@Yunbbi_CO,짱구 안대 너무 귀야운 거 아니에요 ..🥺,2025-07-26
츄베릅jmt_20250726_c12,츄베릅jmt_20250726,@한미현-c1q,렌즈정보 궁금합니다,2025-07-26
츄베릅jmt_20250726_c13,츄베릅jmt_20250726,@맛집뜰이,수면안대 출처 알 수 있을까요?,2025-07-26
츄베릅jmt_20250726_c14,츄베릅jmt_20250726,@가빈44,악겁나귀여우셔서 어떡행🙈😽,2025-07-26
츄베릅jmt_20250726_c15,츄베릅jmt_20250726,@sad_adventure,Delicious 😋😮❤,2025-07-26
츄베릅jmt_20250726_c16,츄베릅jmt_20250726,@도토로-x4z,안대 정보좀여ㅜㅠ 츄베릅님이랑 찰떡이궁 너무 귀여워요,2025-07-26
츄베릅jmt_20250726_c17,츄베릅jmt_20250726,@최우성-e6u,1빠❤❤,2025-07-26
츄베릅jmt_20250721_c1,츄베릅jmt_20250721,@Keonhee-y7t,❤❤❤❤❤❤❤❤,2025-08-01
츄베릅jmt_20250721_c2,츄베릅jmt_20250721,@영희전-w5c,이번영상 진짜 좋아요 많이 나와야됨 레전드임!❤❤,2025-07-30
