COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
띠미_ddimmi_20250722_c1,띠미_ddimmi_20250722,@미애옹씨,"저번 실패 영상에 
많은 분들이 딱딱한 형태면 된다구 하셨는데
이번에두 딱딱하지 않은것들이네용?
어둡고, 불투명하면서 딱딱한 형태의
무언가로 하면 될것같은데요…
그게 뭔지는 잘모르겠지만요!",2025-07-22
띠미_ddimmi_20250722_c2,띠미_ddimmi_20250722,@시즈니나가신다뿌뿌,"두바이 초콜렛 부탁드립니다 ❤❤❤❤
구독자 한지 오래입니다😢😢",2025-08-01
띠미_ddimmi_20250722_c3,띠미_ddimmi_20250722,@시즈니나가신다뿌뿌,화이트 초콜릿 과 두바이 초콜렛 해주새요❤❤❤  구독완료❤❤,2025-08-01
띠미_ddimmi_20250722_c4,띠미_ddimmi_20250722,@Cece-u8r,근데 사탕 색소 넣으면 안되더라구요 ㅋㅋ,2025-07-31
띠미_ddimmi_20250722_c5,띠미_ddimmi_20250722,@용준김-e4u,홀로그램  초코릿으로 요아정 기계로요아정 만들고  토핑 해 먹으세요,2025-07-31
띠미_ddimmi_20250722_c6,띠미_ddimmi_20250722,@용준김-e4u,초코릿으로 요아정 토핑 해 먹으세요,2025-07-31
띠미_ddimmi_20250722_c7,띠미_ddimmi_20250722,@김은선-z9t,다양한 색깔의 초콜릿해주세요.,2025-07-31
띠미_ddimmi_20250722_c8,띠미_ddimmi_20250722,@앵두나라-i3r,이걸로 두바이 초콜릿 만듬 재밌겠다(유행이 넘 지났나?하하하하하하하ㅏ),2025-07-29
띠미_ddimmi_20250722_c9,띠미_ddimmi_20250722,@포포두-e8v,아이스크림으로 해주세용 ❤❤❤❤❤❤,2025-07-29
띠미_ddimmi_20250722_c10,띠미_ddimmi_20250722,@송현우-x7o,힘내세요❤,2025-07-28
띠미_ddimmi_20250722_c11,띠미_ddimmi_20250722,@슬아의심심풀이,"초콜릿을 먼저 깔고 그 위에 젤리, 사탕, 카라멜을 하면 됄 듯",2025-07-28
띠미_ddimmi_20250722_c12,띠미_ddimmi_20250722,@user-vy1td8tr2k,아니 왜 젤라틴을 넣냐구...,2025-07-28
띠미_ddimmi_20250722_c13,띠미_ddimmi_20250722,@피곤한외계외계외계인,홀로그램 몰드로 두바이초콜릿 해주세욧!,2025-07-28
띠미_ddimmi_20250722_c14,띠미_ddimmi_20250722,@원주-r5d,"달고나랑 두바이초콜렛하면 될거같아요!!!!!!
(둘다 만들기,....) 1번더 원함......",2025-07-27
띠미_ddimmi_20250722_c15,띠미_ddimmi_20250722,@인형-p1b,홀로그램 몰드에 달고나를 붙여서 넣어 봐요 그럼 딱딱해지면 초콜릿처럼 될 거예요,2025-07-27
띠미_ddimmi_20250722_c16,띠미_ddimmi_20250722,@신계자-y4n,유행은 지났지만 홀로그램판으로 두바이초콜릿 만들어주세요,2025-07-27
띠미_ddimmi_20250722_c17,띠미_ddimmi_20250722,@조희섭-y4r,"띠미 언니 일반 우유는 찐으로 돼요 
 파이팅!♡~❤🎉😂",2025-07-26
띠미_ddimmi_20250722_c18,띠미_ddimmi_20250722,@IRIS_CHAN03,그냥 젤라틴 조금에 초코 섞으면 안되나요,2025-07-26
띠미_ddimmi_20250722_c19,띠미_ddimmi_20250722,@민규-b8w5d,홀로그램 몰드로 두바이 초콜릿 만들어주실수 있나요?,2025-07-26
띠미_ddimmi_20250722_c20,띠미_ddimmi_20250722,@shirokim781,"코하쿠토는 되지 않을까요?
딱딱하게 하고 어두운 보라색정도  코하쿠토로  한다면?",2025-07-25
띠미_ddimmi_20250722_c21,띠미_ddimmi_20250722,@양지현-t8q,코하쿠토로 해주세요,2025-07-25
띠미_ddimmi_20250722_c22,띠미_ddimmi_20250722,@이수진-u9e5i,얼음!,2025-07-25
띠미_ddimmi_20250722_c23,띠미_ddimmi_20250722,@금용이-n9g,젤리랑초콜릿하면어떼요?,2025-07-25
띠미_ddimmi_20250722_c24,띠미_ddimmi_20250722,@서화목-o4y,단단하고 굳었을때어두운색갈이면다될거갇은대요?,2025-07-25
띠미_ddimmi_20250722_c25,띠미_ddimmi_20250722,@장맂프,쿠하쿠토 될거같아용!,2025-07-25
띠미_ddimmi_20250722_c26,띠미_ddimmi_20250722,@luckgood4342,양갱안돼여? ㅠㅠ제발요 ㅠ❤,2025-07-25
띠미_ddimmi_20250722_c27,띠미_ddimmi_20250722,@룡룡-l2u,두바이 초콜릿 해주세요,2025-07-25
띠미_ddimmi_20250722_c28,띠미_ddimmi_20250722,@밍밍is,"초콜릿만 된다면 두바이초콜릿 가능한가요?
아니면 쿠하코토는 될 수도?😅😅",2025-07-25
띠미_ddimmi_20250722_c29,띠미_ddimmi_20250722,@happppy_h,두바이초코한번만요😢😢😢,2025-07-25
띠미_ddimmi_20250722_c30,띠미_ddimmi_20250722,@chick.foot13,진짜 찐찐막으로 얼음 한번만 해주세요😢😢 딱딱해서 왠지 될거 같아요❤,2025-07-24
