COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
젼언니_jeon_unni_20250730_c1,젼언니_jeon_unni_20250730,@jeon_unni,약간 전남친이 생각난 느낌이었달까...?,2025-07-30
젼언니_jeon_unni_20250730_c2,젼언니_jeon_unni_20250730,@영숙김-f9q,우리 운냐는 3월쯤에 소개했던ㅋㅎㅋ초콜릿 감자칩도 넣어먹는걸 보니까ㅋㅋ 얼마나 맛이 죽일리우스야!!!!,2025-08-01
젼언니_jeon_unni_20250730_c3,젼언니_jeon_unni_20250730,@onsen1.o,아니 언니.. 작게 만든다며…,2025-08-01
젼언니_jeon_unni_20250730_c4,젼언니_jeon_unni_20250730,@복숭아-m2d,제발 ㅠ 팔아주세여ㅕㅠㅠㅠㅠ,2025-08-01
젼언니_jeon_unni_20250730_c5,젼언니_jeon_unni_20250730,@소영이l4s,"젼둥어에 빠져버렸ㄷr...❤❤ 운니 나 가족들하고 있을때 뭐 먹으면 꼭ㅋㅋ무더보장! 이러케 말해서ㅋㅋㅋ가족들이 젼둥어 따라해ㅋㅋㅋㅋ❤❤❤❤




항상 조은 영상 고마버❤❤ㅠㅜㅜ 
그럼 안냔!!❤❤😢😢❤❤",2025-08-01
젼언니_jeon_unni_20250730_c6,젼언니_jeon_unni_20250730,@하늘꽃별-b5t,😊❤,2025-08-01
젼언니_jeon_unni_20250730_c7,젼언니_jeon_unni_20250730,@히디-w2q,저 초콜렛 감자칩 이름이 뭘까요?! 잘 안보여서요퓨ㅠ 검색해도 안 나오네용,2025-08-01
젼언니_jeon_unni_20250730_c8,젼언니_jeon_unni_20250730,@앵댜0dr,연어 캔디 보리굴비 스타일로 드셔주세용ㅇ!!!,2025-08-01
젼언니_jeon_unni_20250730_c9,젼언니_jeon_unni_20250730,@김사냐-l5n,운니 루마니아의 전통음식인 사르마이라는 음식 만들어줘,2025-08-01
젼언니_jeon_unni_20250730_c10,젼언니_jeon_unni_20250730,@다온조-i1n,"젼언니는 언제나 봐도 이뿌다 
근대 맛있게 잘 만드세네요",2025-08-01
젼언니_jeon_unni_20250730_c11,젼언니_jeon_unni_20250730,@동민고,뮤지컬하셔도 잘하실 것 같아요❤❤,2025-08-01
젼언니_jeon_unni_20250730_c12,젼언니_jeon_unni_20250730,@곰돌이25,"GS25에 과일모양(복숭아, 레몬, 망고) 아이스크림 판매 하는데 먹어주세요",2025-07-31
젼언니_jeon_unni_20250730_c13,젼언니_jeon_unni_20250730,@songsong6212,언니 연필심쫀드기(그냥쫀드기x) 기름에 튀겨서 라면스프랑 설탕 3:1 비율로 섞은 가루 뿌려서 드셔보세용,2025-07-31
젼언니_jeon_unni_20250730_c14,젼언니_jeon_unni_20250730,@체웅냥냥,다들 모르시던데.. 그 개코 젤리 잇잖아요 !! 그거 4-5시간 정도 얼려서 먹으면 빠작 한게 완젼..ㅜㅜㅜ ㅎ ㅏ 꼭 드셔보세요,2025-07-31
젼언니_jeon_unni_20250730_c15,젼언니_jeon_unni_20250730,@바닷속알맹이,"젼언니가 만든것 중에서 간단한게 있었나요 .?;,",2025-07-31
젼언니_jeon_unni_20250730_c16,젼언니_jeon_unni_20250730,@미유네즈-w6z,빨리 머거주새용 ㅠㅠ먹는영상 나올때까지 숨참을거에용!ㅋㅋ,2025-07-31
젼언니_jeon_unni_20250730_c17,젼언니_jeon_unni_20250730,@dodada164,카피바라 케이크 만들어 주세용,2025-07-31
젼언니_jeon_unni_20250730_c18,젼언니_jeon_unni_20250730,@홍경희-c6i,이렇게 자다가 일어나서 맛있는거 만들어 먹는 운니가 진정한 으른...,2025-07-31
젼언니_jeon_unni_20250730_c19,젼언니_jeon_unni_20250730,@아이리스블루,"그 동안ㅜㅜ  안봤던건 다이어트 때문에 이제 끝나서ㅎㅎ 다시보고있습니다.ㅋ
아~다시 요요가 올듯",2025-07-31
젼언니_jeon_unni_20250730_c20,젼언니_jeon_unni_20250730,@yumyum8935,전 언니가 간단하게 하는걸 본적이 없는거같아요,2025-07-31
젼언니_jeon_unni_20250730_c21,젼언니_jeon_unni_20250730,@qwer7uyt,젼언니 진쨩 사랑행 아뉘 편의점 갔는데 젼언니 스윗믹스 젤리 신상 또  나왓떠..!😊,2025-07-31
젼언니_jeon_unni_20250730_c22,젼언니_jeon_unni_20250730,@barcode_ll,팔면대충12억정도하겟다,2025-07-31
젼언니_jeon_unni_20250730_c23,젼언니_jeon_unni_20250730,@탯냥이-러버,좋아요999개 만들기,2025-07-31
젼언니_jeon_unni_20250730_c24,젼언니_jeon_unni_20250730,@소독족,이제야 안보이나 싶더니.. 또 시작되는거 아냐 ㅠㅠ..,2025-07-31
젼언니_jeon_unni_20250730_c25,젼언니_jeon_unni_20250730,@boke_xu,아니 두바이초코케이크?? 이건 아니지예.. (츄베릅),2025-07-31
젼언니_jeon_unni_20250730_c26,젼언니_jeon_unni_20250730,@tvs7020,간단이 맞아요?❤😂,2025-07-31
젼언니_jeon_unni_20250730_c27,젼언니_jeon_unni_20250730,@jihyun_Rose,언니 이상형은 오늘부터 두바이 케이크로,2025-07-31
젼언니_jeon_unni_20250730_c28,젼언니_jeon_unni_20250730,@쁘예-k1g,언니~ 목걸이 너무 예뻐요~ 다음번에 엑세사리한번 보여주세용~~,2025-07-31
젼언니_jeon_unni_20250730_c29,젼언니_jeon_unni_20250730,@user-nc4dk4eo4v,언니 퐁신당마시멜로우 신맛챌린지 해주세오😊😊,2025-07-31
젼언니_jeon_unni_20250730_c30,젼언니_jeon_unni_20250730,@euna_10,언니...새벽에 사고도 만들어 무뎠자나...ㅋㅋㅋㅋㅋ,2025-07-31
젼언니_jeon_unni_20250730_c31,젼언니_jeon_unni_20250730,@팡팡이다,간단..?,2025-07-31
젼언니_jeon_unni_20250730_c32,젼언니_jeon_unni_20250730,@마야인데여,다음엔 궁채무침 해주십셔,2025-07-31
젼언니_jeon_unni_20250730_c33,젼언니_jeon_unni_20250730,@승아쓰,언니 사랑해,2025-07-31
젼언니_jeon_unni_20250730_c34,젼언니_jeon_unni_20250730,@H_o00008,아 진짜 젼언니 디저트가게 내주면 좋겠다..,2025-07-31
젼언니_jeon_unni_20250730_c35,젼언니_jeon_unni_20250730,@하루-m7r-c6x,백 아스타라거스 장아지 먹어부세요2트,2025-07-31
젼언니_jeon_unni_20250730_c36,젼언니_jeon_unni_20250730,@태백홍-j4t,아 맛있겠다,2025-07-31
젼언니_jeon_unni_20250730_c37,젼언니_jeon_unni_20250730,@쩡린,의도한거 아니랬는데~~ 운니 그말을 누가 믿어요~눼~??!!!으그증말~~~,2025-07-31
젼언니_jeon_unni_20250730_c38,젼언니_jeon_unni_20250730,@Crovus1992,분명 조금이라고 zz😂😂😂😂😂,2025-07-31
젼언니_jeon_unni_20250730_c39,젼언니_jeon_unni_20250730,@수빈-n2r,저게 왜 간단한거얔ㅋㅋㅋ 카다이프양부터 심상치안았어..,2025-07-31
젼언니_jeon_unni_20250730_c40,젼언니_jeon_unni_20250730,@jiusong-m8b,맛있겠다❤️‍🔥,2025-07-31
젼언니_jeon_unni_20250730_c41,젼언니_jeon_unni_20250730,@왕서우-x8u,"❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤초콜렛감자칩이 울산에 있는 현대백화점 마트에
있어요❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤",2025-07-31
젼언니_jeon_unni_20250730_c42,젼언니_jeon_unni_20250730,@tvgogo7250,운니 쪼금이 아닌디?,2025-07-31
젼언니_jeon_unni_20250730_c43,젼언니_jeon_unni_20250730,@shinkyungmi,너무 이뿌세욥❤,2025-07-31
젼언니_jeon_unni_20250730_c44,젼언니_jeon_unni_20250730,@TV-zz7xh,초코 감자칩 단짠단짠해서 맛잇믐,2025-07-31
젼언니_jeon_unni_20250730_c45,젼언니_jeon_unni_20250730,@떡볶이중독자_키마,언니 제발 피클사고 해줘!!❤❤🥒🥒🥒🥒,2025-07-31
젼언니_jeon_unni_20250730_c46,젼언니_jeon_unni_20250730,@Happy-c7n6o,스프레드 어디껀지 알수있을까여?!?! 침 줄줄..😻,2025-07-31
젼언니_jeon_unni_20250730_c47,젼언니_jeon_unni_20250730,@밀크0802,우와 마시겠다!,2025-07-31
젼언니_jeon_unni_20250730_c48,젼언니_jeon_unni_20250730,@민경이-d5e,언니.. 언니를 움직이게 하는건 음식이나 젼둥이잖앙,2025-07-31
젼언니_jeon_unni_20250730_c49,젼언니_jeon_unni_20250730,@김씨네-d5v,마자 언닌 새벽에 디저트 생각 안나고 쌀국수 생각나지,2025-07-31
젼언니_jeon_unni_20250730_c50,젼언니_jeon_unni_20250730,@양정아-v7n,그럼살져요~,2025-07-31
젼언니_jeon_unni_20250730_c51,젼언니_jeon_unni_20250730,@Roblox_Grabit,정말 잘만드신 것 같아요.❤❤❤❤❤❤❤,2025-07-31
젼언니_jeon_unni_20250730_c52,젼언니_jeon_unni_20250730,@퉁퉁퉁-2,젼언니  간단하게 (푸짐하게 배부를 정도),2025-07-31
젼언니_jeon_unni_20250730_c53,젼언니_jeon_unni_20250730,@젼언니가좋은사람,"오늘도 행복하게 웃게해주셔서 고맙습니다 젼언니💕
두바이 초코케이크 너무 무더보고 시프!",2025-07-31
젼언니_jeon_unni_20250730_c54,젼언니_jeon_unni_20250730,@kkang_ji_o2,으아 한입만 ㅠㅠ 먹어보고 싶어요,2025-07-31
젼언니_jeon_unni_20250730_c55,젼언니_jeon_unni_20250730,@앙칼진방구,"요언니 또 멱살잡고 데꼬오셨네 
자.. 이제 집 근처 두바이케이크 파는데를 찾아보까...?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ😂",2025-07-31
젼언니_jeon_unni_20250730_c56,젼언니_jeon_unni_20250730,@이예나-b2s,와~~진짜맛있겠다😅침이 주르르🤤,2025-07-31
젼언니_jeon_unni_20250730_c57,젼언니_jeon_unni_20250730,@슈슈나나랜드,늦게왔죠ㅜㅜ,2025-07-31
젼언니_jeon_unni_20250730_c58,젼언니_jeon_unni_20250730,@토롱뇽냥,운니.❤ 사고로 폭탄? 케익 만들어봐여!!!😊,2025-07-31
젼언니_jeon_unni_20250730_c59,젼언니_jeon_unni_20250730,@카와이-u5r,언니가 간단하게라고하면 무습다 덜덜덜🥶,2025-07-30
젼언니_jeon_unni_20250730_c60,젼언니_jeon_unni_20250730,@옥슈,양부터 간..단?....ㅋㅋㅋ,2025-07-30
젼언니_jeon_unni_20250730_c61,젼언니_jeon_unni_20250730,@여행고양이-g9x,흠 저 헬스 중인데 츄륵😢 먹고싶다,2025-07-30
젼언니_jeon_unni_20250730_c62,젼언니_jeon_unni_20250730,@트윙클주쥬-f2b,아..증말 데코 이런다카네까네!!❤❤,2025-07-30
젼언니_jeon_unni_20250730_c63,젼언니_jeon_unni_20250730,@이지은-s9k3q,초콜릿감자칩 존나 개비싸서 한국사람들 기본 예감에 초콜릿 발라먹는다 다들 한번 해보세여,2025-07-30
젼언니_jeon_unni_20250730_c64,젼언니_jeon_unni_20250730,@별이-g4n,젼언니!!!❤️❤️ 금손이다👍,2025-07-30
