VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
젼언니_jeon_unni_20250730,새벽에 생각나 만든 두바이 초콜릿 케이크,#shorts,젼언니 jeon_unni,2025-07-30,PT1M,523203,9903,177,youtube
젼언니_jeon_unni_20250729,순살 간장게장+청양고추무침 조합🦀,#shorts,젼언니 jeon_unni,2025-07-29,PT1M18S,396531,6584,355,youtube
젼언니_jeon_unni_20250723,입맛 없을 때 엄마표 양념 게장🦀,#shorts,젼언니 jeon_unni,2025-07-23,PT1M1S,397753,6680,123,youtube
젼언니_jeon_unni_20250721,함미한테 손녀얼굴이 있는 젤리를 드려바따💗,#shorts,젼언니 jeon_unni,2025-07-21,PT1M,217767,4440,69,youtube
젼언니_jeon_unni_20250719,초복에 삼계탕이랑 쪽파 🐓쪽파쪽파,#shorts,젼언니 jeon_unni,2025-07-19,PT1M,192759,4338,108,youtube
젼언니_jeon_unni_20250718,태그 폭탄 당했던 과일 아이스크림🍨,#shorts,젼언니 jeon_unni,2025-07-18,PT1M,500051,11747,100,youtube
젼언니_jeon_unni_20250716,직접 만든 라부부 케이크 먹으면서 얘기하자🍰,#shorts,젼언니 jeon_unni,2025-07-16,PT1M22S,364013,8677,222,youtube
젼언니_jeon_unni_20250715,전세계 대란템 라부부.. 없으면 만든다🍰,#shorts #라부부,젼언니 jeon_unni,2025-07-15,PT1M,713109,13805,301,youtube
젼언니_jeon_unni_20250714,"단돈 1,000원부터 버거킹 즐기는 법🌯",#shorts #광고 #버거킹 #올데이스낵 #크리스퍼랩,젼언니 jeon_unni,2025-07-14,PT1M5S,253878,3958,107,youtube
젼언니_jeon_unni_20250711,새벽에 닭발 먹고 기분 좋아진 여자들,#shorts,젼언니 jeon_unni,2025-07-11,PT1M,555671,12538,155,youtube
젼언니_jeon_unni_20250710,고추장아찌가 들어있는 레몬무뼈닭발🍋,#shorts,젼언니 jeon_unni,2025-07-10,PT1M,518922,7947,97,youtube
젼언니_jeon_unni_20250709,맵고 시고 짜고 단 멕시코 간식 뚜론 로사🐝,#shorts,젼언니 jeon_unni,2025-07-09,PT1M,422280,7056,98,youtube
젼언니_jeon_unni_20250708,분홍색의 멕시코 길거리 간식 뚜론 로사🍬,#shorts,젼언니 jeon_unni,2025-07-08,PT1M,550415,8190,127,youtube
젼언니_jeon_unni_20250706,투명한 과일..?! 야자나무 열매 아이스 애플🌴,#shorts,젼언니 jeon_unni,2025-07-06,PT1M1S,658305,10726,131,youtube
젼언니_jeon_unni_20250705,직접 만든 바삭한 육포칩에 레드 타키스 가루🥩,#shorts,젼언니 jeon_unni,2025-07-05,PT1M29S,259432,4851,80,youtube
젼언니_jeon_unni_20250704,날 키워주신 할머니께 간식선물🎁,#shorts #바나나과자 #과자추천 #간식추천,젼언니 jeon_unni,2025-07-04,PT1M23S,278052,6015,215,youtube
젼언니_jeon_unni_20250703,많은 요청으로 스윗믹스젤리 2탄 출시⁉️,,젼언니 jeon_unni,2025-07-03,PT1M25S,419806,7931,378,youtube
젼언니_jeon_unni_20250630,망고 사고의 계절이 돌아왔다🥭,#shorts,젼언니 jeon_unni,2025-06-30,PT1M,765239,14813,193,youtube
젼언니_jeon_unni_20250627,2년만에 나온 불닭 신제품! 불닭 푸팟퐁커리🔥,#shorts,젼언니 jeon_unni,2025-06-27,PT1M24S,364733,6611,118,youtube
젼언니_jeon_unni_20250625,나물 가득 넣은 엄마표 노각 비빔밥🥒🍚,#shorts,젼언니 jeon_unni,2025-06-25,PT1M6S,638970,8803,110,youtube
젼언니_jeon_unni_20250624,여름엔 이거다!!!노각 무침 만들쟈🥒,#shorts,젼언니 jeon_unni,2025-06-24,PT1M26S,452037,8515,117,youtube
젼언니_jeon_unni_20250624,구독자분이 알려주신 동전오징어 레시피🦑,#shorts,젼언니 jeon_unni,2025-06-24,PT1M,752903,14947,99,youtube
젼언니_jeon_unni_20250622,벽돌 초콜릿 케이크 요거트에 찍어먹기🍫,#shorts,젼언니 jeon_unni,2025-06-22,PT1M4S,343928,5613,70,youtube
젼언니_jeon_unni_20250619,나폴리 맛피아님이 만들어주신 투움바치킨🍗,#shorts,젼언니 jeon_unni,2025-06-19,PT1M9S,274632,4310,68,youtube
젼언니_jeon_unni_20250619,엄마한테 간식창고를 걸렸습니다ㅠㅠ,#shorts,젼언니 jeon_unni,2025-06-19,PT1M,1458678,23213,112,youtube
젼언니_jeon_unni_20250618,엄마표 비빔 쌀국수🍜 근데 참외가 왜 들어가???,#shorts,젼언니 jeon_unni,2025-06-18,PT1M,520914,8709,111,youtube
젼언니_jeon_unni_20250614,김치찜에 이걸 넣어먹으면 진짜 맛있습니다..,#shorts,젼언니 jeon_unni,2025-06-14,PT1M,461932,7891,135,youtube
젼언니_jeon_unni_20250613,죽기 전에 먹어봐야 할 3대 쿠키 중 하나?!🍪,#shorts,젼언니 jeon_unni,2025-06-13,PT1M2S,284904,4758,58,youtube
젼언니_jeon_unni_20250609,아니 나 빼고 요리사 대회가 열렸다는데..,#shorts,젼언니 jeon_unni,2025-06-09,PT1M16S,228964,4561,53,youtube
젼언니_jeon_unni_20250608,룸메이트에게 미끼를 던지는 여자...🍏,#shorts,젼언니 jeon_unni,2025-06-08,PT1M13S,272092,4788,68,youtube
젼언니_jeon_unni_20250606,한살차이 하루님께 젼언니 정식 대접하기❤️,#shorts,젼언니 jeon_unni,2025-06-06,PT1M,920415,18746,140,youtube
젼언니_jeon_unni_20250604,피스타치오 좋아하는 사람? 이거다!!🍦,#shorts,젼언니 jeon_unni,2025-06-04,PT57S,204740,3407,292,youtube
젼언니_jeon_unni_20250603,벽돌 초콜릿 케이크 만들기 성공?!🍫,#shorts,젼언니 jeon_unni,2025-06-03,PT1M,732373,12812,143,youtube
젼언니_jeon_unni_20250529,벽돌 초콜릿 케이크를 밀카로 덮어버렸다🍰,#shorts,젼언니 jeon_unni,2025-05-29,PT1M,632466,11831,127,youtube
젼언니_jeon_unni_20250528,감기를 낫게 해준다는 페니실린 파스타🍝,#shorts,젼언니 jeon_unni,2025-05-28,PT1M,381233,7855,186,youtube
젼언니_jeon_unni_20250526,맛잘알은 초콜릿 종류를 다 맞출 수 있을까,#shorts,젼언니 jeon_unni,2025-05-26,PT1M,1097749,18713,128,youtube
젼언니_jeon_unni_20250525,터키 벽돌 초콜릿 걸린 그 이후,#shorts,젼언니 jeon_unni,2025-05-25,PT1M,849652,17199,174,youtube
젼언니_jeon_unni_20250523,터키 벽돌 초콜릿 분석하다 생긴 일..,#shorts,젼언니 jeon_unni,2025-05-23,PT1M,974083,13904,186,youtube
젼언니_jeon_unni_20250522,드디어 먹는다. 터키의 벽돌 초콜릿 케이크🍰,#shorts,젼언니 jeon_unni,2025-05-22,PT1M,1074228,17366,211,youtube
젼언니_jeon_unni_20250520,피클5종 중 피클국수에 적합한 건?🥒,#shorts,젼언니 jeon_unni,2025-05-20,PT1M,670647,10970,112,youtube
젼언니_jeon_unni_20250519,편의점 크림브륄레 똑같이 만들 수 있을까?🥧,#shorts #로로멜로 #아이스브륄레 #크림브륄레 #GS25 #편의점신상 #편의점간식 #신상디저트 #편의점,젼언니 jeon_unni,2025-05-19,PT1M,321008,4359,71,youtube
젼언니_jeon_unni_20250514,[내돈내산] 차갑게 먹는 레몬무뼈닭발🍋,#shorts,젼언니 jeon_unni,2025-05-14,PT1M,1563387,22230,338,youtube
젼언니_jeon_unni_20250513,동전오징어 제대로 먹는 법 알려드려요🦑,#shorts,젼언니 jeon_unni,2025-05-13,PT1M,1043596,16677,151,youtube
젼언니_jeon_unni_20250509,동전 오징어 해먹으려는데 버터가 없네..?,#shorts,젼언니 jeon_unni,2025-05-09,PT1M,1166066,15238,167,youtube
