POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,COMMENTS,PLATFORM
anunu.kr.csv_2025-07-28,,진짜 과일같은 수제젤리 모둠,"#수제젤리, #고체, #29cm, #fyp, #nightsnack, #먹방, #mukbangkorea, #asmr, #mukbang",anunu.kr.csv,2025-07-28,2148,"esc_studio | 2025-07-29 | 나 너무 기대되자나ㅏㅏㅏㅏㅏㅏ
zi_hyeon | 2025-07-29 | 노루군......?!! 숏츠에서는 젤근이로 활동 하시나오?
bakjiwon2 | 2025-07-28 | 왓더
goche_chego | 2025-07-28 | 안녕하세요! 💜
수제젤리 고체입니다!ღ'ᴗ'ღ
항상 감사드립니다! 누누님! 정섭님!
더우나, 추우나 망원동 나들이 오실때마다 소중한 발걸음해주시고 ..
저희젤리를 애정해주시는 덕분에
많은 팬분들께서도 귀한걸음 주시고 계세요! 무더운 여름 수분충전 잘 하시구 건강 잘 챙기시면서 계획하시는 모든일들 앞으로도 번창하시길 항상 응원드립니다!
다시한번 진심으로 감사드립니다 :) 조만간 시간되시는날 또 당충전하러 고체로 놀러 오세요옹 °• ♥ •°
hongji_yam | 2025-07-28 | 헐 자두가 짱 신기해요😮😮
reviewyanolza | 2025-07-28 | 저도 하나만 줘여
sn_muk | 2025-07-28 | 젤근이 데뷔하라구",Instagram
anunu.kr.csv_2025-07-25,,역대급으로 많이 팔려버린 스위즐스 근황,,anunu.kr.csv,2025-07-25,442,"hairmer6 | 2025-07-25 | 찐은 진짜 맛있어..😳
dan_beee_e | 2025-07-25 | 먹어보면 더 사고싶은맛..어카지….또 사야되나….
jin_a__da | 2025-07-25 | 버블검맛 120g100g 따로 없는거죠?
yuhee__iam | 2025-07-26 | 그냥 먹으면 부들부들 얼려먹으면 파삭 쫀득 😍
haemil_11 | 2025-07-25 | 공구하시면 무조건입니다😍😍고고씽
jaehxyn.02 | 2025-07-29 | 내 빤스 당근해서 젤리 살 돈 모았습니다.
hhyyeeoz | 2025-07-27 | 버블검 맛은 진심 사기야 ...
esc_studio | 2025-07-25 | 파워 지린다.....🫠🫠🫠🫠✨
eussya_eussya | 2025-07-25 | 바나나맛 맛있는데..
today_seungeun | 2025-07-25 | 와웅❤️
norutagram | 2025-07-25 | 더블딥 되면 10박스 쟁인다
let___me__know | 2025-07-25 | 더블딥 원츄
hxunsz_ | 2025-07-25 | 더블딥 제발제발제발제발제발요 너무 먹고싶어요 제발요 내가 살면서 젤리를 6만원치 산건 처음이야...;;;;
rud1234569 | 2025-07-25 | 나도삿지요👏
l_sangguo_x.x_ | 2025-07-25 | 처음엔 CS가 좀 막혀서 답답할뻔도 했는데 친절하게 잘해주시더라구요~! 4만개 주문이면 인정할만 하네요..개편도 많이 됐다고 하니 믿고 한번 더 구매 갑니다 너무 맛있어요 ㅠㅠ
anunu.kr | 2025-07-25 | 25일부터의 구매 후 스토리 인증해주시면 파삭 쑥맛을 5분께 드립니다!

(7/~) 구매 후
아누누(@anunu.kr) 태그를 포함한 인스타그램 스토리에 올려주시면 응모 완료!
kimgi_1119 | 2025-07-27 | 하나 먹으면 아쉬워... 두개 먹으면 아쉬워... 근데 아쉽다가 보면 사라져있어요 이 사료 뭐예요",Instagram
anunu.kr.csv_2025-07-22,,망고 납작복숭아와 요거트분수,"#nightsnack, #fyp, #mukbangkorea, #야식, #asmr, #mukbang, #yogurtboy",anunu.kr.csv,2025-07-22,2444,"pink.tape_ | 2025-07-22 | 제가 본 아누누님 표정중에 제일 행복해보이시네요😂
dongyul_ee | 2025-07-22 | 아 진짜 맛있어보여요오!!
라이브때랑 확실히 요거트 질감이 다른듯!!
hxunsz_ | 2025-07-22 | 아닠ㅋㅋㅋ목젖보이겟아옄ㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㄱㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋ역대급 행복해보임ㅠㅋㅋㅋㅋㅋㅋ
belly_d_ | 2025-07-22 | 오마이갓….🤤
hongji_yam | 2025-07-22 | 진짜 천재적 발상..!!! 너무 탐나요😮😮
kim_stxx2 | 2025-07-22 | 아니 요거트 진짜 사랑하는데 아누누님은 완젼 진심 인듯❤️ 저는 그 요거트에 녹차,쑥 가루나 가루를 녹인 시럽 같은거 동봉해서 섞어먹는 그런거 나왔으면 좋겠어여
dagaall.hanbok | 2025-07-23 | 천재~ ~ ~ ~ 👏👏👏😮
lovelyaralla | 2025-07-23 | 이렇게 먹는데 왜.살이안쪄요🔥😂부러비
a._.hyeon190304 | 2025-07-22 | 엄청나게 행복해 보인다 ㅋㅋㅋㅋ
yesung_255 | 2025-07-22 | 이사람 요거트 오지게 좋아하는듯
sujinmi54 | 2025-07-22 | 잠깐만여 숟가락 아니고 국잔데???😮😮😮
2__his2 | 2025-07-23 | 기다렸다구
luvvyulx | 2025-07-22 | 복숭아 어디꺼에요? 😢
seo_young140623 | 2025-07-23 | 아 진짜 이럴줄 알았어,,
hee208500 | 2025-07-23 | 안질려요?요거트
klw._.05 | 2025-07-22 | 아이디어 천채 누누님
m.ing_jjang | 2025-07-23 | 빵인줄 알았ㄴ느데
heychambo | 2025-07-23 | 요거트왕 아누누님
s.12yz | 2025-07-23 | 마이크 물에 담궜다뺀소리 사라졌네",Instagram
anunu.kr.csv_2025-07-21,,해외에서 엄청뜬 바삭한 한국 마시멜로,"#fyp, #nightsnack, #mukbangkorea, #야식, #asmr, #mukbang, #yogurtboy",anunu.kr.csv,2025-07-21,2.1만,"coco_osksk | 2025-07-21 | 향이 맛이 난다고?!
soyul_naye | 2025-07-21 | 저거 그냥 냉동고에 넣어도 저렇게 바사삭 거려요!!
nandoong___ | 2025-07-24 | 저희도 먹어봤는데 맛있더라구요🤩🦷⚡️
ktwizjiyoon | 2025-07-22 | 저거 2년전까지만해도 즐겨먹었는데 너무 달아서 머리아픔
jang_hada__ | 2025-07-23 | 저거 내 최애 마시멜로인데!!! 따라해봐야징잉잉😍
jan_et1309 | 2025-07-21 | 그걸로 데카포 만들면 짱 맛있는데😍
kms5351 | 2025-07-22 | 어디서 사나요?
gimseoyeon2692 | 2025-07-22 | 오 이고 내가 해 먹건 방법인데...! 대밧!
pygmy_minsoo | 2025-07-22 | 그 마시멜로 동결건조 시켜주세요!!!!
klw._.05 | 2025-07-21 | 맛있겠당 누누님 소리 대박 👍
daeun_xi | 2025-07-21 | 동결건조!!!!
n.5oak | 2025-07-21 | 누가 젼언니좀 태그해봐요!!
yuri_1ing | 2025-07-23 | 얼려먹어보세용
happy_soyang15 | 2025-07-21 | 나 이거 겁나 조아하는데..
jy._.jooha | 2025-07-22 | @jeon_unni_ 이거 먹어 주셍요요
suk_91 | 2025-07-25 | 안되...유명해지지마 😢
leeyunhyeong212 | 2025-07-21 | 요거트 차갑게해서 넣어 먹어주세요.
030o33 | 2025-07-22 | 이거 진찌 맛있는데.. 인기많아져서 못 먹는거 ㅏ녀ㅠㅠㅠㅠㅠ
g.yul0101 | 2025-07-21 | 나 이거 ㄱ개 많이 먹었는데🙌
hx._y1rn | 2025-07-26 | 저거 마쉬멜로우 개노맛인데 퉤퉤투ㅐ
minhye_0113 | 2025-07-21 | 젼언니 태그 부탁
yu_jin_l | 2025-07-22 | 동결건조로 된것도 팔아요!!!!!
gyuri_gonjyu | 2025-07-21 | @jeon_unni_
gimdoyun598 | 2025-07-21 | 그걸로 동결건조 해주세요❤️❤️❤️🙌🙌🙌😍😍
hyn_915 | 2025-07-22 | 저걸 한번도 안 먹어보셨다니..
jeon_unni_ | 2025-07-23 | 나 이거보자마자 주문함ㅋㅋㄱ😂😂
h_.yoooooon09 | 2025-07-21 | 디져트 유튜버가 저걸 안먹어봤다니.😢
t4e7ewdy8 | 2025-07-25 | 저거 너ㅓㅓㅓㅓ무 달고 마시멜로의 부드러운 맛과 과일의 신맛이 안 어울렸음
bomi9999999 | 2025-07-22 | 동결건조 해주세요!
ryujian492 | 2025-07-22 | 우유에 해도 바삭한디
uno.zu | 2025-07-22 | 안은우는있는데왜밖은우는없어여
ryui8991 | 2025-07-22 | 이걸로 동결건조 해주세여ㅕㅕ
ha._.hyeon11 | 2025-07-22 | 이거 동결건조 해주세요
ririlrirarilra6 | 2025-07-22 | 얼려야돼요
happ_yy437 | 2025-07-22 | 저거 동결건조한게 진짜 맛있는데
_shuv2 | 2025-07-22 | 난 이거 처음먹고 맛없어서 뱉얶는데.
_love_holic | 2025-07-22 | 와 ..입맛차이인가 전 이거 하나먹고 버렸는데....
_oxjihoon | 2025-07-22 | 아누누님 이거 차가운 카프리썬에 넣어먹으면 진짜 맞있어요!
yulssg | 2025-07-22 | @sunae1107 이것듀
zoo_234396254 | 2025-07-22 | 아 저거 마쉬밀로우 유명해지면 안돼는데...
hy._ow0n | 2025-07-22 | 그걸로 동결건조 해주세요
jjihee__0428 | 2025-07-22 | 우리애들 최애템인데...
totorururun | 2025-07-22 | 이거 중국산에 유전자 변형 첨가됐을 수 있다고 해서 2개 먹고 다 버렸는데
illliilililiiillilill | 2025-07-22 | 이거 몇달전에 편의점에서 엄청 맛있게 먹었었는디 드디어 뜨는구나
si.a0712 | 2025-07-22 | 젼언니도 해주면 좋겟어요 !!!
si.a0712 | 2025-07-22 | 저거 물로만 하면 그냥 마시멜로 바삭한 맛이지 저거 요플레랑 먹으면 달달하고바삭해요 !! 꼭 요거트랑 먹어주세요!!
darcoong_stagram | 2025-07-22 | 지금 먹고있어오
lucyju14112 | 2025-07-22 | 이거 우유에 말아 먹은 맛있겠다. 소 사탕이니깐.
minss1130 | 2025-07-22 | 이렇게 먹었었는뒈
se0.yn_1 | 2025-07-22 | 저 통 어디서 구매하셧는지 너무 궁금함
sihuan_life | 2025-07-22 | 안돼 내 간식 꿀템 근데 그거 얼려먹으면 소리도좋고 맜있어요
captain9.s2 | 2025-07-22 | 사이다에 해먹어도 맛나겟어뇨!
park_jihoon369 | 2025-07-22 | 어쩐지 갑자기많아지더라
jangyuju386 | 2025-07-22 | 옛날에 인기 없을때 많이 먹었는데 그땐 지겨웠었는데...
e0e.he_r0 | 2025-07-22 | 사이다 넣으먼 맛있겠다
taewu48 | 2025-07-23 | 나만 몰래 먹던 꿀간식이였는데 이제 못구하겠다ㅠ
kimeleotype | 2025-07-23 | 이거 개맛잇는데 아할점가면 무조건 이거삼
yuji_n721 | 2025-07-23 | 저거 개 달음
jfp0903 | 2025-07-23 | 저거 슬러쉬에 넣어먹으면 개 맛도리
yx.uz3 | 2025-07-23 | @jeon_unni_
hahaha_130618 | 2025-07-23 | 슬러시랑 같이 먹으면 더 맛있음
mong_ryong15 | 2025-07-23 | ㅏㅈ없..
yx_.r13 | 2025-07-23 | 저거 아폴로 맛 나던데
_sx.hyun13 | 2025-07-23 | 나 저거 되게 어릴때 진짜 좋아했는데 ㅠㅜ
omg_ra_hee_ | 2025-07-24 | ㅈㅂ얼음우유 만들어서 담궈서 먹어주세요ㅜ
dla._.hg | 2025-07-24 | @hyeon_6953 내 아이스크림가게 최애 소문났어
nnnn_woman_15 | 2025-07-24 | 젼태부 (젼언니 태그 부탁)
rlarnwls10 | 2025-07-24 | 나 어릴때 바삭하게 많이 만들어서 먹었는데
hanjimin104 | 2025-07-25 | 저거 동결하면 신기할듯
yerinniii77 | 2025-07-25 | 배경이랑 효과음 없는것도 듣고싶다...😢
_uxnoey | 2025-07-25 | 😍
m.xah5 | 2025-07-26 | 저거 불에 구워도 맛있어요
ta._xeun_ | 2025-07-26 | 저도 친구랑 장난 으로 해 보다가 바삭해 졌어요❤️
hayoon3875 | 2025-07-26 | 예전에 몇번 먹어봤었는데
svxun.4 | 2025-07-26 | 저거 나만 아는 찐템이엇는데….ㅠ 그래도 유명해져서 조아여
yuju_2695 | 2025-07-26 | 방학이니까 함 먹어야지~
najiyu1207 | 2025-07-28 | 저거 4학년때 처음 먹고 유행했으면 좋다고 했는데 이제야 유행 시작이네",Instagram
anunu.kr.csv_2025-07-18,,인스턴트 초코케이크 좋아하는 사람? 수정됨 ·,"#오레오, #fyp, #nightsnack, #요거트, #먹방, #mukbangkorea, #yogurtboy, #야식, #asmr, #mukbang, #yogurt",anunu.kr.csv,2025-07-18,6909,"mins296 | 2025-07-19 | 아주머니 왜 누누님 한태 막말해ㅠㅠ
snmzgw | 2025-07-19 | 누누님 2019년도에 틱톡에서 보고 사랑에 빠졌었는데.. 잘생견서요
jeonseol11 | 2025-07-19 | 와 맛있겠㉰🥵
cjxjjddkjc | 2025-07-20 | 몽골선선하고좋조ㅠㅠ
ryujian492 | 2025-07-19 | 숙제하고있는 사람 나에요 나
kangsoyeon74861 | 2025-07-18 | 맛있겠따🥲🤤
eugene_uni11 | 2025-07-19 | 누누님 칼로리 바란스 요거트 먹방 해주세요!
klw._.05 | 2025-07-18 | 배고파 요 누누님 시간 공격
haesom_vely | 2025-07-19 | 제품정보 알려주실수있나욥 ㅠㅠ
enerelminjae | 2025-07-19 | 우리엄마 몽골인이신데",Instagram
anunu.kr.csv_2025-07-17,,아누누 X 스위즐스 드럼스틱 [국내최초] 공구함니다 7/17-31,"#스위즐스, #드럼스틱, #젤리, #fyp, #먹방, #야식, #mukbangkorea, #asmr, #공구, #스쿼시스",anunu.kr.csv,2025-07-17,3872,"hhyyeeoz | 2025-07-18 | 올영에서 세일하면 하나에 3500원이던데욥...
hen___e | 2025-07-21 | 갠적으로 젤리 너무 좋아하고 마시멜로우 너무 싫어하는데 얜 그냥 젤리가 아니고 마시멜로우 그 잡채던데......혹시 얼려서 먹으면 더 맛있나용??
h_young864 | 2025-07-17 | 아 먹어보고싶엏는델!!
03mr24 | 2025-07-18 | 드디어 오리지널 구매❤️
jua__han | 2025-07-17 | 와 오리지널을!! 저 구매했어요ㅠㅠ 빨리와라아~~~
yoon_2dn | 2025-07-22 | 아누누님 동결건조 가능하세요? 맛있을것 같은데요
_yellmust_ | 2025-07-17 | 아누누님 상세페이지 저만 오류뜨나용 ㅜ
rami__0216 | 2025-07-18 | 와..어제 낮에 주문했는데 배송 누락 됐다고 하네요....문의 드렸는데 제가 잘못한줄 알고 있었는데 이런 억까가 다 있다뇨ㅠㅠ 오늘 받았어야 할 드럼스틱을 못받았으니 이번 이벤트라도 꼭 당첨이 되어 봐야겠어요 넌 내가 어캐든 받는다 딱 기다려라ㅜㅠ
eun07170 | 2025-07-26 | 젤리좋아해서 편의점꺼 아직 안먹어봫지먼 공구부터 삼...
_yellmust_ | 2025-07-17 | 어 퇴근하고봄 사러가야지
haemil_11 | 2025-07-18 | 바로주문했어요😍감사합니다.행복한공구에요^^
ibnaimostofa | 2025-07-17 | 잘 먹네~
su.xrr | 2025-07-22 | 드럼스틱 얼음물에 넣어서 먹어주세여
siyeon2155 | 2025-07-26 | 스위즐스 요거트랑 먹어주세여ㅕ
xin______xx___ | 2025-07-17 | 옴뫄 완전 환영홬영
midorifruits | 2025-07-17 | 구매완료라구요👏
yoon_ji09 | 2025-07-18 | @yeoniii39 야승연아 찌호는 이거 모루니!!!
es___batssal | 2025-07-17 | 구매완료👏
kkam_bbong | 2025-07-17 | 맛보기2세트 구매여😍 빨리와라~~~~❤️
anunu.kr | 2025-07-17 | [🎁아누누 x 스위즐스 구매인증 이벤트 🎁]
- 참여 방법 : 주문번호 포함하여 구매 내역 캡쳐해서 인스타 스토리 업로드 후 아누누 태그
- 이벤트 기간 : 7/17 - 7/31 24시
- 경품 : 스타벅스 쿠폰
- 당첨자 : 20명
jeonghyedu | 2025-07-23 | 도착했따!! 잘먹어볼게유ㅋ
hwee_na96 | 2025-07-27 | 구매완😍
rud1234569 | 2025-07-23 | 주문완료😍
mo_om__miji | 2025-07-27 | 저도 사우어맛이 제 원픽이에요!
m__y.317 | 2025-07-26 | 주문완료 너모 기대대 🥹🥹🥹
yewonkim_p | 2025-07-27 | 주문했는데 너무 기대된다..ㅠㅠ역시 시키길 잘했어..
lepidoctor_art | 2025-07-26 | 궁금해서 사봄 ㅎㅎ
h_yun_ji_923 | 2025-07-24 | @m_in_ji_621 샀다..
j_0m6 | 2025-07-25 | 민생지원금 되나요 ㅎㅎ
acmems | 2025-07-27 | 구매완☆
yun_min0702 | 2025-07-23 | @munligh_t
0909_study | 2025-07-26 | 빨리왔음 좋겠다
sehee829 | 2025-07-27 | 홀린듯이 구매해벌임..😳
yeon.2l | 2025-07-25 | 젤리라기보다는 마시멜로식감이네요..ㅠㅠ하나먹고 다 버리뮤ㅠㅠ
s2.bbo.s2 | 2025-07-26 | 사지마요 여러분.. gs꺼가 훨배마싯슴둥,,
젤충이로써 진심을 다해 말려봅니다,,
그래도 사고싶다 하시는분들은 차라리 체리사우어만 사시길
sheltie.reo | 2025-07-23 | gs25에서 판매하는 제품이랑은 다른건가요??
je_0614 | 2025-07-17 | 구매완료❤️🙌
l_sangguo_x.x_ | 2025-07-17 | 바로 구매했어요🔥🔥
suhwalim0523 | 2025-07-17 | 맛보기 2세트 구매완료~^^ 배송받아서 먹고 이벤트 기간안에 또 쟁이러 갈거예요😍
nari_jjo | 2025-07-17 | 구매완료😍😍
h9load | 2025-07-17 | 더블딥은 없나요? ㅠㅠ
dream__of__traveling | 2025-07-17 | 제가좋아하는 맛잇는 젤리 🙌어서와라 다이어트중에 야금야금
0o_xumx | 2025-07-18 | 이거 올리브영이랑 cu에더 팔아요!
sunnymiya00 | 2025-07-18 | 구매했습니다~ 맛보고싶었는데 기대 됩니다😍
so.setwni | 2025-07-18 | @ah.reum.__ 너도 인기에 일조했지ㅎㅎ
nkyungm | 2025-07-19 | 캬 덕분에 샀습니다👏 감사합니다
0dlanr | 2025-07-19 | 아누누님 믿고 구매햇어요😮
6060jeje | 2025-07-20 | 으누오빠 체고체고체고입니다 😍😍
geunhakim | 2025-07-21 | @rara_n_land, @jieon_k_
ih_lt.14 | 2025-07-21 | 구매 해버렸어요 .. 간식 그만 사야되는데 !! 어쩔수 없지 맛있게 먹겠습니당 🙌🏻❤️
emerald_s_e_o_n | 2025-07-21 | @9__songsong
marchcsms | 2025-07-22 | 너무 기대됩니당!! 바로 구매 했어요🙌🙌🙌
zldnlzx | 2025-07-23 | 송중기 닮았어요
xxitiger | 2025-07-23 | 대박적 맛또리...
zoom___kim | 2025-07-23 | 오렌지맛이 맛있다고하셨는데 그거해주심 더좋을텐데요 😢
mimymei | 2025-07-23 | @blueboyoung 사야게찡
hxunsz_ | 2025-07-23 | 퇴근하자마자 배송 온 거 뜯어 먹고 있는데 와타시두 싸-월이 원픽..!!!!!!🥵
chgml233 | 2025-07-23 | @hitchu._.o3o 이거 히수최애 아니냐구
haemil_11 | 2025-07-24 | 언니 내가 좋아하는 분.^^ 여기서 구입했어요.@jeong_hwa0314 /31일까지😍
3zzanggu3 | 2025-07-28 | 드뎌 구매^ 감사해요^^",Instagram
anunu.kr.csv_2025-07-15,,과일 모양 아이스크림 다른것도 발견함 🧑🏻‍🦲,"#nightsnack, #fyp, #먹방, #mukbangkorea, #mukbang, #asmr, #과일아이스크림, #viral",anunu.kr.csv,2025-07-15,4909,"food_play88 | 2025-07-16 | 와 진짜 궁금쓰 ㅋㅋㅋㅋㅋ
cy.dana_ | 2025-07-29 | 저거 미국 한인마트에 3개 묶음으로 팔던뎈ㅋ
moooz_28 | 2025-07-15 | 오 먹어보고 싶네요!!
xvuu | 2025-07-15 | ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다시 생각해봐도 웃겨부러요 한국에도 들어와달라!!! 과일아스크림!!
kittenkatten1 | 2025-07-15 | 화장실에서 드시는건가요?
klw._.05 | 2025-07-15 | 오 궁금행
haein0107 | 2025-07-15 | 그거 젼언니가 먹고싶어하셨는데..
2065._.625 | 2025-07-23 | 그거 h mart 에 더 있는데염 ㅠ😢
jnyxin_104 | 2025-07-15 | 2빠
lee.hyunsil | 2025-07-18 | @jiheedas2 엌ㅋㅌㅌ쌤 이거에옄ㅋㅋㅋㅋㅋㅋㅋㅋ
island.mee | 2025-07-20 | @ji.n2e 몽골 헛다녀온느낌
mmm_j26 | 2025-07-15 | @jmj_._._ 몽골 아이스크림 고",Instagram
anunu.kr.csv_2025-07-14,,몽골에서 찾은 납작복숭아와 요거트,"#nightsnack, #fyp, #요거트, #먹방, #mukbangkorea, #야식, #yogurtboy, #asmr, #mukbang",anunu.kr.csv,2025-07-14,4762,"kiki6rara | 2025-07-14 | 初めて見るモモのかたち笑笑😍
cha_cha_______ | 2025-07-14 | 요거트 땡긴다ㅠㅠㅠㅠㅠㅠ사러가야지
hannahkim0926 | 2025-07-24 | 요거트랑 수박이 진짜 존맛임 진짜로
s2eulb_ | 2025-07-14 | 요거트 통 손민수 하고 싶어요우🥲🫣🙇‍♀️
jinsoooosnij | 2025-07-20 | 근데 저기 다먹었는데 통안에 남아있는거 좀 아깝지 않나요..?좀 그렇지만 전 저거 아까워서 끝까지 햛타 먹는데...
kim_stxx2 | 2025-07-14 | 와ㅋㅋㅋ통을 한국에서 정말 진심이시군요😂저도 요거트 사면 6개 들은거 그 자리에서 해치웁니다
ggg_123.23 | 2025-07-16 | 몽골 사람인데유 몽골 가셨다는게 너무 자랑스러움요 ㅜㅜ 유제ㅠㅜㅁ
gmh6398 | 2025-07-14 | 납작복숭아 먹어보고싶다
idongug4191 | 2025-07-21 | 맛없없
mintpeachglass | 2025-07-27 | 와 과즙소리…허헝ㅠ
ahnhaeyo | 2025-07-18 | 침 좔좔 나옴 기절
c_hxa.1 | 2025-07-18 | 납작복숭아가 진짜 납작하네 ㅋㅋㅋ
yooonjoo_ | 2025-07-17 | @by_eunju 아... 납복 먹규싶다...
jung_jhhhhhh | 2025-07-17 | @qlrtnwlswwk @hyungwon7543 @ti_silver12 납작복숭아 먹어!",Instagram
anunu.kr.csv_2025-07-12,,해외에서 유행한 너무먹고싶던 과일 아이스크림,"#과일아이스크림, #fyp, #nightsnack, #mukbangkorea, #야식, #mukbang",anunu.kr.csv,2025-07-12,1.9만,"chloe_20140618 | 2025-07-12 | 저도 저거 미국에서 집 냉동실에 있길래 망고랑 복숭아 둘다 있길래 먹어봤는데 진짜 맜잇어요!!
cherryismyfavorite | 2025-07-12 | 헐 난 이거 맛 옶던데
seolraon6 | 2025-07-12 | 왜 화장실에서 먹음?
seoyeon_mandy4 | 2025-07-12 | 와 맛있겠다
k.__.ay | 2025-07-13 | 저거 이름이 뭔가요?
seeun11290 | 2025-07-12 | 저도 주세요🙌
zitten__ | 2025-07-12 | 바작바작 소리듣고시픈데 배경음이 넘 커요
lee_young914 | 2025-07-12 | 빨리 와따 오예
whatgoesarounddddd | 2025-07-13 | 이거 크림처럼 좀 느끼하고 생각보다 별로… ㅠ
ch3_won | 2025-07-17 | 두바이에도 팔아요!!
romance14age | 2025-07-12 | 젤라또 처럼 먹어주세요
klw._.05 | 2025-07-12 | 오 진짜 과일 같아요
k__huiji | 2025-07-14 | @its_ella.heo 헤액 이거 호주에 판다는데 먹어봤어????
dohee721 | 2025-07-15 | @xhxhfl_ham 호주에 있으니까 뉴질랜드에도 있겠디????
______25u | 2025-07-12 | @yaandu_ 호주녀 드셔바
ssoooopink | 2025-07-12 | 화쟝실 …?
zziun_e | 2025-07-16 | @yering_2 @kingkang_u @_ssssssso_0 @zi_woooon 몽골 GS25 아이스크림 메모...📝
k.keonhyeong11 | 2025-07-13 | 중국에도이쓰는데
gimdanggeun33 | 2025-07-13 | 젼언니도 예전에 먹고싶다했는데ㅠㅠ
ggg_123.23 | 2025-07-13 | 몽골 가셨군요!!!
tamireuta | 2025-07-13 | 몽골이여? 몽골 살면서 몰랐는데
curlysueloves | 2025-07-13 | 조선족이냐
w.o.o.j.i.n_bingbangbongbang | 2025-07-13 | 파우더 아닌가요
ya_baliyo | 2025-07-14 | 눈썹 무슨일
kim_delay1207 | 2025-07-14 | 왜 욕실에서 드세요?
inzilove | 2025-07-14 | 이거 코로나때부터 유행했던건데…
haze1park | 2025-07-14 | 갠적으론 둘다 정말 별로였습니다
a._.hyeon190304 | 2025-07-14 | 누누님… 제발 드셨던 요거트 모아서 보여주세요 ㅜ 요거트 먹고싶은데 먹는 것 마다 밍밍하고 너무 묽어서.. ㅜ
ooalissoo | 2025-07-14 | 이거 그냥 망고, 복숭크림얼린맛이에요… 진하지도않고.. 위에 초코는 왁스… 저만느끼는거아니죠??
xcoai_07 | 2025-07-14 | 나 호주사는데 ... 😢 근데 디게 비싸요..
kim_stxx2 | 2025-07-15 | 아니ㅋㅋㅋ 이거 그냥 보면 과일퍼프?...
hy.xj1_n | 2025-07-15 | 저거 레몬 맛도 있는데 개 맛있음
csn130514 | 2025-07-16 | 거기 밑에 열면 막대 나오는데
lee_anita_lee | 2025-07-17 | 마싯겟다
smxly_1004 | 2025-07-18 | 그거 상해 편의점에서도 팔아요옹
jjh._.83 | 2025-07-20 | 이분 그 노이즈나오신분 아닌가요?
hn.yxo4 | 2025-07-20 | 복숭아 중국에서 파는데 복숭아맛 방구향 나던데
leenamjin0329 | 2025-07-23 | 저 몽골사는데
margadlavbish | 2025-07-24 | Mongolian icecream??
slow.b__ | 2025-07-26 | @sdmyung9 이거다 이거먹자
dinosaur.8640179 | 2025-07-27 | 얼려서도 먹으면 맛있겠당😍
y3nax_ | 2025-07-29 | 저도 몽골에서 먹어봣는데 개미친놈임 망고맛이 몽글모읔ㄹ하게나서 더맛딧음",Instagram
anunu.kr.csv_2025-07-11,,과유불급 젤리 코하쿠토 수박화채,"#수박화채, #스위즐스, #nightsnack, #fyp, #먹방, #mukbangkorea, #asmr, #mukbang",anunu.kr.csv,2025-07-11,1744,"rami__0216 | 2025-07-11 | 메론팝핑 말고도 다른 팝핑 시리즈도 똑같이 녹아서 당황스럽긴한데 맛은 나쁘지 않아서 먹기는 좋더라구요ㅋㅋㅋ 드럼스틱 나오면 바로 사먹어봐야겠다 이히히
enxch._.312 | 2025-07-11 | 바닥 드럼스틱으로 고정해둔거 뭐에요 ㅋㅋㅋㅋㅋ
klw._.05 | 2025-07-11 | 새벽에보니 배가 고프다요
r.ahxn_ | 2025-07-25 | 오리 젤리 오랜만에 본다
na_yun1.7 | 2025-07-12 | 누누님 엿동결건조 와삭나오신거 아시나유..?전 첨에 아누누님껀줄 알앗는데 이름이 달라서 함 댓글 달아봅니다..
tanya_prank | 2025-07-11 | Ааа?! Я думала, что тебя посадили в тюрьму…хорошо, что ты в порядке",Instagram
