COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE,AUTHOR_ID
1,anunu.kr.csv_2025-07-28,esc_studio,나 너무 기대되자나ㅏㅏㅏㅏㅏㅏ,2025-07-29,anunu.kr
2,anunu.kr.csv_2025-07-28,zi_hyeon,노루군......?!! 숏츠에서는 젤근이로 활동 하시나오?,2025-07-29,anunu.kr
3,anunu.kr.csv_2025-07-28,bakjiwon2,왓더,2025-07-28,anunu.kr
4,anunu.kr.csv_2025-07-28,goche_chego,안녕하세요! 💜,2025-07-28,anunu.kr
5,anunu.kr.csv_2025-07-28,hongji_yam,헐 자두가 짱 신기해요😮😮,2025-07-28,anunu.kr
6,anunu.kr.csv_2025-07-28,reviewyanolza,저도 하나만 줘여,2025-07-28,anunu.kr
7,anunu.kr.csv_2025-07-28,sn_muk,젤근이 데뷔하라구,2025-07-28,anunu.kr
8,anunu.kr.csv_2025-07-25,hairmer6,찐은 진짜 맛있어..😳,2025-07-25,anunu.kr
9,anunu.kr.csv_2025-07-25,dan_beee_e,먹어보면 더 사고싶은맛..어카지….또 사야되나….,2025-07-25,anunu.kr
10,anunu.kr.csv_2025-07-25,jin_a__da,버블검맛 120g100g 따로 없는거죠?,2025-07-25,anunu.kr
11,anunu.kr.csv_2025-07-25,yuhee__iam,그냥 먹으면 부들부들 얼려먹으면 파삭 쫀득 😍,2025-07-26,anunu.kr
12,anunu.kr.csv_2025-07-25,haemil_11,공구하시면 무조건입니다😍😍고고씽,2025-07-25,anunu.kr
13,anunu.kr.csv_2025-07-25,jaehxyn.02,내 빤스 당근해서 젤리 살 돈 모았습니다.,2025-07-29,anunu.kr
14,anunu.kr.csv_2025-07-25,hhyyeeoz,버블검 맛은 진심 사기야 ...,2025-07-27,anunu.kr
15,anunu.kr.csv_2025-07-25,esc_studio,파워 지린다.....🫠🫠🫠🫠✨,2025-07-25,anunu.kr
16,anunu.kr.csv_2025-07-25,eussya_eussya,바나나맛 맛있는데..,2025-07-25,anunu.kr
17,anunu.kr.csv_2025-07-25,today_seungeun,와웅❤️,2025-07-25,anunu.kr
18,anunu.kr.csv_2025-07-25,norutagram,더블딥 되면 10박스 쟁인다,2025-07-25,anunu.kr
19,anunu.kr.csv_2025-07-25,let___me__know,더블딥 원츄,2025-07-25,anunu.kr
20,anunu.kr.csv_2025-07-25,hxunsz_,더블딥 제발제발제발제발제발요 너무 먹고싶어요 제발요 내가 살면서 젤리를 6만원치 산건 처음이야...;;;;,2025-07-25,anunu.kr
