COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE,AUTHOR_ID
1,chu.berup_2025-05-11,0.0illll,와... 소리 미쳤다 진짜 당장 시켜먹고싶어,2024-11-16,chu.berup
2,chu.berup_2025-05-11,gagayun129,난요즘 츄베릅님 영상보느라 밤을새네요ㅠ🥰,2025-07-18,chu.berup
3,chu.berup_2025-05-11,guenmenguan,이거 얼마에요?,2025-02-06,chu.berup
4,chu.berup_2025-05-11,jjeng_u,마이크에 치킨 묻을까봐 조마조마 ㅠㅠㅠㅋㅋㅋㅋ 그래도 맛잇게 드시네용!!,2025-01-26,chu.berup
5,chu.berup_2025-05-11,hyuk_911,진짜맛있겠다 맛있겠다 맛있겠죠? 허,2025-02-06,chu.berup
6,chu.berup_2025-05-11,seoacherry,린생치킨,2025-03-09,chu.berup
7,chu.berup_2025-05-11,bellalee2254,@hae__jinnnn 낼 점심❤️,2025-02-12,chu.berup
8,chu.berup_2025-05-11,1ovsummer_,@laelealael 이거머글래,2025-02-07,chu.berup
9,chu.berup_2024-03-12,pickmat_food,딸기모찌 너무 맛있어보여요😍😍,2025-07-31,chu.berup
10,chu.berup_2024-03-12,mu_ch1cken,저기 맛있긴 해. 흑임자 탐난다..,2025-07-30,chu.berup
11,chu.berup_2024-03-12,foo__zim,갑자기 먹규싶다....모찌,2025-07-30,chu.berup
12,chu.berup_2024-03-12,mukorang,갈래용~!,2025-07-30,chu.berup
13,chu.berup_2024-03-12,ruri.food,몬가 요 소리도 잘들려서 좋닼ㅋㅋㅋ마싯어보여😮😮😮,2025-07-30,chu.berup
14,chu.berup_2024-03-12,myeong_jonmatt,미친 과즙이당❤️,2025-07-31,chu.berup
15,chu.berup_2024-03-12,rovolamlne,와 쑥떡에 딸기라니💕맛없없이겠당..,2025-07-30,chu.berup
16,chu.berup_2024-03-12,hongji_yam,나능 뮤조건 백앙금파~!~!!❤️,2025-07-30,chu.berup
17,chu.berup_2024-03-12,muk_tteul,"우ㅏ 과즙 도랐다,,",2025-07-30,chu.berup
18,chu.berup_2024-03-12,unjun._.10,누나 예뻐요,2025-07-30,chu.berup
19,chu.berup_2024-03-12,ddonge_e_,혹시 여수시면 염전의 봄 가주시면 안되요ㅠ 제 인생 소금빵집이에요ㅠ❤️,2025-07-30,chu.berup
20,chu.berup_2024-03-12,kkihan_kki,이거 저 진짜 조아하는데 줄 긴곳 말구 여수당? 맞은편에 있는 곳이 진짜 맛있고 가격도 다른데보다 싸고 사장님 친절하셔요…👍👍✨,2025-07-30,chu.berup
21,chu.berup_2025-07-28,taste_goyang,대박 너무 맛있겠다!!😮😮,2025-07-28,chu.berup
22,chu.berup_2025-07-28,yushirikusionmyfavorite,치킨이랑 까르보 너무 맛있을 것 같아여ㅜㅜㅜㅜ,2025-07-28,chu.berup
23,chu.berup_2025-07-28,gagayun129,드시는게 왤케귀욥징😍😍,2025-07-28,chu.berup
24,chu.berup_2025-07-28,gge.juck,왜 먹는건 당신인데 살은 제가 찌죠?,2025-07-28,chu.berup
25,chu.berup_2025-07-28,phk__06,치킨 소리 미쳤다❤️,2025-07-28,chu.berup
26,chu.berup_2025-07-28,mukjung_,젓가락이 바뀌었어요언니,2025-07-28,chu.berup
27,chu.berup_2025-07-28,ruri.food,젓가락 졸귀닼ㅋㅋ,2025-07-28,chu.berup
28,chu.berup_2025-07-28,pepaggpi,바삭소리미치셧나요증말..🤤🤤,2025-07-28,chu.berup
29,chu.berup_2025-07-28,unjun._.10,누나 이뻐요,2025-07-28,chu.berup
30,chu.berup_2025-07-28,hard_1mt_,맛있겠당🥲,2025-07-28,chu.berup
31,chu.berup_2025-07-28,2ys_29,하 진짜 bbq에 불닭 땡기네요😢,2025-07-28,chu.berup
32,chu.berup_2025-07-28,positive_number_1,에디슨 젓가락 뭐에요? ㅋㅋㅋㅋ,2025-07-28,chu.berup
33,chu.berup_2025-07-28,needsman_daejeon,"이 시간에 봐버리다니 ,,,",2025-07-28,chu.berup
34,chu.berup_2025-07-28,stoneychoi,와.. 🤤,2025-07-28,chu.berup
35,chu.berup_2025-07-28,dessert_enterance_,소리 미쳤닭…,2025-07-29,chu.berup
