COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE,AUTHOR_ID
1,ddimmi96.csv_2025-01-13,neulsom4938,띠뽀끼 3팩 샀는데 오자마자 먹어야겠어요❤,2025-01-15,ddimmi96
2,ddimmi96.csv_2025-01-13,na_om_28,어떻게 이렇게 오물오물 이뿌게 먹지.. ❤️,2025-01-18,ddimmi96
3,ddimmi96.csv_2025-01-13,zzazang.zip,언니 떡볶이 너무 맛있어요,2025-01-13,ddimmi96
4,ddimmi96.csv_2025-01-13,fu1342782,다들 꼭 드시길 이거 존맛임;;;,2025-01-13,ddimmi96
5,ddimmi96.csv_2025-01-13,_xeo.ze,로제 만드러 주세여…❤️,2025-04-12,ddimmi96
6,ddimmi96.csv_2025-01-13,rrrrrrhy_05,제가산떡볶이도 소스 한봉지😢가성비 갑이라 그래도 목고잇어용,2025-01-16,ddimmi96
7,ddimmi96.csv_2025-01-13,hx.ew0x_k,또뽀끼 맵나요?맵찔인데 먹어보고 싶어요 예시로 마라탕0~1단계 먹어요,2025-03-17,ddimmi96
8,ddimmi96.csv_2025-01-13,yessii__11,저 또살구에요,2025-01-13,ddimmi96
9,ddimmi96.csv_2025-01-13,fu1342782,신전맛70+엽떡30 느낌의 소스이고 튀김 치즈에 구성 혜자임 소스양 진짜 많아서 남은 국물에 밥 볶아먹으세요!!!!! 예상보다 더 맛있게 먹어서 무조건 2개이상 구매하시길,2025-01-13,ddimmi96
10,ddimmi96.csv_2025-01-13,ji._huuo,너무 맜있겠어요..!,2025-01-14,ddimmi96
11,ddimmi96.csv_2025-01-13,zoo13576,헉 2차는 2개구매히면 무배네요?!!!! 사러갑니다❤️❤️❤️❤️❤️,2025-01-13,ddimmi96
12,ddimmi96.csv_2025-01-13,rkflfnfpfh,ㅎㅎ넘넘 기다렸는데 지난 1차때 먹고 반해서 5개 재구매했어요😍😍😍,2025-01-13,ddimmi96
13,ddimmi96.csv_2025-01-13,jojeongok,띠뽀끼언재너어ㅏ요??!ㅜㅠ,2025-04-14,ddimmi96
14,ddimmi96.csv_2025-01-13,chaejia1110,언니 저 띠뽀끼 샀어요,2025-01-16,ddimmi96
15,ddimmi96.csv_2025-01-13,juhong._.7,1차오픈때 주문했는데 2차 혜택이 더 좋네요..😢,2025-01-13,ddimmi96
16,ddimmi96.csv_2025-01-13,gimjunu6122,맛있겠다,2025-01-14,ddimmi96
17,ddimmi96.csv_2025-01-13,yangseyeon20,얼마 에요,2025-01-14,ddimmi96
18,ddimmi96.csv_2025-01-13,pairy__,침고여요🤤🤤🤤🤤,2025-01-13,ddimmi96
19,ddimmi96.csv_2025-01-13,cyankim_,띠뽀끼 안 먹는 법… 그게 뭔데….,2025-01-13,ddimmi96
20,ddimmi96.csv_2025-01-13,t.gxeong_12,전부 다 살끄야,2025-01-14,ddimmi96
21,ddimmi96.csv_2025-01-13,yul__eee__,@_feel._.__ 이번엔 띠뽀끼다,2025-01-15,ddimmi96
22,ddimmi96.csv_2025-07-26,chaenii030,난 띠아정❤️,2025-07-26,ddimmi96
23,ddimmi96.csv_2025-07-26,mukorang,오오❤️❤️,2025-07-26,ddimmi96
24,ddimmi96.csv_2025-07-26,e.page.ing,와아 (๑˃̵ᴗ˂̵)و 꼭 먹어볼래요! 상의 정보 알수있을까요?🥹🫶,2025-07-27,ddimmi96
25,ddimmi96.csv_2025-07-26,kellyfornia_c,이거보니 오늘 저녁엔 요아정,2025-07-26,ddimmi96
26,ddimmi96.csv_2025-07-26,sing_note_s2,헐 이건 먹어야돼요....,2025-07-26,ddimmi96
27,ddimmi96.csv_2025-07-26,d._.ox.h,매일 댓글 달기 4일차,2025-07-26,ddimmi96
28,ddimmi96.csv_2025-07-26,whatthewhatthe__,요아정 너무 시큼해서 안먹었는데! 이디야로 가야겠구낭~~~!,2025-07-26,ddimmi96
29,ddimmi96.csv_2025-07-21,xmd._.eli,누나 중간에 ai죠..?ㅋㅋㅋ,2025-07-21,ddimmi96
30,ddimmi96.csv_2025-07-21,d._.ox.h,매일 댓글 달기 2일차,2025-07-26,ddimmi96
31,ddimmi96.csv_2025-07-21,brave97s,헐 AI인줄몰랐어... 장어 버거가 있는줄도 몰랐음,2025-07-22,ddimmi96
32,ddimmi96.csv_2025-07-19,bn.jou0,달려갈게요❤️,2025-07-19,ddimmi96
33,ddimmi96.csv_2025-07-19,kwak4744,평촌!!! 소리질럿!!!,2025-07-19,ddimmi96
34,ddimmi96.csv_2025-07-19,yena0_713,마라샹궈나 마라탕으로 해먹어도 맛있겠당,2025-07-20,ddimmi96
35,ddimmi96.csv_2025-07-19,imseula22,인천이라두..😢😢,2025-07-20,ddimmi96
36,ddimmi96.csv_2025-07-19,manokfsa,으엑.. 방학인데 숙제가 밀려와서 못가는 현실이랍니다.. ㅠ,2025-07-19,ddimmi96
37,ddimmi96.csv_2025-07-19,gimseogyeong626,분당 가즈아 🔥🔥🔥🔥 팬사인회라니👏👏👏👏,2025-07-21,ddimmi96
38,ddimmi96.csv_2025-07-19,gimseogyeong626,안산쪽으로 와주시면 ㅠㅠ😢😢,2025-07-22,ddimmi96
39,ddimmi96.csv_2025-07-19,sohyi.i,미쳐따 평촌? 당장가 당장사,2025-07-21,ddimmi96
40,ddimmi96.csv_2025-07-19,d._.ox.h,매일 댓글 달기 해도 돼나요??,2025-07-19,ddimmi96
41,ddimmi96.csv_2025-07-19,yeo._.j2,부산 와주세요 제발요 😢 103트째,2025-07-20,ddimmi96
42,ddimmi96.csv_2025-07-19,imseula22,부천 ㅜㅜ😢😢,2025-07-20,ddimmi96
43,ddimmi96.csv_2025-07-19,ddimmi96,📢 ‘띠뽀끼’ 롯데백화점 경기도 팝업 오픈!🔥,2025-07-19,ddimmi96
44,ddimmi96.csv_2025-07-19,r._.xin14,사탕이 될거 같은ㄷㅔ?,2025-07-27,ddimmi96
45,ddimmi96.csv_2025-07-19,jx_m2in,사탕으로 만들어보는건 어떠유?,2025-07-24,ddimmi96
46,ddimmi96.csv_2025-07-19,s0._ye.n,근데 그와중에 양갱 진짜 맛있을것같다..,2025-07-22,ddimmi96
47,ddimmi96.csv_2025-07-19,bagseou967,색소 사용 하면 안된돼여😢,2025-07-28,ddimmi96
48,ddimmi96.csv_2025-07-19,parksooho1236,케케크롱,2025-07-23,ddimmi96
49,ddimmi96.csv_2025-07-19,jia04.07,김은 돼나?(?),2025-07-20,ddimmi96
50,ddimmi96.csv_2025-07-19,under_rabbit0329,좀더 검은색으로 해봅시다!,2025-07-19,ddimmi96
51,ddimmi96.csv_2025-07-19,lookiehong,제 생각에는 아예 불투명해야하는 것 같아요. 그리고 초콜릿은 원래 밀착된 상태에서 굳으면 카카오버터 결정으로 인해 광택이 나곤하는데 저 구조덕분에 더욱 날 수 있는 것입니다. 😮 실리콘은 광택이 쉽지 않았는데 말이죠 ㅎㅎ,2025-07-24,ddimmi96
52,ddimmi96.csv_2025-07-19,jhs_hoote,사탕도 괜찮을듯,2025-07-19,ddimmi96
53,ddimmi96.csv_2025-07-19,heosoyul8,그냥 투명색으로 하면 됄수도 이ㅛ을거 같아요,2025-07-23,ddimmi96
54,ddimmi96.csv_2025-07-19,ekgo_04,얼음으로 만들면 될 것 같아요!,2025-07-20,ddimmi96
55,ddimmi96.csv_2025-07-19,choimanhomanho,비누 해봐요,2025-07-19,ddimmi96
56,ddimmi96.csv_2025-07-19,rayoon._.14,언니 그냥 초콜릿만 만들자,2025-07-19,ddimmi96
57,ddimmi96.csv_2025-07-19,ssso_eun._._,빨리왔다,2025-07-19,ddimmi96
58,ddimmi96.csv_2025-07-19,haru_131008,오늘도 재미있는 영상 감사합니다❤️,2025-07-19,ddimmi96
59,ddimmi96.csv_2025-07-19,t4e7ewdy8,검은색이 문제가 아니라 틀의 미세한 결이 찍힐만큼 묽고 입자가 작아야 해요,2025-07-22,ddimmi96
60,ddimmi96.csv_2025-07-19,so_jung_03_,초콜릿 몰드인데 당연하지...,2025-07-20,ddimmi96
61,ddimmi96.csv_2025-07-19,rla._.wngh,무광만 가능한거같은데요...?,2025-07-25,ddimmi96
62,ddimmi96.csv_2025-07-17,__cayn1,맛이ㅛ게ㅛ다,2025-07-25,ddimmi96
63,ddimmi96.csv_2025-07-17,nari_kie_1985,저 부산 팬미팅 갔어요!,2025-07-19,ddimmi96
