COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE
1,hongji_2025-05-23,nec2ssary9irl,여기 진짜 마싯어요... 최고의 모찌 사장님도 완전 친절하시고 짱,2025-05-23
2,hongji_2025-05-23,teddy_zip_,"나두 여기 넘 죠아해,,, 모찌 가격 진짜 찯하자녀🥹👍",2025-05-23
3,hongji_2025-05-23,fyyyiqws,온니오늘왤케이뻐요ㅠㅜㅜ,2025-05-23
4,hongji_2025-05-23,bugerrmanuni,맛잇개드시네요,2025-05-26
5,hongji_2025-05-23,xeilykmkx,여기진짜대박임 샤인머스캣 4알인가 들어있는거 보고 감동...,2025-05-25
6,hongji_2025-05-23,j.3hix_15,언니가 먹으니까 더 맛있어보인다아,2025-05-23
7,hongji_2025-05-23,j1.y0en,가게이름이 뭐에요?,2025-05-28
8,hongji_2025-05-23,sonpilgyan,가도 겁나빨리 매진됨,2025-06-04
9,hongji_2025-05-23,nanpa._.2222,아 여기 마이떠여ㅠㅠ❤️,2025-06-08
10,hongji_2025-05-23,gapagetii,와 샤머모찌 샤머 양 무엇😱,2025-05-23
11,hongji_2025-05-23,1yeol.is.mine,모르겠고 진짜 개이쁘시네,2025-07-04
12,hongji_2025-05-23,im._.eynnnnny,@favjpg 스리야 언니가 모찌20개사줄게 가쟈,2025-06-10
13,hongji_2025-05-23,miran.k.here,@emperor_jin90 영춘모찌!!,2025-07-07
14,hongji_2025-05-23,seeeeeo.a,@taeee._.unn 맛있엇어~ 오늘모금,2025-06-12
15,hongji_2025-05-23,hxnzji,@jo__oyoung_2 주영아.,2025-07-02
16,hongji_2025-05-23,ee.hloes,@2_hansol2 나이거먹고싶다,2025-06-11
17,hongji_2025-05-23,915.lk_,@3aj1g_nooy 우와마싯겟다,2025-07-08
18,hongji_2025-05-23,lemo_n10047,차에 타있으시는것 같은데 도로 아닌가요..??,2025-07-02
19,hongji_2025-05-23,helloheenie,@salon_once_ 가보셨슴까,2025-07-09
20,hongji_2025-05-23,love_.jang,안그래도 곧 대전가는데! 꼭 가봐야 겠네유,2025-05-24
21,hongji_2025-05-23,tbdld_2,@se__hyuk2 모찌 ……,2025-06-24
22,hongji_2025-05-23,sux.a8,ㄹㅇ 존나맛잇음 백앙금드세여 ㅠ,2025-06-02
23,hongji_2025-05-23,yoonseooyeon,몇 시부터 줄 서셨어요?!ㅠ,2025-05-26
24,hongji_2025-05-23,gwiri_9ri,앞머리 까니까 넘귀 넘예,2025-05-28
25,hongji_2025-05-23,mil.kgray,@dongbeen9 맛있겠다,2025-06-19
26,hongji_2025-05-23,_cherry_417,@_c1_08 그때 거기 아니냐,2025-07-02
27,hongji_2025-05-23,da._.mmmmi,@u.zzoung 유댱아 모찌조아?,2025-07-06
28,hongji_2025-05-23,_hyun__j_i,위치가 어디에요??,2025-05-27
29,hongji_2025-05-23,qkrxthwjd,@haejooon 자기가 조아하는 모찌 과일모찌인데 댕싸두,2025-06-28
30,hongji_2025-05-23,yoonjung210,@11.9_j 아용씨의 맛집…,2025-06-11
31,hongji_2025-05-23,eun._.jung619,"대전사는데..처음 알았어요,,",2025-07-01
32,hongji_2025-05-23,inhye_94,@youngsu__j 사다줘어어ㅜㅜㅜ,2025-06-22
33,hongji_2025-05-23,urim_e.98,@yeeah_iin @sooyoung_w0 지나가다 사람들 준선곳 이거래!!! 유명하대!😮,2025-06-05
34,hongji_2025-05-23,kuma_1206_,@hooni._.00 사러가댜,2025-06-04
35,hongji_2025-05-23,coecaeryeong46,와ㅏ 과일 모찌 먹고 싶다 ㅜ,2025-05-23
36,hongji_2025-05-23,pochamee_,@soioihy_ 사와이년아,2025-06-02
37,hongji_2025-05-23,ilove.u_ha,@autumnal_dk @ivo_0e 요기가봐유❤️,2025-05-29
38,hongji_2025-05-23,jeong_1995__,@pangwooo 아..,2025-05-29
39,hongji_2025-05-23,hye._.vvley,@dalove.oo 우리 다시 한번 진지하게 대전 고민 좀 해볼까 ..?,2025-05-29
40,hongji_2025-05-23,0k._.110,@pr._.ize 미이이이치이이인,2025-05-28
41,hongji_2025-05-23,ra.hyun13,와 진짜 겁나겁나겁나겁나 맛있겠다,2025-05-28
42,hongji_2025-05-23,kingyuri00,"@zzz_hyunjung, @m00n0118 대전가자",2025-05-28
43,hongji_2025-05-23,ra_oni,여기 진짜 맛있어요 사장님 스타일도 멋지시고 쇼핑백 상호 켈리도 사장님표임,2025-05-27
