COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE,AUTHOR_ID
1,jeon_2025-07-25,kyung751116,근데..... 오늘 욀케 이쁜거죠?😍,2025-07-25,jeon
2,jeon_2025-07-25,yebarbie_plainlux,뭐시 이래 이쁩니꺼 깜놀했어예..❤️,2025-07-25,jeon
3,jeon_2025-07-25,vvvvvvvvv34,오늘 메이크업 완죤😍❤️ 너무이뿌다아아아,2025-07-25,jeon
4,jeon_2025-07-25,geumchae_food,전언니 핑크색 진짜 잘 어울리세요,2025-07-26,jeon
5,jeon_2025-07-25,n.5oak,언니가 조아할거 같은 식감같았어요❤️,2025-07-26,jeon
6,jeon_2025-07-25,by.minyoung_k,언니 화장 너무 이쁨. 공유해주실수 있나염~~😍,2025-07-25,jeon
7,jeon_2025-07-25,dyzn_s,온니~~화장 너무 찰떡이여요!!! 다른화장도 좋지만. 오늘 화장 미쳤다요!!!!!!!!,2025-07-26,jeon
8,jeon_2025-07-25,si.a0712,저거 요플레에 넣어먹으면 진짜 맛있어요 ㅠㅠ제발 요플레랑 먹어주세요 ㅠㅠ,2025-07-25,jeon
9,jeon_2025-07-25,youn._.joo,언니왜케이쁘죠??살빠지셨나???,2025-07-25,jeon
10,jeon_2025-07-25,he_.exu,언니 진쨔 내가 싸랑해❤️ 나 판박이 해서 언니 계정 스토리에 올라갔자나!!😍,2025-07-25,jeon
11,jeon_2025-07-25,wyejin_vero,먹을거보다 언니의 미모가 더 빛난다 생각했는데... 역시 저만.그런 생각한게 아니네여 ㅋㅋ,2025-07-26,jeon
12,jeon_2025-07-25,geunseon43,마시멜로우는 둘째치고 욀케 어려보이는거죠?,2025-07-25,jeon
13,jeon_2025-07-25,cyj_ra,양갈래하고 너무 신나하니까 진짜 귀엽다ㅏ,2025-07-26,jeon
14,jeon_2025-07-25,dodo.rothy,언니 오늘 메이크업 넘 예뿌여,2025-07-25,jeon
15,jeon_2025-07-25,kkim_dew,개이쁘네 진짜,2025-07-26,jeon
16,jeon_2025-07-25,aycha0214,언니 오늘 헤어랑 메이크업 넘예야.. 군것질 관심없고 젼언니 미모에 침흘리다 가용🤩❤️😇,2025-07-26,jeon
17,jeon_2025-07-25,bbob4u,존예,2025-07-26,jeon
18,jeon_2025-07-25,anunu.kr,당장 해보라했습죠~?~?~? 좋아할거같더라니 😌,2025-07-25,jeon
19,jeon_2025-07-25,lifestyle_writer_,오늘따라 미모 무슨일이져...🔥,2025-07-25,jeon
20,jeon_2025-07-25,chessiya_,제로밀키스에 넣고 먹우면 밀키한 느낌 날거같아요!,2025-07-26,jeon
21,jeon_2025-07-25,ssoo.inn,아니 그냥 간식 리뷰니까 아무고 진지하게 안 볼수도 있는데요. 끝까지 가판대 위에 서있어야한다는 말이 이 야밤에 제 마음을 울려요. 저는 가판대 위에서 너무 빨리 내려왔지만 그 위에 계신 모든 분들은 모쪼록 지난 제 몫까지 나누어 드릴테니 성공의 그날까지 흔들리지 마시고 서 계시길 기원합니다..!,2025-07-26,jeon
22,jeon_2025-07-25,knk_art_maze,화채로 만들어 먹러도 맛있겠어요-:()!,2025-07-26,jeon
23,jeon_2025-07-25,ii_ee_oo_,메이크업도 찰떡❤️,2025-07-26,jeon
24,jeon_2025-07-25,jeongrudi,@taeyi_hari_abba 가게서 본거같음데?,2025-07-26,jeon
25,jeon_2025-07-25,jj4021jj,언니위에옷 이뻐용 정보좀듀세요👏,2025-07-26,jeon
26,jeon_2025-07-25,uouv330,궁금했는데👏👏👏감사합니다,2025-07-26,jeon
27,jeon_2025-07-25,bicna180,언니 양갈래 해서 자세히 보면 인형 인거같아요,2025-07-26,jeon
28,jeon_2025-07-25,ex_y1c,이거 얼려먹어도 마시써여!!,2025-07-26,jeon
29,jeon_2025-07-25,ka_enfj,양갈래 모에요... ㅜㅜㅜㅜㅜㅜ짱 귀여워😍❤️❤️❤️ 신분상승 ㅜㅋㅋㅋ오늘도 넘 재밌어여~~~,2025-07-25,jeon
30,jeon_2025-07-25,r2_own,언니양갈래 너무 기여워요 😢,2025-07-25,jeon
31,jeon_2025-07-25,dksthfqp12345,"학교 끝나고 돈 2,000원 있울땨 사먹는건데 저거 맛있어용",2025-07-26,jeon
32,jeon_2025-07-25,gohaeun55,루피 케이크 먹어주세요! 64트❤️,2025-07-25,jeon
33,jeon_2025-07-25,rachel_lalu,언니때문에 다이어트 망함요😁😁😁😁😁😁 이렇게 맛있게 드셔주시면 뭐 별수없죠ㅋㅋㅋ먹어야지,2025-07-26,jeon
34,jeon_2025-07-25,yena9232,그거 걍 얼리기만해도 바삭해져요,2025-07-26,jeon
35,jeon_2025-07-25,jm1013y05,핑크색 옷은 어디껀가요?,2025-07-26,jeon
36,jeon_2025-07-25,silver_star__97,우왓 저 마시멜로 어디서구할수잇나용😮,2025-07-25,jeon
37,jeon_2025-07-25,jiwoo1206abc,왐마 이걸로 화채 해먹어부러~,2025-07-26,jeon
38,jeon_2025-07-25,onedoor_ew_love,어릴때 너무 딱딱해서 안먹은 추억이....,2025-07-26,jeon
39,jeon_2025-07-25,helena0517,"맞아 진짜 한 치 앞을 모르는 것, 우리 너뮤 철학적인거 아냐? 너뮤 똑똑해지믄 안되는데",2025-07-25,jeon
40,jeon_2025-07-25,y.jin_s2,미첫다리 왜케이쁜거야 앞머리무슨일이양😍❤️,2025-07-25,jeon
41,jeon_2025-07-25,richman_to_be,립색 연한걸로 바꾸신 게 진짜 신의한수임 너무이쁨 ㅜㅜㅜㅜㅜㅜ,2025-07-25,jeon
42,jeon_2025-07-25,suna_k1,@x__beeho ㅠㅠ 이거 내가 조아했던건데 이제 또 없어지것다 ㅠ ㅅ ㅠ,2025-07-25,jeon
43,jeon_2025-07-25,baedayun_10,언니 앞머리💗💗😘,2025-07-25,jeon
44,jeon_2025-07-25,sssooyeeee,5분전이젼,2025-07-25,jeon
