COMMENT_ID,POST_ID,COMMENTER_ID,COMMENT_TEXT,COMMENT_DATE,AUTHOR_ID
1,toctocsia.csv_2025-07-30,ye0n.x_1804,와앙 두번째당 저거 마싯나여?,2025-07-30,toctocsia
2,toctocsia.csv_2025-07-30,salma_moukrich,이 닭은 한국에서 유명해요.맛있어,2025-07-31,toctocsia
3,toctocsia.csv_2025-07-30,gangseonhwa1943,맛있겠어용👏👏,2025-07-30,toctocsia
4,toctocsia.csv_2025-07-30,yulim225,대박,2025-07-31,toctocsia
5,toctocsia.csv_2025-07-30,na_y0ungj,우왕 첫댓글이당❤️,2025-07-30,toctocsia
6,toctocsia.csv_2025-07-30,dkshdjdhshd,톡톡시아 무서운습간,2025-07-30,toctocsia
7,toctocsia.csv_2025-07-29,suhye001,저도 한입만 주세요,2025-07-30,toctocsia
8,toctocsia.csv_2025-07-29,s.yuju__12,8분전😮,2025-07-29,toctocsia
9,toctocsia.csv_2025-07-29,eunsu4415,시아야 언니 오늘 김밥먹어~~,2025-07-31,toctocsia
10,toctocsia.csv_2025-07-29,sol.7101,맛있게 먹는 모습이 너무 예뻐용,2025-07-29,toctocsia
11,toctocsia.csv_2025-07-29,gonghanbi77_kiki,안에 홀터넥 입은거에요?,2025-07-30,toctocsia
12,toctocsia.csv_2025-07-29,joonghyuk_lim,딱복은 선넘었지..,2025-07-30,toctocsia
13,toctocsia.csv_2025-07-25,woung_young01,"와, 저는 우지벡 사람이에요❤️🙌",2025-07-25,toctocsia
14,toctocsia.csv_2025-07-25,yulim225,서울우유 사랑❤️,2025-07-25,toctocsia
15,toctocsia.csv_2025-07-25,j1svg.luv_,너무 맛있어 보여요,2025-07-25,toctocsia
16,toctocsia.csv_2025-07-25,seo_je_ra,언니가 원해요😢😢,2025-07-25,toctocsia
17,toctocsia.csv_2025-07-25,nihao_sophie,조합이 더도 말고 덜도 말고 딱 좋아요,2025-07-25,toctocsia
18,toctocsia.csv_2025-07-25,not_ur_2ban,헐마식겟뚜,2025-07-25,toctocsia
19,toctocsia.csv_2025-07-25,ks._wok,아.. 저좀 자게 해주새요... 중독이 되..,2025-07-26,toctocsia
20,toctocsia.csv_2025-07-25,toctocsia,서울우유 유료광고를 진행하며 무상으로 제공받은 제품을 활용하고 있습니다.,2025-07-25,toctocsia
21,toctocsia.csv_2025-07-24,un._dn_x,언니 어떻게 항상 그렇기 좋응 아이디어로 촬영해요 정말 대단해요!,2025-07-24,toctocsia
22,toctocsia.csv_2025-07-24,sia.kk0717,언니 너무 잘 먹는다. 나도 먹고 싶어😢,2025-07-25,toctocsia
23,toctocsia.csv_2025-07-24,nandoong__,톡톡시아님 영상에 저희 나와서 너무 놀라고 기쁘네욬ㅋㅋㅋㅋㅎㅎ🫶🥰💕,2025-07-24,toctocsia
24,toctocsia.csv_2025-07-24,eunsu4415,시아야☺️ 언니는 좋은하루 보내고 있어^^,2025-07-25,toctocsia
25,toctocsia.csv_2025-07-24,yulim225,천재,2025-07-24,toctocsia
26,toctocsia.csv_2025-07-24,lumiii_143,제가 첫 번째예요!!,2025-07-24,toctocsia
27,toctocsia.csv_2025-07-24,cbb_3313,냠냠,2025-07-24,toctocsia
28,toctocsia.csv_2025-07-24,gim.yeah,맛있겠다...,2025-07-24,toctocsia
29,toctocsia.csv_2025-07-23,chaechae__89,ㅋㅋㅋㅋ맛있겠어욬ㅋㅋㅋㅋ 연유 뿌렸으니 팥도 넣으면...!!!,2025-07-26,toctocsia
30,toctocsia.csv_2025-07-23,yulim225,완전 내스타일이내요,2025-07-23,toctocsia
31,toctocsia.csv_2025-07-23,un._dn_x,언니 오늘도 화이탕,2025-07-23,toctocsia
32,toctocsia.csv_2025-07-23,ruyami98,당신은 매우 아름답습니다❤️,2025-07-26,toctocsia
33,toctocsia.csv_2025-07-23,songi5997,맜있갰다 온니 존예 미춌엉 ❤️❤️❤️ 언니 화이팅팅팅,2025-07-23,toctocsia
34,toctocsia.csv_2025-07-23,sa._nga9650,맛있겟다 나두 먹고싶다 큐큐ㅠㅠ,2025-07-23,toctocsia
35,toctocsia.csv_2025-07-23,win_kie129,과일 스무디🍧,2025-07-23,toctocsia
36,toctocsia.csv_2025-07-23,botchi_the_lock,이분 몇년만에 보는거지,2025-07-24,toctocsia
37,toctocsia.csv_2025-07-23,seogaeun10,언니 혹시 다음 영상에는 시원한 투게더에 약과 과자 먹방 올려주시면 안될까요 😍😍😍😍,2025-07-24,toctocsia
38,toctocsia.csv_2025-07-23,soo.lee123,어떻게 저렇게 먹는데 이렇게 말랐지 부럽다..,2025-07-23,toctocsia
39,toctocsia.csv_2025-07-23,cocoaa135,3만원나가것네,2025-07-23,toctocsia
40,toctocsia.csv_2025-07-23,sa.rang8253,맛있겠노❤️🔥😍,2025-07-24,toctocsia
41,toctocsia.csv_2025-07-23,0wldb_,사칭범이 있습니다ㅠ,2025-07-24,toctocsia
42,toctocsia.csv_2025-07-16,seoeonanauhyeon,완전 맛있을거 같아요...ㅠ..,2025-07-16,toctocsia
43,toctocsia.csv_2025-07-16,vv._.ely_do,이모는 이가 시려서 못먹는데😢 맛있게 먹는거 보니 너무 이쁘네요 ㅎㅎ,2025-07-23,toctocsia
44,toctocsia.csv_2025-07-16,un._dn_x,언니 언재나 화이팅 포기하지 말아요!!!,2025-07-16,toctocsia
45,toctocsia.csv_2025-07-16,doy00_n0107,윤정윤이라고 하는사람이 불펌해요,2025-07-17,toctocsia
46,toctocsia.csv_2025-07-16,unntye_021697,일본인 여러분 이 아이스는 보통의 일본의 슈퍼라든지에도 팔고 있습니까?,2025-07-16,toctocsia
47,toctocsia.csv_2025-07-16,kimhayoon711,2빠 헤헤,2025-07-16,toctocsia
48,toctocsia.csv_2025-07-16,varagudu33,손가락 쫙핀거 귀요미 ㅋㅋ,2025-07-16,toctocsia
49,toctocsia.csv_2025-07-11,un._dn_x,언니 학교 다니느라 힘드실텐대 참고 끝가지 하시는 모습이 너무멎져요,2025-07-11,toctocsia
50,toctocsia.csv_2025-07-11,gangseonhwa1943,❤️❤️❤️나도 사먹어야징,2025-07-11,toctocsia
51,toctocsia.csv_2025-07-11,win_kie129,너무 마시고 싶어🧋,2025-07-16,toctocsia
52,toctocsia.csv_2025-07-11,blingcjh,비치볼~~,2025-07-12,toctocsia
53,toctocsia.csv_2025-07-11,2ye.x_,"톡톡시아님! 저의 추억을 완성시켜주신 유튜버 셔서 너무 감사합니다! 오늘하루 화이팅하시고, 언제나 힘내시길 바랄게요!!",2025-07-11,toctocsia
54,toctocsia.csv_2025-07-10,un._dn_x,언니는 어떻게 먹으면 서 관리를 해요 ? 부러워요. 언니 앞으로도 화이팅!!!,2025-07-10,toctocsia
55,toctocsia.csv_2025-07-10,atugarisan,깔끔하고 맛있게 먹는 톡톡시아님 ㅎㅎ 너무 귀여우심 ❤️,2025-07-10,toctocsia
56,toctocsia.csv_2025-07-10,jeongisu15,맛있겠다👏👏👏,2025-07-10,toctocsia
57,toctocsia.csv_2025-07-10,yong43400,잘보고갑니다😍😍😍😍,2025-07-11,toctocsia
58,toctocsia.csv_2025-07-10,eunsu4415,시아야~ 언니는 목요일에 언니 고등학교 지원실에서 동생들하고 친구들이랑 체험학습 다녀와서 방학은 7월17일이야^^☺️ 언니가 방학을 잘 못 알았네~~^^,2025-07-11,toctocsia
59,toctocsia.csv_2025-07-10,gyul.min09,오늘 야식 예약,2025-07-10,toctocsia
60,toctocsia.csv_2025-07-10,gigiay2,총 3만원할듯,2025-07-10,toctocsia
61,toctocsia.csv_2025-07-10,muknundana,오오 저도 먹고 오눌 영상 올렸는뎅❤️❤️❤️😍 멜론도 있었는데 같이 넣어 먹을걸ㅋㅋ 역시!,2025-07-10,toctocsia
62,toctocsia.csv_2025-07-10,gref8901,톡톡시아님 저랑 1~2살 차이세요 !!!,2025-07-10,toctocsia
63,toctocsia.csv_2025-07-10,opt0809,언니 몇살아에요🔥🔥,2025-07-11,toctocsia
64,toctocsia.csv_2025-07-10,dasom.10.23,총가격은?,2025-07-12,toctocsia
65,toctocsia.csv_2025-07-10,k_an.y3,원래 화채는 사이다만 들어가는데,2025-07-13,toctocsia
66,toctocsia.csv_2025-07-10,ssjjsssjjssjjssjjssjsjssjsss,저거 얼마예요오,2025-07-14,toctocsia
67,toctocsia.csv_2025-07-10,young__e.88,@qhfkssh 이거에요 이거,2025-07-15,toctocsia
68,toctocsia.csv_2025-07-10,young__e.88,@l_ji_eun1031 이거요이거,2025-07-15,toctocsia
69,toctocsia.csv_2025-07-10,mobinaa_f86,맛있어 보여요😂,2025-07-17,toctocsia
70,toctocsia.csv_2025-07-10,parkim2558,내 남자친구😍,2025-07-20,toctocsia
