POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,COMMENTS,PLATFORM
fromseohee.csv_2025-07-28,,알리에서 산 라부부 퀄리티 딱 알려드림ㅋㅎ 이빨 나간 녀석에 주름 자글자글한 녀석까지..😇💦 공홈에서 삽시다..,,fromseohee.csv,2025-07-28,468,"__j_be | 2025-07-29 | 이날 메이크업 넘넘 예뻐요😍❤️❤️❤️❤️
jii3807 | 2025-07-29 | 짭 당첨 이네욥
shineding_story | 2025-07-29 | 메이크업 넘 이뻐요....진심....❤️
rkdmsl._4 | 2025-07-30 | 헐...큐알이 없어여😱
zizonpgon | 2025-07-29 | 근데 라부부 닮았어요
mungyeong.jeon | 2025-07-28 | 왜
a3c4uu | 2025-07-29 | 에이블리 파이스트82에서 라부부 23~25,코카콜라시리즈/미개봉,개봉 등등 뭐 많이 퍌더라구여 전 담아만 둿는데 관심있으심 한번 봐보세용
heezero96 | 2025-07-29 | 쿠팡에서 샀는데 찐이였어요🙌
xyprzu | 2025-07-29 | 짭이에옄ㅋ
onejinkyung | 2025-07-29 | 짭이 머리가 돌아가는거 아닌가요?😂
base_onf | 2025-07-29 | 오늘따라 왜캐 바이브 퀸인건데 ㅋㅋㅋㅋㅋㅋㅋㅋ
22centuryboy | 2025-07-28 | 악 알리 ㅋ쿠ㅜㅜ 전 크림에서 희망이 주문했어요
kkm_______7 | 2025-07-29 | 짭이다잉😢
parkheonsang | 2025-07-28 | 얼마에영",Instagram
fromseohee.csv_2025-07-27,,5배 아삭해지는 땋은 궁채 먹어봤더니🔥 오독+매콤+새콤한게 중독성 쩔움.. 꼭 만들어 드셔보세요!🤭 엉니 만들어줘서 고마워.. 알라뷰🫶🏻♥️🫶🏻♥️ @stephaniekimchi,,fromseohee.csv,2025-07-27,1537,"y_not_eat | 2025-07-27 | 꺄아 이거 다들 양념 맛있다구 소문이 자자-하던데…! 대박… 궁그미
22centuryboy | 2025-07-28 | 우오아아앙
kellyfornia_c | 2025-07-29 | 너무 맛있어보여서 3번 연속 봄
le.jwxdns | 2025-07-27 | ❤️❤️
stephaniekimchi | 2025-07-27 | 매운거잘먹네 이제으른이네😚🧡💗",Instagram
fromseohee.csv_2025-07-26,,"AI 영상 속 젤리 키보드, 현실에서 만들어봤더니..?🫐 역대급 맘에 들어버림.. 여러분이 보기엔 어때요?🤓",,fromseohee.csv,2025-07-26,1277,"munchkindiva6 | 2025-07-26 | 😍😍
hapbbbi2 | 2025-07-27 | 성공!!🫐🥝🍓상콤달콤 뇸뇸해버고싶어요
shineding_story | 2025-07-26 | 헉 오늘 메이크업 왤케이뻐요?😍
pink.tape_ | 2025-07-26 | 완전 금손😍😍😍😍
hongji_yam | 2025-07-26 | 징짜루 짱 잘 만드셨여요!!!!😮
gyoung_ek__o_o.v | 2025-07-26 | 대성공입니다만 맛있겠다요
mukstar_md | 2025-07-26 | 잘 만드셨다😍❤️❤️
22centuryboy | 2025-07-27 | 대박대박👏👏👏
stephaniekimchi | 2025-07-26 | 푸딩키보드도 해주세여 🍮🍮🍮🍮🍮🍮
dessert_enterance_ | 2025-07-29 | ㅋㅋㅋㅋ대박 똑같아요",Instagram
fromseohee.csv_2025-07-24,,먹을 수 있는 포도 비누젤리 만들기?🍇 먹방 영상 반응이 좋아서 이번엔 직접 만들어봤어요! 퇴근하고 이틀동안 만들어왔는데.. 좋아요 눌러즈어..♥️🫠 (레시피는 꿈스토랑님 영상 참고했습니다!⭐️),,fromseohee.csv,2025-07-24,2602,"yun.qistina | 2025-07-25 | 😮😮😮😍😍😍
22centuryboy | 2025-07-25 | 신기해용😮😮😮
bbeuddiieon | 2025-07-25 | 왕손
choimina161820 | 2025-07-25 | 와 너무 맛있어보여요....😍
ey_sj_s2 | 2025-07-24 | 보는데 자꾸 포도모양 주방세제 생각나요... 😍
gaeun__l | 2025-07-24 | 모야모야 이번메이쿠업 역대급인데❤️❤️😍
hongji_yam | 2025-07-24 | 똥손 아니고 왕금손 아니냐구요!!!!!😍
yangjy0808 | 2025-07-25 | 유리과자?같아요!
hamtolyoon | 2025-07-29 | 먹는건 asmr안하면 안돼요? 맛있게 느껴지는게 아니라 쩝쩝거리는거 같아서 지저분하게 느껴져요 ㅠ 그냥 자연스레 씹으면서 나는 소리면 맛있게 느껴지겠지만 글쎄요 ㅠ",Instagram
fromseohee.csv_2025-07-23,,오픈런해서 먹는다는 강릉 크림빵 1티어⭐️ 초당옥수수 크림빵 꼭 드셔주세여.. 세상 대존맛ㅠ🌽💛 +열어분.. 마이크를 실수로 안 키고 찍어서 소리가 다 날아갔다눙••😭 정신 똑띠 차리고 찍을게용 엉엉💦,,fromseohee.csv,2025-07-23,601,"jeonkm81 | 2025-07-24 | 여기오디인가요?
22centuryboy | 2025-07-29 | 진짜 마싯겠네요
i_yooii | 2025-07-25 | 빵집 이름이몬가여
i_yooii | 2025-07-26 | 크림을 ㅙ 굳이 눌러서 먹어여 맛있어보일려고 그래여
eun0227 | 2025-07-24 | 안그래도 줄긴데......큰일났네요....🥲 매운용암빵이 찐입니다.....🥲
hongji_yam | 2025-07-23 | 헐 여기 빵 짱맛난데,,😍 또 먹고 싶어졌어요 엉엉🤤
bagseou967 | 2025-07-24 | 1빠
each.story | 2025-07-23 | 또 먹고시퍼....
ms_samsisekki | 2025-07-24 | 대머리독수리 개맛있더라….
stephaniekimchi | 2025-07-23 | 자기전부터 일어나자마자 옥수수크림빵만 먹던 여자🥸
bagseou967 | 2025-07-24 | 1빠
dearmyrodoong | 2025-07-24 | @im.ryul 어디야 여기
z__yeoning_ | 2025-07-27 | @_yeoni.i, @lissuya_, @ilyeongs2 얘드라 우리 이거 먹고오쟈ㅠㅠㅠ",Instagram
fromseohee.csv_2025-07-17,,유행하는 빙하 먹방 퀄리티 10배 높이는 꿀팁🧊 댓글로 재료 다 맞춰서 좀 소름돋았오••🫢 요즘같이 더울 때 먹으면 딱이에오! 친구들과 만들어보세요🤭❤️ 수정됨 ·,,fromseohee.csv,2025-07-17,1585,"onvitt0730 | 2025-07-23 | 오 ㅎㅎ 따라해볼만한 것 같아요 !
lsy__20fjedd | 2025-07-17 | 짱이쁘세요!!
lsy__20fjedd | 2025-07-17 | 우왕 2분전!
os01.24 | 2025-07-18 | 바닷물 먹방이엽
rim.on__ | 2025-07-17 | 대단해 내동생💙
shineding_story | 2025-07-17 | 이거는 맛있어보여요용❤️ 용암은 넘 달아보였다규여..🔥
cloud_9room | 2025-07-19 | 키보드요!!
ay_vely0919 | 2025-07-20 | 사막🔥
seogaeun10 | 2025-07-18 | 언니 혹시 다음 영상에는 투게더에 약과 과자 먹방 올려주시면 안될까요 😍
bagjiu5255 | 2025-07-24 | 실수로 드라이아이스 먹으면 어떡해요
ex.nz8_ | 2025-07-17 | 4빠
kdj141030 | 2025-07-19 | ㅠㅠ
kdj141030 | 2025-07-19 | 위험해요ㅠㅠ 드라이아이스 폭파할수도있어서
base_onf | 2025-07-18 | 근데 와 소다맛 첨보는데 맛있어보이잖아?
base_onf | 2025-07-18 | Ai보다 인간 ai가 되버려~~",Instagram
fromseohee.csv_2025-07-15,,AI 먹방 따라잡기 3탄! -40도 빙하 먹방🧊 어떻게 만들었을까요? 댓글로 맞춰보세요🥶🥶🥶,,fromseohee.csv,2025-07-15,5098,"jay.eayo | 2025-07-15 | 남극에서 직접 캐온 빙하ㅋㅋㅋㅋㅋㅋ 귀여워......💙
hongji_yam | 2025-07-15 | 남극까지 다녀오시는 부지런함(?)!!!!ㅎㅋㅋㅋㅋㅋㅋㅋ 왕 신기해요><
zzi_aaaae | 2025-07-15 | 뽕따!
r.ahxn_ | 2025-07-15 | 큐큐큐
pink.tape_ | 2025-07-15 | 서희님 이빨 조심해요오😍😍😍
nandoong___ | 2025-07-15 | 허거덩 빙하 맛있겠네요🥹🧊🥶
u_ha_j | 2025-07-16 | 바삭 바삭 -> 아삭 아삭!!
hapbbbi2 | 2025-07-15 | 보기만해도 한기가..🧊🧊
_.tnq1s | 2025-07-16 | 빙하는 북극인데 남극에서 캐 온 빙하 ㅋ큐ㅠ 신비한 음식이 분명하군요!!
asong._.14 | 2025-07-16 | 얼음에 담군 와삭바?...
newtear11 | 2025-07-16 | 1주좋아요 2개답글 달기
gimjian596 | 2025-07-16 | 그 고드름인가??
10yxx.u | 2025-07-16 | 엇 저거 그 여름 한정판아이스크림이다
seojin_1411 | 2025-07-16 | 어떡해 만드셨나영?
lining1447 | 2025-07-16 | 캔디바 아니예요?
_alla_sujin__ | 2025-07-16 | 뽕따 소다맛!!
