POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,COMMENTS,PLATFORM
hongji_2025-05-23,,"대전 갔더니 1,800원에 과일모찌를 팔아요🧐 🏷️ @youngchunmozzi_official","#asmr, #mukbang, #asmrmukbang, #먹방, #찹쌀떡, #과일모찌, #딸기모찌, #dessert, #mochi, #eatingshow",hongji,2025-05-23,4.1만,"nec2ssary9irl | 2025-05-23 | 여기 진짜 마싯어요... 최고의 모찌 사장님도 완전 친절하시고 짱
teddy_zip_ | 2025-05-23 | 나두 여기 넘 죠아해,,, 모찌 가격 진짜 찯하자녀🥹👍
fyyyiqws | 2025-05-23 | 온니오늘왤케이뻐요ㅠㅜㅜ
bugerrmanuni | 2025-05-26 | 맛잇개드시네요
xeilykmkx | 2025-05-25 | 여기진짜대박임 샤인머스캣 4알인가 들어있는거 보고 감동...
j.3hix_15 | 2025-05-23 | 언니가 먹으니까 더 맛있어보인다아
j1.y0en | 2025-05-28 | 가게이름이 뭐에요?
sonpilgyan | 2025-06-04 | 가도 겁나빨리 매진됨
nanpa._.2222 | 2025-06-08 | 아 여기 마이떠여ㅠㅠ❤️
gapagetii | 2025-05-23 | 와 샤머모찌 샤머 양 무엇😱
1yeol.is.mine | 2025-07-04 | 모르겠고 진짜 개이쁘시네
im._.eynnnnny | 2025-06-10 | @favjpg 스리야 언니가 모찌20개사줄게 가쟈
miran.k.here | 2025-07-07 | @emperor_jin90 영춘모찌!!
seeeeeo.a | 2025-06-12 | @taeee._.unn 맛있엇어~ 오늘모금
hxnzji | 2025-07-02 | @jo__oyoung_2 주영아.
ee.hloes | 2025-06-11 | @2_hansol2 나이거먹고싶다
915.lk_ | 2025-07-08 | @3aj1g_nooy 우와마싯겟다
sarang0504 | 2025-06-29 | ❤️
lemo_n10047 | 2025-07-02 | 차에 타있으시는것 같은데 도로 아닌가요..??
helloheenie | 2025-07-09 | @salon_once_ 가보셨슴까
love_.jang | 2025-05-24 | 안그래도 곧 대전가는데! 꼭 가봐야 겠네유
tbdld_2 | 2025-06-24 | @se__hyuk2 모찌 ……
seoyeoeo | 2025-06-05 | @sb_q20
sux.a8 | 2025-06-02 | ㄹㅇ 존나맛잇음 백앙금드세여 ㅠ
yoonseooyeon | 2025-05-26 | 몇 시부터 줄 서셨어요?!ㅠ
yun._.luv | 2025-07-06 | @gmlwn060949
gwiri_9ri | 2025-05-28 | 앞머리 까니까 넘귀 넘예
mil.kgray | 2025-06-19 | @dongbeen9 맛있겠다
silvia8987 | 2025-07-08 | @p_se__ll
_cherry_417 | 2025-07-02 | @_c1_08 그때 거기 아니냐
da._.mmmmi | 2025-07-06 | @u.zzoung 유댱아 모찌조아?
_hyun__j_i | 2025-05-27 | 위치가 어디에요??
yeongbao | 2025-06-16 | @9rjsdn
g_haeeeeya | 2025-06-12 | @ukiki_zzang
qkrxthwjd | 2025-06-28 | @haejooon 자기가 조아하는 모찌 과일모찌인데 댕싸두
aa1.___.1aa | 2025-07-05 | @sangug3485
yoonjung210 | 2025-06-11 | @11.9_j 아용씨의 맛집…
eun._.jung619 | 2025-07-01 | 대전사는데..처음 알았어요,,
inhye_94 | 2025-06-22 | @youngsu__j 사다줘어어ㅜㅜㅜ
_hyhusband0908 | 2025-06-30 | @_dkwife0303
urim_e.98 | 2025-06-05 | @yeeah_iin @sooyoung_w0 지나가다 사람들 준선곳 이거래!!! 유명하대!😮
two._.owt | 2025-06-04 | @1m__yuu @lwo9i
kuma_1206_ | 2025-06-04 | @hooni._.00 사러가댜
5yujeong_ | 2025-06-02 | @_h_rami
coecaeryeong46 | 2025-05-23 | 와ㅏ 과일 모찌 먹고 싶다 ㅜ
pochamee_ | 2025-06-02 | @soioihy_ 사와이년아
ilove.u_ha | 2025-05-29 | @autumnal_dk @ivo_0e 요기가봐유❤️
jeong_1995__ | 2025-05-29 | @pangwooo 아..
hye._.vvley | 2025-05-29 | @dalove.oo 우리 다시 한번 진지하게 대전 고민 좀 해볼까 ..?
0k._.110 | 2025-05-28 | @pr._.ize 미이이이치이이인
ra.hyun13 | 2025-05-28 | 와 진짜 겁나겁나겁나겁나 맛있겠다
kingyuri00 | 2025-05-28 | @zzz_hyunjung, @m00n0118 대전가자
chuchu_8_4 | 2025-05-27 | @q8_olel
ra_oni | 2025-05-27 | 여기 진짜 맛있어요 사장님 스타일도 멋지시고 쇼핑백 상호 켈리도 사장님표임
z._.coo | 2025-05-27 | @yoooongl 이거 맛있을거같아.
rjesnds | 2025-05-26 | @ssun_m.in
kijul_haha | 2025-05-25 | 왜이리 싸
xeo0704 | 2025-05-24 | 가게 이름 알려주세요!
