POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
anunu.kr_2025-07-28,111,진짜 과일같은 수제젤리 모둠,"#수제젤리, #고체, #29cm, #fyp, #nightsnack, #먹방, #mukbangkorea, #asmr, #mukbang",anunu.kr,2025-07-28,2148,Instagram
anunu.kr_2025-07-25,116,역대급으로 많이 팔려버린 스위즐스 근황,,anunu.kr,2025-07-25,442,Instagram
anunu.kr_2025-07-22,56,망고 납작복숭아와 요거트분수,"#nightsnack, #fyp, #mukbangkorea, #야식, #asmr, #mukbang, #yogurtboy",anunu.kr,2025-07-22,2444,Instagram
anunu.kr_2025-07-21,46,해외에서 엄청뜬 바삭한 한국 마시멜로,"#fyp, #nightsnack, #mukbangkorea, #야식, #asmr, #mukbang, #yogurtboy",anunu.kr,2025-07-21,2.1만,Instagram
anunu.kr_2025-07-18,845,인스턴트 초코케이크 좋아하는 사람? 수정됨 ·,"#오레오, #fyp, #nightsnack, #요거트, #먹방, #mukbangkorea, #yogurtboy, #야식, #asmr, #mukbang, #yogurt",anunu.kr,2025-07-18,6909,Instagram
anunu.kr_2025-07-17,116,아누누 X 스위즐스 드럼스틱 [국내최초] 공구함니다 7/17-31,"#스위즐스, #드럼스틱, #젤리, #fyp, #먹방, #야식, #mukbangkorea, #asmr, #공구, #스쿼시스",anunu.kr,2025-07-17,3872,Instagram
anunu.kr_2025-07-15,249,과일 모양 아이스크림 다른것도 발견함 🧑🏻‍🦲,"#nightsnack, #fyp, #먹방, #mukbangkorea, #mukbang, #asmr, #과일아이스크림, #viral",anunu.kr,2025-07-15,4909,Instagram
anunu.kr_2025-07-14,523,몽골에서 찾은 납작복숭아와 요거트,"#nightsnack, #fyp, #요거트, #먹방, #mukbangkorea, #야식, #yogurtboy, #asmr, #mukbang",anunu.kr,2025-07-14,4762,Instagram
anunu.kr_2025-07-12,249,해외에서 유행한 너무먹고싶던 과일 아이스크림,"#과일아이스크림, #fyp, #nightsnack, #mukbangkorea, #야식, #mukbang",anunu.kr,2025-07-12,1.9만,Instagram
anunu.kr_2025-07-11,109,과유불급 젤리 코하쿠토 수박화채,"#수박화채, #스위즐스, #nightsnack, #fyp, #먹방, #mukbangkorea, #asmr, #mukbang",anunu.kr,2025-07-11,1744,Instagram
anunu.kr_2025-07-09,264,@stephaniekimchi 누님의 비법소스로 다시 만든 소스로 궁채 먹기,"#nightsnack, #fyp, #먹방, #야식, #mukbangkorea, #asmr, #궁채",anunu.kr,2025-07-09,1.2만,Instagram
anunu.kr_2025-07-08,109,씨없는 수박이 실재한다고?,"#수박, #씨없는수박, #야식, #yogurtboy, #먹방, #요거트, #fyp, #nightsnack, #mukbangkorea, #asmr, #mukbang",anunu.kr,2025-07-08,8645,Instagram
anunu.kr_2025-07-07,30,콩만한 딸기 바나나 호빵,"#요거트, #fyp, #nightsnack, #먹방, #yogurtboy, #야식, #mukbangkorea, #호빵, #딸기호빵, #바나나호빵",anunu.kr,2025-07-07,2020,Instagram
anunu.kr_2025-07-06,845,@yeosu.unnie 님이 주신 신상 초코퐁당 구름크림떡 먹어보기,"#nightsnack, #fyp, #요거트, #먹방, #yogurtboy, #야식, #mukbangkorea, #asmr, #초코퐁당, #구름크림떡, #여수언니, #봄날엔",anunu.kr,2025-07-06,3214,Instagram
anunu.kr_2025-07-05,61,궁채 댕기머리 먹방 @stephaniekimchi,"#궁채, #먹방, #nightsnack, #야식, #mukbangkorea, #asmr",anunu.kr,2025-07-05,1.4만,Instagram
anunu.kr_2025-07-04,61,팝업 끝난 기념으로 파삭 먹방 @pasaackorea,"#fyp, #nightsnack, #요거트, #먹방, #yogurtboy, #야식, #mukbangkorea, #파삭, #pasaac",anunu.kr,2025-07-04,1926,Instagram
anunu.kr_2025-07-03,61,선물받은 디저트들 먹방,"#fyp, #nightsnack, #요거트, #먹방, #yogurtboy, #야식, #mukbangkorea, #asmr, #mukbang, #yogurt",anunu.kr,2025-07-03,1377,Instagram
anunu.kr_2025-07-02,249,트러플 찹쌀떡과 과일 찹쌀떡 모음집,"#한정선, #찹쌀떡, #야식, #먹방, #mukbangkorea, #mukbang",anunu.kr,2025-07-02,2805,Instagram
anunu.kr_2025-07-01,153,구워주는 꾸덕한 통치즈케이크,"#더현대, #팝업, #fyp, #nightsnack, #yogurtboy, #먹방, #야식, #mukbangkorea, #asmr",anunu.kr,2025-07-01,786,Instagram
anunu.kr_2025-06-28,686,입에서 사르르 녹는 꽈배기 먹어보셨슴니까,"#fyp, #요거트, #yogurtboy, #야식, #mukbangkorea, #꽈배기",anunu.kr,2025-06-28,4078,Instagram
anunu.kr_2025-06-24,178,쑥맛 파삭 4배 맛있게 먹는 법 @pasaackorea,"#파식, #쑥맛, #pasaac, #nightsnack, #요거트, #fyp, #먹방, #야식, #mukbangkorea, #asmr, #yogurt",anunu.kr,2025-06-24,2439,Instagram
anunu.kr_2025-06-24,25,"the_hyundai 💙Pasaac X The HYUNDAI SEOUL💙 한국에 동결건조 붐을 일으켰던 아누누의 ‘파삭‘이 드디어 더현대 서울에서 팝업을 오픈합니다! 품절로 만나기 어려웠던 오리지널 파삭부터 새로운 맛 ‘쑥맛 파삭’ 까지! 더현대 서울에서 보고, 맛보고, 바삭한 순간을 함께 나눠요🩵 현대백화점 팔로우하고 아누누의 ‘파삭‘ 함께 먹고 싶은 친구를 댓글에 태그해주세요! 🎁경품 : 오리지널 파삭 1개 (3명) 🎁기간 : 6.24(화) ~ 7.2(수) 🎁당첨자발표 : 7.7(월) 파삭 팝업스토어 📍더현대 서울 B1 🗓️6.26(목) ~ 7.2(수)","#EVENT, #파삭, #댓글이벤트",anunu.kr,2025-06-24,827,Instagram
anunu.kr_2025-06-23,798,젤리만 먹던자의 최후 @pasaackorea,"#더현대, #팝업, #파삭, #쑥맛",anunu.kr,2025-06-23,366,Instagram
anunu.kr_2025-06-22,70,까먹는 젤리에 이은 바나나빵,"#바나나빵, #망고빵, #까먹는바나나빵, #야식, #mukbangkorea, #먹방, #yogurtboy, #요거트, #fyp",anunu.kr,2025-06-22,742,Instagram
anunu.kr_2025-06-19,286,완젼 꾸덕한 초코초꾸떡,"#초코초꾸떡, #봄날엔, #fyp, #요거트, #yogurtboy, #nightsnack, #먹방, #야식, #mukbangkorea",anunu.kr,2025-06-19,3304,Instagram
anunu.kr_2025-06-14,116,스위즐스에게 훈장받는 아누누,"#스위즐스, #드럼스틱, #서울푸드",anunu.kr,2025-06-14,827,Instagram
anunu.kr_2025-06-09,249,과일쨈이 한가득 들어있어 쫀득함이 4배인 보석,"#실키잼, #silkygem",anunu.kr,2025-06-09,1749,Instagram
anunu.kr_2025-06-06,895,@jeon_unni_ 켈프 피클과 맞바꾼 터키 벽돌 케이크,,anunu.kr,2025-06-06,3340,Instagram
anunu.kr_2025-06-05,403,루피 케이크 막차타기,"#베스킨라빈스31, #루피, #케이크, #요거트, #nightsnack, #fyp, #yogurtboy, #먹방, #야식, #mukbangkorea",anunu.kr,2025-06-05,3502,Instagram
anunu.kr_2025-06-04,223,켈프피클의 서양맛 k겉절이로 혼내주다,,anunu.kr,2025-06-04,1315,Instagram
anunu.kr_2025-05-30,794,제품 화보마저 가내수공업인 소상공인 아누누 @pasaackorea,"#파삭, #pasaac",anunu.kr,2025-05-30,2026,Instagram
anunu.kr_2025-05-29,1080,전깃줄같은 해초 피클 먹어보기,"#kelp, #pickle, #muckbangkorea",anunu.kr,2025-05-29,7002,Instagram
anunu.kr_2025-05-27,207,색다른 일본 코스트코 간식 털어봄,"#코ㅗ스트코, #먹방, #젤리, #푸쵸, #fyp, #mukbangkorea, #yogurt, #요거트",anunu.kr,2025-05-27,699,Instagram
anunu.kr_2025-05-26,178,파삭 홍대에 무료나눔 했더니 Muk SNa,"#fyp, #홍대, #파삭",anunu.kr,2025-05-26,644,Instagram
anunu.kr_2025-05-25,235,크림 가득 더현대에서 사온 고디바 소라빵,"#두바이초콜릿, #고디바, #mukbangkorea, #nightsnack, #fyp, #yogurt, #먹방",anunu.kr,2025-05-25,2687,Instagram
anunu.kr_2025-05-24,178,큰일 났어요 파삭이 다 녹았어요 ㅠ,#파삭,anunu.kr,2025-05-24,1251,Instagram
anunu.kr_2025-05-20,249,쫀쫀한 과일 밀크바 과연 맛있을까,"#과일밀크바, #쫀득쿠키",anunu.kr,2025-05-20,1455,Instagram
anunu.kr_2025-05-18,54,포도알 같은 말차 와라비모찌,"#mukbangkorea, #nightsnack, #fyp, #わらび餅, #抹茶, #와라비모찌, #말차라떼",anunu.kr,2025-05-18,5667,Instagram
anunu.kr_2025-05-17,153,35000원 고급 치즈케이크,"#yogurt, #치즈케이크, #홋카이도, #북해도, #mukbangkorea, #요거트, #nightsnack, #fyp, #먹방, #北海道チーズケーキ",anunu.kr,2025-05-17,1903,Instagram
anunu.kr_2025-05-16,61,키위의 레드키위 먹방,"#키위, #레드키위, #yogurt, #mukbangkorea, #요거트, #nightsnack, #fyp, #yogurtboy",anunu.kr,2025-05-16,2826,Instagram
anunu.kr_2025-05-15,735,드디어 먹어본 초코퐁당 요거트꿀떡,"#요거트, #떡, #yogurt, #mukbangkorea, #nightsnack, #먹방, #fyp",anunu.kr,2025-05-15,5308,Instagram
anunu.kr_2025-05-12,30,의 추천 초코바나나와 초코딸기,"#nightsnack, #fyp, #도쿄, #먹방, #mukbangkorea, #yogurtboy, #요거트",anunu.kr,2025-05-12,5174,Instagram
anunu.kr_2025-05-11,87,입욕제같은 크림브륄레 볼,"#도쿄, #먹방, #fyp, #nightsnack, #mukbangkorea, #크림브륄레",anunu.kr,2025-05-11,6052,Instagram
anunu.kr_2025-05-08,56,성심당 망고시루 망고롤케익 그리고 망고머리,"#fyp, #먹방, #nightsnack, #mukbangkorea, #망고시루, #성심당",anunu.kr,2025-05-08,2041,Instagram
anunu.kr_2025-05-07,667,쑥떡 다 모아서 먹어봄,"#쑥떡, #fyp, #먹방, #nightsnack, #mukbangkorea, #ddeok, #ricecake",anunu.kr,2025-05-07,5705,Instagram
anunu.kr_2025-05-05,845,프랑스 정과 이번엔 초코 콩피 등장,"#초코, #콩피, #yogurtboy, #fyp, #먹방, #요거트, #nightsnack, #mukbangkorea",anunu.kr,2025-05-05,3736,Instagram
anunu.kr_2025-05-02,21,던킨도너츠 동결건조는 과연 먹방,"#던킨도너츠, #먹방, #yogurtboy, #fyp, #요거트, #nightsnack, #mukbangkorea, #동결건조, #freezedried",anunu.kr,2025-05-02,2272,Instagram
