POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
fromseohee_2025-07-28,380,알리에서 산 라부부 퀄리티 딱 알려드림ㅋㅎ 이빨 나간 녀석에 주름 자글자글한 녀석까지..😇💦 공홈에서 삽시다..,,fromseohee,2025-07-28,468,Instagram
fromseohee_2025-07-27,264,5배 아삭해지는 땋은 궁채 먹어봤더니🔥 오독+매콤+새콤한게 중독성 쩔움.. 꼭 만들어 드셔보세요!🤭 엉니 만들어줘서 고마워.. 알라뷰🫶🏻♥️🫶🏻♥️ @stephaniekimchi,,fromseohee,2025-07-27,1537,Instagram
fromseohee_2025-07-26,798,"AI 영상 속 젤리 키보드, 현실에서 만들어봤더니..?🫐 역대급 맘에 들어버림.. 여러분이 보기엔 어때요?🤓",,fromseohee,2025-07-26,1277,Instagram
fromseohee_2025-07-24,38,먹을 수 있는 포도 비누젤리 만들기?🍇 먹방 영상 반응이 좋아서 이번엔 직접 만들어봤어요! 퇴근하고 이틀동안 만들어왔는데.. 좋아요 눌러즈어..♥️🫠 (레시피는 꿈스토랑님 영상 참고했습니다!⭐️),,fromseohee,2025-07-24,2602,Instagram
fromseohee_2025-07-23,728,오픈런해서 먹는다는 강릉 크림빵 1티어⭐️ 초당옥수수 크림빵 꼭 드셔주세여.. 세상 대존맛ㅠ🌽💛 +열어분.. 마이크를 실수로 안 키고 찍어서 소리가 다 날아갔다눙••😭 정신 똑띠 차리고 찍을게용 엉엉💦,,fromseohee,2025-07-23,601,Instagram
fromseohee_2025-07-17,61,유행하는 빙하 먹방 퀄리티 10배 높이는 꿀팁🧊 댓글로 재료 다 맞춰서 좀 소름돋았오••🫢 요즘같이 더울 때 먹으면 딱이에오! 친구들과 만들어보세요🤭❤️ 수정됨 ·,,fromseohee,2025-07-17,1585,Instagram
fromseohee_2025-07-15,61,AI 먹방 따라잡기 3탄! -40도 빙하 먹방🧊 어떻게 만들었을까요? 댓글로 맞춰보세요🥶🥶🥶,,fromseohee,2025-07-15,5098,Instagram
fromseohee_2025-07-13,249,"AI 속 유리과일, 실제로 만들면 이렇게 됩니다🍎 성공 vs 실패! 여러분의 생각은?🤭",,fromseohee,2025-07-13,3416,Instagram
fromseohee_2025-07-12,61,알알이 엮은 포도젤리? 수제 과일젤리 먹방ASMR (젤리는 고체에서 단순 선물 받았습니당🤭🫶🏻🍓✨),,fromseohee,2025-07-12,6.9만,Instagram
fromseohee_2025-07-11,56,젼언니 콜라젤리? 까먹는 망고빵?  편의점 신상리뷰✨ 여러분은 어떤게 제일 맛있어보여요?🤭❤️,,fromseohee,2025-07-11,2115,Instagram
fromseohee_2025-07-10,61,이갈고 만든 AI 유리과일 먹방✨ 유리를 먹었더니 혓바닥이 따끔따꼼하네요~~🤪 고생했는데 구독과 좋아요 눟러주샤요!😇,,fromseohee,2025-07-10,4206,Instagram
fromseohee_2025-07-08,61,용암먹방 다음 대세는 AI 유리과일 먹방✨ 꼭 만들어보고 싶은데 어떻게해야 성공할까요..? 금손들 도와쥬!😭,,fromseohee,2025-07-08,3.6만,Instagram
