POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
jeon_2025-07-25,46,과일먹은 마시멜로우🍓마시써 @anunu.eat 수정됨 ·,#젼언니,jeon,2025-07-25,7218,Instagram
jeon_2025-07-24,35,"여름엔 역시 시~원한 쭈쭈바 무더야지!!😋 라라스윗 저당 딥초코/쿨소다 쭈쭈바는 유크림이랑 고급 코코아로 부드럽게, 시중 제품보다 당은 1/4 수준이라 부담 없이 즐길 수 있어요🍦 너무 더울 때 라라스윗 쭈쭈바 생각난다면 공식몰, GS25·CU 편의점으로 달려가기🩵","#광고, #젼언니",jeon,2025-07-24,984,Instagram
jeon_2025-07-23,225,입맛없을때는 게장이지!!! 엄마표 양념게장😍,#젼언니,jeon,2025-07-23,3990,Instagram
jeon_2025-07-22,758,"맵.시.짠 레드타키스,블루타키스 육포칩🥩",#젼언니,jeon,2025-07-22,3448,Instagram
jeon_2025-07-21,716,"일평생 자식들만 위해서 희생하며 살아오신 가여운 우리 할머니 호강시켜드리고싶어서 또 숨만쉬어도 욕을먹던 미운오리새끼에서 벗어나고싶어서 어릴땐 무조건 빨리 성공하고싶었어요. 그땐, 주변도 돌아보지못하고, 오직 내성공과 내자신의 실력을 쌓는것에만 집중하며 살았던거 같아요. 그러다보니 뭔가 뜻대로 되지않으면 모든걸 저주하고 조금만 인정받으면 보상심리 때문인지 거만해지고 또 혼자있을땐 왜 그것밖에 안되냐며 내자신을 한없이 혹사시켰죠 성공의 기준이 뭔지도 모른채 어리석게 살았어요 이젠...모든게 달라졌어요 저자신부터 모든게 너무많이 변했거든요 이건 전부, 젼둥이들 덕이예요 감사해요, 감사합니다 우리할머니를 행복하게 해주셔서 감사해요 젼둥이들.",#젼언니,jeon,2025-07-21,2183,Instagram
jeon_2025-07-19,567,내일 초복이래 삼계탕무그쟈😍,#젼언니,jeon,2025-07-19,2473,Instagram
jeon_2025-07-18,249,태그 폭탄 당한 과일 아이스크림🍓 만들어보쟈,#젼언니,jeon,2025-07-18,1.1만,Instagram
jeon_2025-07-16,380,라부부 케이크&같이 젼둥신호 정해보쟈😂🫶🏻,#젼언니,jeon,2025-07-16,9855,Instagram
jeon_2025-07-15,380,라부부 케이크🍰,#젼언니,jeon,2025-07-15,3.1만,Instagram
jeon_2025-07-10,240,고추장아찌가 들어있는 레몬무뼈닭발🍋,#젼언니,jeon,2025-07-10,7990,Instagram
jeon_2025-07-09,207,멕시코 간식 “뚜론 로사” 먹는 방법✌️😋 딱 아이셔같은 맛이에요!!!,#젼언니,jeon,2025-07-09,8200,Instagram
jeon_2025-07-08,207,"멕시코의 길거리간식 핑크색 ""뚜론로사""",#젼언니,jeon,2025-07-08,1.2만,Instagram
jeon_2025-07-06,207,투명한 젤리같은 야자나무열매 아이스 애플🌴 내 간식창고에 있을 거 같은 간식 있어요??😂😂😂,#젼언니,jeon,2025-07-06,1.1만,Instagram
jeon_2025-07-05,758,직접 만든 바삭한 육포칩에 레드 타키스 가루🥩,#젼언니,jeon,2025-07-05,5554,Instagram
jeon_2025-07-04,207,오랜만에 할머니 뵙고 간식도 드리고 왔어요🍌💛,"#광고, #바나나과자, #과자추천, #간식추천",jeon,2025-07-04,4450,Instagram
jeon_2025-07-03,626,"젼언니 스윗믹스젤리 2탄, 젼둥이들이 찜한 콜라맛만 쏙 빼와서 몰빵해버려찌이💕💕","#광고, #젼언니",jeon,2025-07-03,9238,Instagram
jeon_2025-06-30,56,냉동망고로 먹다가 생망고 먹으믄 부티나는줄 아는여자 ㅋㄱㅋㅋㄱ😅😅 수정됨 ·,#젼언니,jeon,2025-06-30,9490,Instagram
jeon_2025-06-25,542,노각비빔밥 무슨일이야ㅠ👍👍👍 다같이 맛있게 나눠먹었어요💕,#젼언니,jeon,2025-06-25,8607,Instagram
jeon_2025-06-24,460,댓글에있던 노각무침💕 티격태격 엄마랑같이 도젼언니💪,#젼언니,jeon,2025-06-24,5655,Instagram
jeon_2025-06-24,726,고수님들의 동전오징어 먹는 꿀팁🍯,#젼언니,jeon,2025-06-24,1.2만,Instagram
jeon_2025-06-22,148,벽돌 초콜릿 케이크 요거트에 찍어먹기🍫,#젼언니,jeon,2025-06-22,7587,Instagram
jeon_2025-06-19,207,이젠 엄마한테 간식창고를 털려따. 근데 멍이득!!! 피클로 만든 오이소박이 🥒 수정됨 ·,#젼언니,jeon,2025-06-19,1.2만,Instagram
jeon_2025-06-18,118,참외 비빔 쌀국수!!! 엄마 오셨으니까 무그고싶응거 다 얘기해😍 수정됨 ·,#젼언니,jeon,2025-06-18,8916,Instagram
jeon_2025-06-16,371,[내돈내산] 여름철 보습꿀팁👍 제가 수딩젤을 한번 섞어봤는데 넘 좋더라구요!!! 젼둥이들의 피부장벽 지키기 그리고 물 마니 마시기😍 수정됨 ·,#젼언니,jeon,2025-06-16,9237,Instagram
jeon_2025-06-14,273,김치찜에 [이것]을 넣어먹으면 진짜 맛있습니다👍,#젼언니,jeon,2025-06-14,6951,Instagram
jeon_2025-06-13,716,품절대란 리들샷이 CU에 상륙?! 프리미엄 컬러 리들샷을 저렴하게 만날 수 있고 여행 필수템인 화잘먹 스킨팩까지 만나볼 수 있대요😍  한달 간 할인과 2+1 행사도 한다고 하니 많은 관심 부탁해요❤️ [젼언니 X VT코스메틱 댓글 이벤트] ① 젼언니 X VT코스메틱 영상에 '좋아요' 누르기! ② 해당 영상 댓글에 CU 컬러리들샷/스킨팩 기대평을 남겨주세요. ③ 총 10명에게 오리지널 리들샷 100 본품 증정! ✅ 이벤트 진행 기간: 6/13 (금)~6/19 (목) ✅ 당첨자 발표: 6/20 (금) * 당첨자의 경우 VT 코스메틱 측에서 DM로 안내 예정,"#광고, #젼언니, #CU, #VT코스메틱",jeon,2025-06-13,2587,Instagram
jeon_2025-06-12,112,선풍기권법 과 순대 순대아는사람 모른척해주라😂😂,#젼언니,jeon,2025-06-12,2064,Instagram
jeon_2025-06-09,558,"젼둥이들💗젼언니x니아르 퓨어 애사비 캔디 오후 7시 오픈됩니다🍏 이너뷰티까지 같이 챙길 수 있는 애사비 캔디 같이 무더보쟈!!! 자 그럼, 젼언니 가격 구성과 이벤트 방법 확인해주세요🎁 수정됨 ·","#젼언니, #니아르",jeon,2025-06-09,276,Instagram
jeon_2025-06-08,255,"집안 곳곳에 미끼로 뿌려놨더니 민지도 낚여들었음요ㅋㅋㅋ🍏 제가 물을 많이 마시기 시작하면서 요 간단한 고함량 애새비캔디에 관심을 갖기 시작했는데요. 솔직히 다들 니아르 애사비캔디에 내적친밀감 생겼죠? 저도 니아르 애사비는 광고도하고, 팝업도 가면서 애정이 더더 듬뿍 생겼어요. 특히 팝업때는 젼둥이들 관심이 엄청났었죠💕 젼언니X니아르 퓨어 애사비 캔디는   ~   월요일 오후 7시 오픈!! 애사비 챙겨드시는 젼둥이들을 위해 ⭐국내 최저가⭐에 다양한 이벤트까지 낋여왔씁니다😍 그러니께 품절대란은 걱정하덜덜덜 말어~ 젼언니 국내 최저가 가격구성 공개하자면!!👇 ✅ OPTION 01 퓨어 애사비 6 box 270,000→135,900원 (50% 할인) ✅ OPTION 02 퓨어 애사비 4 box 180,000원→ 99,600원 (45% 할인) ✅ OPTION 03 퓨어 애사비 1 box 정상가: 45,000원→25,900원 (42% 할인) ✅ OPTION 04 퓨어 애사비 2 box 정상가: 90,000원→50,900원 (43% 할인) 🎁 EVENT 🎁 ✨ 최다 구매 1명 → 올리브영 상품권 5만원권 ⏱ 선착순 10명 → 니아르 글로우틴 납작복숭아맛 1 box 📸 스토리 구매 인증 10명 → 배달의민족 1만원권 🎲 랜덤 20명 → 퓨어 애사비 1 box 추가 증정 🔔 이벤트 참여 방법은   인스타그램 피드에서 확인하세요!!","#젼언니, #니아르",jeon,2025-06-08,4727,Instagram
jeon_2025-06-06,745,GS25에서만 판매되는 신상 서울우유빵 3종‼ 크림은 고소하고 신선한 우유맛 그 자체..🤍 우유에 말아먹어도 진짜 맛있다니깐용🥛+🍞,"#광고, #젼언니",jeon,2025-06-06,3087,Instagram
