POST_ID,KEYWORD_ID,POST_TEXT,HASHTAGS,AUTHOR_ID,POST_DATE,LIKE_COUNT,PLATFORM
sweetshop_2025-07-26,598,완전 내돈내산 육식맨 소시지 리뷰..!,,sweetshop,2025-07-26,741,Instagram
sweetshop_2025-07-23,760,편의점 꿀조합 음료였던 얼박사를 간편한 캔으로! 단골님들도 MZ 세대가 픽한 얼박사로 비타민 충전하세요🙌 ✨ GS25 편의점 단독 판매 ✨ 7~ 두 달간 1+1 프로모션 행사 단골님들도 GS25에서 얼박사 한번 드셔보세요!!,"#얼박사, #편의점신상, #에너지드링크추천",sweetshop,2025-07-23,874,Instagram
sweetshop_2025-07-22,81,물 안먹는 사람에겐.. 너무 신세계 인터넷에 ‘보리차 액상’ 치면 많이 나와요!,,sweetshop,2025-07-22,1455,Instagram
sweetshop_2025-07-23,341,팥 들어간 찹쌀도넛 vs 안들어간 도넛 (유튜브 채널이 올라간 영상에 들어가보시면 제품 태그 걸어놓았어요! 링크 캡처해서 들어가보세용!) 영상: https://youtube.com/shorts/DOMmHxbni3c?si=-qOMtrY5DJPd7uz5 수정됨 ·,,sweetshop,2025-07-23,8206,Instagram
sweetshop_2025-07-17,61,"AI가 하라는 대로 만든 용암 먹방 재도전 단골님들! 새로 출시된 갤럭시 Z 플립7 어때요~? 예쁜데 똑똑한 갤럭시 Z 플립7 덕분에 용암 먹방 성공했어요 (감격) ❤️ 유튜브 채널에서 Z 플립7 기대평 이벤트도 진행 중이니 확인해 보세요! 🎁 갤럭시 Z 플립7 & Z 폴드7 7/15(화)-7/21(월)까지 사전 예약 진행 중! 풍성한 혜택들도 챙겨가세요! [사전 예약 주요 혜택] 1) 더블 스토리지 프로모션 (256GB 예약 시 → 512GB 업그레이드!) 2) 갤럭시 워치8 시리즈 10% 추가 할인 쿠폰 제공 (*삼성닷컴 앱) 3) 케이스 & 액세서리 30% 할인 쿠폰 5장 제공 (*삼성닷컴 앱) 4) Google AI Pro 6개월, 윌라 3개월 무료 구독권 5) 정품 보호필름 1회 무료 부착 서비스 등! *프로모션 관련 자세한 내용은 삼성닷컴을 참고해 주세요","#광고, #갤럭시AI, #GalaxyAI, #갤럭시z플립7",sweetshop,2025-07-17,1819,Instagram
sweetshop_2025-07-10,83,유행하는 연어깍두기가 벌써 나왔다고요?? 빠르다 빨라 요즘 유행하는 불닭마요 연어깍두기와 연어초밥은 육회바른연어에서  31일까지만 한정 판매된대요! 모두 꼭 드셔보세요!!,"#광고, #육회바른연어, #불닭마요연어깍두기정식, #불닭마요연어초밥",sweetshop,2025-07-10,8485,Instagram
sweetshop_2025-07-08,360,이것은. 내 목숨 호로록 디저트입니다. 최대한 비슷하게 해보려고 했는데.. 태운것만은 도저히.. 한국의 의료발전에 기여하고싶은게 아니라면 따라하지마십시오. 수정됨 ·,,sweetshop,2025-07-08,4468,Instagram
sweetshop_2025-07-07,148,"옥수수 초콜릿.. 진짜 어디서 팔면 내가 가서 사먹고 싶은 맛🥹 다음 농산물 추천받습니닼ㅋㅋㅋㅋㅋㅋ 과일, 구황작물 다 오케이!",,sweetshop,2025-07-07,1.1만,Instagram
sweetshop_2025-07-04,269,이정도로 기름 쫙 빠진 대창이 낫다? 아니면 기름이 꽉찬게 낫다? 대창은 기름맛으로 먹는건데.. 기름이 저렇게 빠지면 무슨 맛이냐는 분도 계셨는데? 저는 저번보다 훨씬 낫긴 했어요ㅎㅅㅎ 이것보다 더 기가막힌 방법을 아시면 꿀팁좀 전수해주십시오…🙌🏻,#대창,sweetshop,2025-07-04,4193,Instagram
sweetshop_2025-07-02,83,"어떤분께서.. 울산에 자라면서 물라면은 본적도 없다고 하시던데 실제로 울산에서 학창시절에 물라면 드셔보신 분 계신가요?? 제가 이 분식집은 우연히 들렀는데 구석에서 물라면을 먹으면서 사장님이 학생들이랑 도란도란 이야기 나누는걸 듣다보니깐..너무 친절하시더라구요♥️ 한 초등학생이 벽에 포스트잇으로 ‘사장님이 친절하시고, 이 집이 장사 잘됐으면 좋겠어요’라고 써놨던데 저도 그렇게 생각합니다 ㅎㅎ <가게 정보> 상호명: 조은분식 주소: 울산 남구 중앙로166번길 55 영업 시간: 12:00~19:30 휴무: 일요일 가격: 물라면 1000원(냉/온/불닭/짜장)",#물라면,sweetshop,2025-07-02,6374,Instagram
sweetshop_2025-06-30,596,"고급빵보다 추억의 빵이 더 좋은걸 보면,,촌년이란 말 반박 불갘ㅋㅋㅋㅋ 소세지빵 1500원쯤 하는 줄 알았는데 4000원 가까이 하는거 보고.. 요즘 집에서 대량생산 해서 먹고있습니다. 요즘 맛있는 빵 아무리 날고 기어도 저는 옛날 후랑크 소세지가 들어간 추억의 소시지빵이 왜 이렇게 좋은지 모르겠어요!! 저처럼 소시지빵 좋아하시는 분들 계신가요~~? ❗️제품은 프로필 링크에 넣어놨어요!",,sweetshop,2025-06-30,1.3만,Instagram
sweetshop_2025-06-28,250,"youtubecreatorskorea 를 빛낸 크리에이터, 이상한 과자가게 weird sweets shop(@sweetshop_s2)님이 138만 명의 단골과 함께할 수 있었던 이유는? 바로 꾸준히 업로드했다는 거예요🙌 계속 업로드할수록 성장할 수 있는 곳이 바로 YouTube니까💖 지금 바로 YouTube에서 여러분의 가능성을 펼쳐보세요!✨ 수정됨 ·","#유튜브팬페스트, #업로드하는순간새로운가능성이열리는곳, #유튜브크리에이터, #크리에이터",sweetshop,2025-06-28,219,Instagram
sweetshop_2025-06-28,250,"youtubecreatorskorea YouTube에서는 실패가 없으니까! 일단 업로드할수록 더 큰 기회가 찾아와요!💖 꾸준한 업로드를 통해, 전업 크리에이터로서 까지 참여하게 된 이상한 과자가게 weird sweets shop(@sweetshop_s2)님의 이야기를 들어보세요!✨ 여러분도 YouTube에서 새로운 가능성을 찾아보세요!🙌","#유튜브팬페스트, #업로드하는순간새로운가능성이열리는곳, #유튜브크리에이터, #크리에이터",sweetshop,2025-06-28,3364,Instagram
sweetshop_2025-06-27,255,아니.. 슈블리 찰떡 구매에 성공하신 분들 계신가요?!!?? 전생에 나라 하나쯤은 구해야 살 수 있는건지.. 우선 전 못샀구여 ㅠㅠㅠㅠㅠㅠㅠㅠ 그래서 만들었구욝!!!!!,,sweetshop,2025-06-27,9614,Instagram
sweetshop_2025-06-26,371,울산쫀드기 vs 목포 쫀드기.. 당신의 선택은?! 저는 목포쫀드기도 되게 맛있긴 했는데 와… 울산 쫀드기가 너무 너무 맛있더라구욬ㅋㅋㅋㅋㅋㅋㅋ 라면스프가 이렇개꺼지 잘 어울릴 줄 몰랐습니다.,"#울산, #울산쫀드기",sweetshop,2025-06-26,5972,Instagram
sweetshop_2025-06-23,907,강릉에서 콜팝 300개 튀기고 왔거든요?! 근데 콜라넣기가 아쉬워서 화채도 기가막히게 말고 왔습니다.,,sweetshop,2025-06-23,2583,Instagram
sweetshop_2025-06-22,54,왔습니다!!!룩트 버터 드디어 내일 11시 OPEN! 후.하.후.하 단골님들의 뜨거운 관심 속에 드.디.어 룩트 버터가 내일 오픈합니다🔥 대망의 이사장 버터 셋뚜 대.공.개❗❗ ==================== 📌세트 구성 🥇 이사장 onePICK SET ◾다시마+트러플+시나몬피칸+블루베리 👉“그냥 믿고 드세요” 이사장 단짠단짠 인생 버터 모음! 🍚 밥순이 SET ◾다시마+감태+트러플 👉밥심으로 살아가시는 분! 🍞 빵순이 SET ◾시나몬피칸+블루베리+카카오로쉐+말차 👉달달이 러버&빵순이&디저트 덕후 손! ✨ 만능 SET (7종 풀구성) 맛 별 7종 세트 ◾다시마+감태+트러플 +시나몬피칸+블루베리+카카오로쉐+말차 👉요리부터 디저트까지 싹~! 가능!! 📌단품 구성 (*2개) 👩‍🍳 요리용 ◾다시마 - 감칠맛 치트키 ◾트러플 - 강력한 트러플 풍미로 미슐랭 감성 뿜뿜 ◾감태 - 향긋한 바다 내음 한 가득! 🍰 스프레드용 ◾시나몬피칸 - 달달&꼬소+바삭한 피칸 ◾블루베리 - 산뜻하고 부드러운 블루베리맛 ◾카카오로쉐 - 찐하고 고급진 초콜릿 ◾말차 - 은은한 씁쓸함과 단맛의 조화 📌추가 옵션 ◾ 통밀 크래커 (3종) 오리지널 / 무화과 / 그린올리브 ==================== 여러분들의 취향껏 고를 수 있는 세트 구성과 추가로 구매할 수 있는 단품 구성까지~!! 룩트 버터 만나는 그 순간 요알못이 요잘알이 되는 매직 기대 많이 많이 해주셔도 좋습니다 🎁 버터 세트 구매자 선착순 20분께 다시마 버터 본품 쓩-! 보내드리니 우리 내일 11시에 만나요!,,sweetshop,2025-06-22,366,Instagram
sweetshop_2025-06-20,246,곱창을 생으로 먹는 기분여서 뭔가 소름이 돋았거든요? 근데 막상 한입 먹으니깐 우와 이거 식감이 질기지도 않고 부드럽+서걱한 느낌이랄가요.. 소등골 좋아하시는 분!!??,,sweetshop,2025-06-20,7843,Instagram
