post_id,keywordname
post_1,간장
post_1,베이
post_1,치킨
post_2,요아정
post_2,복숭아
post_2,먹방
post_3,쫀득
post_3,아이스크림
post_3,크림
post_3,구매
post_3,우유
post_3,편의점
post_3,아이스
post_3,젤라
post_3,먹방
post_3,젤라또
post_3,스크림
post_4,티코
post_4,라구
post_4,먹스타그램
post_4,소금빵
post_5,커피
post_5,과일
post_5,빙수
post_5,먹스타그램
post_6,파인애플
post_6,식감
post_6,편의점
post_6,아이스
post_6,먹방
post_6,먹스타그램
post_7,메뉴
post_7,주스
post_7,용량
post_7,커피
post_7,퍼지
post_7,상품
post_7,에이드
post_7,구매
post_7,수박
post_7,음료
post_7,포도
post_7,아이스
post_7,밀크
post_7,스콘
post_7,버터
post_7,먹방
post_7,디저트
post_8,요아정
post_8,수박
post_8,수박화채
post_8,먹방
post_8,디저트
post_8,먹스타그램
post_9,초코퐁
post_9,요거
post_9,초코퐁당
post_9,초코
post_9,초코퐁당요거꿀떡
post_9,먹방
post_9,먹스타그램
post_10,제품
post_10,브륄레
post_10,크림
post_10,탕후루
post_10,크림브륄레
post_10,판나코타
post_10,디저트
post_11,아이스크림
post_11,베스킨라빈스
post_11,잔망루피
post_11,크림
post_11,케이크
post_11,망루
post_11,아이스
post_11,케이
post_11,초코
post_11,먹방
post_11,먹스타그램
post_11,스크림
post_11,루피
post_11,베라
post_12,페스
post_12,고래
post_12,요거
post_12,배추
post_12,마트
post_12,식빵
post_12,구매
post_12,우유
post_12,이마트
post_12,요거트
post_13,핫도그
post_13,명랑
post_13,떡볶이
post_13,치즈
post_13,먹방
post_13,먹스타그램
post_14,제품
post_14,탄산
post_14,피즈
post_14,카페
post_14,음료
post_14,와플
post_14,브레빌
post_15,메뉴
post_15,차신
post_15,먹방
post_16,메뉴
post_16,새우
post_16,콜라
post_16,구매
post_16,피자
post_16,피자헛
post_16,두마
post_16,크런치
post_16,맛집
post_17,찹쌀
post_17,모찌
post_17,과일
post_17,찹쌀떡
post_17,먹방
post_17,먹스타그램
post_18,뿌링치즈볼
post_18,떡볶이
post_18,치즈스틱
post_18,치즈
post_18,치즈볼
post_18,먹방
post_18,먹스타그램
post_19,망고
post_19,케이크
post_19,투썸
post_19,케이
post_19,먹방
post_20,쫀득
post_20,쫀득쿠키
post_20,쫀득쿠
post_20,쿠키
post_20,편의점
post_20,먹방
post_21,제품
post_21,탄탄면
post_21,비빔
post_21,칼로리
post_21,농심
post_22,뿌링치즈볼
post_22,까르보불
post_22,치즈
post_22,까르보불닭
post_22,불닭
post_22,치즈볼
post_22,먹방
post_22,먹스타그램
post_23,레몬
post_23,닭발
post_23,무뼈
post_23,레몬무뼈
post_23,먹방
post_23,먹스타그램
post_24,아이스크림
post_24,크림
post_24,아이스
post_24,먹방
post_24,먹스타그램
post_24,스크림
post_25,제품
post_25,브륄레
post_25,크림
post_25,크림브륄레
