keywordid,keywordname,type,priority
1,가츠동,NNG,9999
2,계란빵,NNG,9999
3,고추바사삭,NNG,9999
4,교촌치킨,NNG,9999
5,군고구마,NNG,9999
6,군밤,NNG,9999
7,굽네치킨,NNG,9999
8,규동,NNG,9999
9,그린커리,NNG,9999
10,까르보불닭,NNG,9999
11,깐풍기,NNG,9999
12,꼬치,NNG,9999
13,네네치킨,NNG,9999
14,녹차라떼,NNG,9999
15,달고나,NNG,9999
16,달고나커피,NNG,9999
17,달고나크로플,NNG,9999
18,대왕컵떡볶이,NNG,9999
19,대왕쿠키,NNG,9999
20,대추차,NNG,9999
21,던킨도너츠,NNG,9999
22,도미노피자,NNG,9999
23,돈카츠,NNG,9999
24,돈키호테떡볶이,NNG,9999
25,동결건조,NNG,9999
26,두바이초콜릿,NNG,9999
27,두찜,NNG,9999
28,둥굴레차,NNG,9999
29,디카페인,NNG,9999
30,딸기,NNG,9999
31,딸기케이크,NNG,9999
32,떡볶이밀키트,NNG,9999
33,똠양꿍,NNG,9999
34,뚜레쥬르,NNG,9999
35,라라스윗,NNG,9999
36,라멘,NNG,9999
37,레드커리,NNG,9999
38,레시피,NNG,9999
39,롤케이크,NNG,9999
40,롯데리아,NNG,9999
41,루이보스,NNG,9999
42,마늘빵,NNG,9999
43,마들렌,NNG,9999
44,마라샹궈,NNG,9999
45,마라탕,NNG,9999
46,마시멜로,NNG,9999
47,마오쥔젤,NNG,9999
48,마오진젤,NNG,9999
49,마카롱,NNG,9999
50,마카롱쿠키,NNG,9999
51,마키아또,NNG,9999
52,마파두부,NNG,9999
53,막걸리,NNG,9999
54,말차,NNG,9999
55,맘스터치,NNG,9999
56,망고,NNG,9999
57,매실차,NNG,9999
58,맥도날드,NNG,9999
59,맥주,NNG,9999
60,머랭쿠키,NNG,9999
61,먹방,NNG,9999
62,먹스타그램,NNG,9999
63,메가커피,NNG,9999
64,메로나,NNG,9999
65,메론빵,NNG,9999
66,메론킥,NNG,9999
67,멜론,NNG,9999
68,민트초코,NNG,9999
69,밀크셰이크,NNG,9999
70,바나나,NNG,9999
71,바나나빵,NNG,9999
72,바나나킥,NNG,9999
73,바스크치즈케이크,NNG,9999
74,버거킹,NNG,9999
75,버블티,NNG,9999
76,버터쿠키,NNG,9999
77,베스킨라빈스,NNG,9999
78,베이컨버거,NNG,9999
79,베이킹,NNG,9999
80,벤앤제리스,NNG,9999
81,보리차,NNG,9999
82,불고기버거,NNG,9999
83,불닭,NNG,9999
84,불닭볶음면,NNG,9999
85,붕어빵,NNG,9999
86,브랜디,NNG,9999
87,브륄레,NNG,9999
88,빙산롱옌,NNG,9999
89,뻥튀기,NNG,9999
90,사과,NNG,9999
91,사시미,NNG,9999
92,새우버거,NNG,9999
93,생강차,NNG,9999
94,생크림케이크,NNG,9999
95,샤인머스캣,NNG,9999
96,샴페인,NNG,9999
97,서브웨이,NNG,9999
98,설빙,NNG,9999
99,성심당,NNG,9999
100,성심당무화과,NNG,9999
101,성심당시루케이크,NNG,9999
102,성심당케익부띠끄,NNG,9999
103,성심당케익부티크,NNG,9999
104,소금빵,NNG,9999
105,소바,NNG,9999
106,소주,NNG,9999
107,수건케이크,NNG,9999
108,수건케익,NNG,9999
109,수박,NNG,9999
110,수정과,NNG,9999
111,수제젤리,NNG,9999
112,순대,NNG,9999
113,슈크림,NNG,9999
114,스무디,NNG,9999
115,스시,NNG,9999
116,스위즐스,NNG,9999
117,식혜,NNG,9999
118,쌀국수,NNG,9999
119,아메리카노,NNG,9999
120,아이스아메리카노,NNG,9999
121,안성재하이볼,NNG,9999
122,야끼소바,NNG,9999
123,약과,NNG,9999
124,양꼬치,NNG,9999
125,어묵,NNG,9999
126,얼그레이,NNG,9999
127,에스프레소,NNG,9999
128,에클레어,NNG,9999
129,연어깍두기,NNG,9999
130,엽기떡볶이,NNG,9999
131,오므라이스,NNG,9999
132,오야코동,NNG,9999
133,와라비모찌,NNG,9999
134,와인,NNG,9999
135,요리,NNG,9999
136,요아정,NNG,9999
137,우동,NNG,9999
138,위스키,NNG,9999
139,유자차,NNG,9999
140,이자카야,NNG,9999
141,중국식빵,NNG,9999
142,짜장면,NNG,9999
143,짬뽕,NNG,9999
144,쫀득쿠키,NNG,9999
145,처갓집양념치킨,NNG,9999
146,초코라떼,NNG,9999
147,초코젤라또녹차라떼,NNG,9999
148,초콜릿,NNG,9999
149,초콜릿케이크,NNG,9999
150,초콜릿쿠키,NNG,9999
151,츄러스,NNG,9999
152,치즈버거,NNG,9999
153,치즈케이크,NNG,9999
154,치킨버거,NNG,9999
155,카다이프,NNG,9999
156,카스테라,NNG,9999
157,카페라떼,NNG,9999
158,카푸치노,NNG,9999
159,칼디,NNG,9999
160,캐모마일,NNG,9999
161,컵빙,NNG,9999
162,콜드브루,NNG,9999
163,쿠키,NNG,9999
164,쿡방,NNG,9999
165,크레페,NNG,9999
166,크로플,NNG,9999
167,크루아상,NNG,9999
168,크리스피크림,NNG,9999
169,크림치즈케이크,NNG,9999
170,킨조젤리,NNG,9999
171,킨조젤지,NNG,9999
172,타코야끼,NNG,9999
173,타피오카,NNG,9999
174,탕수육,NNG,9999
175,탕후루,NNG,9999
176,티라미수케이크,NNG,9999
177,파리바게뜨,NNG,9999
178,파삭,NNG,9999
179,파파존스,NNG,9999
180,팟타이,NNG,9999
181,팬케이크,NNG,9999
182,펄밀크티,NNG,9999
183,페퍼민트,NNG,9999
184,포켓몬빵,NNG,9999
185,풋롱쿠키,NNG,9999
186,프라푸치노,NNG,9999
187,피스타치오,NNG,9999
188,피자헛,NNG,9999
189,하겐다즈,NNG,9999
190,하리보,NNG,9999
191,하이디라오,NNG,9999
192,한과,NNG,9999
193,핫뿌링클,NNG,9999
194,핫치즈빅싸이,NNG,9999
195,허니브레드,NNG,9999
196,호떡,NNG,9999
197,홍차라떼,NNG,9999
198,훠궈,NNG,9999
199,휘낭시에,NNG,9999
200,히비스커스,NNG,9999
201,가나슈,NNG,5000
202,가래떡,NNG,5000
203,가루쿡,NNG,5000
204,가마솥,NNG,5000
205,가위바위보,NNG,5000
206,가지,NNG,5000
207,간식,NNG,5000
208,간장,NNG,5000
209,갈비,NNG,5000
210,갈비찜,NNG,5000
211,갈비탕,NNG,5000
212,갈치,NNG,5000
213,감귤,NNG,5000
214,감자,NNG,5000
215,감자빵,NNG,5000
216,감자전,NNG,5000
217,감자칩,NNG,5000
218,감자튀김,NNG,5000
219,감초,NNG,5000
220,개구리,NNG,5000
221,갤런,NNG,5000
222,건빵,NNG,5000
223,겉절이,NNG,5000
224,게라,NNG,5000
225,게장,NNG,5000
226,겟하쇼,NNG,5000
227,견과,NNG,5000
228,경동나비엔,NNG,5000
229,계란,NNG,5000
230,계란말이,NNG,5000
231,고간,NNG,5000
232,고구마,NNG,5000
233,고기,NNG,5000
234,고등어,NNG,5000
235,고디바,NNG,5000
236,고래,NNG,5000
237,고래밥,NNG,5000
238,고로케,NNG,5000
239,고메,NNG,5000
240,고추,NNG,5000
241,고추바사삭에,NNG,5000
242,고추장,NNG,5000
243,곤약,NNG,5000
244,곰탕,NNG,5000
245,곱도리탕,NNG,5000
246,곱창,NNG,5000
247,공짜,NNG,5000
248,곶감,NNG,5000
249,과일,NNG,5000
250,과자,NNG,5000
251,과점,NNG,5000
252,과즙,NNG,5000
253,구룡포,NNG,5000
254,구르망,NNG,5000
255,구매,NNG,5000
256,구미첼,NNG,5000
257,구움과,NNG,5000
258,구움과자,NNG,5000
259,구이,NNG,5000
260,구황,NNG,5000
261,국물,NNG,5000
262,국밥,NNG,5000
263,국수,NNG,5000
264,궁채,NNG,5000
265,그래놀라,NNG,5000
266,글리터,NNG,5000
267,금귤,NNG,5000
268,급식,NNG,5000
269,기름,NNG,5000
270,기프,NNG,5000
271,김밥,NNG,5000
272,김장,NNG,5000
273,김치,NNG,5000
274,김치라면,NNG,5000
275,김치볶음밥,NNG,5000
276,김치전,NNG,5000
277,김치찌개,NNG,5000
278,까르보불,NNG,5000
279,깍두기,NNG,5000
280,깨찰,NNG,5000
281,깻잎,NNG,5000
282,꼬다리,NNG,5000
283,꼬치구이,NNG,5000
284,꽈리,NNG,5000
285,꽈자,NNG,5000
286,꾸덕,NNG,5000
287,꾸우우우덕,NNG,5000
288,꿀맛,NNG,5000
289,꿀젤리모나카,NNG,5000
290,꿔바로우,NNG,5000
291,끌레도르,NNG,5000
292,나물,NNG,5000
293,나쵸치즈,NNG,5000
294,낙타,NNG,5000
295,날치,NNG,5000
296,낭시,NNG,5000
297,냉국,NNG,5000
298,냉면,NNG,5000
299,냉모밀,NNG,5000
300,냠사친,NNG,5000
301,네루,NNG,5000
302,녹차,NNG,5000
303,농심,NNG,5000
304,누가바,NNG,5000
