COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
홍지_hongji_20250801_c1,홍지_hongji_20250801,@짜파게티-f1y,헉 뭐가달라졌나 했는데 틱톡댓글보고 화장하신거 알앗어요…안한것도 이뿌신데 하니까 확실히 미모가 드러나는듯😏,2025-08-02
홍지_hongji_20250801_c2,홍지_hongji_20250801,@Asdgjjkkj,홍지님 제가 망고롤 먹방 보고 구독자 됐는데 생귤롤 먹방도 너무너무 보고싶어요🍊🤍,2025-08-01
홍지_hongji_20250731_c1,홍지_hongji_20250731,@윤빛-v2t,먹방이 제일싫어요,2025-07-31
홍지_hongji_20250731_c2,홍지_hongji_20250731,@짜파게티-f1y,음식에 집중하다가 밀키트라는거 알고 입떡벌햇다…왤케 쫄깃해보이는지😭😭,2025-07-31
홍지_hongji_20250731_c3,홍지_hongji_20250731,@Duda_woo,요즘 밀키트 증말 잘 나오는듯용,2025-07-31
홍지_hongji_20250730_c1,홍지_hongji_20250730,@성우덕후,흐엉 맛잇겟다,2025-07-31
홍지_hongji_20250730_c2,홍지_hongji_20250730,@Duda_woo,🤤🤤❤❤❤,2025-07-30
홍지_hongji_20250730_c3,홍지_hongji_20250730,@짜파게티-f1y,저런치킨은 정말 초면…😮생각보다 맛있겟는데요??,2025-07-30
홍지_hongji_20250729_c1,홍지_hongji_20250729,@성우덕후,언니 두바이 얼마나 좋아하는거예옄ㅋㅋㅋㅋㅋ,2025-07-31
홍지_hongji_20250729_c2,홍지_hongji_20250729,@vin8964,"저 오늘 이거 일하다가 홍지님 인스타 릴스 영상 보고 
솔직히 다른 듀바이는 그냥 그닥 별 생각 없었는데 
얘는 보고 미친듯이 먹고싶어서 허대빵 인스타 드갔더니 
아니 세상에 !!!! 이건 잔말말고 시켜먹으라는 신호였는지!!!! 하필 오늘 택배 주문날인거 있쬬!!!!! 🥹😭
택배 주문만 목빠지게 기다리다가 주문 성공했습니댜,, 너무 기대돼욧!!!!!!!🥹😆🙏🏻",2025-07-30
홍지_hongji_20250729_c3,홍지_hongji_20250729,@miya_u-x1w,원래 두바이 초콜릿 안 좋아하는데 진짜 때깔이 미쳤네요 ㄷㄷ 너무 맛있게 드셔서 보기 좋아요 😊,2025-07-29
홍지_hongji_20250729_c4,홍지_hongji_20250729,@Duda_woo,와 진짜 다 맛있어보여요..❤❤❤,2025-07-29
홍지_hongji_20250729_c1,홍지_hongji_20250729,@소연정-j5i,와 그냥 폭력적인데요 언니??!!,2025-07-29
홍지_hongji_20250729_c2,홍지_hongji_20250729,@Duda_woo,"입에서 침이!!🤤🤤❤❤❤
아 두바이 진차 넘 좋잖아요옹❤️🧡💛💚🩵💙💜🩷",2025-07-29
홍지_hongji_20250727_c1,홍지_hongji_20250727,@홍길동-o3m,"모찌의하루 드셔보세요!
저는 여기 말곤 모찌 못먹어요😊",2025-07-29
홍지_hongji_20250727_c2,홍지_hongji_20250727,@햄수타-b1u,우와 반찬들 때깔 미쳤네요 ㅠㅠ 근데 홍지님 젓가락 되게 특이하게 잡으시네용..,2025-07-27
홍지_hongji_20250727_c3,홍지_hongji_20250727,@믱망뭉망,"헐 너무맛있겟어요ㅜ 오이소박이 드실때 부시는거 뭔가 공감되능,",2025-07-27
홍지_hongji_20250727_c4,홍지_hongji_20250727,@Duda_woo,"아닝 진짜 용즘 너무 더워용
화잇팅.!!❤❤❤",2025-07-27
홍지_hongji_20250726_c1,홍지_hongji_20250726,@Duda_woo,설레임이 저렇게 생긴건 처음봐여😮,2025-07-26
홍지_hongji_20250725_c1,홍지_hongji_20250725,@믱망뭉망,헐 쫀딕쫀딕 소리 너무조아요,2025-07-25
홍지_hongji_20250725_c2,홍지_hongji_20250725,@Duda_woo,역시 두바이는 홍지님!❤❤❤,2025-07-25
홍지_hongji_20250723_c1,홍지_hongji_20250723,@Duda_woo,와!!! 어떻게 얼려드실 생각을!!! 완전 시원하고 맛날것 같아요❤ 완전 먹천재 홍지님💫💫,2025-07-23
홍지_hongji_20250722_c1,홍지_hongji_20250722,@Duda_woo,"🤤❤저도 먹고싶어지는 비주얼+소리❤❤❤❤
찐짜 너무 좋자나여😢😢",2025-07-23
홍지_hongji_20250721_c1,홍지_hongji_20250721,@Duda_woo,"저 저번에 치즈당 카스테라 먹었었는데
홍지님 보니깐 또 먹고싶네용..❤❤",2025-07-21
홍지_hongji_20250720_c1,홍지_hongji_20250720,@찐빵-y2w,우와ㅠㅠㅜ 감튀 레시피 부탁드려요 대박이애요ㅠㅠ,2025-07-24
