COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
아누누_20250731_c1,아누누_20250731,@곰돌이25,GS25편의점에 과일모양 아이스크림 출시 되었다고 하네요,2025-08-01
아누누_20250731_c2,아누누_20250731,@로라_물프,누누님 저번에 먹었던 과일모양 아이스크림 gs에도 나왔데요 🙈,2025-08-01
아누누_20250731_c3,아누누_20250731,@honeymelon3,그냥 원래 도넛 한입 베어물면 저거 아님?ㅋㅋㅋㅋ,2025-08-01
아누누_20250731_c4,아누누_20250731,@findkind6487,Gs 편의점에 원조 스위즐스 나왔어요,2025-08-01
아누누_20250731_c5,아누누_20250731,@대용-z4f,맛있겟다❤❤❤,2025-08-01
아누누_20250731_c6,아누누_20250731,@소심한관종,와 새로운거 알려주셔서 감사합니당 ❤ 저도 사먹으러 슝 ~~,2025-07-31
아누누_20250731_c7,아누누_20250731,@나는_댠비들을_조아해,제발 스위즐스 젤리 요거트랑 머거주세용 ㅜ❤❤,2025-07-31
아누누_20250731_c8,아누누_20250731,@벌들아더세게울어웽웽,"도넛은 애당초 맛없없이라 맛있을 거 같긴한데, 중량 아낀 느낌을 지울 수가 없음..ㅋㅋㅋㅋ 
걍 우리가 알아서 한입 먹고 찍어먹을게요....",2025-07-31
아누누_20250731_c9,아누누_20250731,@쿠잇서,사과쟁이 더 달던데 ㅋㅋㅋㅋ,2025-07-31
아누누_20250731_c10,아누누_20250731,@샤과-love,소스 발라서 오랜만에(?) 동결건조해주세요!,2025-07-31
아누누_20250731_c11,아누누_20250731,@Clara-jp3nq,바나나 얼려먹어주세요1트차,2025-07-31
아누누_20250731_c12,아누누_20250731,@Jaga_bee,애플시나몬소스가 생각보다 진짜 상큼하고 맛있었어요 저는 ㅋㅋ시나몬 썩 좋아하는편이 아닌데 그소스만 다먹었을정도 ㅋㅋㅋㅋ,2025-07-31
아누누_20250731_c13,아누누_20250731,@메이로디,설탕 사각거리는 소리 너무 취저다..,2025-07-31
아누누_20250731_c14,아누누_20250731,@레몬대갈통2007,예전에 유행하던 킬바사 소세지처럼 생겼네ㅋㅋㅋ 그나저나 요즘 도넛 안먹었는데 먹고싶네유..ㅠ😋,2025-07-31
아누누_20250731_c15,아누누_20250731,@혜미-b3c,❤,2025-07-31
아누누_20250731_c16,아누누_20250731,@arongsatae321,요거트 안나오면 이제 섭함…,2025-07-31
아누누_20250731_c17,아누누_20250731,@최애워녕,혹시 아직도 먹스나님 좋아하나요??❤,2025-07-31
아누누_20250731_c18,아누누_20250731,@베이컨꿉어먹자,도넛도 쫀득한데 아누누님 먹방이 너무 쫀득함,2025-07-31
아누누_20250731_c19,아누누_20250731,@울루-t8l,생각해보면 옛날엔 달면 무조건 커피였는데 ㅋㅋ 어느샌가 요거트가 그 자리를 차지했네 ㅋㅋㅋㅋㅋ,2025-07-31
아누누_20250731_c20,아누누_20250731,@T--uv6qi,맛있어보인다❤,2025-07-31
아누누_20250731_c21,아누누_20250731,@녹챠챠챠챠,오리지널에 요거트 찍고 누텔라 찍어서 머그면 마싯을거 같아욘ㄴ,2025-07-31
아누누_20250731_c22,아누누_20250731,@handlerice,보면서 요거트 안 찍어드시나?? 했는데 역시나 기대를 저버리지 않는 아누누님ㅋㅋ,2025-07-31
아누누_20250731_c23,아누누_20250731,@seunghwanLee-w7q,말발굽도넛!!너무맛있겠다,2025-07-31
아누누_20250731_c24,아누누_20250731,@Ellyjelly22,우욍,2025-07-31
아누누_20250731_c25,아누누_20250731,@Chokchoks,글레이즈드만 먹는게 짱이다,2025-07-31
아누누_20250731_c26,아누누_20250731,@콘초-ena,너무~맛있겠담!❤,2025-07-31
아누누_20250731_c27,아누누_20250731,@llllilllls,왜 모든 음식을 먹어도 이렇게 소리가 좋을까요 제가 먹으면 안 그런데,2025-07-31
아누누_20250731_c28,아누누_20250731,@Roa_로아띠,와 맛있을꺼 같아요! 오늘도 영상 올려주셔서 감사합니당❤,2025-07-31
아누누_20250730_c1,아누누_20250730,@Heyrin0617,"은우님 '과일을 탐하는 마시멜로' 라고 있어거든요 그게 같이 과일먹응 마시멜로 보다 살짝 바삭한 감이 있고 훨씬 새콤해서 맛있어요,,!!  얼려먹으면 머랭쿠키같은 식감이고 얼음물에 담가먹어보는게 궁금한데 먹어주실수 있나요?? 과일먹은 마시멜로보다 훨씬 맛있었어요!!",2025-08-01
