COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
이상한_과자가게__weird_sweets_shop_20250731_c1,이상한_과자가게__weird_sweets_shop_20250731,@food_radio,저거 진짜 팔아도 사먹을 맛입니다ㅠ 최근 1달간 먹은 디저트중에 제일 맛있음,2025-07-31
이상한_과자가게__weird_sweets_shop_20250731_c2,이상한_과자가게__weird_sweets_shop_20250731,@재생목록에플리모아둠,제발 레시피좀 주세요오ㅠㅠ,2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c3,이상한_과자가게__weird_sweets_shop_20250731,@고래밥-u9p,언니 디저트 팔아주시면 안되나요..??? 나 넘 먹고싶긔,2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c4,이상한_과자가게__weird_sweets_shop_20250731,@basketjesus,kt 소닉붐 문정현 ㅅㄹㅎ ❤️🖤ㅋㅋ,2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c5,이상한_과자가게__weird_sweets_shop_20250731,@beautifulladycillerctor,kcc였어어어어??? 더 친근하네...ㅋㅋㅋㅋ,2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c6,이상한_과자가게__weird_sweets_shop_20250731,@faketurnjumpshot,저는 타팀 농구장 알바 했었는데 정재홍 선수 정말 친절하시고 좋은 사람이셨어요 그곳에선 편하게 지내시기를😢,2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c7,이상한_과자가게__weird_sweets_shop_20250731,@짤랑짤랑-乃,네,2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c8,이상한_과자가게__weird_sweets_shop_20250731,@소윤전-d8g,"우아아아앙...맛있겠자나..         

언니..나도 한입만...ㅋㅋ",2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c9,이상한_과자가게__weird_sweets_shop_20250731,@공린-m4c,저능 울산현대모비스 박무빈의 깊은팬. ♥,2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c10,이상한_과자가게__weird_sweets_shop_20250731,@정선희-b9z,마카롱 잘 만드시는거 보다 오븐 겉에 필름 뗀게 제 속이 다 시원하네요. 저거 떼야 하는데하며 영상 볼 때 마다 마음에 걸렸던 전 이제 발 뻗고 자겠습니다!😂,2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c11,이상한_과자가게__weird_sweets_shop_20250731,@박화연-w6e,저는 울산현대모비스 박무빈 선수 팬이에용!,2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c12,이상한_과자가게__weird_sweets_shop_20250731,@알라코-m1y,저도kcc매일 전주가서 연습경기보고 전하승진선수팬이였습니다,2025-08-02
이상한_과자가게__weird_sweets_shop_20250731_c13,이상한_과자가게__weird_sweets_shop_20250731,@hyolee2493,저두 아이돌쪽에 흥미 없고 운동선수들 조아해요,2025-08-02
