KEYWORD_ID,KEYWORD_NAME,KEYWORDUP
1,가요,3
2,가지,7
3,간식,7
4,간장,5
5,감귤,2
6,감자,7
7,감자칩,4
8,개맛,1
9,게장,2
10,계란,6
11,고구마,6
12,고기,7
13,고깃집,1
14,곰젤리,2
15,곱창,4
16,곶감,4
17,과일,8
18,과자,7
19,교촌치킨,2
20,구이,4
21,국,2
22,국물,7
23,국수,8
24,귤,7
25,급식,3
26,김치,6
27,깍두기,6
28,깨,6
29,다이닝,2
30,달걀,4
31,닭발,8
32,당근,6
33,대게,2
34,대파,3
35,도넛,8
36,도시락,3
37,돌고래,1
38,돼지,6
39,두기,1
40,디저트,7
41,딸기,8
42,떡,8
43,떡국,3
44,떡볶이,8
45,라면,9
46,레시피,8
47,마요네즈,4
48,만두,8
49,맛,9
50,맛집,6
51,맥주,5
52,머랭,4
53,머스켓,3
54,먹기,9
55,먹방,9
56,메,5
57,메뉴,8
58,문어,1
59,바게트,3
60,바나나,6
61,밥,9
62,밥버거,2
63,배,7
64,배스킨라빈스,2
65,백종원,3
66,버블티,5
67,병,4
68,복숭아,6
69,볶이,5
70,분식,2
71,불닭,9
72,불닭볶음면,5
73,붕어빵,5
74,뷔페,2
75,비빔,3
76,비빔밥,3
77,비상식량,2
78,빙수,6
79,빵,9
80,사과,6
81,사이다,6
82,살,9
83,살이,5
84,삼겹살,7
85,생선,3
86,생크림,8
87,소세지,7
88,소스,8
89,소주,3
90,수박,7
91,수세미,2
92,술,5
93,스낵,5
94,스테이크,5
95,시식,3
96,식당,5
97,식빵,6
98,식품,4
99,신라면,5
100,신맛,5
101,쌈장,1
102,아보카도,2
103,아시,4
104,아이스크림,9
105,아침식사,1
106,알밤,1
107,알밥,1
108,양파,4
109,연어,8
110,연어초밥,4
111,오믈렛,2
112,옥수수,6
113,올리브영,4
114,요거트,7
115,요리,3
116,요리사,5
117,우유,9
118,우유팩,3
119,음료,6
120,음료수,5
121,음식,6
122,장어,3
123,재료,5
124,제품,6
125,젤라또,4
126,젤리,8
127,짜장,4
128,쫀득,9
129,쫀득쫀득,2
130,쫀득쿠키,4
131,찜,6
132,찜닭,5
133,초밥,4
134,초코,9
135,초코파이,4
136,초콜릿,9
137,초콜릿케이크,2
138,취하,2
139,츄러스,4
140,치마,1
141,치실,1
142,치즈,9
143,치즈볼,6
144,치즈스틱,2
145,치킨,9
146,칩,6
147,커피,7
148,컵라면,5
149,케비어,1
150,케이크,9
151,케익,4
152,콜라,6
153,쿠키,9
154,크로와상,4
155,타코야끼,4
156,탕후루,6
157,토스트,7
158,통귤탕후루,4
159,통닭,2
160,통조림,4
161,튀김,8
162,티라미수,8
163,파스타,7
164,팝콘,4
165,팥빙,1
166,팥빙프라페,1
167,편의점,9
168,포도,5
169,피자,7
170,한판,3
171,허니버터칩,2
172,화과자,2
173,가래떡,3
174,감자전,3
175,감초,2
176,견과류,2
177,겹겹이,1
178,계란후라이,3
179,고추,5
180,고춧가루,3
181,구매,3
182,구우,4
183,글리터,1
184,꼬치,6
185,꿀떡,6
186,끼,5
187,냠사친,1
188,닭다리,2
189,당,2
190,대추야자,2
191,돈코츠,2
192,동물농장,1
193,두부,4
194,땅콩,4
195,라멘,3
196,마늘,4
197,마늘빵,2
198,마카,3
199,마카롱,6
200,마트,6
201,막대과자,1
202,메뉴판,1
203,메론빵,4
204,면,4
205,모과,1
206,모야,2
207,모짜렐라,2
208,반찬,1
209,버거,7
210,버섯,4
211,버터,7
212,베,3
213,베이커리,3
214,베이컨,3
215,병조림,2
216,불고기,2
217,빙탕후루,1
218,쁘띠첼,1
219,사탕,6
220,사탕수수,4
221,새우,3
222,샌드위치,5
223,생선회,1
224,석류,3
225,설탕,4
226,소면,1
227,순대,3
228,스무디,3
229,스시,1
230,스쿱,1
231,스타벅스,4
232,스테비,1
233,스테이,2
234,시럽,5
235,시리얼,5
236,식,3
237,식감,5
238,식용,2
239,식이,3
240,쌈,5
241,알콜,2
242,야끼소바,3
243,야채,2
244,약혐주,1
245,양갱,3
246,양배추,2
247,연유,2
248,열대과일,2
249,엿,3
250,오리,4
251,오카,1
252,와플,5
253,왕가탕후루,2
254,유사,2
255,육포,2
256,인삼,1
257,인절미,2
258,자몽,4
259,작물,3
260,잔,1
261,잡채,1
262,전문점,2
263,제과,1
264,죠스,1
265,주스,3
266,짜장면,5
267,쫀득빵,2
268,쫀득해,1
269,찰밥,2
270,참깨,2
271,찹쌀,5
272,찹쌀떡,6
273,채소,4
274,초콜렛,4
275,추러스,1
276,취,3
277,치즈케이크,4
278,칠리,1
279,케찹,4
280,코카콜라,3
281,코코넛,5
282,콩가루,1
283,콩나물,2
284,쿄호,3
285,쿄효젤리,1
286,쿠카,1
287,쿡,4
288,크랜베리,2
289,크레페,2
290,크림,8
291,터트려먹는,2
292,텀블러,1
293,토마토,6
294,토핑된,1
295,통귤,5
296,파바,2
297,파빵,1
298,파이,1
299,파인애플,6
300,파파야,2
301,팬케이크,1
302,포켓몬빵,3
303,퐁당,8
304,퐁듀,2
305,푸드,2
306,풍선껌,2
307,피스타치오,6
308,필수,5
309,한우,4
310,핫도그,5
311,해산물,3
312,해장,1
313,햄,3
314,햄버거,6
315,햇반,4
316,홈플러스,3
317,회,3
318,후렌치,1
319,후루,1
320,간장게장,4
321,갈비,2
322,고다,1
323,고추장,3
324,과즙,1
