VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM,KEYWORD_ID
ohharu오하루_20250730,틈새오모리김치라면&꼬마김밥 #mukbang,,Ohharu오하루,2025-07-30,PT2M55S,1283,112,6,youtube,271
ohharu오하루_20250729,뿌링명랑핫도그 Bburinkle Korean Corn Dog,1.명랑핫도그를 준비한다. 2.바른미각 뿌링클 시즈닝을 뿌린다. 3.요거트 소스와 함께 맛있게 먹는다:)💛,Ohharu오하루,2025-07-29,PT1M4S,5985,338,12,youtube,449
ohharu오하루_20250728,찐찐찐 곱도리탕 맛집 찾음 #계근상 #mukbang,,Ohharu오하루,2025-07-28,PT2M45S,5839,308,20,youtube,245
ohharu오하루_20250719,소금빵 크림브륄레 #꿀조합 #설레임쿨리쉬,,Ohharu오하루,2025-07-19,PT56S,7752,231,6,youtube,87
ohharu오하루_20250718,"노랑고래 찹쌀꽈배기,치즈볼,찹쌀도너츠.통치즈핫도그 Sweet Rice Doughnut #mukbang",,Ohharu오하루,2025-07-18,PT2M58S,11807,609,16,youtube,236
ohharu오하루_20250714,이제야 올리는 베라 아이스크림 묵빵 #mukbang,,Ohharu오하루,2025-07-14,PT3M,10213,569,14,youtube,510
ohharu오하루_20250713,와플에 6가지맛 젤라또 얹어먹기!! Gelato Nutella Waffle #mukbang,,Ohharu오하루,2025-07-13,PT2M49S,9796,451,19,youtube,206
ohharu오하루_20250710,프랭크 버거 묵빵!FRANK BURGER MUKBANG,오랜만에 요 구도로 찍어봤는데 오똔가요! 버거가 너무 많아서 신메뉴 위주로 먹어봤습니당 이 중 제 원픽은 고기 ㄱㅏ득이였던 마지막 JG버거...,Ohharu오하루,2025-07-10,PT2M2S,11054,517,14,youtube,506
ohharu오하루_20250708,치즈3봉 불닭볶음탕면❤️‍🔥 Stew Buldak #mukbang,"반숙란 넣은 마늘불닭볶음탕면! 치즈도 3봉 라면도 3봉! 배불러서 밥은 못말았어요ㅎㅎ 먹다가 너무 더워서 점점 꼬질꼬질 신신애가 되어가는 즁,, 이제 머리 질끈 묶고 먹을게요,,,❤️‍🔥",Ohharu오하루,2025-07-08,PT2M50S,31645,1296,24,youtube,83
ohharu오하루_20250706,쫀득 마카롱 우유 말먹🥛🍬Macarons soaked in milk #mukbang,,Ohharu오하루,2025-07-06,PT2M20S,62638,4127,54,youtube,49
ohharu오하루_20250702,내 기준 1등 마라탕 묵빵... #먹방,,Ohharu오하루,2025-07-02,PT3M,20094,829,22,youtube,45
ohharu오하루_20250702,#광고 널담 고단백&저당크림빵🩵Milk cream bun #mukbang,,Ohharu오하루,2025-07-02,PT1M7S,11630,473,10,youtube,317
ohharu오하루_20250630,폭염엔 열무국수에 묵은지참치김밥 #mukbang Noodle and gimbap,,Ohharu오하루,2025-06-30,PT1M46S,9642,365,8,youtube,263
ohharu오하루_20250626,봄날엔 초코퐁당 ASMR ChocoPongdang🤎 #mukbang,행복하다,Ohharu오하루,2025-06-26,PT1M13S,14699,620,11,youtube,845
ohharu오하루_20250625,#광고 더미식 신상! 오징어라면&오징어초빔면🦑 #mukbang,,Ohharu오하루,2025-06-25,PT2M16S,9553,351,13,youtube,335
ohharu오하루_20250624,조이 아이스크림 초코쉘 뿌려먹기 #mukbang,조이 아스크림이 맛있다는 소문을 듣고 5종 다 먹어봤어요!!!! 빠질 수 없는 초코쉘 뿌려먹기!!!!!,Ohharu오하루,2025-06-24,PT2M46S,7626,234,10,youtube,628
ohharu오하루_20250616,하루 조회수 100만 뿌링치즈볼 먹방 #cheeseball,,Ohharu오하루,2025-06-16,PT2M59S,53159,2545,44,youtube,61
ohharu오하루_20250610,오늘의 야식. 매콤국물닭발♥️ #mukbang,,Ohharu오하루,2025-06-10,PT2M42S,11377,540,11,youtube,261
ohharu오하루_20250608,마시멜로우 소라빵!!!! Marshmallow Conch Bread #mukbang,,Ohharu오하루,2025-06-08,PT1M28S,9911,371,10,youtube,46
ohharu오하루_20250607,대창에 불닭.. ASMR Daechang&Buldak #mukbang,"대창이랑 곱창에 불닭컵라면2개 끓였어요!!@ 대파김치랑 부추김치도 구워왔더니 도른 맛... 다먹구 대창기름에 깍두기볶음밥까지 야무지겡 먹었어요! 너무너무너무 맛있었어여.....다음엔 바삭하게 통대창으로 숨길 수 없는 진실의 미간,, 햄봌했습니다,,♥️",Ohharu오하루,2025-06-07,PT2M32S,10543,507,10,youtube,83
ohharu오하루_20250606,고기듬뿍두루치기 2단계 매운맛 #mukbang,전 이거 처음 먹어봤는데요!!!! 또 나만 이제야 먹은거져ㅠㅡㅠ,Ohharu오하루,2025-06-06,PT2M58S,42733,839,13,youtube,233
