VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
아누누_20250731,소스에 푹 찍어먹는 반달도넛,,아누누,2025-07-31,PT1M5S,60010,1443,26,youtube
아누누_20250730,편의점 화채 4배 맛있게 먹는법,,아누누,2025-07-30,PT1M3S,129143,3065,56,youtube
아누누_20250729,파삭 새로운 맛 출시임박 브이로그,,아누누,2025-07-29,PT2M40S,162991,3951,56,youtube
아누누_20250728,진짜 과일같은 수제젤리 모둠,,아누누,2025-07-28,PT2M7S,423961,12146,91,youtube
아누누_20250726,처음으로 음식 먹방을 해 본 사연,,아누누,2025-07-26,PT1M1S,95736,2033,36,youtube
아누누_20250725,역대급 인기 스위즐스의 근황,,아누누,2025-07-25,PT48S,89121,1975,67,youtube
아누누_20250722,요거트 분수와 망고 납작복숭아,,아누누,2025-07-22,PT1M3S,184905,3971,66,youtube
아누누_20250721,해외에서 난리난 한국 바삭한 마시멜로,,아누누,2025-07-21,PT1M2S,1099975,18599,171,youtube
아누누_20250719,갑자기 몽골 호화 패션쇼에 초대된 나,,아누누,2025-07-19,PT1M43S,81874,1653,18,youtube
아누누_20250718,해외 인스턴트 초코케익 3대장,,아누누,2025-07-18,PT1M4S,200584,3824,51,youtube
아누누_20250717,처음 해보는 셀프 페이스 왁싱,,아누누,2025-07-17,PT1M20S,74702,1216,33,youtube
아누누_20250717,스위즐스에 미치면 생기는 일,,아누누,2025-07-17,PT1M15S,153918,3575,137,youtube
아누누_20250716,주먹만한 키위를 본적 있습니까,,아누누,2025-07-16,PT1M12S,123723,2722,39,youtube
아누누_20250715,다른 과일 아이스크림도 찾았는데 글쎄,,아누누,2025-07-15,PT1M2S,483756,8753,35,youtube
아누누_20250714,몽골에서 찾은 납작복숭아와 요거트,,아누누,2025-07-14,PT1M5S,190968,4419,38,youtube
아누누_20250712,드디어 먹은 해외에서 핫한 과일모양 아이스크림,,아누누,2025-07-12,PT1M10S,468093,12027,74,youtube
아누누_20250710,과유불급이 된 수박 화채,,아누누,2025-07-10,PT1M19S,190811,3550,32,youtube
아누누_20250709,궁채 땋기 찐 소스로 다시 만들어 봄,,아누누,2025-07-09,PT1M3S,368115,6233,43,youtube
아누누_20250708,씨 없는 수박이 실재하다고?,,아누누,2025-07-08,PT1M2S,497875,8884,109,youtube
아누누_20250707,찹쌀떡같이 똥글한 비쥬얼의 무언가,,아누누,2025-07-07,PT1M7S,172811,3856,47,youtube
아누누_20250706,신상 초코퐁당 구름크림떡 먹어보기,,아누누,2025-07-06,PT1M5S,264063,5207,41,youtube
아누누_20250705,오독오독 궁채 댕기머리 먹방,,아누누,2025-07-05,PT1M1S,313667,6131,46,youtube
아누누_20250704,파삭 팝업 끝난 기념 먹방,,아누누,2025-07-04,PT1M7S,144835,3355,70,youtube
아누누_20250702,트러플맛 찹쌀떡은 과연,,아누누,2025-07-02,PT1M14S,249927,5093,54,youtube
아누누_20250701,앞에서 구워주는 꾸덕한 통치즈케이크,,아누누,2025-07-01,PT1M9S,180417,3042,16,youtube
아누누_20250630,팬들이 준 선물 먹방,,아누누,2025-06-30,PT1M5S,177593,3351,30,youtube
아누누_20250628,사르르 녹는 꽈배기 드셔보셨슴니까,,아누누,2025-06-28,PT1M3S,167135,3616,38,youtube
아누누_20250624,쑥맛 파삭 4배 맛있게 먹는 법,,아누누,2025-06-24,PT1M6S,302757,5379,118,youtube
아누누_20250623,젤리만 먹던 자의 최후,,아누누,2025-06-23,PT1M6S,141001,2492,31,youtube
아누누_20250622,까먹는 젤리에 이은 까먹는 바나나빵,,아누누,2025-06-22,PT1M2S,195346,3118,35,youtube
