VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
아누누_20250731,소스에 푹 찍어먹는 반달도넛,,아누누,2025-07-31,PT1M5S,60010,1443,26,youtube
아누누_20250730,편의점 화채 4배 맛있게 먹는법,,아누누,2025-07-30,PT1M3S,129143,3065,56,youtube
아누누_20250729,파삭 새로운 맛 출시임박 브이로그,,아누누,2025-07-29,PT2M40S,162991,3951,56,youtube
아누누_20250728,진짜 과일같은 수제젤리 모둠,,아누누,2025-07-28,PT2M7S,423961,12146,91,youtube
아누누_20250726,처음으로 음식 먹방을 해 본 사연,,아누누,2025-07-26,PT1M1S,95736,2033,36,youtube
아누누_20250722,요거트 분수와 망고 납작복숭아,,아누누,2025-07-22,PT1M3S,184905,3971,66,youtube
아누누_20250721,해외에서 난리난 한국 바삭한 마시멜로,,아누누,2025-07-21,PT1M2S,1099975,18599,171,youtube
아누누_20250718,해외 인스턴트 초코케익 3대장,,아누누,2025-07-18,PT1M4S,200584,3824,51,youtube
아누누_20250715,다른 과일 아이스크림도 찾았는데 글쎄,,아누누,2025-07-15,PT1M2S,483756,8753,35,youtube
아누누_20250714,몽골에서 찾은 납작복숭아와 요거트,,아누누,2025-07-14,PT1M5S,190968,4419,38,youtube
아누누_20250712,드디어 먹은 해외에서 핫한 과일모양 아이스크림,,아누누,2025-07-12,PT1M10S,468093,12027,74,youtube
아누누_20250710,과유불급이 된 수박 화채,,아누누,2025-07-10,PT1M19S,190811,3550,32,youtube
아누누_20250709,궁채 땋기 찐 소스로 다시 만들어 봄,,아누누,2025-07-09,PT1M3S,368115,6233,43,youtube
아누누_20250708,씨 없는 수박이 실재하다고?,,아누누,2025-07-08,PT1M2S,497875,8884,109,youtube
아누누_20250706,신상 초코퐁당 구름크림떡 먹어보기,,아누누,2025-07-06,PT1M5S,264063,5207,41,youtube
아누누_20250705,오독오독 궁채 댕기머리 먹방,,아누누,2025-07-05,PT1M1S,313667,6131,46,youtube
아누누_20250704,파삭 팝업 끝난 기념 먹방,,아누누,2025-07-04,PT1M7S,144835,3355,70,youtube
아누누_20250702,트러플맛 찹쌀떡은 과연,,아누누,2025-07-02,PT1M14S,249927,5093,54,youtube
아누누_20250701,앞에서 구워주는 꾸덕한 통치즈케이크,,아누누,2025-07-01,PT1M9S,180417,3042,16,youtube
아누누_20250630,팬들이 준 선물 먹방,,아누누,2025-06-30,PT1M5S,177593,3351,30,youtube
아누누_20250624,쑥맛 파삭 4배 맛있게 먹는 법,,아누누,2025-06-24,PT1M6S,302757,5379,118,youtube
아누누_20250622,까먹는 젤리에 이은 까먹는 바나나빵,,아누누,2025-06-22,PT1M2S,195346,3118,35,youtube
아누누_20250621,할머니들이 계속찾는 고단백 젤리?,,아누누,2025-06-21,PT1M2S,156968,2920,33,youtube
아누누_20250618,설빙 수박화채 통 어디갔냐,,아누누,2025-06-18,PT1M1S,648025,10847,130,youtube
아누누_20250616,태국의 맛 망고스티키라이스 찰밥버전,,아누누,2025-06-16,PT1M2S,236320,4675,57,youtube
아누누_20250612,일년에 한번밖에 못먹는 한정 소다 와라비모찌,,아누누,2025-06-12,PT1M1S,356917,9615,53,youtube
아누누_20250529,틱톡에 자꾸뜨는 전깃줄같은 해초 먹어서 혼내주기,,아누누,2025-05-29,PT1M2S,274297,4224,52,youtube
아누누_20250527,색다른 일본 코스트코 간식 털어봄,,아누누,2025-05-27,PT1M30S,342222,6262,48,youtube
아누누_20250526,파삭 파지 무료로 나눠줬더니,,아누누,2025-05-26,PT1M29S,221108,4556,48,youtube
아누누_20250525,통사과가 들어있는 과일 푸딩젤리,,아누누,2025-05-25,PT1M2S,314053,5400,34,youtube
