KEYWORD_ID,KEYWORD_NAME,KEYWORDUP,MENTION_CNT
1,가지,가지,7
2,간식,간식,7
3,간장,간장,5
4,감귤,감귤,2
5,감자,감자,7
6,감자칩,감자칩,4
7,개맛,개맛,1
8,게장,게장,2
9,계란,계란,6
10,고구마,고구마,6
11,고기,고기,7
12,고깃집,고깃집,1
13,곰젤리,곰젤리,2
14,곱창,곱창,4
15,곶감,곶감,4
16,과일,과일,8
17,과자,과자,7
18,교촌치킨,교촌치킨,2
19,구이,구이,4
20,구합,구합,1
21,국,국,2
22,국물,국물,7
23,국수,국수,8
24,굴랍,굴랍,2
25,귤,귤,7
26,급식,급식,3
27,김치,김치,6
28,깍두기,깍두기,6
29,깨,깨,6
30,꿀,꿀,8
31,날치,날치,3
32,다이닝,다이닝,2
33,달걀,달걀,4
34,닭발,닭발,8
35,당고,당고,2
36,당근,당근,6
37,대게,대게,2
38,대파,대파,3
39,도넛,도넛,8
40,도시락,도시락,3
41,돼지,돼지,6
42,떡,떡,8
43,떡국,떡국,3
44,떡볶이,떡볶이,8
45,라떼,라떼,6
46,라면,라면,9
47,라바,라바,6
48,레시피,레시피,8
49,롤,롤,7
50,마요네즈,마요네즈,4
51,만두,만두,8
52,맛,맛,9
53,맛집,맛집,6
54,맥주,맥주,5
55,머랭,머랭,4
56,머스켓,머스켓,3
57,먹기,먹기,9
58,먹방,먹방,9
59,메뉴,메뉴,8
60,메이드카페,메이드카페,1
61,모찌,모찌,6
62,문어,문어,1
63,물떡,물떡,2
64,바게트,바게트,3
65,바나나,바나나,6
66,발라,발라,4
67,밥,밥,9
68,밥버거,밥버거,2
69,배,배,7
70,배떡,배떡,2
71,배스킨라빈스,배스킨라빈스,2
72,백종원,백종원,3
73,버블티,버블티,5
74,복숭아,복숭아,6
75,볶이,볶이,5
76,분식,분식,2
77,불닭,불닭,9
78,불닭볶음면,불닭볶음면,5
79,붕어빵,붕어빵,5
80,뷔페,뷔페,2
81,비빔,비빔,3
82,비빔밥,비빔밥,3
83,비상식량,비상식량,2
84,빙수,빙수,6
85,빵,빵,9
86,사과,사과,6
87,살,살,9
88,살이,살이,5
89,삼겹살,삼겹살,7
90,생선,생선,3
91,생크림,생크림,8
92,소세지,소세지,7
93,소스,소스,8
94,소주,소주,3
95,수박,수박,7
96,수세미,수세미,2
97,수저,수저,1
98,술,술,5
99,숯불,숯불,3
100,스낵,스낵,5
101,스테이크,스테이크,5
102,시식,시식,3
103,식당,식당,5
104,식빵,식빵,6
105,식품,식품,4
106,신라면,신라면,5
107,신맛,신맛,5
108,쌈장,쌈장,1
109,씨,씨,4
110,아보카도,아보카도,2
111,아이스크림,아이스크림,9
112,아침식사,아침식사,1
113,알밥,알밥,1
114,양념,양념,5
115,양파,양파,4
116,연어,연어,8
117,연어초밥,연어초밥,4
118,오믈렛,오믈렛,2
119,옥수수,옥수수,6
120,요거트,요거트,7
121,요리,요리,3
122,요리사,요리사,5
123,우유,우유,9
124,우유팩,우유팩,3
125,위장,위장,1
126,음식,음식,6
127,입,입,4
128,장어,장어,3
129,제품,제품,6
130,젤라또,젤라또,4
131,젤리,젤리,8
132,죽,죽,3
133,죽순,죽순,4
134,짜장,짜장,4
135,쫀득쿠키,쫀득쿠키,4
136,찜,찜,6
137,찜닭,찜닭,5
138,체리,체리,5
139,초밥,초밥,4
140,초코,초코,9
141,초코파이,초코파이,4
142,초콜릿,초콜릿,9
143,초콜릿케이크,초콜릿케이크,2
144,치마,치마,1
145,치실,치실,1
146,치즈,치즈,9
147,치즈볼,치즈볼,6
148,치즈스틱,치즈스틱,2
149,치킨,치킨,9
150,칩,칩,6
151,카나,카나,2
152,커피,커피,7
153,컵,컵,6
154,컵라면,컵라면,5
155,케비어,케비어,1
156,케이크,케이크,9
157,케익,케익,4
158,콜라,콜라,6
159,쿠우,쿠우,2
160,쿠키,쿠키,9
161,크로와상,크로와상,4
162,킨,킨,3
163,탕,탕,8
164,토스트,토스트,7
165,통닭,통닭,2
166,통조림,통조림,4
167,튀김,튀김,8
168,티,티,5
169,파,파,6
170,파네,파네,2
171,파스타,파스타,7
172,판다,판다,5
173,팔지,팔지,1
174,팝콘,팝콘,4
175,팥빙,팥빙,1
176,포도,포도,5
177,피자,피자,7
178,허니버터칩,허니버터칩,2
179,화과자,화과자,2
180,가래떡,가래떡,3
181,감자전,감자전,3
182,개구리,개구리,4
183,견과류,견과류,2
184,겹겹이,겹겹이,1
185,계란후라이,계란후라이,3
186,고추,고추,5
187,구매,구매,3
188,구우,구우,4
189,글리터,글리터,1
190,까눌레,까눌레,1
191,깡,깡,1
192,꼬끄,꼬끄,1
193,꼬치,꼬치,6
194,꿀떡,꿀떡,6
195,끼,끼,5
196,닭다리,닭다리,2
197,당,당,2
198,대추야자,대추야자,2
199,돈코츠,돈코츠,2
200,두부,두부,4
201,땅콩,땅콩,4
202,라멘,라멘,3
203,레몬,레몬,5
204,마늘,마늘,4
205,마늘빵,마늘빵,2
206,마카,마카,3
207,마카롱,마카롱,6
208,막대과자,막대과자,1
209,망고,망고,6
210,맥,맥,4
211,메뉴판,메뉴판,1
212,메론빵,메론빵,4
213,면,면,4
214,모과,모과,1
215,모짜렐라,모짜렐라,2
216,물고기,물고기,1
217,바클라바,바클라바,1
218,반찬,반찬,1
219,버거,버거,7
