VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
톡톡시아_toctocsia_20250729,요아정 신상 그릭복숭아🍑 먹어보기!,#요아정 #그릭통통복숭아 #요아정신상 #먹방 #mukbang #asmr,톡톡시아 Toctocsia,2025-07-29,PT50S,36438,1039,27,youtube
톡톡시아_toctocsia_20250725,우유가 왕창 들어간 아이스크림!! 쫀득함이 진짜 젤라또 급ㄷㄷ(feat 이모지 먹방),서울우유 유료광고를 진행하며 무상으로 제공받은 제품을 활용하고 있습니다.  #서울우유 #서울우유아이스크림바 #편의점신상,톡톡시아 Toctocsia,2025-07-25,PT59S,54291,1463,56,youtube
톡톡시아_toctocsia_20250724,소금빵+티코 이게 유행이라구요??,#먹방 #mukbang #toctocsia #koreanfood #소금빵 #소금빵티코,톡톡시아 Toctocsia,2025-07-24,PT36S,60686,1249,18,youtube
톡톡시아_toctocsia_20250723,과일이 한가득 폭탄..ㄷㄷ 레인보우 과일빙수!!,#먹방 #mukbang #asmr #과일빙수 #toctocsia #food #레인보우과일빙수 #금커피별빙수,톡톡시아 Toctocsia,2025-07-23,PT52S,50455,1228,30,youtube
톡톡시아_toctocsia_20250718,이번 복날엔 무조건 이 치킨입니다!!,#교촌치킨 #마라레드 #마라레드윙박스 #치킨 #치킨먹방 #치킨신메뉴 #매운치킨  #교촌치킨앱 #매운맛먹방 #복날 #치킨추천 #스트레스해소음식 #2025교촌복날,톡톡시아 Toctocsia,2025-07-18,PT59S,63586,1294,55,youtube
톡톡시아_toctocsia_20250716,요즘 편의점에서 파는 식감이 장난 아닌 아이스 파인애플...ㄷㄷ,#먹방 #mukbang #asmr #food #편의점신상 #GS25 #골든아이스파인애플,톡톡시아 Toctocsia,2025-07-16,PT39S,84012,1893,36,youtube
톡톡시아_toctocsia_20250711,역대급 청량감!! 신메뉴 등장!! 텐퍼센트커피 신메뉴 이모지 먹방!!,#텐퍼센트커피 #수박주스 #포도퐁당에이드 #여름음료 #여름디저트 #이모지먹방,톡톡시아 Toctocsia,2025-07-11,PT52S,70442,1407,47,youtube
톡톡시아_toctocsia_20250710,요아정 여름한정 수박화채 먹어보기!!,#요아정 #화채 #수박화채 #hawchae #요아정화채 #수박 #먹방 #mukbang #asmr #여름디저트 #여름,톡톡시아 Toctocsia,2025-07-10,PT55S,111597,2316,47,youtube
톡톡시아_toctocsia_20250708,이걸 이제야 먹어봅니다!! 초코퐁당 시리즈 먹방!,#여수언니 #초코퐁당요거꿀떡 #먹방 #mukbang #asmr #food,톡톡시아 Toctocsia,2025-07-08,PT53S,501063,6988,65,youtube
톡톡시아_toctocsia_20250704,(광고) 달콤왕가탕후루에서 이제 브륄레와 판나코타를 만날 수 있다고??,#왕가탕후루 #왕가브륄레 #크림브륄레 #브륄레 #신상디져트 #디저트 #판나코타,톡톡시아 Toctocsia,2025-07-04,PT55S,146905,2946,44,youtube
톡톡시아_toctocsia_20250703,잔망루피 아이스크림 케이크에 초코 뿌려 먹기!!😭,#먹방 #mukbang #asmr #잔망루피케이크 #베스킨라빈스 #베라아이스크림 #아이스크림케이크,톡톡시아 Toctocsia,2025-07-03,PT57S,361111,7194,155,youtube
톡톡시아_toctocsia_20250702,SNS 핫한 우유에 말아먹는 식빵 싸게 사는 방법!!,#이마트 #고래잇페스타 #고래잇 #이마트세일 #이마트행사 #이마트전단지 #전단행사 #쿨썸머세일 #여름바캉스,톡톡시아 Toctocsia,2025-07-02,PT59S,96591,1778,46,youtube
톡톡시아_toctocsia_20250630,명랑핫도그 치즈폭탄 떡볶이 세트 먹방! 진짜 오랜만ㅠ,#명랑핫도그 #먹방 #mukbang #럭키치즈떡볶이 #asmr #asmreating #koreanfood,톡톡시아 Toctocsia,2025-06-30,PT54S,200248,4084,62,youtube
톡톡시아_toctocsia_20250627,이것만 있으면 집에서 홈카페 탄산 음료 뚝딱!! (브레빌 인피즈 퓨전),#브레빌 #인피즈 #팝팝챌린지 #인피즈퓨전 #탄산메이커 #탄산제조기  #탄산 #탄산수 #탄산수메이커 #소다메이커 #탄산수만들기 #신제품출시 #이벤트 #홈카페 #홈카페스타그램 #홈카페그램#홈카페놀이 #홈카페용품  #홈카페인테리어 #여름음료 #여름음료추천 #홈메이드음료 #홈카페영상,톡톡시아 Toctocsia,2025-06-27,PT1M,99968,1814,40,youtube
톡톡시아_toctocsia_20250624,오랜만에 공차 이모지 먹방!! Gong-cha emoji mukbang!,#먹방 #공차 #gongcha #mukbang #asmr #food #emojimukbang,톡톡시아 Toctocsia,2025-06-24,PT44S,266896,3952,53,youtube
톡톡시아_toctocsia_20250619,한정선 과일 찹쌀떡! 과일 모찌! 이모지 먹방!!,#먹방 #mukbang #asmr #food #한정선 #더현대 #과일모찌 #찹쌀떡 #이모지먹방,톡톡시아 Toctocsia,2025-06-19,PT59S,419539,6961,112,youtube
톡톡시아_toctocsia_20250615,BHC 콰삭킹+뿌링 치즈볼+뿌링 치즈스틱+BHC 분모자 로제떡볶이 먹기!,#toctocsia #톡톡시아 #BHC #치즈볼 #뿌링치즈볼 #뿌링치즈스틱 #BHC로제분모자 #콰삭킹 #뿌링클 #mukbang #먹방,톡톡시아 Toctocsia,2025-06-15,PT59S,137579,2746,44,youtube
