VIDEO_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,DURATION,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
젼언니_jeon_unni_20250730,새벽에 생각나 만든 두바이 초콜릿 케이크,#shorts,젼언니 jeon_unni,2025-07-30,PT1M,523203,9903,177,youtube
젼언니_jeon_unni_20250729,순살 간장게장+청양고추무침 조합🦀,#shorts,젼언니 jeon_unni,2025-07-29,PT1M18S,396531,6584,355,youtube
젼언니_jeon_unni_20250728,[이벤트] 레이저로 다 뒤집어졌던 내 피부...😭,#shorts,젼언니 jeon_unni,2025-07-28,PT1M10S,74079,1324,144,youtube
젼언니_jeon_unni_20250728,룸메가 해준 음식 맛없다고 해보기ㅋㅋㅋㅋㅋㅋ,#shorts,젼언니 jeon_unni,2025-07-28,PT1M,1278811,19822,172,youtube
젼언니_jeon_unni_20250727,"산리오에디션 ""태닝포차코""로 메이크업💕",#shorts,젼언니 jeon_unni,2025-07-27,PT1M,199081,2865,62,youtube
젼언니_jeon_unni_20250726,젼언니가 [돼지파티] 를 개최합니다🐷,#shorts,젼언니 jeon_unni,2025-07-26,PT1M14S,265642,7236,260,youtube
젼언니_jeon_unni_20250725,마시멜로우를 바삭하게 먹는 방법?!,#shorts,젼언니 jeon_unni,2025-07-25,PT1M,695225,14045,321,youtube
젼언니_jeon_unni_20250724,룸메이트에게 마술 보여주기😂,#shorts,젼언니 jeon_unni,2025-07-24,PT1M,166022,3128,97,youtube
젼언니_jeon_unni_20250723,입맛 없을 때 엄마표 양념 게장🦀,#shorts,젼언니 jeon_unni,2025-07-23,PT1M1S,397753,6680,123,youtube
젼언니_jeon_unni_20250722,침샘 고장나는 육포칩+타키스 가루+레몬즙,#shorts,젼언니 jeon_unni,2025-07-22,PT1M,319689,4957,92,youtube
젼언니_jeon_unni_20250721,나물로 만든 초콜릿이 있다고..?!🌿🍫,#shorts,젼언니 jeon_unni,2025-07-21,PT1M14S,211453,4797,105,youtube
젼언니_jeon_unni_20250721,함미한테 손녀얼굴이 있는 젤리를 드려바따💗,#shorts,젼언니 jeon_unni,2025-07-21,PT1M,217767,4440,69,youtube
젼언니_jeon_unni_20250720,해외에서 핫한 니키미나즈 포즈🤩이거되는사람?✋,#shorts,젼언니 jeon_unni,2025-07-20,PT57S,388041,6649,126,youtube
젼언니_jeon_unni_20250719,초복에 삼계탕이랑 쪽파 🐓쪽파쪽파,#shorts,젼언니 jeon_unni,2025-07-19,PT1M,192759,4338,108,youtube
젼언니_jeon_unni_20250718,태그 폭탄 당했던 과일 아이스크림🍨,#shorts,젼언니 jeon_unni,2025-07-18,PT1M,500051,11747,100,youtube
젼언니_jeon_unni_20250717,사기 당하기 딱 좋은 여자,#shorts,젼언니 jeon_unni,2025-07-17,PT1M,386557,8060,146,youtube
젼언니_jeon_unni_20250716,직접 만든 라부부 케이크 먹으면서 얘기하자🍰,#shorts,젼언니 jeon_unni,2025-07-16,PT1M22S,364013,8677,222,youtube
젼언니_jeon_unni_20250715,전세계 대란템 라부부.. 없으면 만든다🍰,#shorts #라부부,젼언니 jeon_unni,2025-07-15,PT1M,713109,13805,301,youtube
젼언니_jeon_unni_20250714,"단돈 1,000원부터 버거킹 즐기는 법🌯",#shorts #광고 #버거킹 #올데이스낵 #크리스퍼랩,젼언니 jeon_unni,2025-07-14,PT1M5S,253878,3958,107,youtube
젼언니_jeon_unni_20250714,룸메이트랑 서로 얼굴 그려주기ㅋㅋㅋㅋㅋ,#shorts,젼언니 jeon_unni,2025-07-14,PT1M,409824,7619,108,youtube
젼언니_jeon_unni_20250713,룸메이트 더빙 메이크업 피부 나이 편🧴,#shorts,젼언니 jeon_unni,2025-07-13,PT1M,389889,6229,81,youtube
젼언니_jeon_unni_20250711,새벽에 닭발 먹고 기분 좋아진 여자들,#shorts,젼언니 jeon_unni,2025-07-11,PT1M,555671,12538,155,youtube
젼언니_jeon_unni_20250710,고추장아찌가 들어있는 레몬무뼈닭발🍋,#shorts,젼언니 jeon_unni,2025-07-10,PT1M,518922,7947,97,youtube
젼언니_jeon_unni_20250709,맵고 시고 짜고 단 멕시코 간식 뚜론 로사🐝,#shorts,젼언니 jeon_unni,2025-07-09,PT1M,422280,7056,98,youtube
젼언니_jeon_unni_20250708,분홍색의 멕시코 길거리 간식 뚜론 로사🍬,#shorts,젼언니 jeon_unni,2025-07-08,PT1M,550415,8190,127,youtube
젼언니_jeon_unni_20250707,나는 테토녀 친구? or 에겐녀 친구?,#shorts,젼언니 jeon_unni,2025-07-07,PT54S,361078,7002,141,youtube
젼언니_jeon_unni_20250706,투명한 과일..?! 야자나무 열매 아이스 애플🌴,#shorts,젼언니 jeon_unni,2025-07-06,PT1M1S,658305,10726,131,youtube
젼언니_jeon_unni_20250705,직접 만든 바삭한 육포칩에 레드 타키스 가루🥩,#shorts,젼언니 jeon_unni,2025-07-05,PT1M29S,259432,4851,80,youtube
젼언니_jeon_unni_20250704,날 키워주신 할머니께 간식선물🎁,#shorts #바나나과자 #과자추천 #간식추천,젼언니 jeon_unni,2025-07-04,PT1M23S,278052,6015,215,youtube
젼언니_jeon_unni_20250704,이거 어떻게 한건지 아시는분 계실까요?😭,#shorts,젼언니 jeon_unni,2025-07-04,PT58S,970123,16606,222,youtube
젼언니_jeon_unni_20250703,많은 요청으로 스윗믹스젤리 2탄 출시⁉️,,젼언니 jeon_unni,2025-07-03,PT1M25S,419806,7931,378,youtube
젼언니_jeon_unni_20250630,망고 사고의 계절이 돌아왔다🥭,#shorts,젼언니 jeon_unni,2025-06-30,PT1M,765239,14813,193,youtube
젼언니_jeon_unni_20250629,[ASMR] 나이트 스킨케어 ASMR🌙,#shorts,젼언니 jeon_unni,2025-06-29,PT1M,249907,3685,74,youtube
젼언니_jeon_unni_20250628,파티쉐 팬분이 보내주신 벽돌 초콜릿 케이크,#shorts,젼언니 jeon_unni,2025-06-28,PT1M,559934,11001,117,youtube
젼언니_jeon_unni_20250627,2년만에 나온 불닭 신제품! 불닭 푸팟퐁커리🔥,#shorts,젼언니 jeon_unni,2025-06-27,PT1M24S,364733,6611,118,youtube
젼언니_jeon_unni_20250626,[단순선물] 미션을 통과하면 동결건조 파삭 신상을 준다고..?,#shorts,젼언니 jeon_unni,2025-06-26,PT1M,756254,13665,32,youtube
젼언니_jeon_unni_20250625,나물 가득 넣은 엄마표 노각 비빔밥🥒🍚,#shorts,젼언니 jeon_unni,2025-06-25,PT1M6S,638970,8803,110,youtube
젼언니_jeon_unni_20250624,여름엔 이거다!!!노각 무침 만들쟈🥒,#shorts,젼언니 jeon_unni,2025-06-24,PT1M26S,452037,8515,117,youtube
젼언니_jeon_unni_20250624,구독자분이 알려주신 동전오징어 레시피🦑,#shorts,젼언니 jeon_unni,2025-06-24,PT1M,752903,14947,99,youtube
젼언니_jeon_unni_20250622,흐린 날에도 자외선 차단 해야하는 이유...😱,#shorts,젼언니 jeon_unni,2025-06-22,PT1M,181124,2979,76,youtube
젼언니_jeon_unni_20250622,벽돌 초콜릿 케이크 요거트에 찍어먹기🍫,#shorts,젼언니 jeon_unni,2025-06-22,PT1M4S,343928,5613,70,youtube
젼언니_jeon_unni_20250621,저보고 성괴라고 하시는데요..,#shorts,젼언니 jeon_unni,2025-06-21,PT1M,1815227,35455,811,youtube
젼언니_jeon_unni_20250620,3시간 걸린 클레오파트라 메이크업,#shorts,젼언니 jeon_unni,2025-06-20,PT1M,629076,8641,178,youtube
젼언니_jeon_unni_20250619,나폴리 맛피아님이 만들어주신 투움바치킨🍗,#shorts,젼언니 jeon_unni,2025-06-19,PT1M9S,274632,4310,68,youtube
젼언니_jeon_unni_20250619,엄마한테 간식창고를 걸렸습니다ㅠㅠ,#shorts,젼언니 jeon_unni,2025-06-19,PT1M,1458678,23213,112,youtube
