COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
아누누_20250729_c1,아누누_20250729,@뮹게뮹게,아니 구도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃기다ㅠㅠ,2025-07-30
아누누_20250729_c2,아누누_20250729,@rinkim97-97,"염색약 바르고 저렇게 문지르면 두피가 아아악...
보호제는 바르고 저렇게 하신고겠지 ...?
두피 붉어지고 벗겨질수도 있는데 ㅠㅠㅠ",2025-07-29
아누누_20250729_c3,아누누_20250729,@맨날메론시럽보내는걔,"파삭 제주 말차 맛 이라고..?
아누누가 너무 열일해..기대되잖아ㅜㅜㅜ",2025-07-29
아누누_20250728_c1,아누누_20250728,@뚱땅-e5d,누누 요즘 아프진 않죠?? 안색이 걱정됩니다,2025-07-28
아누누_20250728_c2,아누누_20250728,@뉸뉸-n2w3f,젤리 어디껀가요 ㅠㅠ?,2025-07-29
아누누_20250728_c3,아누누_20250728,@latteuuu,젤리 좋아하시는 친구 분은 sns 계정 운영 안 하시나요? 젤리 엄청 좋아하는 사람으로서 젤리 관련 영상들 올리시면 너무너무 잘 챙겨볼 것 같아요 🥹,2025-07-29
아누누_20250726_c1,아누누_20250726,@장현지-n2o,요거트가멈출기미가안보옄ㅋㅋㅋ,2025-07-29
아누누_20250726_c2,아누누_20250726,@손뽕이,안섞어드시네😅😮,2025-07-29
아누누_20250726_c3,아누누_20250726,@KIT키티사랑녀,너무맜있게먹으셔서기분이좋아요!!❤,2025-07-28
아누누_20250725_c1,아누누_20250725,@anunu,"25일부터의 구매 후 스토리 인증해주시면 파삭 쑥맛을 5분께 드립니다!

(7/25일~31일) 구매 후
 아누누(@anunu.kr) 태그를 포함한 인스타그램 스토리에 올려주시면 응모 완료!",2025-07-25
아누누_20250725_c2,아누누_20250725,@햄찌_s6i,아누누님! 스위즐스 동결건조 있어용! 꼭먹어보세요 엄청 꿀맛❤❤❤❤❤❤,2025-07-30
아누누_20250725_c3,아누누_20250725,@히늉파워,원조 어떨지 궁금햇는데 먹어보니까 진짜 향도 대박이고 쫄깃쫄깃 쩔어용 아직 풍선껌맛 밖에 안먹어 봒는데 나머지도 맛있을거 같아서 기대중❤❤,2025-07-29
아누누_20250722_c1,아누누_20250722,@조정우-m8z,구미 교촌본점 젭알❤,2025-07-27
아누누_20250722_c2,아누누_20250722,@박연우-e4u,저거 보니까 레전드 방송사고..치즈 그거 생각나는..ㅋㅋㅋ,2025-07-26
아누누_20250722_c3,아누누_20250722,@좋음-h5g,우왘ㅋㅋㅋ 시선강탈!! 요새 복숭아맛있어용😚납작은 앙먹어봤는데 끌리네요🤗,2025-07-26
아누누_20250721_c1,아누누_20250721,@stellajuve,아누누 똥소리 뿌지지직 설사인듯ㅋㅋㅋㅋㅋ,2025-07-29
아누누_20250721_c2,아누누_20250721,@Degons.v.t,동결건조?,2025-07-28
아누누_20250721_c3,아누누_20250721,@ryudastar1980,아누누님!!그 마쉬멜로우 동결건조 해주시면안될가여?ㅋㅋ,2025-07-28
아누누_20250719_c1,아누누_20250719,@snoopy1360,패션쇼에 쭈글쭈글 티셔츠 입고갔어ㅠㅠㅠㅠ옷장에 쳐박혀있던 티셔츠같앜😂😂😂😂,2025-07-23
아누누_20250719_c2,아누누_20250719,@겨울-f2o,자기만 파삭먹고ㅠㅠ,2025-07-22
아누누_20250719_c3,아누누_20250719,@썸보-s5l,역시 요거트 좌,2025-07-21
아누누_20250718_c1,아누누_20250718,@김찬영-e6j,두 바 이 초콜릿 동결건조해주세요,2025-07-24
아누누_20250718_c2,아누누_20250718,@뀨-h1d,이거 어디서사나요,2025-07-22
아누누_20250718_c3,아누누_20250718,@김수정-f1x8k,그 아줌마말은 맞는데 그렇게 안되려면 건강관리 해야겠죠.,2025-07-22
아누누_20250717_c1,아누누_20250717,@강원영-k3b,😂,2025-07-25
아누누_20250717_c2,아누누_20250717,@Heize_Fan_Bbazzik,아니 ㅋㅋㅋㅋㅋ 저 반응...,2025-07-22
아누누_20250717_c3,아누누_20250717,@찌우찌우-x8f,"화이팅🎉
아프던 이해합니다.",2025-07-20
