COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT,CLEAN_TEXT,LABEL_SCORE_DICT
아누누_20250729_c1,아누누_20250729,@뮹게뮹게,아니 구도ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃기다ㅠㅠ,2025-07-30,아니 구도개웃기다,"{'불평/불만': 0.03630833700299263, '환영/호의': 0.29577335715293884, '감동/감탄': 0.730623722076416, '지긋지긋': 0.01017776969820261, '고마움': 0.02265145257115364, '슬픔': 0.002243982395157218, '화남/분노': 0.015215621329843998, '존경': 0.03416086733341217, '기대감': 0.23436035215854645, '우쭐댐/무시함': 0.13326987624168396, '안타까움/실망': 0.038983188569545746, '비장함': 0.0022499968763440847, '의심/불신': 0.020419945940375328, '뿌듯함': 0.14023098349571228, '편안/쾌적': 0.025363659486174583, '신기함/관심': 0.782584547996521, '아껴주는': 0.08716941624879837, '부끄러움': 0.02175305411219597, '공포/무서움': 0.0033204122446477413, '절망': 0.0015581079060211778, '한심함': 0.10624650865793228, '역겨움/징그러움': 0.011014115996658802, '짜증': 0.05003112182021141, '어이없음': 0.4609133303165436, '없음': 0.030665820464491844, '패배/자기혐오': 0.0023687200155109167, '귀찮음': 0.006228799466043711, '힘듦/지침': 0.002200871240347624, '즐거움/신남': 0.9758086204528809, '깨달음': 0.08286984264850616, '죄책감': 0.0008590282523073256, '증오/혐오': 0.013771886005997658, '흐뭇함(귀여움/예쁨)': 0.4454493522644043, '당황/난처': 0.09327008575201035, '경악': 0.041015852242708206, '부담/안_내킴': 0.009388553909957409, '서러움': 0.0018352771876379848, '재미없음': 0.02510070987045765, '불쌍함/연민': 0.009893984533846378, '놀람': 0.5491458177566528, '행복': 0.41051605343818665, '불안/걱정': 0.0028446607757359743, '기쁨': 0.7785080671310425, '안심/신뢰': 0.029821189120411873}"
아누누_20250729_c2,아누누_20250729,@rinkim97-97,"염색약 바르고 저렇게 문지르면 두피가 아아악...
보호제는 바르고 저렇게 하신고겠지 ...?
두피 붉어지고 벗겨질수도 있는데 ㅠㅠㅠ",2025-07-29,염색약 바르고 저렇게 문지르면 두피가 아아악... 보호제는 바르고 저렇게 하신고겠지 ...? 두피 붉어지고 벗겨질수도 있는데,"{'불평/불만': 0.4489825665950775, '환영/호의': 0.00787296611815691, '감동/감탄': 0.011276638135313988, '지긋지긋': 0.029295895248651505, '고마움': 0.0023755209986120462, '슬픔': 0.06992510706186295, '화남/분노': 0.20482532680034637, '존경': 0.0030073882080614567, '기대감': 0.04650997743010521, '우쭐댐/무시함': 0.017496395856142044, '안타까움/실망': 0.6848453879356384, '비장함': 0.008222177624702454, '의심/불신': 0.8157002925872803, '뿌듯함': 0.0020416094921529293, '편안/쾌적': 0.0017641017911955714, '신기함/관심': 0.19112899899482727, '아껴주는': 0.012317494489252567, '부끄러움': 0.05012930929660797, '공포/무서움': 0.22339244186878204, '절망': 0.0860280990600586, '한심함': 0.14153361320495605, '역겨움/징그러움': 0.04284731671214104, '짜증': 0.33360588550567627, '어이없음': 0.7270902991294861, '없음': 0.04187288507819176, '패배/자기혐오': 0.009346984326839447, '귀찮음': 0.020482029765844345, '힘듦/지침': 0.032085806131362915, '즐거움/신남': 0.004602545406669378, '깨달음': 0.09956245124340057, '죄책감': 0.011726350523531437, '증오/혐오': 0.041763223707675934, '흐뭇함(귀여움/예쁨)': 0.003967870958149433, '당황/난처': 0.9228512644767761, '경악': 0.4839641749858856, '부담/안_내킴': 0.2903147339820862, '서러움': 0.020506994798779488, '재미없음': 0.013977696187794209, '불쌍함/연민': 0.08991008251905441, '놀람': 0.7238418459892273, '행복': 0.00124564568977803, '불안/걱정': 0.8346253037452698, '기쁨': 0.004291544668376446, '안심/신뢰': 0.010136423632502556}"
아누누_20250729_c3,아누누_20250729,@맨날메론시럽보내는걔,"파삭 제주 말차 맛 이라고..?
아누누가 너무 열일해..기대되잖아ㅜㅜㅜ",2025-07-29,파삭 제주 말차 맛 이라고..? 아누누가 열일해..기대되잖아,"{'불평/불만': 0.039988815784454346, '환영/호의': 0.5781278610229492, '감동/감탄': 0.4209769070148468, '지긋지긋': 0.013739495538175106, '고마움': 0.03989087790250778, '슬픔': 0.013633930124342442, '화남/분노': 0.008546508848667145, '존경': 0.07922831177711487, '기대감': 0.9686347842216492, '우쭐댐/무시함': 0.030070193111896515, '안타까움/실망': 0.1061483845114708, '비장함': 0.0565296970307827, '의심/불신': 0.06016652658581734, '뿌듯함': 0.07353585958480835, '편안/쾌적': 0.04008421301841736, '신기함/관심': 0.8344676494598389, '아껴주는': 0.2048465460538864, '부끄러움': 0.010671419091522694, '공포/무서움': 0.01417225319892168, '절망': 0.006853711791336536, '한심함': 0.019690340384840965, '역겨움/징그러움': 0.003108590142801404, '짜증': 0.01901239901781082, '어이없음': 0.035980451852083206, '없음': 0.08030553162097931, '패배/자기혐오': 0.0025486822705715895, '귀찮음': 0.009725747630000114, '힘듦/지침': 0.01660696230828762, '즐거움/신남': 0.5974417328834534, '깨달음': 0.09925184398889542, '죄책감': 0.0017501917900517583, '증오/혐오': 0.0031622808892279863, '흐뭇함(귀여움/예쁨)': 0.08515854179859161, '당황/난처': 0.07116180658340454, '경악': 0.018714861944317818, '부담/안_내킴': 0.037165287882089615, '서러움': 0.004879917483776808, '재미없음': 0.01877056248486042, '불쌍함/연민': 0.02119240164756775, '놀람': 0.3522232174873352, '행복': 0.13019514083862305, '불안/걱정': 0.13676171004772186, '기쁨': 0.2632352113723755, '안심/신뢰': 0.12126370519399643}"
아누누_20250728_c1,아누누_20250728,@뚱땅-e5d,누누 요즘 아프진 않죠?? 안색이 걱정됩니다,2025-07-28,누누 요즘 아프진 않죠?? 안색이 걱정됩니다,"{'불평/불만': 0.013027464970946312, '환영/호의': 0.16779398918151855, '감동/감탄': 0.041643548756837845, '지긋지긋': 0.0056375847198069096, '고마움': 0.03653119131922722, '슬픔': 0.31329748034477234, '화남/분노': 0.007863652892410755, '존경': 0.038396790623664856, '기대감': 0.20371507108211517, '우쭐댐/무시함': 0.00488496758043766, '안타까움/실망': 0.38986942172050476, '비장함': 0.023373927921056747, '의심/불신': 0.0752783715724945, '뿌듯함': 0.008319508284330368, '편안/쾌적': 0.01572839729487896, '신기함/관심': 0.1964034140110016, '아껴주는': 0.6727566719055176, '부끄러움': 0.011492228135466576, '공포/무서움': 0.04905997961759567, '절망': 0.022100867703557014, '한심함': 0.010746810585260391, '역겨움/징그러움': 0.0029624372255057096, '짜증': 0.009139027446508408, '어이없음': 0.014065220020711422, '없음': 0.045201390981674194, '패배/자기혐오': 0.0038306270726025105, '귀찮음': 0.004107191693037748, '힘듦/지침': 0.05329743027687073, '즐거움/신남': 0.004269923083484173, '깨달음': 0.05555464327335358, '죄책감': 0.008185633458197117, '증오/혐오': 0.003477176185697317, '흐뭇함(귀여움/예쁨)': 0.040650930255651474, '당황/난처': 0.17569050192832947, '경악': 0.01502830721437931, '부담/안_내킴': 0.034596286714076996, '서러움': 0.025600625202059746, '재미없음': 0.001379413646645844, '불쌍함/연민': 0.6039320826530457, '놀람': 0.16506321728229523, '행복': 0.010784543119370937, '불안/걱정': 0.8244471549987793, '기쁨': 0.018761439248919487, '안심/신뢰': 0.16989512741565704}"
아누누_20250728_c2,아누누_20250728,@뉸뉸-n2w3f,젤리 어디껀가요 ㅠㅠ?,2025-07-29,젤리 어디껀가요 ?,"{'불평/불만': 0.07328931987285614, '환영/호의': 0.15999487042427063, '감동/감탄': 0.019445374608039856, '지긋지긋': 0.01587718166410923, '고마움': 0.014172226190567017, '슬픔': 0.007490029092878103, '화남/분노': 0.013724533841013908, '존경': 0.017002874985337257, '기대감': 0.780745267868042, '우쭐댐/무시함': 0.04198424518108368, '안타까움/실망': 0.10301882028579712, '비장함': 0.08068320155143738, '의심/불신': 0.43185463547706604, '뿌듯함': 0.016108011826872826, '편안/쾌적': 0.023902887478470802, '신기함/관심': 0.6602635979652405, '아껴주는': 0.048970382660627365, '부끄러움': 0.009398874826729298, '공포/무서움': 0.051097624003887177, '절망': 0.008679283782839775, '한심함': 0.02385557070374489, '역겨움/징그러움': 0.004578916821628809, '짜증': 0.044450756162405014, '어이없음': 0.08039402216672897, '없음': 0.7071568965911865, '패배/자기혐오': 0.0018681787187233567, '귀찮음': 0.04148431867361069, '힘듦/지침': 0.024492183700203896, '즐거움/신남': 0.03531842306256294, '깨달음': 0.09464924037456512, '죄책감': 0.001890623359940946, '증오/혐오': 0.0042943451553583145, '흐뭇함(귀여움/예쁨)': 0.0068254354409873486, '당황/난처': 0.3204423785209656, '경악': 0.021749667823314667, '부담/안_내킴': 0.14799271523952484, '서러움': 0.004923833534121513, '재미없음': 0.01604296825826168, '불쌍함/연민': 0.021688872948288918, '놀람': 0.21110713481903076, '행복': 0.007283310405910015, '불안/걱정': 0.5641312599182129, '기쁨': 0.02052498050034046, '안심/신뢰': 0.10078940540552139}"
아누누_20250728_c3,아누누_20250728,@latteuuu,젤리 좋아하시는 친구 분은 sns 계정 운영 안 하시나요? 젤리 엄청 좋아하는 사람으로서 젤리 관련 영상들 올리시면 너무너무 잘 챙겨볼 것 같아요 🥹,2025-07-29,젤리 좋아하시는 친구 분은 sns 계정 운영 안 하시나요? 젤리 엄청 좋아하는 사람으로서 젤리 관련 영상들 올리시면 너무너무 잘 챙겨볼 것 같아요,"{'불평/불만': 0.010579888708889484, '환영/호의': 0.8233096599578857, '감동/감탄': 0.5654172897338867, '지긋지긋': 0.002656390191987157, '고마움': 0.09183990955352783, '슬픔': 0.003696763888001442, '화남/분노': 0.0010688514448702335, '존경': 0.2404196560382843, '기대감': 0.9666174650192261, '우쭐댐/무시함': 0.02302098274230957, '안타까움/실망': 0.056576747447252274, '비장함': 0.029246075078845024, '의심/불신': 0.030474241822957993, '뿌듯함': 0.12839871644973755, '편안/쾌적': 0.08698023855686188, '신기함/관심': 0.9011107683181763, '아껴주는': 0.40911999344825745, '부끄러움': 0.0023748576641082764, '공포/무서움': 0.003485339693725109, '절망': 0.000847610121127218, '한심함': 0.0048612081445753574, '역겨움/징그러움': 0.0006295458297245204, '짜증': 0.00263361819088459, '어이없음': 0.006803189869970083, '없음': 0.11486130952835083, '패배/자기혐오': 0.00041515345219522715, '귀찮음': 0.00340990605764091, '힘듦/지침': 0.0038740732707083225, '즐거움/신남': 0.31022319197654724, '깨달음': 0.1535581648349762, '죄책감': 0.000487027078634128, '증오/혐오': 0.0006174492300488055, '흐뭇함(귀여움/예쁨)': 0.11494657397270203, '당황/난처': 0.018522491678595543, '경악': 0.0021329689770936966, '부담/안_내킴': 0.015810271725058556, '서러움': 0.0009267657878808677, '재미없음': 0.005472634918987751, '불쌍함/연민': 0.014516105875372887, '놀람': 0.2243812531232834, '행복': 0.09141459316015244, '불안/걱정': 0.06835728138685226, '기쁨': 0.22561204433441162, '안심/신뢰': 0.4533901512622833}"
아누누_20250726_c1,아누누_20250726,@장현지-n2o,요거트가멈출기미가안보옄ㅋㅋㅋ,2025-07-29,요거트가멈출기미가안보옄,"{'불평/불만': 0.6615216732025146, '환영/호의': 0.008849755860865116, '감동/감탄': 0.010498270392417908, '지긋지긋': 0.06065952777862549, '고마움': 0.008591080084443092, '슬픔': 0.30399173498153687, '화남/분노': 0.15628878772258759, '존경': 0.0009499367442913353, '기대감': 0.06258382648229599, '우쭐댐/무시함': 0.005780802574008703, '안타까움/실망': 0.7145049571990967, '비장함': 0.013178379274904728, '의심/불신': 0.19983716309070587, '뿌듯함': 0.005345134064555168, '편안/쾌적': 0.00797857902944088, '신기함/관심': 0.03107645735144615, '아껴주는': 0.008207100443542004, '부끄러움': 0.02701389603316784, '공포/무서움': 0.04019119590520859, '절망': 0.2157486379146576, '한심함': 0.037175942212343216, '역겨움/징그러움': 0.004391241353005171, '짜증': 0.556282639503479, '어이없음': 0.3835529685020447, '없음': 0.13728347420692444, '패배/자기혐오': 0.02613379992544651, '귀찮음': 0.12231601029634476, '힘듦/지침': 0.2732711136341095, '즐거움/신남': 0.008917163126170635, '깨달음': 0.09442789107561111, '죄책감': 0.01768234185874462, '증오/혐오': 0.005122805014252663, '흐뭇함(귀여움/예쁨)': 0.002274799859151244, '당황/난처': 0.8711032867431641, '경악': 0.051867060363292694, '부담/안_내킴': 0.18884310126304626, '서러움': 0.1303531676530838, '재미없음': 0.015203230082988739, '불쌍함/연민': 0.028076477348804474, '놀람': 0.17375193536281586, '행복': 0.006843936163932085, '불안/걱정': 0.5677353143692017, '기쁨': 0.012130153365433216, '안심/신뢰': 0.01788988709449768}"
아누누_20250726_c2,아누누_20250726,@손뽕이,안섞어드시네😅😮,2025-07-29,안섞어드시네,"{'불평/불만': 0.7993274927139282, '환영/호의': 0.1038629487156868, '감동/감탄': 0.09904245287179947, '지긋지긋': 0.06639155000448227, '고마움': 0.019189300015568733, '슬픔': 0.013956313021481037, '화남/분노': 0.14781011641025543, '존경': 0.021686343476176262, '기대감': 0.12178591638803482, '우쭐댐/무시함': 0.18109318614006042, '안타까움/실망': 0.8174996972084045, '비장함': 0.013056784868240356, '의심/불신': 0.4898230731487274, '뿌듯함': 0.0395481251180172, '편안/쾌적': 0.01789514720439911, '신기함/관심': 0.27210527658462524, '아껴주는': 0.046460460871458054, '부끄러움': 0.02915436029434204, '공포/무서움': 0.006015419494360685, '절망': 0.018025381490588188, '한심함': 0.3415668308734894, '역겨움/징그러움': 0.014013063162565231, '짜증': 0.5532722473144531, '어이없음': 0.8231160044670105, '없음': 0.2307729870080948, '패배/자기혐오': 0.006896319333463907, '귀찮음': 0.09394153207540512, '힘듦/지침': 0.019390471279621124, '즐거움/신남': 0.04028579592704773, '깨달음': 0.19623661041259766, '죄책감': 0.0045623634941875935, '증오/혐오': 0.02271801233291626, '흐뭇함(귀여움/예쁨)': 0.013090360909700394, '당황/난처': 0.6728981733322144, '경악': 0.054851967841386795, '부담/안_내킴': 0.20691563189029694, '서러움': 0.01285340916365385, '재미없음': 0.10618752241134644, '불쌍함/연민': 0.049089524894952774, '놀람': 0.2681064307689667, '행복': 0.00664312532171607, '불안/걱정': 0.10532360523939133, '기쁨': 0.026649925857782364, '안심/신뢰': 0.12438733130693436}"
아누누_20250726_c3,아누누_20250726,@KIT키티사랑녀,너무맜있게먹으셔서기분이좋아요!!❤,2025-07-28,너무맜있게먹으셔서기분이좋아요!!,"{'불평/불만': 0.0019198331283405423, '환영/호의': 0.6171732544898987, '감동/감탄': 0.9420791268348694, '지긋지긋': 0.0008593787206336856, '고마움': 0.6372435092926025, '슬픔': 0.004386474844068289, '화남/분노': 0.0011934821959584951, '존경': 0.11622573435306549, '기대감': 0.27724677324295044, '우쭐댐/무시함': 0.00486079091206193, '안타까움/실망': 0.0032168342731893063, '비장함': 0.0022802187595516443, '의심/불신': 0.0010272288927808404, '뿌듯함': 0.4399699568748474, '편안/쾌적': 0.26855263113975525, '신기함/관심': 0.32170358300209045, '아껴주는': 0.23674723505973816, '부끄러움': 0.0025040823966264725, '공포/무서움': 0.0009023124584928155, '절망': 0.0004323843168094754, '한심함': 0.0013209916651248932, '역겨움/징그러움': 0.0006266996497288346, '짜증': 0.0019484885269775987, '어이없음': 0.0032240119762718678, '없음': 0.008357374928891659, '패배/자기혐오': 0.0005514424992725253, '귀찮음': 0.0010577781358733773, '힘듦/지침': 0.0029308171942830086, '즐거움/신남': 0.9449468851089478, '깨달음': 0.0680234506726265, '죄책감': 0.0004062710504513234, '증오/혐오': 0.0008389896829612553, '흐뭇함(귀여움/예쁨)': 0.43083715438842773, '당황/난처': 0.0028302690479904413, '경악': 0.0013818099396303296, '부담/안_내킴': 0.0008162226877175272, '서러움': 0.0008395531331188977, '재미없음': 0.0014151218347251415, '불쌍함/연민': 0.002005554735660553, '놀람': 0.1305585354566574, '행복': 0.9376606941223145, '불안/걱정': 0.0013923926744610071, '기쁨': 0.9725573658943176, '안심/신뢰': 0.32885655760765076}"
아누누_20250725_c1,아누누_20250725,@anunu,"25일부터의 구매 후 스토리 인증해주시면 파삭 쑥맛을 5분께 드립니다!

(7/25일~31일) 구매 후
 아누누(@anunu.kr) 태그를 포함한 인스타그램 스토리에 올려주시면 응모 완료!",2025-07-25,25일부터의 구매 후 스토리 인증해주시면 파삭 쑥맛을 5분께 드립니다! (7/25일~31일) 구매 후 아누누(@anunu.kr) 태그를 포함한 인스타그램 스토리에 올려주시면 응모 완료!,"{'불평/불만': 0.005712549667805433, '환영/호의': 0.7289009690284729, '감동/감탄': 0.17707322537899017, '지긋지긋': 0.0036779495421797037, '고마움': 0.20202183723449707, '슬픔': 0.0019205622375011444, '화남/분노': 0.0017115402733907104, '존경': 0.07627734541893005, '기대감': 0.9463683366775513, '우쭐댐/무시함': 0.036934949457645416, '안타까움/실망': 0.009243081323802471, '비장함': 0.1481141895055771, '의심/불신': 0.011649292893707752, '뿌듯함': 0.1732892543077469, '편안/쾌적': 0.1739943027496338, '신기함/관심': 0.5306191444396973, '아껴주는': 0.22756414115428925, '부끄러움': 0.001481256098486483, '공포/무서움': 0.001737161772325635, '절망': 0.0005826054257340729, '한심함': 0.0033122808672487736, '역겨움/징그러움': 0.0003690389567054808, '짜증': 0.003560828510671854, '어이없음': 0.004198222886770964, '없음': 0.6464083790779114, '패배/자기혐오': 0.00037431102828122675, '귀찮음': 0.011557762511074543, '힘듦/지침': 0.01081792265176773, '즐거움/신남': 0.422465056180954, '깨달음': 0.11432880163192749, '죄책감': 0.0002969219640363008, '증오/혐오': 0.0005027043516747653, '흐뭇함(귀여움/예쁨)': 0.014438573271036148, '당황/난처': 0.0064386362209916115, '경악': 0.0005656203720718622, '부담/안_내킴': 0.008903785608708858, '서러움': 0.0009134319261647761, '재미없음': 0.003227457869797945, '불쌍함/연민': 0.005225865636020899, '놀람': 0.029191605746746063, '행복': 0.19201618432998657, '불안/걱정': 0.02894245833158493, '기쁨': 0.3250986337661743, '안심/신뢰': 0.49725520610809326}"
