COMMENT_ID,VIDEO_ID,AUTHOR_NAME,COMMENT_TEXT,PUBLISHED_AT
띠미_ddimmi_20250726_c1,띠미_ddimmi_20250726,@ddimmi96,실수로 영상 브금이 두 개가 들어가버렸네요ㅠㅠ 감안하고 봐주세요 미안해요😢😢,2025-07-26
띠미_ddimmi_20250726_c2,띠미_ddimmi_20250726,@어름-w2v,이디야것도 맛있던데용,2025-07-31
띠미_ddimmi_20250726_c3,띠미_ddimmi_20250726,@한보경-e3s,라부부 깡해주세요!!!,2025-07-30
띠미_ddimmi_20250726_c4,띠미_ddimmi_20250726,@냥이-n9h,언닝!그 저번에 요아정 아이스크림 만들던기계에 토핑 올려보는건 어땡?❤❤,2025-07-30
띠미_ddimmi_20250726_c5,띠미_ddimmi_20250726,@Flyingmoth,"갑자기 요아정이 땡기네요…


…자세히 보기",2025-07-30
띠미_ddimmi_20250726_c6,띠미_ddimmi_20250726,@녕뽀녕,그 요거트를 수정해줄 사람으로 @젼언니 어떠십니까 ㅏ,2025-07-29
띠미_ddimmi_20250726_c7,띠미_ddimmi_20250726,@모코_내꺼,저거 아마도 요아정이 아니라 요거트 얼린거릴수도 있어요!,2025-07-28
띠미_ddimmi_20250726_c8,띠미_ddimmi_20250726,@백옥현-b6l,아니 언니 나 그거 어제 먹었엌ㅋㅋ,2025-07-28
띠미_ddimmi_20250726_c9,띠미_ddimmi_20250726,@성이름-d7v2m,오 띠미님 학교 다닐때 본거 같은데 아직도 하시네요 동갑인지도 몰랐네요 언제나 응원합니다 잘 보고가요!,2025-07-27
띠미_ddimmi_20250726_c10,띠미_ddimmi_20250726,@고수아-w3g,재밌게 잘 보고있어요!!^^ 입으신 옷이 이쁜데 어디브랜드 옷인가요??,2025-07-27
띠미_ddimmi_20250726_c11,띠미_ddimmi_20250726,@루루12-t6l,띠미님! 제가 아는 언니가 동성로에서 봤데여!!!!!!😮,2025-07-27
띠미_ddimmi_20250726_c12,띠미_ddimmi_20250726,@백백-j2t,먹어봫는데 양 진짜 적음 에바임..,2025-07-27
띠미_ddimmi_20250726_c13,띠미_ddimmi_20250726,@체널DOPAMIN_제로SPOT_l9금,"이 영상을 보면서 언니의 매력을 다시 한번 느낄 수 있어서 정말 행복했어요, 특히 삼총사 이야기를 듣는데 즐거움이 가득 차더라고요, 앞으로도 이런 재미있는 콘텐츠 많이 올려주세요!",2025-07-27
띠미_ddimmi_20250726_c14,띠미_ddimmi_20250726,@suxx.w,요아정 알바생으로써 타피오카펄 없어서 아쉬우신 분들은 요아정의 모찌큐브 꼬옥 드셔보세요ㅜㅜ 진짜 흑당맛 찐하고 타피오카펄 맛 나요!!,2025-07-26
띠미_ddimmi_20250726_c15,띠미_ddimmi_20250726,@이혜성-o7z,언니 렌즈 뭐야?? 알려주~~❤❤❤,2025-07-26
띠미_ddimmi_20250726_c16,띠미_ddimmi_20250726,@허어오,"언니 부산 팬싸에서 막날에 쿠킹쇼 전에 교도소 도넛해준다구 하셧자나용..해주실때까지 존버탈꺼에용..꼭 해주셔야해요!!

+띠미님 실물 존예 여신.",2025-07-26
띠미_ddimmi_20250726_c17,띠미_ddimmi_20250726,@AaTee.ouo.,이디야 ..빙수에 이어 요거트까지.. 알바생들 홧팅..!,2025-07-26
띠미_ddimmi_20250726_c18,띠미_ddimmi_20250726,@jaeduk-036,이디야에서 낸 요거트 아이스크림 이후 기존 요아정이랑 비교해서 먹어봐야겠다ㅏ😮,2025-07-26
띠미_ddimmi_20250726_c19,띠미_ddimmi_20250726,@림림-f6e,요아정 점주들은 개쌉손해네,2025-07-26
띠미_ddimmi_20250726_c20,띠미_ddimmi_20250726,@kddiaiwd,제 몸무게 좀 가져가실래요,2025-07-26
띠미_ddimmi_20250726_c21,띠미_ddimmi_20250726,@깅다욘,"오늘 롯데백화점에서 마지막에 와서 싸인 받아갔어요ㅠㅠ
실물이 훨씬 예쁘세요ㅠㅠㅠ",2025-07-26
띠미_ddimmi_20250726_c22,띠미_ddimmi_20250726,@labyrinthofkey3666,우와ㄷㄷ 요아정이라니,2025-07-26
띠미_ddimmi_20250726_c23,띠미_ddimmi_20250726,@yurullo,혹시 립 정보좀 알려주실 수 있을까영??! 립이 너무 이뻐여 ㅜㅜ,2025-07-26
띠미_ddimmi_20250726_c24,띠미_ddimmi_20250726,@리뤠-leere,레몬즙이나 신거 추가하면 맛있을거 같네요,2025-07-26
띠미_ddimmi_20250726_c25,띠미_ddimmi_20250726,@농이부-z1h,오오 다 맛있어보여요!!! 이디야 요아정이라니 너무 대박 띠미커스텀이 젤 맛있어 보이는거같아요,2025-07-26
띠미_ddimmi_20250726_c26,띠미_ddimmi_20250726,@뽀카-c6d,상의정보부탁드려용,2025-07-26
띠미_ddimmi_20250726_c27,띠미_ddimmi_20250726,@눈살림,언니 몰라는데 언니 덕분에 알았어요,2025-07-26
