VIDEO_ID,KEYWORD_ID,TITLE,DESCRIPTION,CHANNEL_TITLE,PUBLISHED_AT,VIEW_COUNT,LIKE_COUNT,COMMENT_COUNT,PLATFORM
띠미_ddimmi_20250726,0,아무도 모르는 이디야 요아정.. 과연 먹을만 한가?,,띠미 ddimmi,2025-07-26,385524,5846,55,youtube
띠미_ddimmi_20250718,0,"빛나는 초콜릿, 과연 다른 재료로도 될까?",,띠미 ddimmi,2025-07-18,1853326,27544,268,youtube
띠미_ddimmi_20250715,0,인스타 명품 수박 vs 5000원 시장 수박! 뭐가 다를까?,,띠미 ddimmi,2025-07-15,2319237,38439,178,youtube
띠미_ddimmi_20250713,0,인스타에서 보이는 빛나는 초콜릿… 이게 진짜 될까?,,띠미 ddimmi,2025-07-13,3369350,40095,103,youtube
띠미_ddimmi_20250710,0,에이블리에서 옷 말고 간식을 판다고?!!!,,띠미 ddimmi,2025-07-10,617584,14038,55,youtube
띠미_ddimmi_20250709,0,요즘 유행하는 AI 용암 먹방 맛있게 먹는 유일한 방법,,띠미 ddimmi,2025-07-09,2067612,38761,210,youtube
띠미_ddimmi_20250706,0,떡볶이로 국수면을 만들면 어떻게 될까?,,띠미 ddimmi,2025-07-06,1243847,17750,57,youtube
띠미_ddimmi_20250703,0,지금 인스타에서 난리난 신기한 쿠팡 전 ㄷㄷ,,띠미 ddimmi,2025-07-03,238803,3664,31,youtube
띠미_ddimmi_20250621,0,아침 8시 오픈런 메가커피 팥빙젤라또파르페 과연 먹을만한가..?,,띠미 ddimmi,2025-06-21,1090671,14228,105,youtube
띠미_ddimmi_20250610,0,유럽에서 내 쫀득쿠키를 보러 날 찾아왔다...,,띠미 ddimmi,2025-06-10,2743938,43927,86,youtube
띠미_ddimmi_20250603,0,저의 첫 팝업스토어… 힘드네요,,띠미 ddimmi,2025-06-03,3189264,73507,248,youtube
띠미_ddimmi_20250510,0,전남친 토스트 유행에 전남친 스프레드가 나왔다고? 과연 맛은?,,띠미 ddimmi,2025-05-10,1157859,14994,56,youtube
띠미_ddimmi_20250504,0,마라탕 국물로 국수를 만들면 어떻게 될까?,,띠미 ddimmi,2025-05-04,1200110,18290,86,youtube
띠미_ddimmi_20250502,0,한국에는 없는 일본 배스킨라빈스 신기한 맛 다 먹어봤다,,띠미 ddimmi,2025-05-02,1636278,25850,173,youtube
띠미_ddimmi_20250430,0,요즘 유행하는 연어 깍두기 100배 맛있게 먹는법,,띠미 ddimmi,2025-04-30,2325981,28511,70,youtube
띠미_ddimmi_20250425,0,오래된 딱딱한 빵으로 최고급 푸딩을?,,띠미 ddimmi,2025-04-25,453396,6556,42,youtube
띠미_ddimmi_20250424,0,1년 동안 나를 괴롭혔던 이 요리…,,띠미 ddimmi,2025-04-24,1947171,29892,85,youtube
띠미_ddimmi_20250421,0,남은 치킨을 처리하는 최고의 방법,,띠미 ddimmi,2025-04-21,832061,10325,68,youtube
띠미_ddimmi_20250418,0,중국쫀드기 라티아오 기름에 팝콘을 튀기면?,,띠미 ddimmi,2025-04-18,3562871,44900,225,youtube
띠미_ddimmi_20250414,0,라이스페이퍼 요리의 끝,,띠미 ddimmi,2025-04-14,730466,10870,67,youtube
띠미_ddimmi_20250409,0,성공률 0% 만두기계를 사용해봤다,,띠미 ddimmi,2025-04-09,2427241,27450,195,youtube
띠미_ddimmi_20250401,0,나 이제 평생 요아정 공짜 ㅋㅋ,,띠미 ddimmi,2025-04-01,5891280,84185,236,youtube
띠미_ddimmi_20250321,0,그동안 말 못했던 비밀,이 콘텐츠는 VOLI의 AI보이스를 활용하여 제작되었습니다. https://voli.ai,띠미 ddimmi,2025-03-21,1666491,38263,158,youtube
띠미_ddimmi_20250320,0,챗지피티가 시키는 대로 양파요리를 했더니..,,띠미 ddimmi,2025-03-20,761958,16371,87,youtube
띠미_ddimmi_20250307,0,지금 해외에서 난리인 양파칩 꼭 드세요!,,띠미 ddimmi,2025-03-07,2420314,60362,211,youtube
띠미_ddimmi_20250301,0,부자들도 못 사 먹는 이 케비어를 아시나요?,,띠미 ddimmi,2025-03-01,650051,16216,82,youtube
띠미_ddimmi_20250225,0,주작같은 유튜버 케이크 레시피 과연 될까?,,띠미 ddimmi,2025-02-25,940261,26747,113,youtube
띠미_ddimmi_20250215,0,태국에서 난리난 이 소세지 꼭 드셔보세요!,,띠미 ddimmi,2025-02-15,4809951,87378,588,youtube
띠미_ddimmi_20250212,0,통스팸으로 라면을 끓여봤다,,띠미 ddimmi,2025-02-12,3041841,44413,526,youtube
띠미_ddimmi_20250207,0,이런 딸기 보신 적 있으신가요?,,띠미 ddimmi,2025-02-07,1005697,22832,229,youtube
띠미_ddimmi_20250130,0,이 틱톡과일 꼭 드셔보세요!,,띠미 ddimmi,2025-01-30,1589870,35661,305,youtube
띠미_ddimmi_20250112,0,죄송합니다 이전 중국식빵은 가짜였습니다,,띠미 ddimmi,2025-01-12,1699298,44661,211,youtube
띠미_ddimmi_20250105,0,똥손 잼민이들과 함께 떡볶이를 만들면 어떻게 될까?,,띠미 ddimmi,2025-01-05,1925032,45085,195,youtube
띠미_ddimmi_20241228,0,1분으로 보는 2024년도 유행음식 총정리,,띠미 ddimmi,2024-12-28,1553325,45369,400,youtube
띠미_ddimmi_20241223,0,우유에 말아먹으면 치즈로 변한다는 중국 식빵,,띠미 ddimmi,2024-12-23,1925264,56056,275,youtube
띠미_ddimmi_20241217,0,한국에는 없는 중국 신기한 수건케이크를 싹 다 먹어봤다,,띠미 ddimmi,2024-12-17,1108358,32149,136,youtube
띠미_ddimmi_20241216,0,세상에서 제일 싼 마라탕을 먹어보자,,띠미 ddimmi,2024-12-16,3510451,82295,260,youtube
띠미_ddimmi_20241207,0,똥손 유튜버 5명이 찜닭을 만들면 어떻게 될까?,,띠미 ddimmi,2024-12-07,1188177,32904,101,youtube
띠미_ddimmi_20241127,0,떡볶이 과자로 떡볶이 만들기,,띠미 ddimmi,2024-11-27,211957,6309,143,youtube
띠미_ddimmi_20241123,0,피자맛 과자로 진짜 피자 만들기🍕,,띠미 ddimmi,2024-11-23,307977,11070,162,youtube
띠미_ddimmi_20241121,0,붕어빵 과자로 붕어빵 만들기,,띠미 ddimmi,2024-11-21,355675,10899,54,youtube
띠미_ddimmi_20241107,0,타코야끼 과자로 타코야끼 만들기,,띠미 ddimmi,2024-11-07,1218239,38587,159,youtube
띠미_ddimmi_20241101,0,중국인들만 먹는 신기한 거북이 버블티,,띠미 ddimmi,2024-11-01,1249351,33139,195,youtube
띠미_ddimmi_20241018,0,4시간 걸려 완성한 츄러스 그냥 사드세요..,,띠미 ddimmi,2024-10-18,1024131,42123,3155,youtube
띠미_ddimmi_20241009,0,중국인들만 먹는 신기한 중국 용암케이크🌋,,띠미 ddimmi,2024-10-09,1396213,40521,233,youtube
띠미_ddimmi_20240908,0,요즘 유행하는 마시멜로우 초콜릿! 제발 그렇게 만들지마세요,,띠미 ddimmi,2024-09-08,631859,22074,126,youtube
띠미_ddimmi_20240826,0,지금 유행중인 스웨덴 캔디! 이 종류는 사지마세요❗️,,띠미 ddimmi,2024-08-26,1405393,29368,195,youtube
띠미_ddimmi_20240825,0,두바이초콜릿 다음 유행인 스웨덴 캔디🍭,,띠미 ddimmi,2024-08-25,1620086,46633,149,youtube
띠미_ddimmi_20240821,0,8시간 기다려서 받은 요즘 난리난 성심당 무화과 케이크,,띠미 ddimmi,2024-08-21,1543682,40899,325,youtube
띠미_ddimmi_20240818,0,두바이초콜릿피자.. 이러다 죽을 것 같습니다,,띠미 ddimmi,2024-08-18,781994,24138,72,youtube
띠미_ddimmi_20240816,0,엽떡 100배 맛있게 먹는 미친 방법을 발견했다 ㄷㄷ,,띠미 ddimmi,2024-08-16,772385,18859,119,youtube
띠미_ddimmi_20240807,0,유튜브 간식창고 털어서 두바이 초콜릿 빙수 만든 슬픈 사연..,,띠미 ddimmi,2024-08-07,1666645,69656,199,youtube
띠미_ddimmi_20240730,0,"요즘 유행하는 요아정, 제발 사먹지마세요!",,띠미 ddimmi,2024-07-30,1555621,43119,203,youtube
띠미_ddimmi_20240712,0,7년만에 이상한 머랭쿠키들을 다 먹어보면 생기는 일,,띠미 ddimmi,2024-07-12,1871560,50654,241,youtube
띠미_ddimmi_20240515,0,"요즘 유행하는 두바이 초콜릿, 제발 그렇게 만들지마세요!",,띠미 ddimmi,2024-05-15,856566,23259,157,youtube
띠미_ddimmi_20240425,0,"요즘 유행하는 일본 킨조젤리, 제발 사먹지마세요.",,띠미 ddimmi,2024-04-25,3419875,73738,312,youtube
띠미_ddimmi_20240410,0,공차 신메뉴? 나 따라했네?,,띠미 ddimmi,2024-04-10,3384723,73531,176,youtube
띠미_ddimmi_20240402,0,일본의 신기한 통조림 음식 ㄷㄷ,,띠미 ddimmi,2024-04-02,1328441,35847,112,youtube
띠미_ddimmi_20240304,0,중국간식! 이젠 하다하다 얼음숯불구이🧊 과연 맛은..?,,띠미 ddimmi,2024-03-04,8715479,157725,568,youtube
띠미_ddimmi_20240302,0,지금 난리난 왕가탕후루 신메뉴 통사과 탕후루ㄷㄷ,,띠미 ddimmi,2024-03-02,409011,11443,90,youtube
띠미_ddimmi_20240219,0,13만시간 30분 걸린 떡볶이는 무슨 맛일까?,,띠미 ddimmi,2024-02-19,3354137,72598,303,youtube
띠미_ddimmi_20240216,0,타피오카펄이 가득한 신기한 대만간식 ASMR🇹🇼,,띠미 ddimmi,2024-02-16,215641,6069,65,youtube
띠미_ddimmi_20240210,0,13만 시간이나 걸린 떡볶이를 먹었다..,,띠미 ddimmi,2024-02-10,2614467,60900,310,youtube
띠미_ddimmi_20240209,0,99%가 모르는 딸기,,띠미 ddimmi,2024-02-09,384480,11946,130,youtube
띠미_ddimmi_20240203,0,이제 그만하려고요,,띠미 ddimmi,2024-02-03,1324294,49433,1185,youtube
띠미_ddimmi_20240121,0,엥 이게 타피오카펄이라고?,https://youtu.be/hF6CcweS4HU 대만 길거리 30가지나 넘게 먹은 길거리 음식 정복 먹방영상 떴다!!! 보러와!!!,띠미 ddimmi,2024-01-21,324600,8424,96,youtube
띠미_ddimmi_20240120,0,죄송합니다 중국 짝퉁 리뷰했었습니다.,,띠미 ddimmi,2024-01-20,1624192,43302,275,youtube
띠미_ddimmi_20240114,0,이 거대한 탕후루 뭔지 아는 사람?,https://youtu.be/hF6CcweS4HU 대만 길거리 30가지나 넘게 먹은 길거리 음식 정복 먹방영상 떴다!!! 보러와!!!,띠미 ddimmi,2024-01-14,599599,13302,111,youtube
띠미_ddimmi_20240113,0,대만에서만 파는 신기한 탕후루의 정체 ㄷㄷ,https://youtu.be/hF6CcweS4HU 대만 길거리 30가지나 넘게 먹은 길거리 음식 정복 먹방영상 떴다!!! 보러와!!!,띠미 ddimmi,2024-01-13,368132,7699,67,youtube
띠미_ddimmi_20240102,0,신기한 무지개 간식🌈 다 먹어보기 ASMR,,띠미 ddimmi,2024-01-02,329332,9428,86,youtube
띠미_ddimmi_20231231,0,이게 치즈라고? 신기한 치즈🧀 ASMR,,띠미 ddimmi,2023-12-31,1187912,38741,268,youtube
